1 exministro exministro 6 NOUN nsubj
184 e e 185 CCONJ cc
185 bandido bandido 183 NOUN conj
186 como como 189 ADP case
187 todos todos 189 DET det
188 os o 189 DET det
189 outros outros 181 PRON nmod
190 e e 192 CCONJ cc
191 voce voce 192 PRON nsubj
192 vai ir 159 VERB conj
193 a a 194 ADP mark
194 mer mer 192 VERB nmod
195 eugenio eugenio 181 NOUN obj
196 aragao aragao 195 NOUN flat
197 e e 199 CCONJ cc
198 os o 199 DET det
199 vazamentos vazamento 195 NOUN conj
200 de de 202 ADP case
201 as o 202 DET det
202 delacoes delacoe 199 NOUN nmod
203 quando quando 206 CCONJ mark
204 eu eu 206 PRON nsubj
205 era era 206 AUX cop
206 ministro ministro 159 NOUN advcl
207 de de 209 ADP case
208 a o 209 DET det
209 justica justica 206 NOUN nmod
210 fiquei ficar 211 AUX aux
211 sabendo saber 42 VERB conj
212 que que 213 CCONJ mark
213 sairam sair 211 VERB ccomp
214 aqui aqui 213 ADV advmod
215 de de 217 ADP case
216 a o 217 DET det
217 pgr pgr 214 NOUN nmod
218 rodrigo rodrigo 211 X nsubj
219 janot janot 218 PROPN flat
220 daqui daqui 222 ADV advmod
221 nao nao 222 ADV advmod
222 vazou vazar 211 VERB conj
223 nada nada 222 PRON obj
224 e e 228 CCONJ cc
225 eu eu 228 PRON nsubj
226 nao nao 228 ADV advmod
227 te te 228 PRON iobj
228 devo dever 222 VERB conj
229 satisfacao satisfacao 228 NOUN obj
230 voce voce 222 PRON nsubj
231 nao nao 237 ADV advmod
232 e e 234 CCONJ cc
233 meu meu 234 DET det:poss
234 corregedor corregedor 222 NOUN conj
235 vai ir 222 AUX conj
236 a a 237 ADP mark
237 mer mer 222 VERB nmod
238 eugenio eugenio 237 NOUN obj
239 aragao aragao 238 NOUN flat
240 e e 244 CCONJ cc
241 voce voce 244 PRON nsubj
242 nao nao 244 ADV advmod
243 me me 245 PRON obj
244 deve dever 81 AUX conj
245 satisfacao satisfacao 244 NOUN conj
246 mas mas 248 CCONJ cc
247 posso posso 248 AUX aux
248 pensar pensar 81 VERB conj
249 de de 250 ADP case
250 voce voce 248 PRON nmod
251 o o 248 PRON obj
252 que que 254 PRON obj
253 eu eu 254 PRON nsubj
254 quiser querer 251 VERB acl:relcl
