1 novas novo 2 ADJ amod
155 nem nem 159 CCONJ cc
156 que que 159 CCONJ mark
157 o o 158 DET det
158 senhor senhor 159 NOUN nsubj
159 comente comentar 154 VERB ccomp
160 com com 162 ADP case
161 o o 162 DET det
162 renan renan 159 NOUN nmod
163 eu eu 164 PRON nsubj
164 contribui contribuir 105 VERB ccomp
165 pro pro 166 ADP case
166 michel michel 164 NOUN nmod
167 pra pra 168 ADP case
168 candidatura candidatura 164 NOUN nmod
169 de de 171 ADP case
170 o o 171 DET det
171 menino menino 168 NOUN nmod
172 gabriel gabriel 171 NOUN appos
173 chalita chalita 172 NOUN flat
174 de de 176 ADP case
175 o o 176 DET det
176 pmdbsp pmdbsp 171 NOUN nmod
177 falei falar 196 VERB ccomp
178 com com 179 ADP case
179 ele ele 177 PRON nmod
180 ate ate 177 ADV advmod
181 em em 183 ADP case
182 um um 183 DET det
183 lugar lugar 177 NOUN nmod
184 inapropriado inapropriado 183 ADJ amod
185 que que 186 PRON nsubj
186 foi foi 183 VERB acl:relcl
187 em em 189 ADP case
188 a o 189 DET det
189 base base 186 NOUN nmod
190 aerea aereo 189 ADJ amod
191 sarney sarney 189 PROPN appos
192 demonstra demonstrar 34 VERB ccomp
193 preocupacao preocupacao 192 NOUN obj
194 sarney sarney 193 ADJ appos
195 alguem alguem 196 PRON nsubj
196 sabe saber 34 VERB ccomp
197 que que 200 CCONJ mark
198 voce voce 200 PRON nsubj
199 me me 200 PRON iobj
200 ajudou ajudar 196 VERB ccomp
201 machado machado 200 NOUN obj
202 sabe saber 196 VERB ccomp
203 nao nao 205 ADV advmod
204 ninguem ninguem 205 PRON nsubj
205 sabe saber 202 VERB ccomp
206 presidente presidente 205 NOUN obj
207 ninguem ninguem 205 PRON nsubj
208 sabe saber 202 VERB ccomp
209 que que 212 CCONJ mark
210 eu eu 212 PRON nsubj
211 lhe lhe 212 PRON iobj
212 ajudei ajudar 208 VERB ccomp
213 sarney sarney 212 NOUN obj
214 porque porque 219 CCONJ mark
215 o o 216 DET det
216 cesar cesar 60 NOUN nsubj
217 rocha rocha 216 NOUN flat
218 o o 219 DET det
219 cesar cesar 60 NOUN advcl
220 o o 221 DET det
221 cesar cesar 60 NOUN obj
222 rocha rocha 221 NOUN flat
223 que que 227 PRON nsubj
224 e e 227 CCONJ cc
225 o o 227 DET det
226 nosso nosso 227 DET det:poss
227 cumplice cumplice 221 NOUN conj
228 junto junto 150 ADV advmod
229 com com 231 ADP case
230 o o 231 DET det
231 machado machado 228 NOUN nmod
232 com com 234 ADP case
233 o o 234 DET det
234 teori teori 231 NOUN nmod
235 sarney sarney 234 PROPN appos
236 com com 238 ADP case
237 o o 238 DET det
238 teori teori 235 NOUN nmod
239 ele ele 78 PRON nsubj
240 e e 245 CCONJ cc
241 muito muito 242 ADV advmod
242 muito muito 245 ADV advmod
243 mas mas 245 CCONJ cc
244 muito muito 245 ADV advmod
245 amicissimo amicissimo 239 ADJ conj
246 la la 245 PRON nsubj
247 de de 249 ADP case
248 o o 249 DET det
249 tribunal tribunal 252 NOUN nmod
250 o o 251 DET det
251 cesar cesar 252 NOUN nsubj
252 fez fazer 154 VERB ccomp
253 muito muito 254 ADV det
254 favor favor 252 NOUN obj
255 pra pra 256 ADP case
256 ele ele 252 PRON nmod
257 machado machado 256 NOUN amod
258 o o 259 DET det
259 teori teori 164 NOUN nsubj
260 era era 259 VERB acl:relcl
261 de de 263 ADP case
262 o o 263 DET det
263 tribunal tribunal 260 NOUN nmod
264 de de 266 ADP case
265 o o 266 DET det
266 cesar cesar 263 NOUN nmod
267 sarney sarney 270 PROPN nsubj
268 era era 270 AUX cop
269 o o 270 DET det
270 teori teori 260 NOUN nsubj
271 era era 279 VERB parataxis
272 de de 274 ADP case
273 o o 274 DET det
274 tribunal tribunal 271 NOUN nmod
275 de de 277 ADP case
276 o o 277 DET det
277 cesar cesar 274 NOUN nmod
278 machado machado 277 PROPN appos
279 sabia saber 105 VERB parataxis
280 nao nao 279 ADV advmod
