1 policia policia 2 NOUN nsubj
85 dentro dentro 79 ADV advmod
86 de de 88 ADP case
87 a o 88 DET det
88 igreja igreja 85 NOUN nmod
89 apos apos 91 ADP case
90 a o 91 DET det
91 denuncia denuncia 95 NOUN nmod
92 o o 93 DET det
93 sacerdote sacerdote 95 NOUN nsubj:pass
94 foi foi 95 AUX aux:pass
95 identificado identificar 177 VERB advcl
96 e e 97 CCONJ cc
97 afastado afastar 95 VERB conj
98 de de 100 ADP case
99 suas suas 100 DET det:poss
100 funcoes funcoe 97 NOUN nmod
101 informou informar 95 VERB conj
102 o o 103 DET det
103 g1 g1 101 NOUN nsubj
104 em em 106 ADP case
105 o o 106 DET det
106 boletim boletim 101 NOUN nmod
107 de de 108 ADP case
108 ocorrencia ocorrencia 106 NOUN nmod
109 que que 111 CCONJ mark
110 foi foi 111 AUX aux:pass
111 registrado registrar 123 VERB ccomp
112 a o 113 DET det
113 adolescente adolescente 111 NOUN nsubj:pass
114 que que 116 PRON nsubj
115 e e 116 CCONJ cc
116 coroinha coroinha 113 NOUN acl:relcl
117 em em 119 ADP case
118 a o 119 DET det
119 igreja igreja 116 NOUN nmod
120 de de 122 ADP case
121 o o 122 DET det
122 paroco paroco 119 NOUN nmod
123 confirmou confirmar 101 VERB ccomp
124 os o 125 DET det
125 abusos abuso 123 NOUN obj
126 e e 127 CCONJ cc
127 relatou relatar 123 VERB conj
128 que que 133 CCONJ mark
129 nao nao 133 ADV advmod
130 foi foi 133 AUX cop
131 a o 133 DET det
132 unica unico 133 ADJ amod
133 vitima vitima 127 NOUN ccomp
134 de de 136 ADP case
135 o o 136 DET det
136 padre padre 133 NOUN nmod
137 uma um 139 DET det
138 outra outra 139 DET det
139 jovem jovem 133 NOUN nsubj
140 que que 142 PRON nsubj
141 hoje hoje 142 ADV advmod
142 tem ter 139 VERB acl:relcl
143 18 18 144 NUM nummod
144 anos ano 142 NOUN obj
145 tambem tambem 147 ADV advmod
146 estaria estar 147 AUX aux
147 sofrendo sofrer 43 VERB conj
148 abusos abuso 147 NOUN obj
149 ha ha 147 VERB advcl
150 cerca cerca 152 ADV advmod
151 de de 150 ADP case
152 8 8 153 NUM nummod
153 anos ano 149 NOUN nmod
154 em em 156 ADP case
155 o o 156 DET det
156 video video 43 NOUN nmod
157 que que 158 PRON nsubj
158 circula circular 156 VERB acl:relcl
159 em em 161 ADP case
160 as o 161 DET det
161 redes rede 158 NOUN nmod
162 sociais social 161 ADJ amod
163 e e 164 CCONJ cc
164 possivel possivel 68 ADJ conj
165 ver ver 63 VERB ccomp
166 o o 167 DET det
167 padre padre 165 NOUN obj
168 beijando beijar 165 VERB acl
169 a o 170 DET det
170 garota garoto 168 NOUN obj
171 a o 172 DET det
172 delegada delegado 76 NOUN nsubj
173 responsavel responsavel 172 ADJ amod
174 por por 176 ADP case
175 o o 176 DET det
176 caso caso 85 NOUN nmod
177 disse dizer 63 VERB ccomp
178 que que 182 CCONJ mark
179 o o 180 DET det
180 video video 182 NOUN nsubj:pass
181 foi foi 182 AUX aux:pass
182 feito feito 177 VERB ccomp
183 em em 185 ADP case
184 a o 185 DET det
185 casa casa 182 NOUN nmod
186 paroquial paroquial 185 ADJ amod
187 e e 191 CCONJ cc
188 uma um 189 DET det
189 pericia pericia 191 NOUN nsubj
190 ira ira 191 AUX aux
191 apurar apurar 182 VERB conj
192 se se 196 CCONJ mark
193 as o 194 DET det
194 imagens imagem 196 NOUN nsubj
195 realmente realmente 196 ADV advmod
196 condizem condizer 191 VERB advcl
197 com com 199 ADP case
198 o o 199 DET det
199 quarto quarto 196 NOUN nmod
200 de de 202 ADP case
201 o o 202 DET det
202 paroco paroco 199 NOUN nmod
