1 hartung hartung 2 NOUN nsubj
133 nacional nacional 132 ADJ amod
134 de de 136 ADP case
135 os o 136 DET det
136 jornalistas jornalista 132 NOUN nmod
137 fenaj fenaj 136 ADJ amod
138 lamentam lamentar 197 VERB ccomp
139 e e 140 CCONJ cc
140 repudiam repudiar 138 VERB conj
141 a o 142 DET det
142 atitude atitude 140 NOUN obj
143 de de 145 ADP case
144 o o 145 DET det
145 governo governo 142 NOUN nmod
146 estadual estadual 145 ADJ amod
147 que que 233 CCONJ mark
148 com com 150 ADP case
149 a o 150 DET det
150 postagem postagem 336 NOUN nmod
151 ignora ignorar 78 VERB ccomp
152 toda toda 154 DET det
153 a o 154 DET det
154 formacao formacao 151 NOUN obj
155 etica etico 154 ADJ amod
156 e e 157 CCONJ cc
157 social social 155 ADJ conj
158 de de 160 ADP case
159 os o 160 DET det
160 profissionais profissional 154 NOUN nmod
161 responsaveis responsavel 160 ADJ amod
162 por por 163 ADP mark
163 levar levar 161 VERB nmod
164 informacao informacao 163 NOUN obj
165 de de 166 ADP case
166 qualidade qualidade 164 NOUN nmod
167 a a 168 ADP case
168 sociedade sociedade 493 NOUN nmod
169 a o 170 DET det
170 postagem postagem 171 NOUN nsubj
171 teve ter 197 VERB ccomp
172 o o 173 DET det
173 repudio repudio 171 NOUN obj
174 de de 176 ADP case
175 muitos muitos 176 DET det
176 jornalistas jornalista 173 NOUN nmod
177 e e 178 CCONJ cc
178 cidadaos cidadao 176 NOUN conj
179 indignados indignado 176 ADJ amod
180 com com 182 ADP case
181 a o 182 DET det
182 mensagem mensagem 179 NOUN nmod
183 de de 185 ADP case
184 o o 185 DET det
185 governo governo 182 NOUN nmod
186 de de 188 ADP case
187 o o 188 DET det
188 estado estado 185 NOUN nmod
189 a a 191 ADP case
190 o o 191 DET det
191 dia dia 182 NOUN nmod
192 de de 194 ADP case
193 o o 194 DET det
194 jornalista jornalista 191 NOUN nmod
195 o o 196 DET det
196 sindicato sindicato 52 NOUN nsubj
197 diz dizer 52 VERB parataxis
198 que que 78 CCONJ mark
199 a a 201 ADP case
200 o o 201 DET det
201 contrario contrario 78 NOUN nmod
202 de de 203 ADP mark
203 valorizar valorizar 201 VERB nmod
204 a o 205 DET det
205 profissao profissao 203 NOUN obj
206 menosprezou menosprezar 221 VERB ccomp
207 toda toda 208 DET det
208 capacidade capacidade 206 NOUN obj
209 de de 211 ADP case
210 os o 211 DET det
211 profissionais profissional 208 NOUN nmod
212 em em 214 ADP case
213 a o 214 DET det
214 realizacao realizacao 208 NOUN nmod
215 de de 217 ADP case
216 suas suas 217 DET det:poss
217 atividades atividade 214 NOUN nmod
218 o o 219 DET det
219 sindicato sindicato 52 NOUN nsubj
220 finaliza finalizar 197 VERB ccomp
221 pedindo pedir 52 VERB acl
222 que que 226 CCONJ mark
223 o o 224 DET det
224 governo governo 226 NOUN nsubj
225 se se 226 PRON expl:pv
226 retrate retratar 221 VERB ccomp
227 o o 228 DET det
228 governo governo 233 NOUN nsubj:pass
229 de de 231 ADP case
230 o o 231 DET det
231 estado estado 228 NOUN nmod
232 foi foi 233 AUX aux:pass
233 procurado procurar 221 VERB ccomp
234 por por 236 ADP case
235 o o 236 DET det
236 g1 g1 233 NOUN nmod
237 para para 238 ADP mark
238 explicar explicar 233 VERB advcl
239 a o 240 DET det
240 mensagem mensagem 238 NOUN obj
241 e e 244 CCONJ cc
242 em em 243 ADP case
243 nota nota 244 NOUN nmod
244 pediu pedir 78 VERB conj
245 desculpas desculpa 244 NOUN obj
246 a o 247 DET det
247 categoria categoria 248 NOUN nsubj
248 segue segue 221 VERB ccomp
249 a o 250 DET det
250 integra integra 248 NOUN obj
251 de de 253 ADP case
252 o o 253 DET det
253 posicionamento posicionamento 250 NOUN nmod
254 de de 256 ADP case
255 a o 256 DET det
256 superintendente superintendente 253 NOUN nmod
257 de de 258 ADP case
258 estado estado 256 NOUN nmod
259 de de 260 ADP case
260 comunicacao comunicacao 258 NOUN nmod
261 andreia andreio 256 NOUN appos
262 lopes lopes 261 NOUN flat
263 peco peco 261 ADJ amod
264 desculpas desculpa 248 NOUN nsubj
265 publicamente publicamente 267 ADV advmod
266 em em 267 ADP case
267 nome nome 264 NOUN nmod
268 de de 270 ADP case
269 a o 270 DET det
270 superintendencia superintendencia 267 NOUN nmod
271 estadual estadual 270 ADJ amod
272 de de 273 ADP case
273 comunicacao comunicacao 270 NOUN nmod
274 e e 277 CCONJ cc
275 de de 277 ADP case
276 o o 277 DET det
277 governo governo 270 NOUN conj
278 de de 280 ADP case
279 o o 280 DET det
280 espirito espirito 277 NOUN nmod
281 santo santo 280 ADJ amod
282 por por 284 ADP case
283 o o 284 DET det
284 post post 52 NOUN nmod
285 absurdo absurdo 284 ADJ amod
286 publicado publicar 284 VERB acl
287 em em 289 ADP case
288 nossas nossas 289 DET det:poss
289 redes rede 286 NOUN nmod
290 sociais social 289 ADJ amod
291 em em 292 ADP case
292 referencia referencia 421 NOUN nmod
293 a a 295 ADP case
294 o o 295 DET det
295 dia dia 292 NOUN nmod
296 de de 298 ADP case
297 o o 298 DET det
298 jornalista jornalista 295 NOUN nmod
299 em em 301 ADP case
300 a o 301 DET det
301 manha manha 286 NOUN nmod
302 desta desta 303 ADP case
303 sextafeira sextafeira 301 NOUN nmod
304 07 07 303 NUM nmod
305 eu eu 323 PRON nsubj
306 e e 308 CCONJ cc
307 minha minha 308 DET det:poss
308 equipe equipe 305 NOUN conj
309 tambem tambem 78 ADV advmod
310 em em 312 ADP case
311 os o 312 DET det
312 sentimos sentir 138 VERB advcl
313 ofendidos ofendido 312 ADJ xcomp
314 com com 316 ADP case
315 essa essa 316 DET det
316 publicacao publicacao 313 NOUN nmod
317 que que 323 PRON nsubj
318 nao nao 321 ADV advmod
319 em em 321 ADP case
320 os o 321 PRON det
321 representa representar 316 VERB acl:relcl
322 nao nao 323 ADV advmod
323 representa representar 316 VERB acl:relcl
324 a o 325 DET det
325 classe classe 323 NOUN obj
326 jornalistica jornalistico 325 ADJ amod
327 e e 329 CCONJ cc
328 o o 329 DET det
329 respeito respeito 325 NOUN conj
330 que que 336 PRON obj
331 cada cada 332 DET det
332 um um 336 PRON nsubj
333 de de 335 ADP case
334 os o 335 DET det
335 profissionais profissional 332 NOUN nmod
336 merece merecer 329 VERB acl:relcl
337 como como 338 ADP case
338 jornalista jornalista 336 NOUN nmod
339 ha ha 336 VERB advcl
340 19 19 341 NUM nummod
341 anos ano 339 NOUN nmod
342 profissao profissao 474 NOUN appos
343 a a 344 ADP case
344 qual qual 346 PRON nmod
345 me me 346 PRON obj
346 dedico dedicar 342 VERB acl:relcl
347 com com 349 ADP case
348 muito muito 349 DET det
349 orgulho orgulho 346 NOUN nmod
350 eu eu 353 PRON nsubj
351 tambem tambem 353 ADV advmod
352 me me 354 PRON nsubj
353 sinto sentir 474 VERB acl:relcl
354 envergonhada envergonhado 353 ADJ xcomp
355 e e 356 CCONJ cc
356 indignada indignado 354 ADJ conj
357 com com 359 ADP case
358 o o 359 DET det
359 desastre desastre 356 NOUN nmod
360 de de 362 ADP case
361 a o 362 DET det
362 abordagem abordagem 359 NOUN nmod
363 em em 365 ADP case
364 um um 365 DET det
365 dia dia 362 NOUN nmod
366 tao tao 367 ADV advmod
367 especial especial 365 ADJ amod
368 para para 369 ADP case
369 todos todos 493 PRON nmod
370 em em 372 ADP case
371 os o 372 DET det
372 nada nada 493 PRON nmod
373 justifica justificar 372 VERB acl
374 estava estar 197 VERB ccomp
375 justamente justamente 376 ADV advmod
376 reunida reunido 374 ADJ xcomp
377 com com 379 ADP case
378 nossos nossos 379 DET det:poss
379 jornalistas jornalista 376 NOUN nmod
380 que que 381 PRON nsubj
381 integram integrar 379 VERB acl:relcl
382 a o 383 DET det
383 rede rede 381 NOUN obj
384 de de 385 ADP case
385 comunicacao comunicacao 383 NOUN nmod
386 de de 388 ADP case
387 o o 388 DET det
388 governo governo 383 NOUN nmod
389 quando quando 493 CCONJ mark
390 fui fui 493 AUX aux:pass
391 surpreendida surpreender 381 VERB advcl
392 com com 394 ADP case
393 a o 394 DET det
394 noticia noticia 391 NOUN nmod
395 de de 397 ADP case
396 a o 397 DET det
397 publicacao publicacao 394 NOUN nmod
398 pedi pedir 197 VERB ccomp
399 imediatamente imediatamente 398 ADV advmod
400 para para 405 ADP mark
401 que que 206 CCONJ mark
402 o o 403 DET det
403 post post 405 NOUN nsubj:pass
404 fosse fosse 405 AUX aux:pass
405 retirado retirar 52 VERB advcl
406 de de 408 ADP case
407 o o 408 DET det
408 ar ar 405 NOUN nmod
409 mas mas 244 CCONJ cc
410 como como 411 CCONJ mark
411 sei saber 52 VERB advcl
412 que que 415 CCONJ mark
413 isso isso 415 PRON nsubj
414 nao nao 415 ADV advmod
415 basta bastar 411 VERB ccomp
416 fiz fazer 197 VERB ccomp
417 questao questao 52 NOUN obj
418 de de 421 ADP mark
419 pessoalmente pessoalmente 421 ADV advmod
420 me me 421 PRON obj
421 retratar retratar 417 VERB nmod
422 publicamente publicamente 421 ADV advmod
423 com com 425 ADP case
424 os o 425 DET det
425 colegas colega 421 NOUN nmod
426 de de 427 ADP case
427 profissao profissao 425 NOUN nmod
428 que que 429 PRON nsubj
429 tem ter 425 VERB acl:relcl
430 todo todo 432 DET det
431 o o 432 DET det
432 respeito respeito 429 NOUN obj
433 e e 434 CCONJ cc
434 admiracao admiracao 432 NOUN conj
435 por por 437 ADP case
436 o o 437 DET det
437 trabalho trabalho 62 NOUN nmod
438 diario diario 437 ADJ amod
439 que que 440 PRON obj
440 desempenham desempenhar 437 VERB acl:relcl
441 esse esse 442 DET det
442 post post 440 NOUN obj
443 definitivamente definitivamente 446 ADV advmod
444 tambem tambem 446 ADV advmod
445 nao nao 446 ADV advmod
446 reflete refletir 221 VERB ccomp
447 o o 448 DET det
448 sentimento sentimento 446 NOUN obj
449 de de 451 ADP case
450 o o 451 DET det
451 governo governo 448 NOUN nmod
452 de de 454 ADP case
453 o o 454 DET det
454 espirito espirito 451 NOUN nmod
455 santo santo 454 ADJ amod
456 os o 457 DET det
457 jornalistas jornalista 323 NOUN nsubj
458 sao ser 459 AUX cop
459 profissionais profissional 323 NOUN parataxis
460 essenciais essencial 459 ADJ amod
461 para para 463 ADP case
462 a o 463 DET det
463 democracia democracia 336 NOUN nmod
464 sao sao 474 AUX cop
465 os o 466 DET det
466 olhos olho 474 NOUN nsubj
467 e e 469 CCONJ cc
468 a o 469 DET det
469 voz voz 466 NOUN conj
470 de de 472 ADP case
471 a o 472 DET det
472 sociedade sociedade 469 NOUN nmod
473 sao ser 474 AUX cop
474 motivo motivo 323 NOUN parataxis
475 de de 476 ADP case
476 orgulho orgulho 474 NOUN nmod
477 e e 480 CCONJ cc
478 nao nao 480 ADV advmod
479 de de 480 ADP case
480 brincadeiras brincadeira 476 NOUN conj
481 que que 483 PRON nsubj
482 nao nao 483 ADV advmod
483 tem ter 480 VERB acl:relcl
484 nenhum nenhum 485 DET det
485 tipo tipo 483 NOUN obj
486 de de 487 ADP case
487 explicacao explicacao 485 NOUN nmod
488 aceitavel aceitavel 487 ADJ amod
489 para para 493 ADP mark
490 que que 493 CCONJ mark
491 tenham ter 493 AUX aux
492 sido ser 493 AUX aux:pass
493 feitas feitas 483 VERB advcl
