1 reviravolta reviravolta 8 NOUN nsubj
125 indiciamento indiciamento 123 NOUN obj
126 de de 127 ADP case
127 victor victor 125 NOUN nmod
128 a o 129 DET det
129 pcmg pcmg 123 NOUN nsubj
130 policia policia 129 NOUN appos
131 civil civil 130 ADJ amod
132 informa informar 8 VERB conj
133 que que 134 CCONJ mark
134 relatou relatar 132 VERB ccomp
135 a o 136 DET det
136 justica justica 134 NOUN obj
137 o o 138 DET det
138 inquerito inquerito 134 NOUN obj
139 instaurado instaurar 138 VERB acl
140 a a 141 ADP mark
141 partir partir 139 VERB nmod
142 de de 144 ADP case
143 a o 144 DET det
144 denuncia denuncia 141 NOUN nmod
145 de de 146 ADP case
146 agressao agressao 144 NOUN nmod
147 registrada registrar 44 VERB acl
148 por por 149 ADP case
149 poliana poliana 147 NOUN nmod
150 chaves chave 149 NOUN flat
151 diante diante 57 ADV advmod
152 de de 154 ADP case
153 as o 154 DET det
154 provas prova 151 NOUN nmod
155 coletadas coletar 154 VERB acl
156 a o 157 DET det
157 pcmg pcmg 158 NOUN nsubj
158 concluiu concluir 132 VERB ccomp
159 por por 161 ADP case
160 o o 161 DET det
161 indiciamento indiciamento 158 NOUN nmod
162 de de 163 ADP case
163 victor victor 161 NOUN nmod
164 chaves chave 163 NOUN flat
165 por por 167 ADP case
166 a o 167 DET det
167 contravencao contravencao 161 NOUN nmod
168 penal penal 167 ADJ amod
169 prevista prever 167 VERB acl
170 em em 172 ADP case
171 o o 172 DET det
172 artigo artigo 169 NOUN nmod
173 21 21 172 NUM appos
174 de de 176 ADP case
175 o o 176 DET det
176 decreto decreto 172 NOUN nmod
177 lei lei 176 NOUN flat
178 3688/41 3688/41 176 NUM appos
179 conforme conforme 180 CCONJ mark
180 demonstrado demonstrar 57 VERB advcl
181 em em 183 ADP case
182 o o 183 DET det
183 laudo laudo 180 NOUN nmod
184 pericial pericial 183 ADJ amod
185 de de 187 ADP case
186 as o 187 DET det
187 imagens imagem 183 NOUN nmod
188 de de 190 ADP case
189 as o 190 DET det
190 cameras camera 187 NOUN nmod
191 de de 192 ADP case
192 seguranca seguranca 190 NOUN nmod
193 de de 195 ADP case
194 o o 195 DET det
195 predio predio 190 NOUN nmod
196 e e 199 CCONJ cc
197 por por 199 ADP case
198 o o 199 DET det
199 depoimento depoimento 183 NOUN conj
200 de de 202 ADP case
201 a o 202 DET det
202 vitima vitima 199 NOUN nmod
203 informou informar 8 VERB conj
204 uma um 205 DET det
205 nota nota 203 NOUN obj
206 a a 207 ADP case
207 imprensa imprensa 205 NOUN nmod
208 redigida redigir 205 VERB acl
209 por por 211 ADP case
210 a o 211 DET det
211 policia policia 208 NOUN nmod
212 civil civil 211 ADJ amod
213 de de 214 ADP case
214 minas mina 211 NOUN nmod
215 gerais geral 214 ADJ amod
216 leia ler 203 VERB parataxis
217 tambem tambem 216 ADV advmod
