1 exclusivo exclusivo 2 ADJ amod
68 revoltados revoltado 67 ADJ xcomp
69 com com 71 ADP case
70 a o 71 DET det
71 divulgacao divulgacao 68 NOUN nmod
72 de de 74 ADP case
73 seus seus 74 DET det:poss
74 nomes nome 71 NOUN nmod
75 em em 76 ADP case
76 questoes questoe 177 NOUN nmod
77 politicas politico 76 ADJ amod
78 o o 79 DET det
79 irmao irmao 185 NOUN nsubj
80 de de 82 ADP case
81 o o 82 DET det
82 jurista jurista 79 NOUN nmod
83 o o 84 DET det
84 economista economista 87 NOUN nsubj
85 tommy tommy 84 PROPN appos
86 leite leite 85 NOUN flat
87 disse dizer 8 VERB parataxis
88 que que 89 CCONJ mark
89 achou achar 87 VERB ccomp
90 um um 91 DET det
91 absurdo absurdo 89 NOUN obj
92 que que 216 CCONJ mark
93 o o 94 DET det
94 nome nome 98 NOUN nsubj
95 de de 97 ADP case
96 sua sua 97 DET det:poss
97 familia familia 94 NOUN nmod
98 esteja estar 89 VERB ccomp
99 envolvido envolvido 98 ADJ xcomp
100 em em 101 ADP case
101 questoes questoe 99 NOUN nmod
102 que que 103 PRON nsubj
103 envolvam envolver 101 VERB acl:relcl
104 o o 105 DET det
105 pt pt 103 NOUN obj
106 ja ja 212 ADV advmod
107 a o 108 DET det
108 sobrinha sobrinha 43 NOUN nsubj
109 de de 111 ADP case
110 o o 111 DET det
111 jurista jurista 108 NOUN nmod
112 a o 113 DET det
113 americana americano 204 NOUN appos
114 naturalizada naturalizar 113 VERB acl
115 brasileira brasileiro 113 ADJ amod
116 allan allan 233 NOUN appos
117 bida bida 116 NOUN flat
118 disse dizer 8 VERB conj
119 que que 121 CCONJ mark
120 ja ja 121 ADV advmod
121 contactou contactar 118 VERB ccomp
122 seus seus 123 DET det:poss
123 advogados advogado 121 NOUN obj
124 e e 126 CCONJ cc
125 um um 126 DET det
126 absurdo absurdo 121 NOUN conj
127 que que 128 PRON nsubj
128 envolvam envolver 238 VERB ccomp
129 o o 130 DET det
130 nome nome 128 NOUN obj
131 de de 134 ADP case
132 o o 134 DET det
133 meu meu 134 DET det:poss
134 tio tio 130 NOUN nmod
135 um um 136 DET det
136 jurista jurista 130 NOUN appos
137 honesto honesto 136 ADJ amod
138 em em 139 ADP case
139 questoes questoe 136 NOUN nmod
140 politicas politico 139 ADJ amod
141 desonrosas desonroso 139 ADJ amod
142 que que 143 PRON nsubj
143 ocorrem ocorrer 139 VERB acl:relcl
144 em em 146 ADP case
145 o o 146 DET det
146 pais pais 143 NOUN nmod
147 disse dizer 8 VERB parataxis
148 allan allan 147 NOUN nsubj
149 bida bida 148 NOUN flat
150 a o 151 DET det
151 mae mae 43 NOUN nsubj
152 e e 154 CCONJ cc
153 o o 154 DET det
154 pai pai 151 NOUN conj
155 de de 157 ADP case
156 o o 157 DET det
157 jurista jurista 154 NOUN nmod
158 o o 159 DET det
159 sr sr 185 NOUN nsubj
160 kadu kadu 159 NOUN appos
161 kando kando 159 NOUN flat
162 e e 164 CCONJ cc
163 a o 164 DET det
164 sra sra 159 NOUN conj
165 diva diva 164 NOUN appos
166 gina gina 164 NOUN flat
167 acharam achar 87 VERB ccomp
168 um um 169 DET det
169 absurdo absurdo 167 NOUN obj
170 que que 174 CCONJ mark
171 a o 172 DET det
172 familia familia 174 NOUN nsubj
173 seja ser 174 AUX cop
174 alvo alvo 167 NOUN ccomp
175 de de 177 ADP case
176 um um 177 DET det
177 ataque ataque 174 NOUN nmod
178 pessoal pessoal 177 ADJ amod
179 de de 181 ADP case
180 o o 181 DET det
181 advogado advogado 177 NOUN nmod
182 jose jose 181 NOUN appos
183 eduardo eduardo 182 PROPN flat
184 cardoso cardoso 182 ADJ flat
185 criamos criar 87 VERB ccomp
186 nossos nossos 187 DET det:poss
187 filhos filho 185 NOUN obj
188 para para 191 ADP mark
189 nao nao 191 ADV advmod
190 se se 191 PRON obj
191 envolverem envolver 185 VERB advcl
192 em em 194 ADP case
193 a o 194 DET det
194 politica politica 191 NOUN nmod
195 e e 198 CCONJ cc
196 um um 197 DET det
197 absurdo absurdo 198 NOUN nsubj
198 disse dizer 43 VERB conj
199 o o 200 DET det
200 pai pai 198 NOUN nsubj
201 kadu kadu 200 NOUN appos
202 kando kando 201 NOUN flat
203 o o 204 DET det
204 juiz juiz 185 NOUN nsubj
205 armando armando 204 NOUN appos
206 bagunca bagunca 205 ADJ flat
207 responsavel responsavel 204 ADJ amod
208 por por 210 ADP case
209 o o 210 DET det
210 julgamento julgamento 207 NOUN nmod
211 acao acao 210 NOUN appos
212 disse dizer 87 VERB parataxis
213 que que 216 CCONJ mark
214 a o 215 DET det
215 familia familia 216 NOUN nsubj
216 tem ter 212 VERB ccomp
217 grandes grande 218 ADJ amod
218 chances chance 216 NOUN obj
219 de de 220 ADP mark
220 vencer vencer 218 VERB nmod
221 a o 222 DET det
222 acao acao 220 NOUN obj
223 impetrada impetrar 222 VERB acl
224 contra contra 225 ADP case
225 cardozao cardozao 223 NOUN nmod
226 o o 228 DET det
227 principal principal 228 ADJ amod
228 envolvido envolvido 220 NOUN obj
229 em em 231 ADP case
230 a o 231 DET det
231 acao acao 228 NOUN nmod
232 o o 233 DET det
233 jurista jurista 238 NOUN nsubj
234 tomas tomas 233 NOUN appos
235 turbando turbando 234 NOUN flat
236 bustamente bustamente 238 ADV advmod
237 nao nao 238 ADV advmod
238 quis querer 212 VERB ccomp
239 se se 240 PRON obj
240 declarar declarar 238 VERB xcomp
241 sobre sobre 243 ADP case
242 o o 243 DET det
243 fato fato 240 NOUN nmod
244 confio confiar 243 VERB acl
245 em em 247 ADP case
246 a o 247 DET det
247 justica justica 244 NOUN nmod
248 o o 249 DET det
249 juiz juiz 238 NOUN nsubj
250 armando armando 249 NOUN appos
251 bagunca bagunca 250 ADJ flat
252 e e 255 CCONJ cc
253 um um 255 DET det
254 bom bom 255 ADJ amod
255 homem homem 121 NOUN conj
256 e e 257 CCONJ cc
257 fara farar 238 VERB conj
258 com com 262 ADP mark
259 que que 262 CCONJ mark
260 a o 261 DET det
261 justica justica 262 NOUN nsubj
262 prevaleca prevalecar 257 VERB nmod
