1 rio rio 4 NOUN nsubj
157 o o 158 DET det
158 ator ator 161 NOUN nsubj
159 murilo murilo 158 NOUN appos
160 rosa rosa 159 NOUN flat
161 disse dizer 4 VERB parataxis
162 a a 164 ADP case
163 o o 164 DET det
164 jornal jornal 161 NOUN iobj
165 extra extra 164 ADJ amod
166 que que 52 CCONJ mark
167 comprou comprar 161 VERB ccomp
168 os o 169 DET det
169 ingressos ingresso 52 NOUN obj
170 de de 172 ADP case
171 um um 172 DET det
172 desconhecido desconhecido 169 NOUN nmod
173 e e 175 CCONJ cc
174 nao nao 175 ADV advmod
175 fazia fazer 52 VERB conj
176 ideia ideia 175 NOUN obj
177 de de 181 ADP mark
178 que que 181 CCONJ mark
179 as o 180 DET det
180 entradas entrada 181 NOUN nsubj
181 eram eram 176 VERB nmod
182 falsas falso 181 ADJ xcomp
183 ele ele 184 PRON nsubj
184 confirmou confirmar 22 VERB ccomp
185 que que 187 CCONJ mark
186 realmente realmente 187 ADV advmod
187 vendeu vender 184 VERB ccomp
188 os o 189 DET det
189 ingressos ingresso 187 NOUN obj
190 para para 192 ADP case
191 o o 192 DET det
192 homem homem 187 NOUN nmod
193 e e 196 CCONJ cc
194 so so 196 ADV advmod
195 se se 196 PRON expl:pv
196 desfez desfazer 29 VERB conj
197 de de 199 ADP case
198 as o 199 DET det
199 entradas entrada 196 NOUN nmod
200 porque porque 201 CCONJ mark
201 descobriu descobrir 161 VERB advcl
202 que que 205 CCONJ mark
203 os o 204 DET det
204 lugares lugar 205 NOUN nsubj
205 eram eram 201 VERB ccomp
206 em em 207 ADP case
207 assentos assento 205 NOUN nmod
208 separados separado 207 ADJ amod
209 o o 35 PRON appos
210 que que 212 PRON nsubj
211 nao nao 212 ADV advmod
212 permitiria permitir 209 VERB acl:relcl
213 que que 215 CCONJ mark
214 ele ele 215 PRON nsubj
215 ficasse ficar 212 VERB ccomp
216 junto junto 215 ADV advmod
217 de de 219 ADP case
218 sua sua 219 DET det:poss
219 esposa esposo 216 NOUN nmod
220 comprei comprar 48 VERB ccomp
221 esses esses 222 DET det
222 ingressos ingresso 220 NOUN obj
223 por por 224 ADP case
224 r r 220 NOUN nmod
225 2 2 226 NUM nummod
226 mil mil 224 NUM nummod
227 em em 229 ADP case
228 o o 229 DET det
229 parque parque 220 NOUN nmod
230 olimpico olimpico 229 ADJ amod
231 de de 233 ADP case
232 um um 233 DET det
233 homem homem 229 NOUN nmod
234 bem bem 235 ADV advmod
235 apessoado apessoado 233 ADJ amod
236 fiquei ficar 161 VERB ccomp
237 um um 238 DET det
238 pouco pouco 239 NOUN nmod
239 constrangido constrangido 236 ADJ xcomp
240 de de 241 ADP mark
241 vender vender 239 VERB nmod
242 mas mas 243 CCONJ cc
243 tinha ter 236 VERB conj
244 muita muita 245 DET det
245 gente gente 243 NOUN obj
246 querendo querer 245 VERB acl
247 ingresso ingresso 246 NOUN obj
248 e e 249 CCONJ cc
249 decidir decidir 52 VERB conj
250 vender vender 249 VERB xcomp
251 jamais jamais 252 ADV advmod
252 imaginei imaginar 246 VERB conj
253 que que 256 CCONJ mark
254 os o 255 DET det
255 ingressos ingresso 256 NOUN nsubj
256 eram eram 252 VERB ccomp
257 falsos falso 256 ADJ xcomp
258 relatou relatar 252 VERB ccomp
259 murilo murilo 258 NOUN nsubj
260 foi foi 261 AUX aux:pass
261 aberto abrir 252 VERB ccomp
262 inquerito inquerito 261 NOUN nsubj:pass
263 em em 265 ADP case
264 a o 265 DET det
265 18 18 261 NUM nmod
266 dp dp 265 ADP nmod
267 e e 271 CCONJ cc
268 o o 271 DET det
269 caso caso 271 NOUN nsubj:pass
270 sera sera 271 AUX aux:pass
271 investigado investigar 261 VERB conj
272 como como 273 ADP case
273 estelionato estelionato 271 NOUN nmod
274 a o 275 DET det
275 informacao informacao 271 NOUN nsubj:pass
276 e e 279 CCONJ cc
277 de de 279 ADP case
278 o o 279 DET det
279 jornal jornal 275 NOUN conj
280 carioca carioca 279 ADJ amod
281 extra extra 279 ADJ amod
