# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos 29 anos sisy arias fazia seu primeiro voo como copiloto civil uma entrevista que esta circulando nos maiores jornais do mundo mostra a bela e jovem copiloto do voo da lamia horas antes do acidente sisy arias de apenas 29 anos participava de seu primeiro voo como copiloto civil sentada na cabine do aviao a jovem que tambem e conhecida por ser modelo na colombia disse estava orgulhosa por transportar a equipe de futebol brasileira para a final da copa sulamericana de 2016 algumas horas mais tarde o aviao iria se chocar contra uma montanha matando 71 pessoas que estavam a bordo e deixando apenas seis sobreviventes arias diz ao entrevistador uma das coisas importantes e saber que a equipe esta usando uma linha aerea boliviana para levalos ate medellin a familia de sisy esta devastada e relatou que suas vidas nunca mais serao as mesmas o irmao dela declarou perdi minha irma para o resto da minha vida nao tenho palavras para expressar toda a dor e o vazio que sinto voce era minha alma gemea e me deixou deixou tambem todas as pessoas que voce amou voce foi a pessoa mais nobre que eu ja conheci e tenho a esperanca de vela novamente quando deus me chamar eu te amo querida irma de alma o video mostra como todos da equipe estavam animados rindo e brincando juntos o jogo mais importante de suas vidas foi interrompido devastadoramente apenas tres jogadores sobreviveram ao acidente durante a entrevista o treinador caio junior revelou a alegria que sentia com sua equipe era quase um conto de fadas estamos muito orgulhosos de representar o brasil e chegar a final do torneio principalmente porque estamos representando as equipes pequenas do brasil isso nos da forca e orgulho passar pela bolivia vai nos dar sorte disse
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
22	jornais	jornal	NOUN	NOUN	_	18	nmod	_	TokenRange=113:120
23-24	do	_	_	_	_	_	_	_	TokenRange=121:123
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	mundo	mundo	NOUN	NOUN	_	22	nmod	_	TokenRange=124:129
26	mostra	mostrar	VERB	VERB	_	7	parataxis	_	TokenRange=130:136
27	a	o	DET	DET	_	31	det	_	TokenRange=137:138
28	bela	belo	ADJ	ADJ	_	31	amod	_	TokenRange=139:143
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=144:145
30	jovem	jovem	ADJ	ADJ	_	28	conj	_	TokenRange=146:151
31	copiloto	copiloto	NOUN	NOUN	_	26	obj	_	TokenRange=152:160
32-33	do	_	_	_	_	_	_	_	TokenRange=161:163
32	de	de	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	voo	voo	NOUN	NOUN	_	31	nmod	_	TokenRange=164:167
35-36	da	_	_	_	_	_	_	_	TokenRange=168:170
35	de	de	ADP	ADP	_	37	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	37	det	_	_
37	lamia	lamia	NOUN	NOUN	_	34	nmod	_	TokenRange=171:176
38	horas	hora	NOUN	NOUN	_	26	nmod	_	TokenRange=177:182
39	antes	antes	ADV	ADV	_	42	case	_	TokenRange=183:188
40-41	do	_	_	_	_	_	_	_	TokenRange=189:191
40	de	de	ADP	ADP	_	39	case	_	_
41	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	39	det	_	_
42	acidente	acidente	NOUN	NOUN	_	49	nmod	_	TokenRange=192:200
43	sisy	_	NOUN	NOUN	_	49	nsubj	_	TokenRange=201:205
44	arias	_	NOUN	NOUN	_	43	flat	_	TokenRange=206:211
45	de	de	ADP	ADP	_	48	case	_	TokenRange=212:214
46	apenas	apenas	ADV	ADV	_	47	advmod	_	TokenRange=215:221
47	29	_	NUM	NUM	NumType=Card	48	nummod	_	TokenRange=222:224
48	anos	ano	NOUN	NOUN	_	43	nmod	_	TokenRange=225:229
49	participava	participar	VERB	VERB	_	7	conj	_	TokenRange=230:241
50	de	de	ADP	ADP	_	53	case	_	TokenRange=242:244
51	seu	_	DET	DET	_	53	det:poss	_	TokenRange=245:248
52	primeiro	primeiro	ADJ	ADJ	_	53	amod	_	TokenRange=249:257
53	voo	voo	NOUN	NOUN	_	49	nmod	_	TokenRange=258:261
54	como	como	ADP	ADP	_	55	case	_	TokenRange=262:266
55	copiloto	copiloto	NOUN	NOUN	_	53	nmod	_	TokenRange=267:275
56	civil	civil	ADJ	ADJ	_	55	amod	_	TokenRange=276:281
57	sentada	sentar	VERB	VERB	_	55	acl	_	TokenRange=282:289
58-59	na	_	_	_	_	_	_	_	TokenRange=290:292
58	em	em	ADP	ADP	_	60	case	_	_
59	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
60	cabine	cabine	NOUN	NOUN	_	57	nmod	_	TokenRange=293:299
61-62	do	_	_	_	_	_	_	_	TokenRange=300:302
61	de	de	ADP	ADP	_	63	case	_	_
62	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	63	det	_	_
63	aviao	aviao	NOUN	NOUN	_	60	nmod	_	TokenRange=303:308
64	a	o	DET	DET	_	65	det	_	TokenRange=309:310
65	jovem	jovem	NOUN	NOUN	_	49	nsubj	_	TokenRange=311:316
66	que	_	PRON	PRON	_	69	nsubj:pass	_	TokenRange=317:320
67	tambem	tambem	ADV	ADV	_	69	advmod	_	TokenRange=321:327
68	e	e	CCONJ	CONJ	_	69	cc	_	TokenRange=328:329
69	conhecida	conhecer	VERB	VERB	_	65	acl:relcl	_	TokenRange=330:339
70	por	_	ADP	ADP	_	72	mark	_	TokenRange=340:343
71	ser	ser	AUX	AUX	_	72	cop	_	TokenRange=344:347
72	modelo	modelo	NOUN	NOUN	_	69	nmod	_	TokenRange=348:354
73-74	na	_	_	_	_	_	_	_	TokenRange=355:357
73	em	em	ADP	ADP	_	173	case	_	_
74	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	173	det	_	_
75	colombia	colombia	NOUN	NOUN	_	72	nmod	_	TokenRange=358:366
76	disse	dizer	VERB	VERB	_	7	advcl	_	TokenRange=367:372
77	estava	estar	VERB	VERB	_	324	ccomp	_	TokenRange=373:379
78	orgulhosa	orgulhoso	ADJ	ADJ	_	77	xcomp	_	TokenRange=380:389
79	por	_	ADP	ADP	_	80	mark	_	TokenRange=390:393
80	transportar	transportar	VERB	VERB	_	78	nmod	_	TokenRange=394:405
81	a	o	DET	DET	_	82	det	_	TokenRange=406:407
82	equipe	equipe	NOUN	NOUN	_	80	obj	_	TokenRange=408:414
83	de	de	ADP	ADP	_	84	case	_	TokenRange=415:417
84	futebol	futebol	NOUN	NOUN	_	82	nmod	_	TokenRange=418:425
85	brasileira	brasileiro	ADJ	ADJ	_	84	amod	_	TokenRange=426:436
86	para	para	ADP	ADP	_	88	case	_	TokenRange=437:441
87	a	o	DET	DET	_	88	det	_	TokenRange=442:443
88	final	final	NOUN	NOUN	_	80	nmod	_	TokenRange=444:449
89-90	da	_	_	_	_	_	_	_	TokenRange=450:452
89	de	de	ADP	ADP	_	91	case	_	_
90	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	91	det	_	_
91	copa	copa	NOUN	NOUN	_	88	nmod	_	TokenRange=453:457
92	sulamericana	sulamericano	ADJ	ADJ	_	91	amod	_	TokenRange=458:470
93	de	de	ADP	ADP	_	94	case	_	TokenRange=471:473
94	2016	_	NUM	NUM	NumType=Card	91	nmod	_	TokenRange=474:478
95	algumas	_	DET	DET	_	96	det	_	TokenRange=479:486
96	horas	hora	NOUN	NOUN	_	258	nmod	_	TokenRange=487:492
97	mais	mais	ADV	ADV	_	98	advmod	_	TokenRange=493:497
98	tarde	tarde	ADV	ADV	_	103	advmod	_	TokenRange=498:503
99	o	o	DET	DET	_	100	det	_	TokenRange=504:505
100	aviao	aviao	NOUN	NOUN	_	103	nsubj	_	TokenRange=506:511
101	iria	_	AUX	AUX	_	103	aux	_	TokenRange=512:516
102	se	_	PRON	PRON	_	103	obj	_	TokenRange=517:519
103	chocar	chocar	VERB	VERB	_	233	ccomp	_	TokenRange=520:526
104	contra	_	ADP	ADP	_	106	case	_	TokenRange=527:533
105	uma	um	DET	DET	_	106	det	_	TokenRange=534:537
106	montanha	montanha	NOUN	NOUN	_	103	nmod	_	TokenRange=538:546
107	matando	matar	VERB	VERB	_	103	acl	_	TokenRange=547:554
108	71	_	NUM	NUM	NumType=Card	109	nummod	_	TokenRange=555:557
109	pessoas	pessoa	NOUN	NOUN	_	107	obj	_	TokenRange=558:565
110	que	_	PRON	PRON	_	111	nsubj	_	TokenRange=566:569
111	estavam	estar	VERB	VERB	_	109	acl:relcl	_	TokenRange=570:577
112	a	_	ADP	ADP	_	113	case	_	TokenRange=578:579
113	bordo	bordo	NOUN	NOUN	_	111	nmod	_	TokenRange=580:585
114	e	e	CCONJ	CONJ	_	115	cc	_	TokenRange=586:587
115	deixando	deixar	VERB	VERB	_	300	conj	_	TokenRange=588:596
116	apenas	apenas	ADV	ADV	_	117	advmod	_	TokenRange=597:603
117	seis	_	NUM	NUM	NumType=Card	118	nummod	_	TokenRange=604:608
118	sobreviventes	sobrevivente	NOUN	NOUN	_	115	obj	_	TokenRange=609:622
119	arias	_	NOUN	NOUN	_	118	appos	_	TokenRange=623:628
120	diz	dizer	VERB	VERB	_	7	conj	_	TokenRange=629:632
121-122	ao	_	_	_	_	_	_	_	TokenRange=633:635
121	a	a	ADP	ADP	_	123	case	_	_
122	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	123	det	_	_
123	entrevistador	entrevistador	NOUN	NOUN	_	120	iobj	_	TokenRange=636:649
124	uma	_	PRON	PRON	_	324	obj	_	TokenRange=650:653
125-126	das	_	_	_	_	_	_	_	TokenRange=654:657
125	de	de	ADP	ADP	_	127	case	_	_
126	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	127	det	_	_
127	coisas	coisa	NOUN	NOUN	_	124	nmod	_	TokenRange=658:664
128	importantes	importante	ADJ	ADJ	_	127	amod	_	TokenRange=665:676
129	e	e	CCONJ	CONJ	_	130	cc	_	TokenRange=677:678
130	saber	saber	VERB	VERB	_	103	conj	_	TokenRange=679:684
131	que	que	CCONJ	CONJ	_	135	mark	_	TokenRange=685:688
132	a	o	DET	DET	_	133	det	_	TokenRange=689:690
133	equipe	equipe	NOUN	NOUN	_	135	nsubj	_	TokenRange=691:697
134	esta	_	AUX	AUX	_	135	aux	_	TokenRange=698:702
135	usando	usar	VERB	VERB	_	130	ccomp	_	TokenRange=703:709
136	uma	um	DET	DET	_	137	det	_	TokenRange=710:713
137	linha	_	NOUN	NOUN	_	135	obj	_	TokenRange=714:719
138	aerea	aereo	ADJ	ADJ	_	137	amod	_	TokenRange=720:725
139	boliviana	boliviano	ADJ	ADJ	_	137	amod	_	TokenRange=726:735
140	para	_	ADP	ADP	_	141	mark	_	TokenRange=736:740
141	levalos	levalo	VERB	NOUN	_	135	nmod	_	TokenRange=741:748
142	ate	_	ADP	ADP	_	143	case	_	TokenRange=749:752
143	medellin	medellin	NOUN	NOUN	_	141	nmod	_	TokenRange=753:761
144	a	o	DET	DET	_	145	det	_	TokenRange=762:763
145	familia	familia	NOUN	NOUN	_	49	nsubj	_	TokenRange=764:771
146	de	de	ADP	ADP	_	147	case	_	TokenRange=772:774
147	sisy	_	NOUN	NOUN	_	145	nmod	_	TokenRange=775:779
148	esta	_	VERB	VERB	_	233	ccomp	_	TokenRange=780:784
149	devastada	devastado	ADJ	ADJ	_	148	xcomp	_	TokenRange=785:794
150	e	e	CCONJ	CONJ	_	151	cc	_	TokenRange=795:796
151	relatou	relatar	VERB	VERB	_	49	conj	_	TokenRange=797:804
152	que	que	CCONJ	CONJ	_	206	mark	_	TokenRange=805:808
153	suas	_	DET	DET	_	154	det:poss	_	TokenRange=809:813
154	vidas	vida	NOUN	NOUN	_	135	nsubj	_	TokenRange=814:819
155	nunca	nunca	ADV	ADV	_	212	advmod	_	TokenRange=820:825
156	mais	mais	ADV	ADV	_	212	advmod	_	TokenRange=826:830
157	serao	_	AUX	AUX	_	228	cop	_	TokenRange=831:836
158	as	o	DET	DET	_	159	det	_	TokenRange=837:839
159	mesmas	_	PRON	PRON	_	151	ccomp	_	TokenRange=840:846
160	o	o	DET	DET	_	161	det	_	TokenRange=847:848
161	irmao	irmao	NOUN	NOUN	_	239	nsubj	_	TokenRange=849:854
162	dela	_	X	ADPPRON	_	161	det:poss	_	TokenRange=855:859
163	declarou	declarar	VERB	VERB	_	233	ccomp	_	TokenRange=860:868
164	perdi	perder	VERB	VERB	_	239	xcomp	_	TokenRange=869:874
165	minha	_	DET	DET	_	166	det:poss	_	TokenRange=875:880
166	irma	irma	NOUN	NOUN	_	164	obj	_	TokenRange=881:885
167	para	para	ADP	ADP	_	169	case	_	TokenRange=886:890
168	o	o	DET	DET	_	169	det	_	TokenRange=891:892
169	resto	resto	NOUN	NOUN	_	164	nmod	_	TokenRange=893:898
170-171	da	_	_	_	_	_	_	_	TokenRange=899:901
170	de	de	ADP	ADP	_	173	case	_	_
171	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	173	det	_	_
172	minha	_	DET	DET	_	173	det:poss	_	TokenRange=902:907
173	vida	vida	NOUN	NOUN	_	169	nmod	_	TokenRange=908:912
174	nao	nao	ADV	ADV	Polarity=Neg	175	advmod	_	TokenRange=913:916
175	tenho	ter	VERB	VERB	_	49	conj	_	TokenRange=917:922
176	palavras	palavra	NOUN	NOUN	_	175	obj	_	TokenRange=923:931
177	para	_	ADP	ADP	_	178	mark	_	TokenRange=932:936
178	expressar	expressar	VERB	VERB	_	176	nmod	_	TokenRange=937:946
179	toda	_	DET	DET	_	181	det	_	TokenRange=947:951
180	a	o	DET	DET	_	181	det	_	TokenRange=952:953
181	dor	dor	NOUN	NOUN	_	178	obj	_	TokenRange=954:957
182	e	e	CCONJ	CONJ	_	291	cc	_	TokenRange=958:959
183	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	291	det	_	TokenRange=960:961
184	vazio	vazio	NOUN	NOUN	_	190	nsubj	_	TokenRange=962:967
185	que	_	PRON	PRON	_	186	obj	_	TokenRange=968:971
186	sinto	sentir	VERB	VERB	_	184	acl:relcl	_	TokenRange=972:977
187	voce	_	PRON	PRON	_	190	nsubj	_	TokenRange=978:982
188	era	_	AUX	AUX	_	190	cop	_	TokenRange=983:986
189	minha	_	DET	DET	_	190	det:poss	_	TokenRange=987:992
190	alma	alma	NOUN	NOUN	_	239	conj	_	TokenRange=993:997
191	gemea	gemeo	ADJ	ADJ	_	190	amod	_	TokenRange=998:1003
192	e	e	CCONJ	CONJ	_	194	cc	_	TokenRange=1004:1005
193	me	_	PRON	PRON	_	194	obj	_	TokenRange=1006:1008
194	deixou	deixar	VERB	VERB	_	135	conj	_	TokenRange=1009:1015
195	deixou	deixar	VERB	VERB	_	175	conj	_	TokenRange=1016:1022
196	tambem	tambem	ADV	ADV	_	195	advmod	_	TokenRange=1023:1029
197	todas	_	DET	DET	_	199	det	_	TokenRange=1030:1035
198	as	o	DET	DET	_	199	det	_	TokenRange=1036:1038
199	pessoas	pessoa	NOUN	NOUN	_	135	obj	_	TokenRange=1039:1046
200	que	_	PRON	PRON	_	202	obj	_	TokenRange=1047:1050
201	voce	_	PRON	PRON	_	202	nsubj	_	TokenRange=1051:1055
202	amou	amar	VERB	VERB	_	199	acl:relcl	_	TokenRange=1056:1060
203	voce	_	PRON	PRON	_	135	nsubj	_	TokenRange=1061:1065
204	foi	_	AUX	AUX	_	206	cop	_	TokenRange=1066:1069
205	a	o	DET	DET	_	206	det	_	TokenRange=1070:1071
206	pessoa	pessoa	NOUN	NOUN	_	7	conj	_	TokenRange=1072:1078
207	mais	mais	ADV	ADV	_	208	advmod	_	TokenRange=1079:1083
208	nobre	nobre	ADJ	ADJ	_	206	amod	_	TokenRange=1084:1089
209	que	_	PRON	PRON	_	212	obj	_	TokenRange=1090:1093
210	eu	_	PRON	PRON	_	212	nsubj	_	TokenRange=1094:1096
211	ja	ja	ADV	ADV	_	212	advmod	_	TokenRange=1097:1099
212	conheci	conhecer	VERB	VERB	_	206	acl:relcl	_	TokenRange=1100:1107
213	e	e	CCONJ	CONJ	_	214	cc	_	TokenRange=1108:1109
214	tenho	ter	VERB	VERB	_	49	conj	_	TokenRange=1110:1115
215	a	o	DET	DET	_	216	det	_	TokenRange=1116:1117
216	esperanca	esperanca	NOUN	NOUN	_	214	obj	_	TokenRange=1118:1127
217	de	_	ADP	ADP	_	218	mark	_	TokenRange=1128:1130
218	vela	vela	VERB	VERB	_	216	nmod	_	TokenRange=1131:1135
219	novamente	novamente	ADV	ADV	_	218	advmod	_	TokenRange=1136:1145
220	quando	_	CCONJ	CONJ	_	223	mark	_	TokenRange=1146:1152
221	deus	_	PRON	PRON	_	223	nsubj	_	TokenRange=1153:1157
222	me	_	PRON	PRON	_	223	iobj	_	TokenRange=1158:1160
223	chamar	chamar	VERB	VERB	_	135	advcl	_	TokenRange=1161:1167
224	eu	_	PRON	PRON	_	223	nsubj	_	TokenRange=1168:1170
225	te	_	PRON	PRON	_	228	nsubj	_	TokenRange=1171:1173
226	amo	amar	AUX	AUX	_	228	cop	_	TokenRange=1174:1177
227	querida	querido	ADJ	ADJ	_	228	amod	_	TokenRange=1178:1185
228	irma	irma	NOUN	NOUN	_	49	advcl	_	TokenRange=1186:1190
229	de	de	ADP	ADP	_	230	case	_	TokenRange=1191:1193
230	alma	alma	NOUN	NOUN	_	228	nmod	_	TokenRange=1194:1198
231	o	o	DET	DET	_	232	det	_	TokenRange=1199:1200
232	video	video	NOUN	NOUN	_	49	nsubj	_	TokenRange=1201:1206
233	mostra	mostrar	VERB	VERB	_	49	parataxis	_	TokenRange=1207:1213
234	como	como	ADV	ADV	_	239	advmod	_	TokenRange=1214:1218
235	todos	_	PRON	PRON	_	239	nsubj	_	TokenRange=1219:1224
236-237	da	_	_	_	_	_	_	_	TokenRange=1225:1227
236	de	de	ADP	ADP	_	238	case	_	_
237	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	238	det	_	_
238	equipe	equipe	NOUN	NOUN	_	235	nmod	_	TokenRange=1228:1234
239	estavam	estar	VERB	VERB	_	233	ccomp	_	TokenRange=1235:1242
240	animados	animado	ADJ	ADJ	_	239	xcomp	_	TokenRange=1243:1251
241	rindo	rir	VERB	VERB	_	239	acl	_	TokenRange=1252:1257
242	e	e	CCONJ	CONJ	_	243	cc	_	TokenRange=1258:1259
243	brincando	brincar	VERB	VERB	_	241	conj	_	TokenRange=1260:1269
244	juntos	junto	ADJ	ADJ	_	243	xcomp	_	TokenRange=1270:1276
245	o	o	DET	DET	_	246	det	_	TokenRange=1277:1278
246	jogo	jogo	NOUN	NOUN	_	258	nsubj	_	TokenRange=1279:1283
247	mais	mais	ADV	ADV	_	248	advmod	_	TokenRange=1284:1288
248	importante	importante	ADJ	ADJ	_	246	amod	_	TokenRange=1289:1299
249	de	de	ADP	ADP	_	251	case	_	TokenRange=1300:1302
250	suas	_	DET	DET	_	251	det:poss	_	TokenRange=1303:1307
251	vidas	vida	NOUN	NOUN	_	246	nmod	_	TokenRange=1308:1313
252	foi	_	AUX	AUX	_	253	aux:pass	_	TokenRange=1314:1317
253	interrompido	interromper	VERB	VERB	_	233	ccomp	_	TokenRange=1318:1330
254	devastadoramente	devastadoramente	ADV	ADV	_	258	advmod	_	TokenRange=1331:1347
255	apenas	apenas	ADV	ADV	_	256	advmod	_	TokenRange=1348:1354
256	tres	_	NUM	NUM	NumType=Card	257	nummod	_	TokenRange=1355:1359
257	jogadores	jogador	NOUN	NOUN	_	258	nsubj	_	TokenRange=1360:1369
258	sobreviveram	sobreviver	VERB	VERB	_	233	ccomp	_	TokenRange=1370:1382
259-260	ao	_	_	_	_	_	_	_	TokenRange=1383:1385
259	a	a	ADP	ADP	_	261	case	_	_
260	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	261	det	_	_
261	acidente	acidente	NOUN	NOUN	_	258	nmod	_	TokenRange=1386:1394
262	durante	_	ADP	ADP	_	264	case	_	TokenRange=1395:1402
263	a	o	DET	DET	_	264	det	_	TokenRange=1403:1404
264	entrevista	entrevista	NOUN	NOUN	_	258	nmod	_	TokenRange=1405:1415
265	o	o	DET	DET	_	266	det	_	TokenRange=1416:1417
266	treinador	treinador	NOUN	NOUN	_	269	nsubj	_	TokenRange=1418:1427
267	caio	_	NOUN	NOUN	_	266	appos	_	TokenRange=1428:1432
268	junior	_	ADJ	ADJ	_	267	flat	_	TokenRange=1433:1439
269	revelou	revelar	VERB	VERB	_	233	parataxis	_	TokenRange=1440:1447
270	a	o	DET	DET	_	271	det	_	TokenRange=1448:1449
271	alegria	alegria	NOUN	NOUN	_	269	obj	_	TokenRange=1450:1457
272	que	_	PRON	PRON	_	273	obj	_	TokenRange=1458:1461
273	sentia	sentir	VERB	VERB	_	271	acl:relcl	_	TokenRange=1462:1468
274	com	com	ADP	ADP	_	276	case	_	TokenRange=1469:1472
275	sua	_	DET	DET	_	276	det:poss	_	TokenRange=1473:1476
276	equipe	equipe	NOUN	NOUN	_	273	nmod	_	TokenRange=1477:1483
277	era	_	AUX	AUX	_	280	cop	_	TokenRange=1484:1487
278	quase	quase	ADV	ADV	_	256	advmod	_	TokenRange=1488:1493
279	um	um	NUM	NUM	NumType=Card	280	nummod	_	TokenRange=1494:1496
280	conto	conto	NOUN	NOUN	_	269	ccomp	_	TokenRange=1497:1502
281	de	de	ADP	ADP	_	282	case	_	TokenRange=1503:1505
282	fadas	fada	NOUN	NOUN	_	280	nmod	_	TokenRange=1506:1511
283	estamos	estar	VERB	VERB	_	280	acl:relcl	_	TokenRange=1512:1519
284	muito	muito	ADV	ADV	_	285	advmod	_	TokenRange=1520:1525
285	orgulhosos	orgulhoso	ADJ	ADJ	_	283	xcomp	_	TokenRange=1526:1536
286	de	_	ADP	ADP	_	287	mark	_	TokenRange=1537:1539
287	representar	representar	VERB	VERB	_	285	nmod	_	TokenRange=1540:1551
288	o	o	DET	DET	_	289	det	_	TokenRange=1552:1553
289	brasil	brasil	NOUN	NOUN	_	287	obj	_	TokenRange=1554:1560
290	e	e	CCONJ	CONJ	_	291	cc	_	TokenRange=1561:1562
291	chegar	chegar	VERB	VERB	_	287	conj	_	TokenRange=1563:1569
292	a	_	ADP	ADP	_	293	case	_	TokenRange=1570:1571
293	final	final	NOUN	NOUN	_	291	nmod	_	TokenRange=1572:1577
294-295	do	_	_	_	_	_	_	_	TokenRange=1578:1580
294	de	de	ADP	ADP	_	296	case	_	_
295	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	296	det	_	_
296	torneio	torneio	NOUN	NOUN	_	293	nmod	_	TokenRange=1581:1588
297	principalmente	principalmente	ADV	ADV	_	300	advmod	_	TokenRange=1589:1603
298	porque	_	CCONJ	CONJ	_	300	mark	_	TokenRange=1604:1610
299	estamos	estar	AUX	AUX	_	300	aux	_	TokenRange=1611:1618
300	representando	representar	VERB	VERB	_	291	advcl	_	TokenRange=1619:1632
301	as	o	DET	DET	_	302	det	_	TokenRange=1633:1635
302	equipes	equipe	NOUN	NOUN	_	300	obj	_	TokenRange=1636:1643
303	pequenas	pequeno	ADJ	ADJ	_	302	amod	_	TokenRange=1644:1652
304-305	do	_	_	_	_	_	_	_	TokenRange=1653:1655
304	de	de	ADP	ADP	_	306	case	_	_
305	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	306	det	_	_
306	brasil	brasil	NOUN	NOUN	_	302	nmod	_	TokenRange=1656:1662
307	isso	_	PRON	PRON	_	324	nsubj	_	TokenRange=1663:1667
308-309	nos	_	_	_	_	_	_	_	TokenRange=1668:1671
308	em	em	ADP	ADP	_	312	case	_	_
309	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	300	det	_	_
310-311	da	_	_	_	_	_	_	_	TokenRange=1672:1674
310	de	de	ADP	ADP	_	312	case	_	_
311	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	312	det	_	_
312	forca	forca	NOUN	NOUN	_	309	nmod	_	TokenRange=1675:1680
313	e	e	CCONJ	CONJ	_	314	cc	_	TokenRange=1681:1682
314	orgulho	orgulho	NOUN	NOUN	_	309	conj	_	TokenRange=1683:1690
315	passar	passar	VERB	VERB	_	314	csubj	_	TokenRange=1691:1697
