# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = viralizou fisiculturista percebe que esta sendo filmado e tira a maior onda dentro de supermercado diante de um mundo tao negativo e conflituoso eis que um fisiculturista norteamericano decidiu se divertir diante de uma situacao digamos um pouco constrangedora percebendo que uma das cameras do circuito interno de um supermercado estava se movendo e acompanhando seus movimentos o homem decidiu se vingar da perseguicao eletronica e trollou toda a equipe de seguranca do estabelecimento ele poderia ter feito o maior escandalo acusar o supermercado de racismo dizer que o espionavam pelo fato dele ser negro enfim aquele mimimi que a nova geracao costuma fazer mas nao ele simplesmente surpreendeu a todos o video foi postado na ultima quintafeira 10 e ainda nao sabemos o nome do fisiculturista bemhumorado precisamos de mais pessoas assim que saibam lidar com as chateacoes do dia a dia como dizia charles darwin nao e o mais forte que sobrevive nem o mais inteligente mas o que melhor se adapta as mudancas
1	viralizou	viralizar	VERB	VERB	_	0	root	_	TokenRange=0:9
80	poderia	poder	AUX	AUX	_	82	aux	_	TokenRange=492:499
81	ter	ter	AUX	AUX	_	82	aux	_	TokenRange=500:503
82	feito	_	VERB	VERB	_	62	conj	_	TokenRange=504:509
83	o	o	DET	DET	_	85	det	_	TokenRange=510:511
84	maior	maior	ADJ	ADJ	_	85	amod	_	TokenRange=512:517
85	escandalo	escandalo	NOUN	NOUN	_	82	obj	_	TokenRange=518:527
86	acusar	acusar	VERB	VERB	_	160	csubj	_	TokenRange=528:534
87	o	o	DET	DET	_	88	det	_	TokenRange=535:536
88	supermercado	supermercado	NOUN	NOUN	_	86	obj	_	TokenRange=537:549
89	de	de	ADP	ADP	_	78	case	_	TokenRange=550:552
90	racismo	racismo	NOUN	NOUN	_	162	nmod	_	TokenRange=553:560
91	dizer	dizer	VERB	VERB	_	86	ccomp	_	TokenRange=561:566
92	que	que	CCONJ	CONJ	_	94	mark	_	TokenRange=567:570
93	o	_	PRON	PRON	_	94	obj	_	TokenRange=571:572
94	espionavam	espionar	VERB	VERB	_	91	ccomp	_	TokenRange=573:583
95-96	pelo	_	_	_	_	_	_	_	TokenRange=584:588
95	por	por	ADP	ADP	_	97	case	_	_
96	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	97	det	_	_
97	fato	fato	NOUN	NOUN	_	94	nmod	_	TokenRange=589:593
98	dele	_	X	ADPPRON	_	99	mark	_	TokenRange=594:598
99	ser	ser	VERB	VERB	_	94	advcl	_	TokenRange=599:602
100	negro	negro	ADJ	ADJ	_	99	xcomp	_	TokenRange=603:608
101	enfim	enfim	ADV	ADV	_	103	advmod	_	TokenRange=609:614
102	aquele	_	DET	DET	_	103	det	_	TokenRange=615:621
103	mimimi	_	NOUN	NOUN	_	94	obj	_	TokenRange=622:628
104	que	_	PRON	PRON	_	109	obj	_	TokenRange=629:632
105	a	o	DET	DET	_	107	det	_	TokenRange=633:634
106	nova	novo	ADJ	ADJ	_	107	amod	_	TokenRange=635:639
107	geracao	geracao	NOUN	NOUN	_	109	nsubj	_	TokenRange=640:647
108	costuma	costumar	AUX	AUX	_	109	aux	_	TokenRange=648:655
109	fazer	fazer	VERB	VERB	_	103	acl:relcl	_	TokenRange=656:661
110	mas	mas	CCONJ	CONJ	_	114	cc	_	TokenRange=662:665
111	nao	nao	ADV	ADV	Polarity=Neg	129	advmod	_	TokenRange=666:669
112	ele	_	PRON	PRON	_	114	nsubj	_	TokenRange=670:673
113	simplesmente	simplesmente	ADV	ADV	_	114	advmod	_	TokenRange=674:686
114	surpreendeu	surpreender	VERB	VERB	_	29	conj	_	TokenRange=687:698
115	a	_	ADP	ADP	_	38	case	_	TokenRange=699:700
116	todos	_	PRON	PRON	_	114	nmod	_	TokenRange=701:706
117	o	o	DET	DET	_	118	det	_	TokenRange=707:708
118	video	video	NOUN	NOUN	_	114	obj	_	TokenRange=709:714
119	foi	_	AUX	AUX	_	120	aux:pass	_	TokenRange=715:718
120	postado	postar	VERB	VERB	_	40	ccomp	_	TokenRange=719:726
121-122	na	_	_	_	_	_	_	_	TokenRange=727:729
121	em	em	ADP	ADP	_	124	case	_	_
122	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	124	det	_	_
123	ultima	_	ADJ	ADJ	_	124	amod	_	TokenRange=730:736
124	quintafeira	_	PROPN	PNOUN	_	120	nmod	_	TokenRange=737:748
125	10	_	NUM	NUM	NumType=Card	124	appos	_	TokenRange=749:751
126	e	e	CCONJ	CONJ	_	129	cc	_	TokenRange=752:753
127	ainda	ainda	ADV	ADV	_	129	advmod	_	TokenRange=754:759
128	nao	nao	ADV	ADV	Polarity=Neg	129	advmod	_	TokenRange=760:763
129	sabemos	saber	VERB	VERB	_	120	conj	_	TokenRange=764:771
130	o	o	DET	DET	_	131	det	_	TokenRange=772:773
131	nome	nome	NOUN	NOUN	_	129	obj	_	TokenRange=774:778
132-133	do	_	_	_	_	_	_	_	TokenRange=779:781
132	de	de	ADP	ADP	_	134	case	_	_
133	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	134	det	_	_
134	fisiculturista	fisiculturista	NOUN	NOUN	_	131	nmod	_	TokenRange=782:796
135	bemhumorado	bemhumorado	VERB	VERB	_	134	acl	_	TokenRange=797:808
136	precisamos	precisar	VERB	VERB	_	120	conj	_	TokenRange=809:819
137	de	de	ADP	ADP	_	139	case	_	TokenRange=820:822
138	mais	_	DET	DET	_	139	det	_	TokenRange=823:827
139	pessoas	pessoa	NOUN	NOUN	_	136	nmod	_	TokenRange=828:835
140	assim	assim	ADV	ADV	_	142	mark	_	TokenRange=836:841
141	que	_	CCONJ	CONJ	_	140	fixed	_	TokenRange=842:845
142	saibam	saber	VERB	VERB	_	136	advcl	_	TokenRange=846:852
143	lidar	lidar	VERB	VERB	_	142	xcomp	_	TokenRange=853:858
144	com	com	ADP	ADP	_	146	case	_	TokenRange=859:862
145	as	o	DET	DET	_	146	det	_	TokenRange=863:865
146	chateacoes	chateacoe	NOUN	NOUN	_	143	nmod	_	TokenRange=866:876
147-148	do	_	_	_	_	_	_	_	TokenRange=877:879
147	de	de	ADP	ADP	_	149	case	_	_
148	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	149	det	_	_
149	dia	dia	NOUN	NOUN	_	146	nmod	_	TokenRange=880:883
150	a	_	ADP	ADP	_	151	case	_	TokenRange=884:885
151	dia	dia	NOUN	NOUN	_	149	nmod	_	TokenRange=886:889
152	como	_	CCONJ	CONJ	_	153	mark	_	TokenRange=890:894
153	dizia	dizer	VERB	VERB	_	62	advcl	_	TokenRange=895:900
154	charles	_	PROPN	PNOUN	_	153	nsubj	_	TokenRange=901:908
155	darwin	_	PROPN	PNOUN	_	154	flat	_	TokenRange=909:915
156	nao	nao	ADV	ADV	_	160	advmod	_	TokenRange=916:919
157	e	e	CCONJ	CONJ	_	160	cc	_	TokenRange=920:921
158	o	o	DET	DET	_	160	det	_	TokenRange=922:923
159	mais	mais	ADV	ADV	_	160	advmod	_	TokenRange=924:928
160	forte	forte	ADJ	ADJ	_	62	xcomp	_	TokenRange=929:934
161	que	_	PRON	PRON	_	162	nsubj	_	TokenRange=935:938
162	sobrevive	sobreviver	VERB	VERB	_	160	acl:relcl	_	TokenRange=939:948
163	nem	_	CCONJ	CONJ	_	166	cc	_	TokenRange=949:952
164	o	o	DET	DET	_	166	det	_	TokenRange=953:954
165	mais	mais	ADV	ADV	_	166	advmod	_	TokenRange=955:959
166	inteligente	inteligente	ADJ	ADJ	_	162	conj	_	TokenRange=960:971
167	mas	mas	CCONJ	CONJ	_	168	cc	_	TokenRange=972:975
168	o	_	PRON	PRON	_	160	conj	_	TokenRange=976:977
169	que	_	PRON	PRON	_	172	nsubj	_	TokenRange=978:981
170	melhor	melhor	ADV	ADV	_	172	advmod	_	TokenRange=982:988
171	se	_	PRON	PRON	_	172	obj	_	TokenRange=989:991
172	adapta	adaptar	VERB	VERB	_	168	acl:relcl	_	TokenRange=992:998
173	as	_	ADP	ADP	_	174	case	_	TokenRange=999:1001
174	mudancas	mudanca	NOUN	NOUN	_	172	nmod	_	TokenRange=1002:1010

