# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acharam o lula ele ficou com dor de barriga apos a chegada da pf no senado a policia federal chegou no senado para reforcar a seguranca e lula desapareceu mas calma encontraram o petista ele estava no wc alguem foi ate o banheiro e avisou o expresidente que ele poderia sair e permanecer no recinto sem ter medo tentando disfarcar o petista comecou a esfregar as maos na barriga para demonstrar que ele estava um pouco indisposto que dor de barriga hein lula que susto
1	acharam	achar	VERB	VERB	_	0	root	_	TokenRange=0:7
36	o	o	DET	DET	_	37	det	_	TokenRange=177:178
37	petista	petista	NOUN	NOUN	_	35	obj	_	TokenRange=179:186
38	ele	_	PRON	PRON	_	39	nsubj	_	TokenRange=187:190
39	estava	estar	VERB	VERB	_	37	acl:relcl	_	TokenRange=191:197
40-41	no	_	_	_	_	_	_	_	TokenRange=198:200
40	em	em	ADP	ADP	_	42	case	_	_
41	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	42	det	_	_
42	wc	_	NOUN	NOUN	_	39	nmod	_	TokenRange=201:203
43	alguem	_	PRON	PRON	_	44	nsubj	_	TokenRange=204:210
44	foi	_	VERB	VERB	_	39	conj	_	TokenRange=211:214
45	ate	_	ADP	ADP	_	47	case	_	TokenRange=215:218
46	o	o	DET	DET	_	47	det	_	TokenRange=219:220
47	banheiro	banheiro	NOUN	NOUN	_	44	nmod	_	TokenRange=221:229
48	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=230:231
49	avisou	avisar	VERB	VERB	_	44	conj	_	TokenRange=232:238
50	o	o	DET	DET	_	51	det	_	TokenRange=239:240
51	expresidente	expresidente	NOUN	NOUN	_	49	obj	_	TokenRange=241:253
52	que	que	CCONJ	CONJ	_	55	mark	_	TokenRange=254:257
53	ele	_	PRON	PRON	_	55	nsubj	_	TokenRange=258:261
54	poderia	poder	AUX	AUX	_	55	aux	_	TokenRange=262:269
55	sair	sair	VERB	VERB	_	49	ccomp	_	TokenRange=270:274
56	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=275:276
57	permanecer	permanecer	VERB	VERB	_	55	conj	_	TokenRange=277:287
58-59	no	_	_	_	_	_	_	_	TokenRange=288:290
58	em	em	ADP	ADP	_	60	case	_	_
59	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	60	det	_	_
60	recinto	recinto	NOUN	NOUN	_	57	nmod	_	TokenRange=291:298
61	sem	_	ADP	ADP	_	62	mark	_	TokenRange=299:302
62	ter	ter	VERB	VERB	_	70	advcl	_	TokenRange=303:306
63	medo	medo	NOUN	NOUN	_	62	obj	_	TokenRange=307:311
64	tentando	tentar	VERB	VERB	_	62	acl	_	TokenRange=312:320
65	disfarcar	disfarcar	VERB	VERB	_	64	xcomp	_	TokenRange=321:330
66	o	o	DET	DET	_	67	det	_	TokenRange=331:332
67	petista	petista	NOUN	NOUN	_	70	nsubj	_	TokenRange=333:340
68	comecou	comecar	AUX	AUX	_	70	aux	_	TokenRange=341:348
69	a	_	ADP	ADP	_	70	mark	_	TokenRange=349:350
70	esfregar	esfregar	VERB	VERB	_	1	conj	_	TokenRange=351:359
71	as	o	DET	DET	_	72	det	_	TokenRange=360:362
72	maos	mao	NOUN	NOUN	_	70	obj	_	TokenRange=363:367
73-74	na	_	_	_	_	_	_	_	TokenRange=368:370
73	em	em	ADP	ADP	_	75	case	_	_
74	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	75	det	_	_
75	barriga	barriga	NOUN	NOUN	_	70	nmod	_	TokenRange=371:378
76	para	_	ADP	ADP	_	77	mark	_	TokenRange=379:383
77	demonstrar	demonstrar	VERB	VERB	_	70	advcl	_	TokenRange=384:394
78	que	que	CCONJ	CONJ	_	80	mark	_	TokenRange=395:398
79	ele	_	PRON	PRON	_	80	nsubj	_	TokenRange=399:402
80	estava	estar	VERB	VERB	_	77	ccomp	_	TokenRange=403:409
81	um	um	DET	DET	_	82	det	_	TokenRange=410:412
82	pouco	pouco	NOUN	NOUN	_	83	nmod	_	TokenRange=413:418
83	indisposto	indisposto	ADJ	ADJ	_	80	xcomp	_	TokenRange=419:429
84	que	que	CCONJ	CONJ	_	91	mark	_	TokenRange=430:433
85	dor	dor	NOUN	NOUN	_	91	nsubj	_	TokenRange=434:437
86	de	de	ADP	ADP	_	87	case	_	TokenRange=438:440
87	barriga	barriga	NOUN	NOUN	_	85	nmod	_	TokenRange=441:448
88	hein	_	VERB	VERB	_	77	ccomp	_	TokenRange=449:453
89	lula	_	NOUN	NOUN	_	91	obj	_	TokenRange=454:458
90	que	que	PRON	CONJ	_	91	obj	_	TokenRange=459:462
91	susto	sustar	VERB	VERB	_	88	ccomp	_	TokenRange=463:468

