# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = assista o processo de fabricacao das salsichas voce nunca mais vai comer esse lixo a salsicha usada em cachorrosquentes e varias receitas populares e feita em linhas de producao automatizadas a coisa mais importante que voce precisa saber e que as salsichas sao feitas com restos de carnes diversas que sao descartadas na producao de outros alimentos a industria chama esses restos de aparas na verdade e uma nomeacao educada para se referir as cartilagens a gordura e as outras miudezas que sobram das carcacas de vacas porcos e aves como carne de cabeca pescoco patas de animais peles sangue figado e demais produtos comestiveis do abate as fabricas entao usam essas aparas precozidas em temperaturas entre 65c e 90c dependendo do tamanho da carcaca ou do tipo da carne em questao essa especie de fervura tambem serve para ajudar a eliminar os diferentes tipos de bacterias que proliferam nesses pedacos descartados a proxima etapa da fabricacao das salsichas para cachorroquente e ainda pior consiste em fazer uma especie de massa de carne a partir da mistura de alguns produtos com a carne que foi moida sal temperos amido alem de agua e xarope de milho sao alguns desses produtos acrescentados a receita o excesso de liquidos da massa e sugado e a carne comeca a tomar a forma que conhecemos em embalagens de celulose na maioria das vezes na etapa final o produto esta praticamente pronto e precisa apenas passar pela defumacao video 1 video 2 leia tambem
1	assista	assistir	VERB	VERB	_	0	root	_	TokenRange=0:7
96	carne	carne	NOUN	NOUN	_	234	nmod	_	TokenRange=540:545
97	de	de	ADP	ADP	_	98	case	_	TokenRange=546:548
98	cabeca	cabeca	NOUN	NOUN	_	96	nmod	_	TokenRange=549:555
99	pescoco	pescoco	NOUN	NOUN	_	96	appos	_	TokenRange=556:563
100	patas	pata	NOUN	NOUN	_	99	appos	_	TokenRange=564:569
101	de	de	ADP	ADP	_	102	case	_	TokenRange=570:572
102	animais	animal	NOUN	NOUN	_	100	nmod	_	TokenRange=573:580
103	peles	pele	ADJ	ADJ	_	104	amod	_	TokenRange=581:586
104	sangue	sangue	NOUN	NOUN	_	99	appos	_	TokenRange=587:593
105	figado	figado	ADJ	ADJ	_	104	amod	_	TokenRange=594:600
106	e	e	CCONJ	CONJ	_	108	cc	_	TokenRange=601:602
107	demais	_	DET	DET	_	108	det	_	TokenRange=603:609
108	produtos	produto	NOUN	NOUN	_	78	conj	_	TokenRange=610:618
109	comestiveis	comestivel	ADJ	ADJ	_	108	amod	_	TokenRange=619:630
110-111	do	_	_	_	_	_	_	_	TokenRange=631:633
110	de	de	ADP	ADP	_	112	case	_	_
111	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	112	det	_	_
112	abate	abate	NOUN	NOUN	_	108	nmod	_	TokenRange=634:639
113	as	o	DET	DET	_	114	det	_	TokenRange=640:642
114	fabricas	fabrica	NOUN	NOUN	_	116	nsubj	_	TokenRange=643:651
115	entao	entao	ADV	ADV	_	116	advmod	_	TokenRange=652:657
116	usam	usar	VERB	VERB	_	84	acl:relcl	_	TokenRange=658:662
117	essas	_	DET	DET	_	118	det	_	TokenRange=663:668
118	aparas	apara	NOUN	NOUN	_	116	obj	_	TokenRange=669:675
119	precozidas	precozido	ADJ	ADJ	_	118	amod	_	TokenRange=676:686
120	em	em	ADP	ADP	_	121	case	_	TokenRange=687:689
121	temperaturas	temperatura	NOUN	NOUN	_	119	nmod	_	TokenRange=690:702
122	entre	_	ADP	ADP	_	123	case	_	TokenRange=703:708
123	65c	_	NUM	NUM	NumType=Card	121	nmod	_	TokenRange=709:712
124	e	e	CCONJ	CONJ	_	125	cc	_	TokenRange=713:714
125	90c	_	NUM	NUM	NumType=Card	123	conj	_	TokenRange=715:718
126	dependendo	depender	VERB	VERB	_	251	acl	_	TokenRange=719:729
127-128	do	_	_	_	_	_	_	_	TokenRange=730:732
127	de	de	ADP	ADP	_	129	case	_	_
128	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	129	det	_	_
129	tamanho	tamanho	NOUN	NOUN	_	126	nmod	_	TokenRange=733:740
130-131	da	_	_	_	_	_	_	_	TokenRange=741:743
130	de	de	ADP	ADP	_	132	case	_	_
131	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	132	det	_	_
132	carcaca	carcaca	NOUN	NOUN	_	129	nmod	_	TokenRange=744:751
133	ou	ou	CCONJ	CONJ	_	136	cc	_	TokenRange=752:754
134-135	do	_	_	_	_	_	_	_	TokenRange=755:757
134	de	de	ADP	ADP	_	136	case	_	_
135	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	136	det	_	_
136	tipo	tipo	NOUN	NOUN	_	132	conj	_	TokenRange=758:762
137-138	da	_	_	_	_	_	_	_	TokenRange=763:765
137	de	de	ADP	ADP	_	139	case	_	_
138	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	139	det	_	_
139	carne	carne	NOUN	NOUN	_	136	nmod	_	TokenRange=766:771
140	em	em	ADP	ADP	_	141	case	_	TokenRange=772:774
141	questao	questao	NOUN	NOUN	_	139	nmod	_	TokenRange=775:782
142	essa	_	DET	DET	_	143	det	_	TokenRange=783:787
143	especie	especie	NOUN	NOUN	_	147	nsubj	_	TokenRange=788:795
144	de	de	ADP	ADP	_	145	case	_	TokenRange=796:798
145	fervura	fervura	NOUN	NOUN	_	143	nmod	_	TokenRange=799:806
146	tambem	tambem	ADV	ADV	_	147	advmod	_	TokenRange=807:813
147	serve	servir	VERB	VERB	_	1	parataxis	_	TokenRange=814:819
148	para	_	ADP	ADP	_	149	mark	_	TokenRange=820:824
149	ajudar	ajudar	VERB	VERB	_	147	nmod	_	TokenRange=825:831
150	a	_	ADP	ADP	_	151	mark	_	TokenRange=832:833
151	eliminar	eliminar	VERB	VERB	_	149	nmod	_	TokenRange=834:842
152	os	o	DET	DET	_	154	det	_	TokenRange=843:845
153	diferentes	_	DET	DET	_	154	det	_	TokenRange=846:856
154	tipos	tipo	NOUN	NOUN	_	151	obj	_	TokenRange=857:862
155	de	de	ADP	ADP	_	156	case	_	TokenRange=863:865
156	bacterias	bacteria	NOUN	NOUN	_	154	nmod	_	TokenRange=866:875
157	que	_	PRON	PRON	_	158	nsubj	_	TokenRange=876:879
158	proliferam	proliferar	VERB	VERB	_	154	acl:relcl	_	TokenRange=880:890
159	nesses	_	ADP	ADP	_	160	case	_	TokenRange=891:897
160	pedacos	pedaco	NOUN	NOUN	_	158	nmod	_	TokenRange=898:905
161	descartados	descartar	VERB	VERB	_	160	acl	_	TokenRange=906:917
162	a	o	DET	DET	_	164	det	_	TokenRange=918:919
163	proxima	proximo	ADJ	ADJ	_	164	amod	_	TokenRange=920:927
164	etapa	etapa	NOUN	NOUN	_	147	nsubj	_	TokenRange=928:933
165-166	da	_	_	_	_	_	_	_	TokenRange=934:936
165	de	de	ADP	ADP	_	167	case	_	_
166	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	167	det	_	_
167	fabricacao	fabricacao	NOUN	NOUN	_	164	nmod	_	TokenRange=937:947
168-169	das	_	_	_	_	_	_	_	TokenRange=948:951
168	de	de	ADP	ADP	_	170	case	_	_
169	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	170	det	_	_
170	salsichas	salsicha	NOUN	NOUN	_	167	nmod	_	TokenRange=952:961
171	para	para	ADP	ADP	_	172	case	_	TokenRange=962:966
172	cachorroquente	cachorroquente	NOUN	NOUN	_	170	nmod	_	TokenRange=967:981
173	e	e	CCONJ	CONJ	_	175	cc	_	TokenRange=982:983
174	ainda	ainda	ADV	ADV	_	175	advmod	_	TokenRange=984:989
175	pior	pior	ADJ	ADJ	_	172	conj	_	TokenRange=990:994
176	consiste	consistir	VERB	VERB	_	33	acl:relcl	_	TokenRange=995:1003
177	em	_	ADP	ADP	_	178	mark	_	TokenRange=1004:1006
178	fazer	fazer	VERB	VERB	_	176	nmod	_	TokenRange=1007:1012
179	uma	um	DET	DET	_	180	det	_	TokenRange=1013:1016
180	especie	especie	NOUN	NOUN	_	178	obj	_	TokenRange=1017:1024
181	de	de	ADP	ADP	_	182	case	_	TokenRange=1025:1027
182	massa	massa	NOUN	NOUN	_	180	nmod	_	TokenRange=1028:1033
183	de	de	ADP	ADP	_	184	case	_	TokenRange=1034:1036
184	carne	carne	NOUN	NOUN	_	182	nmod	_	TokenRange=1037:1042
185	a	_	ADP	ADP	_	186	mark	_	TokenRange=1043:1044
186	partir	partir	VERB	VERB	_	45	nmod	_	TokenRange=1045:1051
187-188	da	_	_	_	_	_	_	_	TokenRange=1052:1054
187	de	de	ADP	ADP	_	189	case	_	_
188	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	189	det	_	_
189	mistura	mistura	NOUN	NOUN	_	186	nmod	_	TokenRange=1055:1062
190	de	de	ADP	ADP	_	192	case	_	TokenRange=1063:1065
191	alguns	_	DET	DET	_	192	det	_	TokenRange=1066:1072
192	produtos	produto	NOUN	NOUN	_	189	nmod	_	TokenRange=1073:1081
193	com	com	ADP	ADP	_	195	case	_	TokenRange=1082:1085
194	a	o	DET	DET	_	195	det	_	TokenRange=1086:1087
195	carne	carne	NOUN	NOUN	_	192	nmod	_	TokenRange=1088:1093
196	que	_	PRON	PRON	_	198	nsubj:pass	_	TokenRange=1094:1097
197	foi	_	AUX	AUX	_	198	aux:pass	_	TokenRange=1098:1101
198	moida	moer	VERB	VERB	_	195	acl:relcl	_	TokenRange=1102:1107
199	sal	sal	NOUN	NOUN	_	53	nsubj:pass	_	TokenRange=1108:1111
200	temperos	tempero	NOUN	NOUN	_	199	flat	_	TokenRange=1112:1120
201	amido	amido	NOUN	NOUN	_	199	appos	_	TokenRange=1121:1126
202	alem	alem	ADV	ADV	_	62	advmod	_	TokenRange=1127:1131
203	de	de	ADP	ADP	_	204	case	_	TokenRange=1132:1134
204	agua	agua	NOUN	NOUN	_	202	nmod	_	TokenRange=1135:1139
205	e	e	CCONJ	CONJ	_	206	cc	_	TokenRange=1140:1141
206	xarope	xarope	NOUN	NOUN	_	204	conj	_	TokenRange=1142:1148
207	de	de	ADP	ADP	_	208	case	_	TokenRange=1149:1151
208	milho	milho	NOUN	NOUN	_	206	nmod	_	TokenRange=1152:1157
209	sao	_	AUX	AUX	_	210	cop	_	TokenRange=1158:1161
210	alguns	_	PRON	PRON	_	62	parataxis	_	TokenRange=1162:1168
211	desses	_	ADP	ADP	_	212	case	_	TokenRange=1169:1175
212	produtos	produto	NOUN	NOUN	_	210	nmod	_	TokenRange=1176:1184
213	acrescentados	acrescentar	VERB	VERB	_	212	acl	_	TokenRange=1185:1198
214	a	_	ADP	ADP	_	215	case	_	TokenRange=1199:1200
215	receita	receita	NOUN	NOUN	_	213	nmod	_	TokenRange=1201:1208
216	o	o	DET	DET	_	217	det	_	TokenRange=1209:1210
217	excesso	excesso	NOUN	NOUN	_	210	nsubj	_	TokenRange=1211:1218
218	de	de	ADP	ADP	_	219	case	_	TokenRange=1219:1221
219	liquidos	liquido	NOUN	NOUN	_	217	nmod	_	TokenRange=1222:1230
220-221	da	_	_	_	_	_	_	_	TokenRange=1231:1233
220	de	de	ADP	ADP	_	222	case	_	_
221	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	222	det	_	_
222	massa	massa	NOUN	NOUN	_	219	nmod	_	TokenRange=1234:1239
223	e	e	CCONJ	CONJ	_	224	cc	_	TokenRange=1240:1241
224	sugado	sugado	ADJ	ADJ	_	213	conj	_	TokenRange=1242:1248
225	e	e	CCONJ	CONJ	_	230	cc	_	TokenRange=1249:1250
226	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	230	det	_	TokenRange=1251:1252
227	carne	carne	NOUN	NOUN	_	230	nsubj	_	TokenRange=1253:1258
228	comeca	comecar	AUX	AUX	_	230	aux	_	TokenRange=1259:1265
229	a	_	ADP	ADP	_	230	mark	_	TokenRange=1266:1267
230	tomar	tomar	VERB	VERB	_	210	conj	_	TokenRange=1268:1273
231	a	o	DET	DET	_	232	det	_	TokenRange=1274:1275
232	forma	forma	NOUN	NOUN	_	230	obj	_	TokenRange=1276:1281
233	que	_	PRON	PRON	_	234	obj	_	TokenRange=1282:1285
234	conhecemos	conhecer	VERB	VERB	_	232	acl:relcl	_	TokenRange=1286:1296
235	em	em	ADP	ADP	_	236	case	_	TokenRange=1297:1299
236	embalagens	embalagem	NOUN	NOUN	_	234	nmod	_	TokenRange=1300:1310
237	de	de	ADP	ADP	_	238	case	_	TokenRange=1311:1313
238	celulose	celulose	NOUN	NOUN	_	236	nmod	_	TokenRange=1314:1322
239-240	na	_	_	_	_	_	_	_	TokenRange=1323:1325
239	em	em	ADP	ADP	_	241	case	_	_
240	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	241	det	_	_
241	maioria	maioria	NOUN	NOUN	_	234	nmod	_	TokenRange=1326:1333
242-243	das	_	_	_	_	_	_	_	TokenRange=1334:1337
242	de	de	ADP	ADP	_	244	case	_	_
243	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	244	det	_	_
244	vezes	vez	NOUN	NOUN	_	241	nmod	_	TokenRange=1338:1343
245-246	na	_	_	_	_	_	_	_	TokenRange=1344:1346
245	em	em	ADP	ADP	_	247	case	_	_
246	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	247	det	_	_
247	etapa	etapa	NOUN	NOUN	_	251	nmod	_	TokenRange=1347:1352
248	final	final	ADJ	ADJ	_	247	amod	_	TokenRange=1353:1358
249	o	o	DET	DET	_	250	det	_	TokenRange=1359:1360
250	produto	produto	NOUN	NOUN	_	251	nsubj	_	TokenRange=1361:1368
251	esta	_	VERB	VERB	_	230	parataxis	_	TokenRange=1369:1373
252	praticamente	praticamente	ADV	ADV	_	253	advmod	_	TokenRange=1374:1386
253	pronto	pronto	ADJ	ADJ	_	251	xcomp	_	TokenRange=1387:1393
254	e	e	CCONJ	CONJ	_	255	cc	_	TokenRange=1394:1395
255	precisa	precisar	VERB	VERB	_	251	conj	_	TokenRange=1396:1403
256	apenas	apenas	ADV	ADV	_	257	advmod	_	TokenRange=1404:1410
257	passar	passar	VERB	VERB	_	255	xcomp	_	TokenRange=1411:1417
258-259	pela	_	_	_	_	_	_	_	TokenRange=1418:1422
258	por	por	ADP	ADP	_	260	case	_	_
259	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	260	det	_	_
260	defumacao	_	NOUN	NOUN	_	257	nmod	_	TokenRange=1423:1432
261	video	video	NOUN	NOUN	_	151	appos	_	TokenRange=1433:1438
262	1	_	NUM	NUM	NumType=Card	261	appos	_	TokenRange=1439:1440
263	video	video	NOUN	NOUN	_	265	nsubj	_	TokenRange=1441:1446
264	2	_	NUM	NUM	NumType=Card	263	appos	_	TokenRange=1447:1448
265	leia	ler	VERB	VERB	_	251	conj	_	TokenRange=1449:1453
266	tambem	tambem	ADV	ADV	_	265	advmod	_	TokenRange=1454:1460

