# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = no gabinete dilma perde o controle emocional e xinga delcidio mentiroso fdp dilma rousseff convocou quatro de seus principais assessores para uma reuniao de emergencia em seu gabinete e estava com os nervos a flor da pele dilma andou de um lado para o outro bateu sobre a mesa xingou delcidio do amaral ptms e ordenou a divulgacao de uma nota diante dos ministros jaques wagner casa civil e jose eduardo cardozo advocaciageral da uniao a presidente educada chegou a soltar um filho da p em referencia ao senador ela afirmou que as declaracoes do senador eram mentirosas e que o vazamento da delacao deveria ser tratado como crime as informacoes sao de marina dias/ gustavo uribe/ valdo cruz da folha de sp
1-2	no	_	_	_	_	_	_	_	TokenRange=0:2
17	quatro	_	NUM	NUM	NumType=Card	16	obj	_	TokenRange=100:106
18	de	de	ADP	ADP	_	21	case	_	TokenRange=107:109
19	seus	_	DET	DET	_	21	det:poss	_	TokenRange=110:114
20	principais	principal	ADJ	ADJ	_	21	amod	_	TokenRange=115:125
21	assessores	assessor	NOUN	NOUN	_	17	nmod	_	TokenRange=126:136
22	para	para	ADP	ADP	_	24	case	_	TokenRange=137:141
23	uma	um	DET	DET	_	24	det	_	TokenRange=142:145
24	reuniao	reuniao	NOUN	NOUN	_	16	nmod	_	TokenRange=146:153
25	de	de	ADP	ADP	_	26	case	_	TokenRange=154:156
26	emergencia	emergencia	NOUN	NOUN	_	24	nmod	_	TokenRange=157:167
27	em	em	ADP	ADP	_	29	case	_	TokenRange=168:170
28	seu	_	DET	DET	_	29	det:poss	_	TokenRange=171:174
29	gabinete	gabinete	NOUN	NOUN	_	24	nmod	_	TokenRange=175:183
30	e	e	CCONJ	CONJ	_	31	cc	_	TokenRange=184:185
31	estava	estar	VERB	VERB	_	5	conj	_	TokenRange=186:192
32	com	com	ADP	ADP	_	34	case	_	TokenRange=193:196
33	os	o	DET	DET	_	34	det	_	TokenRange=197:199
34	nervos	nervo	NOUN	NOUN	_	31	nmod	_	TokenRange=200:206
35	a	o	DET	DET	_	36	det	_	TokenRange=207:208
36	flor	flor	NOUN	NOUN	_	31	nsubj	_	TokenRange=209:213
37-38	da	_	_	_	_	_	_	_	TokenRange=214:216
37	de	de	ADP	ADP	_	39	case	_	_
38	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	39	det	_	_
39	pele	pele	NOUN	NOUN	_	36	nmod	_	TokenRange=217:221
40	dilma	dilma	NOUN	NOUN	_	41	nsubj	_	TokenRange=222:227
41	andou	andar	VERB	VERB	_	36	acl:relcl	_	TokenRange=228:233
42	de	de	ADP	ADP	_	44	case	_	TokenRange=234:236
43	um	um	DET	DET	_	44	det	_	TokenRange=237:239
44	lado	lado	NOUN	NOUN	_	41	nmod	_	TokenRange=240:244
45	para	para	ADP	ADP	_	47	case	_	TokenRange=245:249
46	o	o	DET	DET	_	47	det	_	TokenRange=250:251
47	outro	_	PRON	PRON	_	48	nmod	_	TokenRange=252:257
48	bateu	bater	VERB	VERB	_	41	conj	_	TokenRange=258:263
49	sobre	_	ADP	ADP	_	51	case	_	TokenRange=264:269
50	a	o	DET	DET	_	51	det	_	TokenRange=270:271
51	mesa	mesa	NOUN	NOUN	_	48	nmod	_	TokenRange=272:276
52	xingou	xingar	VERB	VERB	_	41	conj	_	TokenRange=277:283
53	delcidio	delcidio	NOUN	NOUN	_	52	obj	_	TokenRange=284:292
54-55	do	_	_	_	_	_	_	_	TokenRange=293:295
54	de	de	ADP	ADP	_	56	case	_	_
55	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	56	det	_	_
56	amaral	amaral	NOUN	NOUN	_	53	nmod	_	TokenRange=296:302
57	ptms	_	NOUN	NOUN	_	56	appos	_	TokenRange=303:307
58	e	e	CCONJ	CONJ	_	59	cc	_	TokenRange=308:309
59	ordenou	ordenar	VERB	VERB	_	52	conj	_	TokenRange=310:317
60	a	o	DET	DET	_	61	det	_	TokenRange=318:319
61	divulgacao	divulgacao	NOUN	NOUN	_	59	obj	_	TokenRange=320:330
62	de	de	ADP	ADP	_	64	case	_	TokenRange=331:333
63	uma	um	DET	DET	_	64	det	_	TokenRange=334:337
64	nota	nota	NOUN	NOUN	_	61	nmod	_	TokenRange=338:342
65	diante	diante	ADV	ADV	_	64	advmod	_	TokenRange=343:349
66-67	dos	_	_	_	_	_	_	_	TokenRange=350:353
66	de	de	ADP	ADP	_	68	case	_	_
67	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	68	det	_	_
68	ministros	ministro	NOUN	NOUN	_	65	nmod	_	TokenRange=354:363
69	jaques	jaque	ADJ	ADJ	_	68	appos	_	TokenRange=364:370
70	wagner	wagner	NOUN	NOUN	_	69	flat	_	TokenRange=371:377
71	casa	casa	NOUN	NOUN	_	68	appos	_	TokenRange=378:382
72	civil	civil	ADJ	ADJ	_	71	amod	_	TokenRange=383:388
73	e	e	CCONJ	CONJ	_	74	cc	_	TokenRange=389:390
74	jose	jose	NOUN	NOUN	_	69	conj	_	TokenRange=391:395
75	eduardo	eduardo	ADJ	ADJ	_	74	flat	_	TokenRange=396:403
76	cardozo	cardozo	NOUN	NOUN	_	74	flat	_	TokenRange=404:411
77	advocaciageral	advocaciageral	ADJ	ADJ	_	74	amod	_	TokenRange=412:426
78-79	da	_	_	_	_	_	_	_	TokenRange=427:429
78	de	de	ADP	ADP	_	80	case	_	_
79	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	80	det	_	_
80	uniao	uniao	NOUN	NOUN	_	74	nmod	_	TokenRange=430:435
81	a	o	DET	DET	_	82	det	_	TokenRange=436:437
82	presidente	presidente	NOUN	NOUN	_	86	nsubj	_	TokenRange=438:448
83	educada	educado	ADJ	ADJ	_	82	amod	_	TokenRange=449:456
84	chegou	chegar	AUX	AUX	_	86	aux	_	TokenRange=457:463
85	a	_	ADP	ADP	_	86	mark	_	TokenRange=464:465
86	soltar	soltar	VERB	VERB	_	98	ccomp	_	TokenRange=466:472
87	um	um	DET	DET	_	88	det	_	TokenRange=473:475
88	filho	filho	NOUN	NOUN	_	86	obj	_	TokenRange=476:481
89-90	da	_	_	_	_	_	_	_	TokenRange=482:484
89	de	de	ADP	ADP	_	91	case	_	_
90	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	91	det	_	_
91	p	p	NOUN	NOUN	_	88	nmod	_	TokenRange=485:486
92	em	em	ADP	ADP	_	93	case	_	TokenRange=487:489
93	referencia	referencia	NOUN	NOUN	_	86	nmod	_	TokenRange=490:500
94-95	ao	_	_	_	_	_	_	_	TokenRange=501:503
94	a	a	ADP	ADP	_	96	case	_	_
95	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	_
96	senador	senador	NOUN	NOUN	_	93	nmod	_	TokenRange=504:511
97	ela	_	PRON	PRON	_	98	nsubj	_	TokenRange=512:515
98	afirmou	afirmar	VERB	VERB	_	5	parataxis	_	TokenRange=516:523
99	que	que	CCONJ	CONJ	_	105	mark	_	TokenRange=524:527
100	as	o	DET	DET	_	101	det	_	TokenRange=528:530
101	declaracoes	declaracoe	NOUN	NOUN	_	105	nsubj	_	TokenRange=531:542
102-103	do	_	_	_	_	_	_	_	TokenRange=543:545
102	de	de	ADP	ADP	_	104	case	_	_
103	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	104	det	_	_
104	senador	senador	NOUN	NOUN	_	101	nmod	_	TokenRange=546:553
105	eram	_	VERB	VERB	_	98	ccomp	_	TokenRange=554:558
106	mentirosas	mentiroso	ADJ	ADJ	_	105	xcomp	_	TokenRange=559:569
107	e	e	CCONJ	CONJ	_	116	cc	_	TokenRange=570:571
108	que	que	CCONJ	CONJ	_	116	mark	_	TokenRange=572:575
109	o	o	DET	DET	_	110	det	_	TokenRange=576:577
110	vazamento	vazamento	NOUN	NOUN	_	116	nsubj:pass	_	TokenRange=578:587
111-112	da	_	_	_	_	_	_	_	TokenRange=588:590
111	de	de	ADP	ADP	_	113	case	_	_
112	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	113	det	_	_
113	delacao	delacao	NOUN	NOUN	_	110	nmod	_	TokenRange=591:598
114	deveria	dever	AUX	AUX	_	116	aux	_	TokenRange=599:606
115	ser	ser	AUX	AUX	_	116	aux:pass	_	TokenRange=607:610
116	tratado	tratar	VERB	VERB	_	105	conj	_	TokenRange=611:618
117	como	como	ADP	ADP	_	118	case	_	TokenRange=619:623
118	crime	crime	NOUN	NOUN	_	116	nmod	_	TokenRange=624:629
119	as	o	DET	DET	_	120	det	_	TokenRange=630:632
120	informacoes	informacoe	NOUN	NOUN	_	121	nsubj	_	TokenRange=633:644
121	sao	_	VERB	VERB	_	98	ccomp	_	TokenRange=645:648
122	de	de	ADP	ADP	_	123	case	_	TokenRange=649:651
123	marina	_	NOUN	NOUN	_	121	nmod	_	TokenRange=652:658
124	dias/	dias/	NOUN	NOUN	_	123	flat	_	TokenRange=659:664
125	gustavo	gustavo	NOUN	NOUN	_	123	appos	_	TokenRange=665:672
126	uribe/	uribe/	NOUN	NOUN	_	125	flat	_	TokenRange=673:679
127	valdo	valdo	ADJ	ADJ	_	123	appos	_	TokenRange=680:685
128	cruz	cruz	NOUN	NOUN	_	123	flat	_	TokenRange=686:690
129-130	da	_	_	_	_	_	_	_	TokenRange=691:693
129	de	de	ADP	ADP	_	131	case	_	_
130	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	131	det	_	_
131	folha	folha	NOUN	NOUN	_	123	nmod	_	TokenRange=694:699
132	de	de	ADP	ADP	_	133	case	_	TokenRange=700:702
133	sp	_	PROPN	PNOUN	_	131	nmod	_	TokenRange=703:705

