# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = forca tarefa da lavajato ira investigar doacao de terreno de r 20 milhoes para instituto lula o ministerio publico federal de curitiba ira participar da apuracao do processo da doacao de um terreno da prefeitura de sao paulo para a construcao da nova sede do instituto lula o ingresso na acao foi autorizado pelo juiz adriano marcos laroca da 12a vara da fazenda publica de sao paulo a area do instituto possui quatro mil metros quadrados e esta avaliada em r 20 milhoes a iniciativa da doacao doala que foi feita sob regime de concessao por 99 anos foi do exprefeito da sao paulo gilberto kassab hoje ministro das cidades no governo dilma a doacao foi questionada pelo ministerio publico por ferir a lei organica do municipio resumindo e um caso que se arrastava na justica nao se sabe porque mas a partir de agora tera o reforco da forcatarefa da lava jato antagonista folha/sp
1	forca	forca	NOUN	NOUN	_	7	nsubj	_	TokenRange=0:5
49	nova	novo	ADJ	ADJ	_	50	amod	_	TokenRange=246:250
50	sede	sede	NOUN	NOUN	_	46	nmod	_	TokenRange=251:255
51-52	do	_	_	_	_	_	_	_	TokenRange=256:258
51	de	de	ADP	ADP	_	53	case	_	_
52	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	53	det	_	_
53	instituto	instituto	NOUN	NOUN	_	50	nmod	_	TokenRange=259:268
54	lula	lula	ADJ	ADJ	_	53	amod	_	TokenRange=269:273
55	o	o	DET	DET	_	56	det	_	TokenRange=274:275
56	ingresso	ingresso	NOUN	NOUN	_	61	nsubj:pass	_	TokenRange=276:284
57-58	na	_	_	_	_	_	_	_	TokenRange=285:287
57	em	em	ADP	ADP	_	59	case	_	_
58	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	59	det	_	_
59	acao	acao	NOUN	NOUN	_	56	nmod	_	TokenRange=288:292
60	foi	_	AUX	AUX	_	61	aux:pass	_	TokenRange=293:296
61	autorizado	autorizar	VERB	VERB	_	7	parataxis	_	TokenRange=297:307
62-63	pelo	_	_	_	_	_	_	_	TokenRange=308:312
62	por	por	ADP	ADP	_	64	case	_	_
63	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	64	det	_	_
64	juiz	juiz	NOUN	NOUN	_	61	nmod	_	TokenRange=313:317
65	adriano	adriano	NOUN	NOUN	_	64	amod	_	TokenRange=318:325
66	marcos	marco	NOUN	NOUN	_	64	flat	_	TokenRange=326:332
67	laroca	laroco	ADJ	ADJ	_	64	amod	_	TokenRange=333:339
68-69	da	_	_	_	_	_	_	_	TokenRange=340:342
68	de	de	ADP	ADP	_	71	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	71	det	_	_
70	12a	_	ADJ	ADJ	_	71	amod	_	TokenRange=343:346
71	vara	vara	NOUN	NOUN	_	64	nmod	_	TokenRange=347:351
72-73	da	_	_	_	_	_	_	_	TokenRange=352:354
72	de	de	ADP	ADP	_	74	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
74	fazenda	fazenda	NOUN	NOUN	_	71	nmod	_	TokenRange=355:362
75	publica	publico	ADJ	ADJ	_	74	amod	_	TokenRange=363:370
76	de	de	ADP	ADP	_	77	case	_	TokenRange=371:373
77	sao	sao	NOUN	NOUN	_	74	nmod	_	TokenRange=374:377
78	paulo	paulo	NOUN	NOUN	_	77	flat	_	TokenRange=378:383
79	a	o	DET	DET	_	80	det	_	TokenRange=384:385
80	area	area	NOUN	NOUN	_	61	nsubj:pass	_	TokenRange=386:390
81-82	do	_	_	_	_	_	_	_	TokenRange=391:393
81	de	de	ADP	ADP	_	83	case	_	_
82	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	83	det	_	_
83	instituto	instituto	NOUN	NOUN	_	80	nmod	_	TokenRange=394:403
84	possui	possuir	VERB	VERB	_	7	parataxis	_	TokenRange=404:410
85	quatro	_	NUM	NUM	NumType=Card	86	nummod	_	TokenRange=411:417
86	mil	_	NUM	NUM	NumType=Card	87	nummod	_	TokenRange=418:421
87	metros	metro	NOUN	NOUN	_	84	obj	_	TokenRange=422:428
88	quadrados	quadrado	ADJ	ADJ	_	87	amod	_	TokenRange=429:438
89	e	e	CCONJ	CONJ	_	90	cc	_	TokenRange=439:440
90	esta	_	VERB	VERB	_	84	conj	_	TokenRange=441:445
91	avaliada	avaliado	ADJ	ADJ	_	90	xcomp	_	TokenRange=446:454
92	em	em	ADP	ADP	_	93	case	_	TokenRange=455:457
93	r	r	NOUN	NOUN	_	91	nmod	_	TokenRange=458:459
94	20	_	NUM	NUM	NumType=Card	95	nummod	_	TokenRange=460:462
95	milhoes	_	NUM	NUM	NumType=Card	93	nummod	_	TokenRange=463:470
96	a	o	DET	DET	_	97	det	_	TokenRange=471:472
97	iniciativa	iniciativa	NOUN	NOUN	_	166	nsubj	_	TokenRange=473:483
98-99	da	_	_	_	_	_	_	_	TokenRange=484:486
98	de	de	ADP	ADP	_	100	case	_	_
99	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	100	det	_	_
100	doacao	doacao	NOUN	NOUN	_	97	nmod	_	TokenRange=487:493
101	doala	_	NOUN	NOUN	_	100	amod	_	TokenRange=494:499
102	que	_	PRON	PRON	_	104	nsubj:pass	_	TokenRange=500:503
103	foi	_	AUX	AUX	_	104	aux:pass	_	TokenRange=504:507
104	feita	_	VERB	VERB	_	100	acl:relcl	_	TokenRange=508:513
105	sob	_	ADP	ADP	_	106	case	_	TokenRange=514:517
106	regime	regime	NOUN	NOUN	_	104	nmod	_	TokenRange=518:524
107	de	de	ADP	ADP	_	108	case	_	TokenRange=525:527
108	concessao	concessao	NOUN	NOUN	_	106	nmod	_	TokenRange=528:537
109	por	por	ADP	ADP	_	111	case	_	TokenRange=538:541
110	99	_	NUM	NUM	NumType=Card	111	nummod	_	TokenRange=542:544
111	anos	ano	NOUN	NOUN	_	104	nmod	_	TokenRange=545:549
112	foi	_	VERB	VERB	_	134	parataxis	_	TokenRange=550:553
113-114	do	_	_	_	_	_	_	_	TokenRange=554:556
113	de	de	ADP	ADP	_	115	case	_	_
114	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	115	det	_	_
115	exprefeito	exprefeito	NOUN	NOUN	_	112	nmod	_	TokenRange=557:567
116-117	da	_	_	_	_	_	_	_	TokenRange=568:570
116	de	de	ADP	ADP	_	118	case	_	_
117	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	118	det	_	_
118	sao	sao	NOUN	NOUN	_	115	nmod	_	TokenRange=571:574
119	paulo	paulo	NOUN	NOUN	_	118	flat	_	TokenRange=575:580
120	gilberto	gilberto	NOUN	NOUN	_	115	appos	_	TokenRange=581:589
121	kassab	_	NOUN	NOUN	_	120	flat	_	TokenRange=590:596
122	hoje	hoje	ADV	ADV	_	123	advmod	_	TokenRange=597:601
123	ministro	ministro	NOUN	NOUN	_	120	appos	_	TokenRange=602:610
124-125	das	_	_	_	_	_	_	_	TokenRange=611:614
124	de	de	ADP	ADP	_	126	case	_	_
125	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	126	det	_	_
126	cidades	cidade	NOUN	NOUN	_	123	nmod	_	TokenRange=615:622
127-128	no	_	_	_	_	_	_	_	TokenRange=623:625
127	em	em	ADP	ADP	_	129	case	_	_
128	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	129	det	_	_
129	governo	governo	NOUN	NOUN	_	104	nmod	_	TokenRange=626:633
130	dilma	dilma	ADJ	ADJ	_	129	amod	_	TokenRange=634:639
131	a	o	DET	DET	_	132	det	_	TokenRange=640:641
132	doacao	doacao	NOUN	NOUN	_	134	nsubj:pass	_	TokenRange=642:648
133	foi	_	AUX	AUX	_	134	aux:pass	_	TokenRange=649:652
134	questionada	questionar	VERB	VERB	_	7	parataxis	_	TokenRange=653:664
135-136	pelo	_	_	_	_	_	_	_	TokenRange=665:669
135	por	por	ADP	ADP	_	137	case	_	_
136	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	137	det	_	_
137	ministerio	ministerio	NOUN	NOUN	_	134	nmod	_	TokenRange=670:680
138	publico	publico	ADJ	ADJ	_	137	amod	_	TokenRange=681:688
139	por	_	ADP	ADP	_	140	mark	_	TokenRange=689:692
140	ferir	ferir	VERB	VERB	_	61	advcl	_	TokenRange=693:698
141	a	o	DET	DET	_	142	det	_	TokenRange=699:700
142	lei	lei	NOUN	NOUN	_	140	obj	_	TokenRange=701:704
143	organica	organico	ADJ	ADJ	_	142	amod	_	TokenRange=705:713
144-145	do	_	_	_	_	_	_	_	TokenRange=714:716
144	de	de	ADP	ADP	_	146	case	_	_
145	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	146	det	_	_
146	municipio	municipio	NOUN	NOUN	_	142	nmod	_	TokenRange=717:726
147	resumindo	resumir	VERB	VERB	_	140	acl	_	TokenRange=727:736
148	e	e	CCONJ	CONJ	_	150	cc	_	TokenRange=737:738
149	um	um	DET	DET	_	150	det	_	TokenRange=739:741
150	caso	caso	NOUN	NOUN	_	147	conj	_	TokenRange=742:746
151	que	_	PRON	PRON	_	153	nsubj	_	TokenRange=747:750
152	se	_	PRON	PRON	_	153	expl:pv	_	TokenRange=751:753
153	arrastava	arrastar	VERB	VERB	_	150	acl:relcl	_	TokenRange=754:763
154-155	na	_	_	_	_	_	_	_	TokenRange=764:766
154	em	em	ADP	ADP	_	156	case	_	_
155	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	156	det	_	_
156	justica	_	NOUN	NOUN	_	153	nmod	_	TokenRange=767:774
157	nao	nao	ADV	ADV	Polarity=Neg	159	advmod	_	TokenRange=775:778
158	se	_	PRON	PRON	_	159	expl:pv	_	TokenRange=779:781
159	sabe	saber	VERB	VERB	_	84	conj	_	TokenRange=782:786
160	porque	_	CCONJ	CONJ	_	166	mark	_	TokenRange=787:793
161	mas	mas	CCONJ	CONJ	_	166	cc	_	TokenRange=794:797
162	a	_	ADP	ADP	_	163	mark	_	TokenRange=798:799
163	partir	partir	VERB	VERB	_	166	nmod	_	TokenRange=800:806
164	de	_	ADP	ADP	_	165	mark	_	TokenRange=807:809
165	agora	agora	ADV	ADV	_	163	nmod	_	TokenRange=810:815
166	tera	terar	VERB	VERB	_	84	advcl	_	TokenRange=816:820
167	o	o	DET	DET	_	168	det	_	TokenRange=821:822
168	reforco	reforco	NOUN	NOUN	_	166	obj	_	TokenRange=823:830
169-170	da	_	_	_	_	_	_	_	TokenRange=831:833
169	de	de	ADP	ADP	_	171	case	_	_
170	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	171	det	_	_
171	forcatarefa	forcatarefa	NOUN	NOUN	_	168	nmod	_	TokenRange=834:845
172-173	da	_	_	_	_	_	_	_	TokenRange=846:848
172	de	de	ADP	ADP	_	174	case	_	_
173	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	174	det	_	_
174	lava	lava	NOUN	NOUN	_	171	nmod	_	TokenRange=849:853
175	jato	jato	NOUN	NOUN	_	174	flat	_	TokenRange=854:858
176	antagonista	_	NOUN	NOUN	_	166	parataxis	_	TokenRange=859:870
177	folha/sp	_	NOUN	NOUN	_	176	appos	_	TokenRange=871:879

