# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = arregou apos pressao da populacao romero juca retira pec da sangria da tramitacao no senado caju nao aguentou a pressao das redes sociais o senador romero juca aquele do pacto para estancar a sangria da lava jato desistiu do projeto para blindar os presidentes da camara do senado e do stf a proposta de emenda constitucional foi protocolada as 1800h de hoje agora pouco a assessoria de juca emitiu uma nota a pedido do presidente do senado eunicio oliveira o senador romero juca solicitou a retirada da tramitacao da pec 3 de 2017 que altera o artigo 86 ferraco esta colhendo assinaturas para uma pec que proibe que reus em processos penais ocupem os cargos de chefia alem dos cargos de poder no senado a camara a regra valeria tambem os presidentes de assembleias camara de vereadores prefeitos e governadores ou seja se tem processo nao pode ocupar cargo publico de chefia ai sim
1	arregou	arregar	VERB	VERB	_	0	root	_	TokenRange=0:7
24	pressao	pressao	NOUN	NOUN	_	22	obj	_	TokenRange=112:119
25-26	das	_	_	_	_	_	_	_	TokenRange=120:123
25	de	de	ADP	ADP	_	27	case	_	_
26	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	27	det	_	_
27	redes	rede	NOUN	NOUN	_	24	nmod	_	TokenRange=124:129
28	sociais	social	ADJ	ADJ	_	27	amod	_	TokenRange=130:137
29	o	o	DET	DET	_	30	det	_	TokenRange=138:139
30	senador	senador	NOUN	NOUN	_	22	nsubj	_	TokenRange=140:147
31	romero	romero	NOUN	NOUN	_	30	appos	_	TokenRange=148:154
32	juca	juca	ADJ	ADJ	_	30	amod	_	TokenRange=155:159
33	aquele	_	PRON	PRON	_	30	appos	_	TokenRange=160:166
34-35	do	_	_	_	_	_	_	_	TokenRange=167:169
34	de	de	ADP	ADP	_	36	case	_	_
35	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	36	det	_	_
36	pacto	pacto	NOUN	NOUN	_	33	nmod	_	TokenRange=170:175
37	para	_	ADP	ADP	_	38	mark	_	TokenRange=176:180
38	estancar	estancar	VERB	VERB	_	36	nmod	_	TokenRange=181:189
39	a	o	DET	DET	_	40	det	_	TokenRange=190:191
40	sangria	sangria	NOUN	NOUN	_	38	obj	_	TokenRange=192:199
41-42	da	_	_	_	_	_	_	_	TokenRange=200:202
41	de	de	ADP	ADP	_	43	case	_	_
42	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	43	det	_	_
43	lava	lava	NOUN	NOUN	_	40	nmod	_	TokenRange=203:207
44	jato	jato	NOUN	NOUN	_	45	advmod	_	TokenRange=208:212
45	desistiu	desistir	VERB	VERB	_	1	conj	_	TokenRange=213:221
46-47	do	_	_	_	_	_	_	_	TokenRange=222:224
46	de	de	ADP	ADP	_	48	case	_	_
47	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	48	det	_	_
48	projeto	projeto	NOUN	NOUN	_	45	nmod	_	TokenRange=225:232
49	para	_	ADP	ADP	_	50	mark	_	TokenRange=233:237
50	blindar	blindar	VERB	VERB	_	48	nmod	_	TokenRange=238:245
51	os	o	DET	DET	_	52	det	_	TokenRange=246:248
52	presidentes	presidente	NOUN	NOUN	_	50	obj	_	TokenRange=249:260
53-54	da	_	_	_	_	_	_	_	TokenRange=261:263
53	de	de	ADP	ADP	_	55	case	_	_
54	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	55	det	_	_
55	camara	camara	NOUN	NOUN	_	52	nmod	_	TokenRange=264:270
56-57	do	_	_	_	_	_	_	_	TokenRange=271:273
56	de	de	ADP	ADP	_	58	case	_	_
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	_
58	senado	senado	NOUN	NOUN	_	55	nmod	_	TokenRange=274:280
59	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=281:282
60-61	do	_	_	_	_	_	_	_	TokenRange=283:285
60	de	de	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	stf	_	NOUN	NOUN	_	58	conj	_	TokenRange=286:289
63	a	o	DET	DET	_	64	det	_	TokenRange=290:291
64	proposta	_	NOUN	NOUN	_	146	nsubj	_	TokenRange=292:300
65	de	de	ADP	ADP	_	66	case	_	TokenRange=301:303
66	emenda	emenda	NOUN	NOUN	_	64	nmod	_	TokenRange=304:310
67	constitucional	constitucional	ADJ	ADJ	_	66	amod	_	TokenRange=311:325
68	foi	_	AUX	AUX	_	69	aux:pass	_	TokenRange=326:329
69	protocolada	protocolar	VERB	VERB	_	1	parataxis	_	TokenRange=330:341
70	as	_	ADP	ADP	_	71	case	_	TokenRange=342:344
71	1800h	_	NUM	NUM	NumType=Card	69	nmod	_	TokenRange=345:350
72	de	_	ADP	ADP	_	73	mark	_	TokenRange=351:353
73	hoje	hoje	ADV	ADV	_	71	nmod	_	TokenRange=354:358
74	agora	agora	ADV	ADV	_	165	advmod	_	TokenRange=359:364
75	pouco	pouco	ADV	ADV	_	165	advmod	_	TokenRange=365:370
76	a	o	DET	DET	_	77	det	_	TokenRange=371:372
77	assessoria	assessoria	NOUN	NOUN	_	165	nsubj	_	TokenRange=373:383
78	de	de	ADP	ADP	_	79	case	_	TokenRange=384:386
79	juca	juca	NOUN	NOUN	_	77	nmod	_	TokenRange=387:391
80	emitiu	emitir	VERB	VERB	_	69	parataxis	_	TokenRange=392:398
81	uma	um	DET	DET	_	82	det	_	TokenRange=399:402
82	nota	nota	NOUN	NOUN	_	165	obj	_	TokenRange=403:407
83	a	_	ADP	ADP	_	84	case	_	TokenRange=408:409
84	pedido	pedido	NOUN	NOUN	_	82	nmod	_	TokenRange=410:416
85-86	do	_	_	_	_	_	_	_	TokenRange=417:419
85	de	de	ADP	ADP	_	87	case	_	_
86	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	87	det	_	_
87	presidente	presidente	NOUN	NOUN	_	84	nmod	_	TokenRange=420:430
88-89	do	_	_	_	_	_	_	_	TokenRange=431:433
88	de	de	ADP	ADP	_	90	case	_	_
89	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	90	det	_	_
90	senado	senado	NOUN	NOUN	_	87	nmod	_	TokenRange=434:440
91	eunicio	_	NOUN	NOUN	_	87	appos	_	TokenRange=441:448
92	oliveira	oliveira	ADJ	ADJ	_	91	flat	_	TokenRange=449:457
93	o	o	DET	DET	_	94	det	_	TokenRange=458:459
94	senador	senador	NOUN	NOUN	_	97	nsubj	_	TokenRange=460:467
95	romero	romero	NOUN	NOUN	_	94	appos	_	TokenRange=468:474
96	juca	juca	ADJ	ADJ	_	94	amod	_	TokenRange=475:479
97	solicitou	solicitar	VERB	VERB	_	1	parataxis	_	TokenRange=480:489
98	a	o	DET	DET	_	99	det	_	TokenRange=490:491
99	retirada	_	NOUN	NOUN	_	97	obj	_	TokenRange=492:500
100-101	da	_	_	_	_	_	_	_	TokenRange=501:503
100	de	de	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	tramitacao	tramitacao	NOUN	NOUN	_	99	nmod	_	TokenRange=504:514
103-104	da	_	_	_	_	_	_	_	TokenRange=515:517
103	de	de	ADP	ADP	_	105	case	_	_
104	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_
105	pec	pec	NOUN	NOUN	_	102	nmod	_	TokenRange=518:521
106	3	_	NUM	NUM	NumType=Card	105	nmod	_	TokenRange=522:523
107	de	de	ADP	ADP	_	108	case	_	TokenRange=524:526
108	2017	_	NUM	NUM	NumType=Card	106	nmod	_	TokenRange=527:531
109	que	_	PRON	PRON	_	110	nsubj	_	TokenRange=532:535
110	altera	alterar	VERB	VERB	_	30	acl:relcl	_	TokenRange=536:542
111	o	o	DET	DET	_	112	det	_	TokenRange=543:544
112	artigo	artigo	NOUN	NOUN	_	110	obj	_	TokenRange=545:551
113	86	_	NUM	NUM	NumType=Card	112	appos	_	TokenRange=552:554
114	ferraco	ferraco	NOUN	NOUN	_	112	appos	_	TokenRange=555:562
115	esta	_	AUX	AUX	_	116	aux	_	TokenRange=563:567
116	colhendo	colher	VERB	VERB	_	22	conj	_	TokenRange=568:576
117	assinaturas	assinatura	NOUN	NOUN	_	116	obj	_	TokenRange=577:588
118	para	para	ADP	ADP	_	120	case	_	TokenRange=589:593
119	uma	um	DET	DET	_	120	det	_	TokenRange=594:597
120	pec	pec	NOUN	NOUN	_	117	nmod	_	TokenRange=598:601
121	que	_	PRON	PRON	_	122	nsubj	_	TokenRange=602:605
122	proibe	proibar	VERB	VERB	_	120	acl:relcl	_	TokenRange=606:612
123	que	que	CCONJ	CONJ	_	128	mark	_	TokenRange=613:616
124	reus	reu	NOUN	NOUN	_	128	nsubj	_	TokenRange=617:621
125	em	em	ADP	ADP	_	126	case	_	TokenRange=622:624
126	processos	processo	NOUN	NOUN	_	124	nmod	_	TokenRange=625:634
127	penais	penal	ADJ	ADJ	_	126	amod	_	TokenRange=635:641
128	ocupem	ocupar	VERB	VERB	_	122	ccomp	_	TokenRange=642:648
129	os	o	DET	DET	_	130	det	_	TokenRange=649:651
130	cargos	cargo	NOUN	NOUN	_	128	obj	_	TokenRange=652:658
131	de	de	ADP	ADP	_	132	case	_	TokenRange=659:661
132	chefia	chefia	NOUN	NOUN	_	130	nmod	_	TokenRange=662:668
133	alem	alem	ADV	ADV	_	128	advmod	_	TokenRange=669:673
134-135	dos	_	_	_	_	_	_	_	TokenRange=674:677
134	de	de	ADP	ADP	_	136	case	_	_
135	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	136	det	_	_
136	cargos	cargo	NOUN	NOUN	_	133	nmod	_	TokenRange=678:684
137	de	de	ADP	ADP	_	138	case	_	TokenRange=685:687
138	poder	poder	NOUN	NOUN	_	136	nmod	_	TokenRange=688:693
139-140	no	_	_	_	_	_	_	_	TokenRange=694:696
139	em	em	ADP	ADP	_	141	case	_	_
140	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	141	det	_	_
141	senado	senado	NOUN	NOUN	_	136	nmod	_	TokenRange=697:703
142	a	o	DET	DET	_	143	det	_	TokenRange=704:705
143	camara	camara	NOUN	NOUN	_	146	nsubj	_	TokenRange=706:712
144	a	o	DET	DET	_	145	det	_	TokenRange=713:714
145	regra	regra	NOUN	NOUN	_	146	nsubj	_	TokenRange=715:720
146	valeria	valer	VERB	VERB	_	122	ccomp	_	TokenRange=721:728
147	tambem	tambem	ADV	ADV	_	146	advmod	_	TokenRange=729:735
148	os	o	DET	DET	_	149	det	_	TokenRange=736:738
149	presidentes	presidente	NOUN	NOUN	_	146	obj	_	TokenRange=739:750
150	de	de	ADP	ADP	_	151	case	_	TokenRange=751:753
151	assembleias	assembleia	NOUN	NOUN	_	149	nmod	_	TokenRange=754:765
152	camara	camara	NOUN	NOUN	_	149	appos	_	TokenRange=766:772
153	de	de	ADP	ADP	_	154	case	_	TokenRange=773:775
154	vereadores	vereador	NOUN	NOUN	_	152	nmod	_	TokenRange=776:786
155	prefeitos	prefeito	NOUN	NOUN	_	149	appos	_	TokenRange=787:796
156	e	e	CCONJ	CONJ	_	157	cc	_	TokenRange=797:798
157	governadores	governador	NOUN	NOUN	_	155	conj	_	TokenRange=799:811
158	ou	ou	CCONJ	CONJ	_	165	cc	_	TokenRange=812:814
159	seja	ser	VERB	VERB	_	158	fixed	_	TokenRange=815:819
160	se	_	CCONJ	CONJ	_	161	mark	_	TokenRange=820:822
161	tem	ter	VERB	VERB	_	165	advcl	_	TokenRange=823:826
162	processo	processo	NOUN	NOUN	_	161	obj	_	TokenRange=827:835
163	nao	nao	ADV	ADV	Polarity=Neg	165	advmod	_	TokenRange=836:839
164	pode	_	AUX	AUX	_	165	aux	_	TokenRange=840:844
165	ocupar	ocupar	VERB	VERB	_	146	conj	_	TokenRange=845:851
166	cargo	cargo	NOUN	NOUN	_	165	obj	_	TokenRange=852:857
167	publico	publico	ADJ	ADJ	_	166	amod	_	TokenRange=858:865
168	de	de	ADP	ADP	_	169	case	_	TokenRange=866:868
169	chefia	chefia	NOUN	NOUN	_	166	nmod	_	TokenRange=869:875
170	ai	_	ADV	ADV	_	165	advmod	_	TokenRange=876:878
171	sim	sim	ADV	ADV	_	165	advmod	_	TokenRange=879:882

