# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quebraloei apos declarar que o pais pode falir ate 2024 presidente gasta r 600 mil em roda de samba temer declarou na folha de sp que o brasil pode quebrar literalmente ate 2024 caso nao controle rapidamente os gastos publicos e depois resolveu ostentar dinheiro do povo em uma festa luxuosa onde gastou praticamente 600 mil reais do erario publico para celebrar o centenario do samba uma das grandes prioridades anunciadas pelo michel foi reduzir o deficit do estado brasileiro eliminando os custos elevados que estavam sendo praticados por lula e dilma se a retorica de temer e poupar ao maximo o dinheiro publico porque e que o dignissimo presidente nao se incomoda em gastar pequenas fortunas em uma festa comemorativa para poucos convidados sei nao michel e pt
1	quebraloei	quebraloar	VERB	VERB	_	0	root	_	TokenRange=0:10
70	samba	samba	NOUN	NOUN	_	67	nmod	_	TokenRange=379:384
71	uma	_	PRON	PRON	_	55	parataxis	_	TokenRange=385:388
72-73	das	_	_	_	_	_	_	_	TokenRange=389:392
72	de	de	ADP	ADP	_	75	case	_	_
73	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	75	det	_	_
74	grandes	grande	ADJ	ADJ	_	75	amod	_	TokenRange=393:400
75	prioridades	prioridade	NOUN	NOUN	_	71	nmod	_	TokenRange=401:412
76	anunciadas	anunciar	VERB	VERB	_	75	acl	_	TokenRange=413:423
77-78	pelo	_	_	_	_	_	_	_	TokenRange=424:428
77	por	por	ADP	ADP	_	79	case	_	_
78	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	79	det	_	_
79	michel	michel	NOUN	NOUN	_	76	nmod	_	TokenRange=429:435
80	foi	_	AUX	AUX	_	71	cop	_	TokenRange=436:439
81	reduzir	reduzir	VERB	VERB	_	75	acl:inf	_	TokenRange=440:447
82	o	o	DET	DET	_	83	det	_	TokenRange=448:449
83	deficit	deficit	NOUN	NOUN	_	81	obj	_	TokenRange=450:457
84-85	do	_	_	_	_	_	_	_	TokenRange=458:460
84	de	de	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	estado	estado	NOUN	NOUN	_	83	nmod	_	TokenRange=461:467
87	brasileiro	brasileiro	ADJ	ADJ	_	86	amod	_	TokenRange=468:478
88	eliminando	eliminar	VERB	VERB	_	81	acl	_	TokenRange=479:489
89	os	o	DET	DET	_	90	det	_	TokenRange=490:492
90	custos	custo	NOUN	NOUN	_	88	obj	_	TokenRange=493:499
91	elevados	elevado	ADJ	ADJ	_	90	amod	_	TokenRange=500:508
92	que	_	PRON	PRON	_	95	nsubj:pass	_	TokenRange=509:512
93	estavam	estar	AUX	AUX	_	95	aux	_	TokenRange=513:520
94	sendo	ser	AUX	AUX	_	95	aux:pass	_	TokenRange=521:526
95	praticados	praticar	VERB	VERB	_	90	acl:relcl	_	TokenRange=527:537
96	por	por	ADP	ADP	_	97	case	_	TokenRange=538:541
97	lula	lula	NOUN	NOUN	_	95	nmod	_	TokenRange=542:546
98	e	e	CCONJ	CONJ	_	99	cc	_	TokenRange=547:548
99	dilma	dilma	NOUN	NOUN	_	97	conj	_	TokenRange=549:554
100	se	_	CCONJ	CONJ	_	102	mark	_	TokenRange=555:557
101	a	o	DET	DET	_	102	det	_	TokenRange=558:559
102	retorica	_	NOUN	NOUN	_	81	ccomp	_	TokenRange=560:568
103	de	de	ADP	ADP	_	104	case	_	TokenRange=569:571
104	temer	temer	NOUN	NOUN	_	102	nmod	_	TokenRange=572:577
105	e	e	CCONJ	CONJ	_	106	cc	_	TokenRange=578:579
106	poupar	poupar	VERB	VERB	_	102	conj	_	TokenRange=580:586
107-108	ao	_	_	_	_	_	_	_	TokenRange=587:589
107	a	a	ADP	ADP	_	109	case	_	_
108	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	109	det	_	_
109	maximo	maximo	NOUN	NOUN	_	106	nmod	_	TokenRange=590:596
110	o	o	DET	DET	_	111	det	_	TokenRange=597:598
111	dinheiro	dinheiro	NOUN	NOUN	_	106	obj	_	TokenRange=599:607
112	publico	publico	ADJ	ADJ	_	111	amod	_	TokenRange=608:615
113	porque	_	CCONJ	CONJ	_	121	mark	_	TokenRange=616:622
114	e	_	CCONJ	CONJ	_	121	cc	_	TokenRange=623:624
115	que	que	CCONJ	CONJ	_	121	mark	_	TokenRange=625:628
116	o	o	DET	DET	_	118	det	_	TokenRange=629:630
117	dignissimo	dignissimo	ADJ	ADJ	_	118	amod	_	TokenRange=631:641
118	presidente	presidente	NOUN	NOUN	_	121	nsubj	_	TokenRange=642:652
119	nao	nao	ADV	ADV	Polarity=Neg	121	advmod	_	TokenRange=653:656
120	se	_	PRON	PRON	_	121	expl:pv	_	TokenRange=657:659
121	incomoda	incomodar	VERB	VERB	_	102	advcl	_	TokenRange=660:668
122	em	_	ADP	ADP	_	123	mark	_	TokenRange=669:671
123	gastar	gastar	VERB	VERB	_	121	nmod	_	TokenRange=672:678
124	pequenas	pequeno	ADJ	ADJ	_	125	amod	_	TokenRange=679:687
125	fortunas	fortuna	NOUN	NOUN	_	123	obj	_	TokenRange=688:696
126	em	em	ADP	ADP	_	128	case	_	TokenRange=697:699
127	uma	um	DET	DET	_	128	det	_	TokenRange=700:703
128	festa	festa	NOUN	NOUN	_	123	nmod	_	TokenRange=704:709
129	comemorativa	comemorativo	ADJ	ADJ	_	128	amod	_	TokenRange=710:722
130	para	para	ADP	ADP	_	132	case	_	TokenRange=723:727
131	poucos	_	DET	DET	_	132	det	_	TokenRange=728:734
132	convidados	convidado	NOUN	NOUN	_	128	nmod	_	TokenRange=735:745
133	sei	saber	VERB	VERB	_	102	advcl	_	TokenRange=746:749
134	nao	nao	ADV	ADV	Polarity=Neg	135	advmod	_	TokenRange=750:753
135	michel	_	PROPN	PNOUN	_	133	obj	_	TokenRange=754:760
136	e	e	CCONJ	CONJ	_	137	cc	_	TokenRange=761:762
137	pt	_	PROPN	PNOUN	_	135	conj	_	TokenRange=763:765

