# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = 5 tweets que mostram que a principal defensora de dilma no senado nao e tao fiel como voce pensa apos o depoimento de dilma no senado a senadora katia abreu foi a primeira a discursar katia ficou revoltada com o impeachment da expresidenta e defendeu dilma com unhas e dentes ha alguns anos a mesma katia abreu nao era tao fa do pt e de seus lideres o site implicante foi muito feliz em uma materia e resolveu resgatar algumas postagens antigas da senadora confira
1	5	_	NUM	NUM	NumType=Card	2	nummod	_	TokenRange=0:1
77	feliz	feliz	ADJ	ADJ	_	75	xcomp	_	TokenRange=378:383
78	em	em	ADP	ADP	_	80	case	_	TokenRange=384:386
79	uma	um	DET	DET	_	80	det	_	TokenRange=387:390
80	materia	materia	NOUN	NOUN	_	77	nmod	_	TokenRange=391:398
81	e	e	CCONJ	CONJ	_	82	cc	_	TokenRange=399:400
82	resolveu	resolver	VERB	VERB	_	75	conj	_	TokenRange=401:409
83	resgatar	resgatar	VERB	VERB	_	82	xcomp	_	TokenRange=410:418
84	algumas	_	DET	DET	_	85	det	_	TokenRange=419:426
85	postagens	postagem	NOUN	NOUN	_	83	obj	_	TokenRange=427:436
86	antigas	antigo	ADJ	ADJ	_	85	amod	_	TokenRange=437:444
87-88	da	_	_	_	_	_	_	_	TokenRange=445:447
87	de	de	ADP	ADP	_	89	case	_	_
88	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	89	det	_	_
89	senadora	senador	NOUN	NOUN	_	85	nmod	_	TokenRange=448:456
90	confira	conferir	VERB	VERB	_	89	appos	_	TokenRange=457:464

