# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = olha ele ai de novo filho de lula nao trabalhou mas recebeu r 500 mil do clube corinthians a denuncia foi feita por bela megale e camila mattoso para o jornal folha/sp alvo da operacao zelotes o filho do expresidente lula recebeu cerca de r 500 mil entre 2011 e 2013 do clube corinthians sem ter prestados servicos nao me lembro de nenhuma tarefa que ele tenha sido convocado para desenvolver ou que ele tenha realizado algo o responsavel pelo marketing do corinthians o economista luis paulo rosenberg afirmou que nao se lembra de nenhuma atividade que ele tenha sido convocado para desenvolver no clube outras pessoas que tem ou tiveram relacao o marketing do corinthians tambem garantiram que nunca houve servicos realizados pelo filho prodigio de lula abaixo trecho da folha/sp os pagamentos do corinthians para luis claudio ocorridos entre 2011 e 2013 coincidem parcialmente com o periodo da construcao com emprestimos federais do estadio do clube em sao paulo de 2011 a 2014 a coincidencia de datas abrira uma nova frente de investigacao da policia federal na zelotes segundo investigadores o corinthians time de lula o foi o primeiro cliente da carreira de empresario de marketing esportivo de luis claudio iniciada com a criacao da empresa lft em 2011 em novembro de 2015 a revista epoca que teve acesso ao depoimento de luis claudio a pf revelou que o filho de lula afirmou ter recebido ao menos r 300 mil por ano do corinthians neste periodo
1	olha	olhar	VERB	VERB	_	0	root	_	TokenRange=0:4
30	para	para	ADP	ADP	_	32	case	_	TokenRange=145:149
31	o	o	DET	DET	_	32	det	_	TokenRange=150:151
32	jornal	jornal	NOUN	NOUN	_	23	nmod	_	TokenRange=152:158
33	folha/sp	folha/sp	ADJ	ADJ	_	32	amod	_	TokenRange=159:167
34	alvo	alvo	NOUN	NOUN	_	32	appos	_	TokenRange=168:172
35-36	da	_	_	_	_	_	_	_	TokenRange=173:175
35	de	de	ADP	ADP	_	37	case	_	_
36	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	37	det	_	_
37	operacao	operacao	NOUN	NOUN	_	34	nmod	_	TokenRange=176:184
38	zelotes	zelote	NOUN	NOUN	_	37	flat	_	TokenRange=185:192
39	o	o	DET	DET	_	40	det	_	TokenRange=193:194
40	filho	filho	NOUN	NOUN	_	45	nsubj	_	TokenRange=195:200
41-42	do	_	_	_	_	_	_	_	TokenRange=201:203
41	de	de	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	expresidente	expresidente	NOUN	NOUN	_	40	nmod	_	TokenRange=204:216
44	lula	_	ADJ	ADJ	_	43	appos	_	TokenRange=217:221
45	recebeu	receber	VERB	VERB	_	95	ccomp	_	TokenRange=222:229
46	cerca	cerca	ADV	ADV	_	50	advmod	_	TokenRange=230:235
47	de	de	ADP	ADP	_	46	case	_	TokenRange=236:238
48	r	r	NOUN	NOUN	_	45	obj	_	TokenRange=239:240
49	500	_	NUM	NUM	NumType=Card	50	nummod	_	TokenRange=241:244
50	mil	_	NUM	NUM	NumType=Card	48	nummod	_	TokenRange=245:248
51	entre	_	ADP	ADP	_	52	case	_	TokenRange=249:254
52	2011	_	NUM	NUM	NumType=Card	45	nmod	_	TokenRange=255:259
53	e	e	CCONJ	CONJ	_	54	cc	_	TokenRange=260:261
54	2013	_	NUM	NUM	NumType=Card	52	conj	_	TokenRange=262:266
55-56	do	_	_	_	_	_	_	_	TokenRange=267:269
55	de	de	ADP	ADP	_	57	case	_	_
56	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	57	det	_	_
57	clube	clube	NOUN	NOUN	_	52	nmod	_	TokenRange=270:275
58	corinthians	_	ADJ	ADJ	_	57	amod	_	TokenRange=276:287
59	sem	_	ADP	ADP	_	61	mark	_	TokenRange=288:291
60	ter	ter	AUX	AUX	_	61	aux	_	TokenRange=292:295
61	prestados	prestar	VERB	VERB	_	45	advcl	_	TokenRange=296:305
62	servicos	servico	NOUN	NOUN	_	61	obj	_	TokenRange=306:314
63	nao	nao	ADV	ADV	Polarity=Neg	65	advmod	_	TokenRange=315:318
64	me	_	PRON	PRON	_	65	obj	_	TokenRange=319:321
65	lembro	lembrar	VERB	VERB	_	95	ccomp	_	TokenRange=322:328
66	de	de	ADP	ADP	_	68	case	_	TokenRange=329:331
67	nenhuma	_	DET	DET	_	68	det	_	TokenRange=332:339
68	tarefa	tarefa	NOUN	NOUN	_	65	nmod	_	TokenRange=340:346
69	que	_	PRON	PRON	_	73	obj	_	TokenRange=347:350
70	ele	_	PRON	PRON	_	73	nsubj:pass	_	TokenRange=351:354
71	tenha	ter	AUX	AUX	_	73	aux	_	TokenRange=355:360
72	sido	ser	AUX	AUX	_	73	aux:pass	_	TokenRange=361:365
73	convocado	convocar	VERB	VERB	_	68	acl:relcl	_	TokenRange=366:375
74	para	_	ADP	ADP	_	75	mark	_	TokenRange=376:380
75	desenvolver	desenvolver	VERB	VERB	_	73	advcl	_	TokenRange=381:392
76	ou	ou	CCONJ	CONJ	_	80	cc	_	TokenRange=393:395
77	que	que	CCONJ	CONJ	_	80	mark	_	TokenRange=396:399
78	ele	_	PRON	PRON	_	80	nsubj	_	TokenRange=400:403
79	tenha	ter	AUX	AUX	_	80	aux	_	TokenRange=404:409
80	realizado	realizar	VERB	VERB	_	73	conj	_	TokenRange=410:419
81	algo	_	PRON	PRON	_	80	obj	_	TokenRange=420:424
82	o	o	DET	DET	_	83	det	_	TokenRange=425:426
83	responsavel	responsavel	NOUN	NOUN	_	80	obj	_	TokenRange=427:438
84-85	pelo	_	_	_	_	_	_	_	TokenRange=439:443
84	por	por	ADP	ADP	_	86	case	_	_
85	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	86	det	_	_
86	marketing	marketing	NOUN	NOUN	_	83	nmod	_	TokenRange=444:453
87-88	do	_	_	_	_	_	_	_	TokenRange=454:456
87	de	de	ADP	ADP	_	89	case	_	_
88	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	89	det	_	_
89	corinthians	_	NOUN	NOUN	_	86	nmod	_	TokenRange=457:468
90	o	o	DET	DET	_	91	det	_	TokenRange=469:470
91	economista	economista	NOUN	NOUN	_	208	nsubj	_	TokenRange=471:481
92	luis	_	NOUN	NOUN	_	91	appos	_	TokenRange=482:486
93	paulo	_	NOUN	NOUN	_	92	flat	_	TokenRange=487:492
94	rosenberg	_	PROPN	PNOUN	_	92	flat	_	TokenRange=493:502
95	afirmou	afirmar	VERB	VERB	_	1	parataxis	_	TokenRange=503:510
96	que	que	CCONJ	CONJ	_	99	mark	_	TokenRange=511:514
97	nao	nao	ADV	ADV	Polarity=Neg	99	advmod	_	TokenRange=515:518
98	se	_	PART	PRON	_	99	expl:pv	_	TokenRange=519:521
99	lembra	lembrar	VERB	VERB	_	95	ccomp	_	TokenRange=522:528
100	de	de	ADP	ADP	_	102	case	_	TokenRange=529:531
101	nenhuma	_	DET	DET	_	102	det	_	TokenRange=532:539
102	atividade	atividade	NOUN	NOUN	_	99	nmod	_	TokenRange=540:549
103	que	_	PRON	PRON	_	107	obj	_	TokenRange=550:553
104	ele	_	PRON	PRON	_	107	nsubj:pass	_	TokenRange=554:557
105	tenha	ter	AUX	AUX	_	107	aux	_	TokenRange=558:563
106	sido	ser	AUX	AUX	_	107	aux:pass	_	TokenRange=564:568
107	convocado	convocar	VERB	VERB	_	102	acl:relcl	_	TokenRange=569:578
108	para	_	ADP	ADP	_	109	mark	_	TokenRange=579:583
109	desenvolver	desenvolver	VERB	VERB	_	107	advcl	_	TokenRange=584:595
110-111	no	_	_	_	_	_	_	_	TokenRange=596:598
110	em	em	ADP	ADP	_	112	case	_	_
111	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	112	det	_	_
112	clube	clube	NOUN	NOUN	_	109	nmod	_	TokenRange=599:604
113	outras	_	DET	DET	_	114	det	_	TokenRange=605:611
114	pessoas	pessoa	NOUN	NOUN	_	220	nsubj	_	TokenRange=612:619
115	que	_	PRON	PRON	_	116	nsubj	_	TokenRange=620:623
116	tem	ter	VERB	VERB	_	114	acl:relcl	_	TokenRange=624:627
117	ou	ou	CCONJ	CONJ	_	118	cc	_	TokenRange=628:630
118	tiveram	ter	VERB	VERB	_	116	conj	_	TokenRange=631:638
119	relacao	relacao	NOUN	NOUN	_	118	obj	_	TokenRange=639:646
120	o	o	DET	DET	_	121	det	_	TokenRange=647:648
121	marketing	marketing	NOUN	NOUN	_	118	obj	_	TokenRange=649:658
122-123	do	_	_	_	_	_	_	_	TokenRange=659:661
122	de	de	ADP	ADP	_	124	case	_	_
123	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	124	det	_	_
124	corinthians	_	NOUN	NOUN	_	121	nmod	_	TokenRange=662:673
125	tambem	tambem	ADV	ADV	_	126	advmod	_	TokenRange=674:680
126	garantiram	garantir	VERB	VERB	_	102	acl:relcl	_	TokenRange=681:691
127	que	que	CCONJ	CONJ	_	129	mark	_	TokenRange=692:695
128	nunca	nunca	ADV	ADV	_	129	advmod	_	TokenRange=696:701
129	houve	haver	VERB	VERB	_	126	ccomp	_	TokenRange=702:707
130	servicos	servico	NOUN	NOUN	_	129	obj	_	TokenRange=708:716
131	realizados	realizar	VERB	VERB	_	130	acl	_	TokenRange=717:727
132-133	pelo	_	_	_	_	_	_	_	TokenRange=728:732
132	por	por	ADP	ADP	_	134	case	_	_
133	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	134	det	_	_
134	filho	filho	NOUN	NOUN	_	131	nmod	_	TokenRange=733:738
135	prodigio	prodigio	NOUN	NOUN	_	134	appos	_	TokenRange=739:747
136	de	de	ADP	ADP	_	137	case	_	TokenRange=748:750
137	lula	lula	NOUN	NOUN	_	135	nmod	_	TokenRange=751:755
138	abaixo	abaixo	ADV	ADV	_	139	advmod	_	TokenRange=756:762
139	trecho	trecho	NOUN	NOUN	_	156	parataxis	_	TokenRange=763:769
140-141	da	_	_	_	_	_	_	_	TokenRange=770:772
140	de	de	ADP	ADP	_	142	case	_	_
141	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	142	det	_	_
142	folha/sp	folha/sp	NOUN	NOUN	_	139	nmod	_	TokenRange=773:781
143	os	o	DET	DET	_	144	det	_	TokenRange=782:784
144	pagamentos	pagamento	NOUN	NOUN	_	156	nsubj	_	TokenRange=785:795
145-146	do	_	_	_	_	_	_	_	TokenRange=796:798
145	de	de	ADP	ADP	_	147	case	_	_
146	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	147	det	_	_
147	corinthians	_	NOUN	NOUN	_	144	nmod	_	TokenRange=799:810
148	para	para	ADP	ADP	_	149	case	_	TokenRange=811:815
149	luis	_	NOUN	NOUN	_	144	nmod	_	TokenRange=816:820
150	claudio	claudio	NOUN	NOUN	_	149	flat	_	TokenRange=821:828
151	ocorridos	ocorrer	VERB	VERB	_	144	acl	_	TokenRange=829:838
152	entre	_	ADP	ADP	_	153	case	_	TokenRange=839:844
153	2011	_	NUM	NUM	NumType=Card	151	nmod	_	TokenRange=845:849
154	e	e	CCONJ	CONJ	_	155	cc	_	TokenRange=850:851
155	2013	_	NUM	NUM	NumType=Card	153	conj	_	TokenRange=852:856
156	coincidem	coincidir	VERB	VERB	_	248	ccomp	_	TokenRange=857:866
157	parcialmente	parcialmente	ADV	ADV	_	156	advmod	_	TokenRange=867:879
158	com	com	ADP	ADP	_	160	case	_	TokenRange=880:883
159	o	o	DET	DET	_	160	det	_	TokenRange=884:885
160	periodo	periodo	NOUN	NOUN	_	156	nmod	_	TokenRange=886:893
161-162	da	_	_	_	_	_	_	_	TokenRange=894:896
161	de	de	ADP	ADP	_	163	case	_	_
162	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	163	det	_	_
163	construcao	construcao	NOUN	NOUN	_	160	nmod	_	TokenRange=897:907
164	com	com	ADP	ADP	_	165	case	_	TokenRange=908:911
165	emprestimos	emprestimo	NOUN	NOUN	_	163	nmod	_	TokenRange=912:923
166	federais	federal	ADJ	ADJ	_	165	amod	_	TokenRange=924:932
167-168	do	_	_	_	_	_	_	_	TokenRange=933:935
167	de	de	ADP	ADP	_	169	case	_	_
168	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	169	det	_	_
169	estadio	estadio	NOUN	NOUN	_	163	nmod	_	TokenRange=936:943
170-171	do	_	_	_	_	_	_	_	TokenRange=944:946
170	de	de	ADP	ADP	_	172	case	_	_
171	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	172	det	_	_
172	clube	clube	NOUN	NOUN	_	169	nmod	_	TokenRange=947:952
173	em	em	ADP	ADP	_	174	case	_	TokenRange=953:955
174	sao	sao	PROPN	PNOUN	_	163	nmod	_	TokenRange=956:959
175	paulo	paulo	ADJ	ADJ	_	174	amod	_	TokenRange=960:965
176	de	de	ADP	ADP	_	177	case	_	TokenRange=966:968
177	2011	_	NUM	NUM	NumType=Card	12	nmod	_	TokenRange=969:973
178	a	_	ADP	ADP	_	179	case	_	TokenRange=974:975
179	2014	_	NUM	NUM	NumType=Card	177	nmod	_	TokenRange=976:980
180	a	o	DET	DET	_	181	det	_	TokenRange=981:982
181	coincidencia	coincidencia	NOUN	NOUN	_	184	nsubj	_	TokenRange=983:995
182	de	de	ADP	ADP	_	183	case	_	TokenRange=996:998
183	datas	data	NOUN	NOUN	_	181	nmod	_	TokenRange=999:1004
184	abrira	abrir	VERB	VERB	_	95	parataxis	_	TokenRange=1005:1011
185	uma	um	DET	DET	_	187	det	_	TokenRange=1012:1015
186	nova	novo	ADJ	ADJ	_	187	amod	_	TokenRange=1016:1020
187	frente	frente	NOUN	NOUN	_	184	obj	_	TokenRange=1021:1027
188	de	de	ADP	ADP	_	189	case	_	TokenRange=1028:1030
189	investigacao	investigacao	NOUN	NOUN	_	187	nmod	_	TokenRange=1031:1043
190-191	da	_	_	_	_	_	_	_	TokenRange=1044:1046
190	de	de	ADP	ADP	_	192	case	_	_
191	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	192	det	_	_
192	policia	policia	NOUN	NOUN	_	187	nmod	_	TokenRange=1047:1054
193	federal	federal	ADJ	ADJ	_	192	amod	_	TokenRange=1055:1062
194-195	na	_	_	_	_	_	_	_	TokenRange=1063:1065
194	em	em	ADP	ADP	_	196	case	_	_
195	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	196	det	_	_
196	zelotes	zelote	NOUN	NOUN	_	73	nmod	_	TokenRange=1066:1073
197	segundo	_	ADP	ADP	_	198	case	_	TokenRange=1074:1081
198	investigadores	investigador	NOUN	NOUN	_	184	nmod	_	TokenRange=1082:1096
199	o	o	DET	DET	_	200	det	_	TokenRange=1097:1098
200	corinthians	_	NOUN	NOUN	_	208	nsubj	_	TokenRange=1099:1110
201	time	time	NOUN	NOUN	_	200	appos	_	TokenRange=1111:1115
202	de	de	ADP	ADP	_	203	case	_	TokenRange=1116:1118
203	lula	lula	NOUN	NOUN	_	201	nmod	_	TokenRange=1119:1123
204	o	_	PRON	PRON	_	208	obj	_	TokenRange=1124:1125
205	foi	_	AUX	AUX	_	208	cop	_	TokenRange=1126:1129
206	o	o	DET	DET	_	208	det	_	TokenRange=1130:1131
207	primeiro	primeiro	ADJ	ADJ	_	208	amod	_	TokenRange=1132:1140
208	cliente	cliente	NOUN	NOUN	_	95	ccomp	_	TokenRange=1141:1148
209-210	da	_	_	_	_	_	_	_	TokenRange=1149:1151
209	de	de	ADP	ADP	_	211	case	_	_
210	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	211	det	_	_
211	carreira	_	NOUN	NOUN	_	208	nmod	_	TokenRange=1152:1160
212	de	de	ADP	ADP	_	213	case	_	TokenRange=1161:1163
213	empresario	empresario	NOUN	NOUN	_	211	nmod	_	TokenRange=1164:1174
214	de	de	ADP	ADP	_	215	case	_	TokenRange=1175:1177
215	marketing	marketing	NOUN	NOUN	_	213	nmod	_	TokenRange=1178:1187
216	esportivo	esportivo	ADJ	ADJ	_	215	amod	_	TokenRange=1188:1197
217	de	de	ADP	ADP	_	218	case	_	TokenRange=1198:1200
218	luis	_	NOUN	NOUN	_	213	nmod	_	TokenRange=1201:1205
219	claudio	claudio	NOUN	NOUN	_	218	flat	_	TokenRange=1206:1213
220	iniciada	iniciar	VERB	VERB	_	208	acl	_	TokenRange=1214:1222
221	com	com	ADP	ADP	_	223	case	_	TokenRange=1223:1226
222	a	o	DET	DET	_	223	det	_	TokenRange=1227:1228
223	criacao	criacao	NOUN	NOUN	_	220	nmod	_	TokenRange=1229:1236
224-225	da	_	_	_	_	_	_	_	TokenRange=1237:1239
224	de	de	ADP	ADP	_	226	case	_	_
225	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	226	det	_	_
226	empresa	empresa	NOUN	NOUN	_	223	nmod	_	TokenRange=1240:1247
227	lft	_	PROPN	PNOUN	_	226	appos	_	TokenRange=1248:1251
228	em	em	ADP	ADP	_	229	case	_	TokenRange=1252:1254
229	2011	_	NUM	NUM	NumType=Card	220	nmod	_	TokenRange=1255:1259
230	em	em	ADP	ADP	_	231	case	_	TokenRange=1260:1262
231	novembro	_	PROPN	PNOUN	_	220	nmod	_	TokenRange=1263:1271
232	de	de	ADP	ADP	_	233	case	_	TokenRange=1272:1274
233	2015	_	NUM	NUM	NumType=Card	231	nmod	_	TokenRange=1275:1279
234	a	o	DET	DET	_	235	det	_	TokenRange=1280:1281
235	revista	revista	NOUN	NOUN	_	208	nsubj	_	TokenRange=1282:1289
236	epoca	epoca	NOUN	NOUN	_	235	appos	_	TokenRange=1290:1295
237	que	_	PRON	PRON	_	238	nsubj	_	TokenRange=1296:1299
238	teve	ter	VERB	VERB	_	235	acl:relcl	_	TokenRange=1300:1304
239	acesso	acesso	NOUN	NOUN	_	238	obj	_	TokenRange=1305:1311
240-241	ao	_	_	_	_	_	_	_	TokenRange=1312:1314
240	a	a	ADP	ADP	_	242	case	_	_
241	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	242	det	_	_
242	depoimento	depoimento	NOUN	NOUN	_	239	nmod	_	TokenRange=1315:1325
243	de	de	ADP	ADP	_	244	case	_	TokenRange=1326:1328
244	luis	_	NOUN	NOUN	_	242	nmod	_	TokenRange=1329:1333
245	claudio	claudio	NOUN	NOUN	_	244	flat	_	TokenRange=1334:1341
246	a	_	ADP	ADP	_	247	case	_	TokenRange=1342:1343
247	pf	_	NOUN	NOUN	_	238	iobj	_	TokenRange=1344:1346
248	revelou	revelar	VERB	VERB	_	95	ccomp	_	TokenRange=1347:1354
249	que	que	CCONJ	CONJ	_	254	mark	_	TokenRange=1355:1358
250	o	o	DET	DET	_	251	det	_	TokenRange=1359:1360
251	filho	filho	NOUN	NOUN	_	254	nsubj	_	TokenRange=1361:1366
252	de	de	ADP	ADP	_	253	case	_	TokenRange=1367:1369
253	lula	lula	NOUN	NOUN	_	251	nmod	_	TokenRange=1370:1374
254	afirmou	afirmar	VERB	VERB	_	248	ccomp	_	TokenRange=1375:1382
255	ter	ter	AUX	AUX	_	256	aux	_	TokenRange=1383:1386
256	recebido	receber	VERB	VERB	_	254	xcomp	_	TokenRange=1387:1395
257-258	ao	_	_	_	_	_	_	_	TokenRange=1396:1398
257	a	a	ADP	ADP	_	259	case	_	_
258	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	259	det	_	_
259	menos	menos	ADV	ADV	_	262	advmod	_	TokenRange=1399:1404
260	r	r	NOUN	NOUN	_	256	obj	_	TokenRange=1405:1406
261	300	_	NUM	NUM	NumType=Card	262	nummod	_	TokenRange=1407:1410
262	mil	_	NUM	NUM	NumType=Card	260	nummod	_	TokenRange=1411:1414
263	por	por	ADP	ADP	_	264	case	_	TokenRange=1415:1418
264	ano	ano	NOUN	NOUN	_	256	nmod	_	TokenRange=1419:1422
265-266	do	_	_	_	_	_	_	_	TokenRange=1423:1425
265	de	de	ADP	ADP	_	267	case	_	_
266	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	267	det	_	_
267	corinthians	_	NOUN	NOUN	_	264	nmod	_	TokenRange=1426:1437
268	neste	_	ADP	ADP	_	269	case	_	TokenRange=1438:1443
269	periodo	periodo	NOUN	NOUN	_	256	nmod	_	TokenRange=1444:1451

