# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na inglaterra trump significa pum veja outras traducoes notaveis do sobrenome do presidente dos eua as traducoes nem sempre sao agradaveis mas donald trump sempre gostou de dar boas risadas e nunca se ofendeu com brincadeiras pelo menos antes de ser presidente sera que ele ja teve a curiosidade de checar os varios significados de seu nome bem la vai noruegues trump ou trumpa traduzse como uma substancia pegajosa algo que pisamos em cima e nao sai do sapato catalao trumpello significa a cor amarela e alternativamente urina mandarim trumphao tem dois significados possiveis uma escalada perigosa de tensoes desencadeadas por uma disputa comercial ou simplesmente escada rolante dinamarques os dinamarqueses usam a palavra trumpsen para transmitir a sensacao de tristeza polones trumpczyk e definido como algo enorme vietnamita nesta lingua do sudeste asiatico trumpyen denota ferrugem causada pela oxidacao e umidade russo a palavra trumpovski significa fantoche ou peao em russo arabe trumpadi e uma forma de repreensao ou de repreender de outros especialmente empregados alemao os alemaes usam o sobrenome original do presidente drumpf ao se referir ao racismo ou a alguem racista hebraico em israel e em outros lugares onde o hebraico e falado um trumpowitz e um individuo emocionalmente atrofiado obcecado com sua mae ou um filhinho da mamae turco a palavra trumpogan e usada para denotar um penteado esquisito ou pouco frequente grego a palavra trumpolous entrou na lingua grega no tempo de platao e se refere a uma pessoa que se esquiva do servico militar ou da guerra japones no japao eles tem uma palavra muito precisa para falencias que envolvem propriedades imobiliarias trumpimoto frances um autoretrato e chamado de trumpeau em frances espanhol trumpierdo e definido como um estado agudo de confusao medo ou descrenca ingles da inglaterra significa um pum ou vulgarmente falando peido tambem pode significar uma trombeta ou um trompete swahili dialeto trumpaea e comumente usado na tanzania e no quenia e em outros paises africanos significa vagina
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
23	sempre	sempre	ADV	ADV	_	24	advmod	_	TokenRange=117:123
24	sao	_	VERB	VERB	_	5	conj	_	TokenRange=124:127
25	agradaveis	agradavel	ADJ	ADJ	_	24	xcomp	_	TokenRange=128:138
26	mas	mas	CCONJ	CONJ	_	24	cc	_	TokenRange=139:142
27	donald	_	NOUN	NOUN	_	30	nsubj	_	TokenRange=143:149
28	trump	_	NOUN	NOUN	_	27	flat	_	TokenRange=150:155
29	sempre	sempre	ADV	ADV	_	30	advmod	_	TokenRange=156:162
30	gostou	gostar	VERB	VERB	_	24	conj	_	TokenRange=163:169
31	de	_	ADP	ADP	_	32	mark	_	TokenRange=170:172
32	dar	dar	VERB	VERB	_	30	nmod	_	TokenRange=173:176
33	boas	bom	ADJ	ADJ	_	34	amod	_	TokenRange=177:181
34	risadas	_	NOUN	NOUN	_	32	obj	_	TokenRange=182:189
35	e	e	CCONJ	CONJ	_	38	cc	_	TokenRange=190:191
36	nunca	nunca	ADV	ADV	_	38	advmod	_	TokenRange=192:197
37	se	_	PRON	PRON	_	38	obj	_	TokenRange=198:200
38	ofendeu	ofender	VERB	VERB	_	52	conj	_	TokenRange=201:208
39	com	com	ADP	ADP	_	40	case	_	TokenRange=209:212
40	brincadeiras	brincadeira	NOUN	NOUN	_	38	nmod	_	TokenRange=213:225
41-42	pelo	_	_	_	_	_	_	_	TokenRange=226:230
41	por	por	ADP	ADP	_	43	case	_	_
42	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	43	det	_	_
43	menos	menos	ADV	ADV	_	44	nmod	_	TokenRange=231:236
44	antes	antes	ADV	ADV	_	47	mark	_	TokenRange=237:242
45	de	_	ADP	ADP	_	44	fixed	_	TokenRange=243:245
46	ser	ser	AUX	AUX	_	47	cop	_	TokenRange=246:249
47	presidente	presidente	NOUN	NOUN	_	38	advcl	_	TokenRange=250:260
48	sera	_	VERB	VERB	_	24	conj	_	TokenRange=261:265
49	que	que	CCONJ	CONJ	_	52	mark	_	TokenRange=266:269
50	ele	_	PRON	PRON	_	52	nsubj	_	TokenRange=270:273
51	ja	ja	ADV	ADV	_	52	advmod	_	TokenRange=274:276
52	teve	ter	VERB	VERB	_	48	csubj	_	TokenRange=277:281
53	a	o	DET	DET	_	54	det	_	TokenRange=282:283
54	curiosidade	curiosidade	NOUN	NOUN	_	52	obj	_	TokenRange=284:295
55	de	_	ADP	ADP	_	56	mark	_	TokenRange=296:298
56	checar	checar	VERB	VERB	_	54	nmod	_	TokenRange=299:305
57	os	o	DET	DET	_	59	det	_	TokenRange=306:308
58	varios	_	DET	DET	_	59	det	_	TokenRange=309:315
59	significados	significado	NOUN	NOUN	_	56	obj	_	TokenRange=316:328
60	de	de	ADP	ADP	_	62	case	_	TokenRange=329:331
61	seu	_	DET	DET	_	62	det:poss	_	TokenRange=332:335
62	nome	nome	NOUN	NOUN	_	59	nmod	_	TokenRange=336:340
63	bem	bem	ADV	ADV	_	65	advmod	_	TokenRange=341:344
64	la	_	PRON	PRON	_	65	nsubj	_	TokenRange=345:347
65	vai	ir	VERB	VERB	_	244	conj	_	TokenRange=348:351
66	noruegues	noruegue	ADJ	ADJ	_	65	xcomp	_	TokenRange=352:361
67	trump	trump	NOUN	NOUN	_	244	nsubj	_	TokenRange=362:367
68	ou	ou	CCONJ	CONJ	_	69	cc	_	TokenRange=368:370
69	trumpa	_	NOUN	NOUN	_	67	conj	_	TokenRange=371:377
70	traduzse	traduzsar	VERB	VERB	_	189	conj	_	TokenRange=378:386
71	como	como	ADP	ADP	_	73	case	_	TokenRange=387:391
72	uma	um	DET	DET	_	73	det	_	TokenRange=392:395
73	substancia	substancia	NOUN	NOUN	_	244	nmod	_	TokenRange=396:406
74	pegajosa	pegajoso	ADJ	ADJ	_	73	amod	_	TokenRange=407:415
75	algo	_	PRON	PRON	_	73	appos	_	TokenRange=416:420
76	que	_	PRON	PRON	_	77	obj	_	TokenRange=421:424
77	pisamos	pisar	VERB	VERB	_	75	acl:relcl	_	TokenRange=425:432
78	em	em	ADP	ADP	_	79	case	_	TokenRange=433:435
79	cima	cima	NOUN	NOUN	_	77	nmod	_	TokenRange=436:440
80	e	e	CCONJ	CONJ	_	82	cc	_	TokenRange=441:442
81	nao	nao	ADV	ADV	Polarity=Neg	82	advmod	_	TokenRange=443:446
82	sai	sair	VERB	VERB	_	314	conj	_	TokenRange=447:450
83-84	do	_	_	_	_	_	_	_	TokenRange=451:453
83	de	de	ADP	ADP	_	85	case	_	_
84	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	85	det	_	_
85	sapato	sapato	NOUN	NOUN	_	82	nmod	_	TokenRange=454:460
86	catalao	catalao	ADJ	ADJ	_	85	amod	_	TokenRange=461:468
87	trumpello	_	NOUN	NOUN	_	347	nsubj	_	TokenRange=469:478
88	significa	significar	VERB	VERB	_	155	conj	_	TokenRange=479:488
89	a	o	DET	DET	_	90	det	_	TokenRange=489:490
90	cor	cor	NOUN	NOUN	_	347	obj	_	TokenRange=491:494
91	amarela	amarelo	ADJ	ADJ	_	90	amod	_	TokenRange=495:502
92	e	e	CCONJ	CONJ	_	94	cc	_	TokenRange=503:504
93	alternativamente	alternativamente	ADV	ADV	_	94	advmod	_	TokenRange=505:521
94	urina	urina	NOUN	NOUN	_	348	conj	_	TokenRange=522:527
95	mandarim	mandar	VERB	VERB	_	347	conj	_	TokenRange=528:536
96	trumphao	trumphao	NOUN	NOUN	_	95	obj	_	TokenRange=537:545
97	tem	ter	VERB	VERB	_	5	conj	_	TokenRange=546:549
98	dois	_	NUM	NUM	NumType=Card	99	nummod	_	TokenRange=550:554
99	significados	significado	NOUN	NOUN	_	347	obj	_	TokenRange=555:567
100	possiveis	possivel	ADJ	ADJ	_	99	amod	_	TokenRange=568:577
101	uma	um	DET	DET	_	102	det	_	TokenRange=578:581
102	escalada	escalada	NOUN	NOUN	_	155	nsubj	_	TokenRange=582:590
103	perigosa	perigoso	ADJ	ADJ	_	278	amod	_	TokenRange=591:599
104	de	de	ADP	ADP	_	105	case	_	TokenRange=600:602
105	tensoes	tensoe	NOUN	NOUN	_	102	nmod	_	TokenRange=603:610
106	desencadeadas	desencadear	VERB	VERB	_	105	acl	_	TokenRange=611:624
107	por	por	ADP	ADP	_	109	case	_	TokenRange=625:628
108	uma	um	DET	DET	_	109	det	_	TokenRange=629:632
109	disputa	disputa	NOUN	NOUN	_	106	nmod	_	TokenRange=633:640
110	comercial	comercial	ADJ	ADJ	_	109	amod	_	TokenRange=641:650
111	ou	ou	CCONJ	CONJ	_	113	cc	_	TokenRange=651:653
112	simplesmente	simplesmente	ADV	ADV	_	113	advmod	_	TokenRange=654:666
113	escada	escada	NOUN	NOUN	_	337	conj	_	TokenRange=667:673
114	rolante	rolante	ADJ	ADJ	_	113	amod	_	TokenRange=674:681
115	dinamarques	dinamarque	ADJ	ADJ	_	270	amod	_	TokenRange=682:693
116	os	o	DET	DET	_	117	det	_	TokenRange=694:696
117	dinamarqueses	dinamarquese	NOUN	NOUN	_	118	nsubj	_	TokenRange=697:710
118	usam	usar	VERB	VERB	_	5	parataxis	_	TokenRange=711:715
119	a	o	DET	DET	_	120	det	_	TokenRange=716:717
120	palavra	palavra	NOUN	NOUN	_	118	obj	_	TokenRange=718:725
121	trumpsen	_	NOUN	NOUN	_	120	appos	_	TokenRange=726:734
122	para	_	ADP	ADP	_	123	mark	_	TokenRange=735:739
123	transmitir	transmitir	VERB	VERB	_	118	advcl	_	TokenRange=740:750
124	a	o	DET	DET	_	125	det	_	TokenRange=751:752
125	sensacao	sensacao	NOUN	NOUN	_	123	obj	_	TokenRange=753:761
126	de	de	ADP	ADP	_	127	case	_	TokenRange=762:764
127	tristeza	tristeza	NOUN	NOUN	_	125	nmod	_	TokenRange=765:773
128	polones	polone	ADJ	ADJ	_	127	amod	_	TokenRange=774:781
129	trumpczyk	_	NOUN	NOUN	_	316	appos	_	TokenRange=782:791
130	e	e	CCONJ	CONJ	_	82	cc	_	TokenRange=792:793
131	definido	definir	VERB	VERB	_	129	conj	_	TokenRange=794:802
132	como	como	ADP	ADP	_	85	case	_	TokenRange=803:807
133	algo	_	PRON	PRON	_	131	nmod	_	TokenRange=808:812
134	enorme	enorme	ADJ	ADJ	_	85	amod	_	TokenRange=813:819
135	vietnamita	vietnamito	NOUN	NOUN	_	85	amod	_	TokenRange=820:830
136	nesta	_	ADP	ADP	_	137	case	_	TokenRange=831:836
137	lingua	lingua	NOUN	NOUN	_	106	nmod	_	TokenRange=837:843
138-139	do	_	_	_	_	_	_	_	TokenRange=844:846
138	de	de	ADP	ADP	_	140	case	_	_
139	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	140	det	_	_
140	sudeste	sudeste	NOUN	NOUN	_	137	nmod	_	TokenRange=847:854
141	asiatico	asiatico	ADJ	ADJ	_	140	amod	_	TokenRange=855:863
142	trumpyen	_	NOUN	NOUN	_	153	appos	_	TokenRange=864:872
143	denota	denotar	VERB	VERB	_	5	conj	_	TokenRange=873:879
144	ferrugem	ferrugem	NOUN	NOUN	_	143	obj	_	TokenRange=880:888
145	causada	causar	VERB	VERB	_	278	acl	_	TokenRange=889:896
146-147	pela	_	_	_	_	_	_	_	TokenRange=897:901
146	por	por	ADP	ADP	_	148	case	_	_
147	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	148	det	_	_
148	oxidacao	oxidacao	NOUN	NOUN	_	145	nmod	_	TokenRange=902:910
149	e	e	CCONJ	CONJ	_	150	cc	_	TokenRange=911:912
150	umidade	umidade	NOUN	NOUN	_	148	conj	_	TokenRange=913:920
151	russo	russo	ADJ	ADJ	_	150	amod	_	TokenRange=921:926
152	a	o	DET	DET	_	153	det	_	TokenRange=927:928
153	palavra	palavra	NOUN	NOUN	_	155	nsubj	_	TokenRange=929:936
154	trumpovski	_	PROPN	PNOUN	_	153	appos	_	TokenRange=937:947
155	significa	significar	VERB	VERB	_	24	parataxis	_	TokenRange=948:957
156	fantoche	fantoche	NOUN	NOUN	_	155	obj	_	TokenRange=958:966
157	ou	ou	CCONJ	CONJ	_	158	cc	_	TokenRange=967:969
158	peao	peao	NOUN	NOUN	_	156	conj	_	TokenRange=970:974
159	em	em	ADP	ADP	_	160	case	_	TokenRange=975:977
160	russo	russo	NOUN	NOUN	_	155	nmod	_	TokenRange=978:983
161	arabe	arabe	ADJ	ADJ	_	160	amod	_	TokenRange=984:989
162	trumpadi	_	NOUN	NOUN	_	210	appos	_	TokenRange=990:998
163	e	e	CCONJ	CONJ	_	165	cc	_	TokenRange=999:1000
164	uma	um	DET	DET	_	165	det	_	TokenRange=1001:1004
165	forma	forma	NOUN	NOUN	_	210	conj	_	TokenRange=1005:1010
166	de	de	ADP	ADP	_	167	case	_	TokenRange=1011:1013
167	repreensao	repreensao	NOUN	NOUN	_	165	nmod	_	TokenRange=1014:1024
168	ou	ou	CCONJ	CONJ	_	170	cc	_	TokenRange=1025:1027
169	de	_	ADP	ADP	_	170	mark	_	TokenRange=1028:1030
170	repreender	repreender	VERB	VERB	_	167	conj	_	TokenRange=1031:1041
171	de	de	ADP	ADP	_	174	case	_	TokenRange=1042:1044
172	outros	_	PRON	PRON	_	170	nmod	_	TokenRange=1045:1051
173	especialmente	especialmente	ADV	ADV	_	174	advmod	_	TokenRange=1052:1065
174	empregados	empregado	NOUN	NOUN	_	170	acl	_	TokenRange=1066:1076
175	alemao	alemao	ADJ	ADJ	_	174	amod	_	TokenRange=1077:1083
176	os	o	DET	DET	_	177	det	_	TokenRange=1084:1086
177	alemaes	_	NOUN	NOUN	_	178	nsubj	_	TokenRange=1087:1094
178	usam	usar	VERB	VERB	_	48	conj	_	TokenRange=1095:1099
179	o	o	DET	DET	_	180	det	_	TokenRange=1100:1101
180	sobrenome	sobrenome	NOUN	NOUN	_	178	obj	_	TokenRange=1102:1111
181	original	original	ADJ	ADJ	_	180	amod	_	TokenRange=1112:1120
182-183	do	_	_	_	_	_	_	_	TokenRange=1121:1123
182	de	de	ADP	ADP	_	184	case	_	_
183	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	184	det	_	_
184	presidente	presidente	NOUN	NOUN	_	180	nmod	_	TokenRange=1124:1134
185	drumpf	_	ADJ	ADJ	_	184	amod	_	TokenRange=1135:1141
186-187	ao	_	_	_	_	_	_	_	TokenRange=1142:1144
186	a	a	ADP	ADP	_	189	case	_	_
187	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	189	det	_	_
188	se	_	PART	PRT	_	189	expl:pv	_	TokenRange=1145:1147
189	referir	referir	VERB	VERB	_	178	advcl	_	TokenRange=1148:1155
190-191	ao	_	_	_	_	_	_	_	TokenRange=1156:1158
190	a	a	ADP	ADP	_	192	case	_	_
191	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	192	det	_	_
192	racismo	racismo	NOUN	NOUN	_	189	nmod	_	TokenRange=1159:1166
193	ou	ou	CCONJ	CONJ	_	195	cc	_	TokenRange=1167:1169
194	a	_	ADP	ADP	_	195	case	_	TokenRange=1170:1171
195	alguem	_	NOUN	NOUN	_	192	conj	_	TokenRange=1172:1178
196	racista	racista	ADJ	ADJ	_	195	amod	_	TokenRange=1179:1186
197	hebraico	hebraico	ADJ	ADJ	_	195	amod	_	TokenRange=1187:1195
198	em	em	ADP	ADP	_	199	case	_	TokenRange=1196:1198
199	israel	israel	NOUN	NOUN	_	244	nmod	_	TokenRange=1199:1205
200	e	e	CCONJ	CONJ	_	203	cc	_	TokenRange=1206:1207
201	em	em	ADP	ADP	_	203	case	_	TokenRange=1208:1210
202	outros	_	DET	DET	_	203	det	_	TokenRange=1211:1217
203	lugares	lugar	NOUN	NOUN	_	199	conj	_	TokenRange=1218:1225
204	onde	onde	ADV	ADV	_	208	advmod	_	TokenRange=1226:1230
205	o	o	DET	DET	_	206	det	_	TokenRange=1231:1232
206	hebraico	hebraico	NOUN	NOUN	_	208	nsubj:pass	_	TokenRange=1233:1241
207	e	_	AUX	AUX	_	208	aux:pass	_	TokenRange=1242:1243
208	falado	falar	VERB	VERB	_	203	acl:relcl	_	TokenRange=1244:1250
209	um	um	DET	DET	_	210	det	_	TokenRange=1251:1253
210	trumpowitz	_	NOUN	NOUN	_	155	nsubj	_	TokenRange=1254:1264
211	e	e	CCONJ	CONJ	_	213	cc	_	TokenRange=1265:1266
212	um	um	DET	DET	_	213	det	_	TokenRange=1267:1269
213	individuo	individuo	NOUN	NOUN	_	210	conj	_	TokenRange=1270:1279
214	emocionalmente	emocionalmente	ADV	ADV	_	215	advmod	_	TokenRange=1280:1294
215	atrofiado	atrofiado	ADJ	ADJ	_	213	amod	_	TokenRange=1295:1304
216	obcecado	obcecar	VERB	VERB	_	213	acl	_	TokenRange=1305:1313
217	com	com	ADP	ADP	_	219	case	_	TokenRange=1314:1317
218	sua	_	DET	DET	_	219	det:poss	_	TokenRange=1318:1321
219	mae	mae	NOUN	NOUN	_	216	nmod	_	TokenRange=1322:1325
220	ou	ou	CCONJ	CONJ	_	222	cc	_	TokenRange=1326:1328
221	um	um	DET	DET	_	222	det	_	TokenRange=1329:1331
222	filhinho	filhinho	NOUN	NOUN	_	337	conj	_	TokenRange=1332:1340
223-224	da	_	_	_	_	_	_	_	TokenRange=1341:1343
223	de	de	ADP	ADP	_	225	case	_	_
224	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	225	det	_	_
225	mamae	mamae	NOUN	NOUN	_	222	nmod	_	TokenRange=1344:1349
226	turco	turco	ADJ	ADJ	_	225	amod	_	TokenRange=1350:1355
227	a	o	DET	DET	_	228	det	_	TokenRange=1356:1357
228	palavra	palavra	NOUN	NOUN	_	244	nsubj	_	TokenRange=1358:1365
229	trumpogan	_	NOUN	NOUN	_	228	appos	_	TokenRange=1366:1375
230	e	_	CCONJ	CONJ	_	231	cc	_	TokenRange=1376:1377
231	usada	usar	VERB	VERB	_	52	conj	_	TokenRange=1378:1383
232	para	_	ADP	ADP	_	233	mark	_	TokenRange=1384:1388
233	denotar	denotar	VERB	VERB	_	231	advcl	_	TokenRange=1389:1396
234	um	um	DET	DET	_	235	det	_	TokenRange=1397:1399
235	penteado	penteado	NOUN	NOUN	_	233	obj	_	TokenRange=1400:1408
236	esquisito	esquisito	ADJ	ADJ	_	235	amod	_	TokenRange=1409:1418
237	ou	ou	CCONJ	CONJ	_	239	cc	_	TokenRange=1419:1421
238	pouco	pouco	ADV	ADV	_	239	advmod	_	TokenRange=1422:1427
239	frequente	frequente	ADJ	ADJ	_	236	conj	_	TokenRange=1428:1437
240	grego	grego	ADJ	NOUN	_	236	conj	_	TokenRange=1438:1443
241	a	o	DET	DET	_	242	det	_	TokenRange=1444:1445
242	palavra	palavra	NOUN	NOUN	_	244	nsubj	_	TokenRange=1446:1453
243	trumpolous	_	NOUN	NOUN	_	242	appos	_	TokenRange=1454:1464
244	entrou	entrar	VERB	VERB	_	52	conj	_	TokenRange=1465:1471
245-246	na	_	_	_	_	_	_	_	TokenRange=1472:1474
245	em	em	ADP	ADP	_	247	case	_	_
246	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	247	det	_	_
247	lingua	lingua	NOUN	NOUN	_	244	nmod	_	TokenRange=1475:1481
248	grega	grego	ADJ	ADJ	_	247	amod	_	TokenRange=1482:1487
249-250	no	_	_	_	_	_	_	_	TokenRange=1488:1490
249	em	em	ADP	ADP	_	251	case	_	_
250	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	251	det	_	_
251	tempo	tempo	NOUN	NOUN	_	244	nmod	_	TokenRange=1491:1496
252	de	de	ADP	ADP	_	253	case	_	TokenRange=1497:1499
253	platao	platao	NOUN	NOUN	_	251	nmod	_	TokenRange=1500:1506
254	e	e	CCONJ	CONJ	_	256	cc	_	TokenRange=1507:1508
255	se	_	PRON	PRT	_	256	expl:pv	_	TokenRange=1509:1511
256	refere	referir	VERB	VERB	_	244	conj	_	TokenRange=1512:1518
257	a	_	ADP	ADP	_	259	case	_	TokenRange=1519:1520
258	uma	um	DET	DET	_	259	det	_	TokenRange=1521:1524
259	pessoa	pessoa	NOUN	NOUN	_	256	nmod	_	TokenRange=1525:1531
260	que	_	PRON	PRON	_	262	nsubj	_	TokenRange=1532:1535
261	se	_	PRON	PRON	_	262	expl:pv	_	TokenRange=1536:1538
262	esquiva	esquivar	VERB	VERB	_	259	acl:relcl	_	TokenRange=1539:1546
263-264	do	_	_	_	_	_	_	_	TokenRange=1547:1549
263	de	de	ADP	ADP	_	265	case	_	_
264	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	265	det	_	_
265	servico	servico	NOUN	NOUN	_	262	nmod	_	TokenRange=1550:1557
266	militar	militar	ADJ	ADJ	_	265	amod	_	TokenRange=1558:1565
267	ou	ou	CCONJ	CONJ	_	270	cc	_	TokenRange=1566:1568
268-269	da	_	_	_	_	_	_	_	TokenRange=1569:1571
268	de	de	ADP	ADP	_	270	case	_	_
269	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	270	det	_	_
270	guerra	guerra	NOUN	NOUN	_	265	conj	_	TokenRange=1572:1578
271	japones	japone	ADJ	ADJ	_	270	amod	_	TokenRange=1579:1586
272-273	no	_	_	_	_	_	_	_	TokenRange=1587:1589
272	em	em	ADP	ADP	_	274	case	_	_
273	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	274	det	_	_
274	japao	japao	NOUN	NOUN	_	270	nmod	_	TokenRange=1590:1595
275	eles	_	PRON	PRON	_	276	nsubj	_	TokenRange=1596:1600
276	tem	ter	VERB	VERB	_	244	conj	_	TokenRange=1601:1604
277	uma	um	DET	DET	_	278	det	_	TokenRange=1605:1608
278	palavra	palavra	NOUN	NOUN	_	276	obj	_	TokenRange=1609:1616
279	muito	muito	ADV	ADV	_	280	advmod	_	TokenRange=1617:1622
280	precisa	preciso	ADJ	ADJ	_	278	amod	_	TokenRange=1623:1630
281	para	para	ADP	ADP	_	282	case	_	TokenRange=1631:1635
282	falencias	falencia	NOUN	NOUN	_	278	nmod	_	TokenRange=1636:1645
283	que	_	PRON	PRON	_	284	nsubj	_	TokenRange=1646:1649
284	envolvem	envolver	VERB	VERB	_	282	acl:relcl	_	TokenRange=1650:1658
285	propriedades	propriedade	NOUN	NOUN	_	284	obj	_	TokenRange=1659:1671
286	imobiliarias	imobiliario	ADJ	ADJ	_	285	amod	_	TokenRange=1672:1684
287	trumpimoto	_	ADJ	ADJ	_	285	amod	_	TokenRange=1685:1695
288	frances	france	ADJ	ADJ	_	285	amod	_	TokenRange=1696:1703
289	um	um	DET	DET	_	290	det	_	TokenRange=1704:1706
290	autoretrato	autoretrato	NOUN	NOUN	_	276	nsubj	_	TokenRange=1707:1718
291	e	e	CCONJ	CONJ	_	292	cc	_	TokenRange=1719:1720
292	chamado	chamar	VERB	VERB	_	276	conj	_	TokenRange=1721:1728
293	de	de	ADP	ADP	_	294	case	_	TokenRange=1729:1731
294	trumpeau	_	NOUN	NOUN	_	292	nmod	_	TokenRange=1732:1740
295	em	em	ADP	ADP	_	296	case	_	TokenRange=1741:1743
296	frances	france	NOUN	NOUN	_	292	nmod	_	TokenRange=1744:1751
297	espanhol	espanhol	ADJ	ADJ	_	296	amod	_	TokenRange=1752:1760
298	trumpierdo	trumpierdo	ADJ	ADJ	_	296	amod	_	TokenRange=1761:1771
299	e	e	CCONJ	CONJ	_	300	cc	_	TokenRange=1772:1773
300	definido	definir	VERB	VERB	_	276	conj	_	TokenRange=1774:1782
301	como	como	ADP	ADP	_	303	case	_	TokenRange=1783:1787
302	um	um	DET	DET	_	303	det	_	TokenRange=1788:1790
303	estado	estado	NOUN	NOUN	_	300	nmod	_	TokenRange=1791:1797
304	agudo	agudo	ADJ	ADJ	_	303	amod	_	TokenRange=1798:1803
305	de	de	ADP	ADP	_	306	case	_	TokenRange=1804:1806
306	confusao	confusao	NOUN	NOUN	_	303	nmod	_	TokenRange=1807:1815
307	medo	medo	NOUN	NOUN	_	306	flat	_	TokenRange=1816:1820
