# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acredite se quiser aeronave que transportava ministro do stf nao possuia caixa preta a informacao foi passada a veja atraves da assessoria de imprensa da forca aerea brasileira a aeronave era do modelo king air c90gt da fabricante hawker beechcraft modelo 2007 de acordo com especialistas era um aviao praticamente novo o king air c90gt e considerado uma aeronave segura e confiavel o piloto luis guilherme andrade dono de uma escola de aviacao disse e uma aviao muito seguro consegue voar com um so motor oito acidentes foram registrados com esse tipo de aeronave desde 2010 resultando em onze mortes leia tambem
1	acredite	acreditar	VERB	VERB	_	0	root	_	TokenRange=0:8
64	aeronave	aeronave	NOUN	NOUN	_	54	conj	_	TokenRange=355:363
65	segura	seguro	ADJ	ADJ	_	64	amod	_	TokenRange=364:370
66	e	e	CCONJ	CONJ	_	67	cc	_	TokenRange=371:372
67	confiavel	confiavel	ADJ	ADJ	_	65	conj	_	TokenRange=373:382
68	o	o	DET	DET	_	69	det	_	TokenRange=383:384
69	piloto	piloto	NOUN	NOUN	_	54	nsubj	_	TokenRange=385:391
70	luis	_	ADJ	NOUN	_	69	appos	_	TokenRange=392:396
71	guilherme	guilherme	NOUN	NOUN	_	70	flat	_	TokenRange=397:406
72	andrade	andrade	NOUN	NOUN	_	70	flat	_	TokenRange=407:414
73	dono	dono	NOUN	NOUN	_	69	appos	_	TokenRange=415:419
74	de	de	ADP	ADP	_	76	case	_	TokenRange=420:422
75	uma	um	DET	DET	_	76	det	_	TokenRange=423:426
76	escola	escola	NOUN	NOUN	_	73	nmod	_	TokenRange=427:433
77	de	de	ADP	ADP	_	78	case	_	TokenRange=434:436
78	aviacao	aviacao	NOUN	NOUN	_	76	nmod	_	TokenRange=437:444
79	disse	dizer	VERB	VERB	_	54	parataxis	_	TokenRange=445:450
80	e	e	CCONJ	CONJ	_	85	cc	_	TokenRange=451:452
81	uma	um	DET	DET	_	82	det	_	TokenRange=453:456
82	aviao	aviao	NOUN	NOUN	_	94	nsubj:pass	_	TokenRange=457:462
83	muito	muito	ADV	ADV	_	84	advmod	_	TokenRange=463:468
84	seguro	seguro	ADJ	ADJ	_	82	amod	_	TokenRange=469:475
85	consegue	conseguir	VERB	VERB	_	79	ccomp	_	TokenRange=476:484
86	voar	voar	VERB	VERB	_	85	xcomp	_	TokenRange=485:489
87	com	com	ADP	ADP	_	90	case	_	TokenRange=490:493
88	um	um	DET	DET	_	90	det	_	TokenRange=494:496
89	so	so	ADJ	ADJ	_	90	amod	_	TokenRange=497:499
90	motor	motor	NOUN	NOUN	_	86	nmod	_	TokenRange=500:505
91	oito	_	NUM	NUM	NumType=Card	92	nummod	_	TokenRange=506:510
92	acidentes	acidente	NOUN	NOUN	_	94	nsubj:pass	_	TokenRange=511:520
93	foram	_	AUX	AUX	_	94	aux:pass	_	TokenRange=521:526
94	registrados	registrar	VERB	VERB	_	79	ccomp	_	TokenRange=527:538
95	com	com	ADP	ADP	_	97	case	_	TokenRange=539:542
96	esse	_	DET	DET	_	97	det	_	TokenRange=543:547
97	tipo	tipo	NOUN	NOUN	_	94	nmod	_	TokenRange=548:552
98	de	de	ADP	ADP	_	99	case	_	TokenRange=553:555
99	aeronave	aeronave	NOUN	NOUN	_	97	nmod	_	TokenRange=556:564
100	desde	_	ADP	ADP	_	101	case	_	TokenRange=565:570
101	2010	_	NUM	NUM	NumType=Card	94	nmod	_	TokenRange=571:575
102	resultando	resultar	VERB	VERB	_	94	acl	_	TokenRange=576:586
103	em	em	ADP	ADP	_	105	case	_	TokenRange=587:589
104	onze	_	NUM	NUM	NumType=Card	105	nummod	_	TokenRange=590:594
105	mortes	morte	NOUN	NOUN	_	102	nmod	_	TokenRange=595:601
106	leia	ler	VERB	VERB	_	79	parataxis	_	TokenRange=602:606
107	tambem	tambem	ADV	ADV	_	106	advmod	_	TokenRange=607:613

