# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos poucos o brasil vai se tornando uma venezuela logo teremos ocupacao militar em 100 do territorio a noticia foi publicada no diario oficial da uniao amanda nunes bruckner e claro que se trata de mais uma mala direta do governo federal para fazer propaganda de supostas acoes positivas de michel temer mas vamos ao que interessa os governos estadual e federal perderam o controle da situacao no que diz respeito a seguranca publica alem dos estados do espirito santo amazonas e rio de janeiro o ministerio da justica autorizou hoje 20 o uso da forca nacional de seguranca publica para os estados do rio grande do sul rio grande do norte e sergipe a deliberacao esta publicada no diario oficial da uniao dou desta segundafeira o reforco tera como objetivo a reducao de homicidios violencia contra a mulher e o crime organizado em geral resumindo o brasil tem hoje 27 estados incluindo o df mais de 20 6 estados do pais ja esta tomado por tropas nao convencionais no ritmo que estamos evoluindo ate o inicio de 2018 teremos todo o territorio tomado pelos militares sera que isso e bom
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
36	que	que	CCONJ	CONJ	_	38	mark	_	TokenRange=182:185
37	se	_	PRON	PRON	_	38	expl:pv	_	TokenRange=186:188
38	trata	tratar	VERB	VERB	_	23	conj	_	TokenRange=189:194
39	de	de	ADP	ADP	_	42	case	_	TokenRange=195:197
40	mais	mais	ADV	ADV	_	41	advmod	_	TokenRange=198:202
41	uma	_	NUM	NUM	NumType=Card	42	nummod	_	TokenRange=203:206
42	mala	mala	NOUN	NOUN	_	38	nmod	_	TokenRange=207:211
43	direta	direto	ADJ	ADJ	_	42	amod	_	TokenRange=212:218
44-45	do	_	_	_	_	_	_	_	TokenRange=219:221
44	de	de	ADP	ADP	_	46	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	46	det	_	_
46	governo	governo	NOUN	NOUN	_	42	nmod	_	TokenRange=222:229
47	federal	federal	ADJ	ADJ	_	46	amod	_	TokenRange=230:237
48	para	_	ADP	ADP	_	49	mark	_	TokenRange=238:242
49	fazer	fazer	VERB	VERB	_	38	advcl	_	TokenRange=243:248
50	propaganda	propaganda	NOUN	NOUN	_	49	obj	_	TokenRange=249:259
51	de	de	ADP	ADP	_	53	case	_	TokenRange=260:262
52	supostas	suposto	ADJ	ADJ	_	53	amod	_	TokenRange=263:271
53	acoes	acoe	NOUN	NOUN	_	50	nmod	_	TokenRange=272:277
54	positivas	positivo	ADJ	ADJ	_	53	amod	_	TokenRange=278:287
55	de	de	ADP	ADP	_	56	case	_	TokenRange=288:290
56	michel	michel	NOUN	NOUN	_	53	nmod	_	TokenRange=291:297
57	temer	temer	NOUN	NOUN	_	56	flat	_	TokenRange=298:303
58	mas	mas	CCONJ	CONJ	_	59	cc	_	TokenRange=304:307
59	vamos	ir	VERB	VERB	_	23	conj	_	TokenRange=308:313
60-61	ao	_	_	_	_	_	_	_	TokenRange=314:316
60	a	a	ADP	ADP	_	61	case	_	_
61	o	o	PRON	PRON	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	59	det	_	_
62	que	_	PRON	PRON	_	63	nsubj	_	TokenRange=317:320
63	interessa	interessar	VERB	VERB	_	59	ccomp	_	TokenRange=321:330
64	os	o	DET	DET	_	65	det	_	TokenRange=331:333
65	governos	governo	NOUN	NOUN	_	69	nsubj	_	TokenRange=334:342
66	estadual	estadual	ADJ	ADJ	_	65	amod	_	TokenRange=343:351
67	e	e	CCONJ	CONJ	_	68	cc	_	TokenRange=352:353
68	federal	federal	ADJ	ADJ	_	66	conj	_	TokenRange=354:361
69	perderam	perder	VERB	VERB	_	59	ccomp	_	TokenRange=362:370
70	o	o	DET	DET	_	71	det	_	TokenRange=371:372
71	controle	_	NOUN	NOUN	_	69	obj	_	TokenRange=373:381
72-73	da	_	_	_	_	_	_	_	TokenRange=382:384
72	de	de	ADP	ADP	_	74	case	_	_
73	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	74	det	_	_
74	situacao	situacao	NOUN	NOUN	_	71	nmod	_	TokenRange=385:393
75-76	no	_	_	_	_	_	_	_	TokenRange=394:396
75	em	em	ADP	ADP	_	77	case	_	_
76	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	77	det	_	_
77	que	_	PRON	PRON	_	78	nmod	_	TokenRange=397:400
78	diz	dizer	VERB	VERB	_	69	advcl	_	TokenRange=401:404
79	respeito	respeito	NOUN	NOUN	_	78	obj	_	TokenRange=405:413
80	a	_	ADP	ADP	_	81	case	_	TokenRange=414:415
81	seguranca	_	NOUN	NOUN	_	79	nmod	_	TokenRange=416:425
82	publica	publico	ADJ	ADJ	_	81	amod	_	TokenRange=426:433
83	alem	alem	ADV	ADV	_	69	advmod	_	TokenRange=434:438
84-85	dos	_	_	_	_	_	_	_	TokenRange=439:442
84	de	de	ADP	ADP	_	86	case	_	_
85	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	86	det	_	_
86	estados	estado	NOUN	NOUN	_	83	nmod	_	TokenRange=443:450
87-88	do	_	_	_	_	_	_	_	TokenRange=451:453
87	de	de	ADP	ADP	_	89	case	_	_
88	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	89	det	_	_
89	espirito	espirito	NOUN	NOUN	_	86	nmod	_	TokenRange=454:462
90	santo	santo	ADJ	ADJ	_	89	amod	_	TokenRange=463:468
91	amazonas	amazona	NOUN	NOUN	_	89	appos	_	TokenRange=469:477
92	e	e	CCONJ	CONJ	_	93	cc	_	TokenRange=478:479
93	rio	rio	NOUN	NOUN	_	91	conj	_	TokenRange=480:483
94	de	de	ADP	ADP	_	95	case	_	TokenRange=484:486
95	janeiro	_	PROPN	PNOUN	_	93	nmod	_	TokenRange=487:494
96	o	o	DET	DET	_	97	det	_	TokenRange=495:496
97	ministerio	ministerio	NOUN	NOUN	_	101	nsubj	_	TokenRange=497:507
98-99	da	_	_	_	_	_	_	_	TokenRange=508:510
98	de	de	ADP	ADP	_	100	case	_	_
99	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	100	det	_	_
100	justica	_	NOUN	NOUN	_	97	nmod	_	TokenRange=511:518
101	autorizou	autorizar	VERB	VERB	_	10	acl:relcl	_	TokenRange=519:528
102	hoje	hoje	ADV	ADV	_	101	advmod	_	TokenRange=529:533
103	20	_	NUM	NUM	NumType=Card	102	nmod	_	TokenRange=534:536
104	o	o	DET	DET	_	105	det	_	TokenRange=537:538
105	uso	uso	NOUN	NOUN	_	101	obj	_	TokenRange=539:542
106-107	da	_	_	_	_	_	_	_	TokenRange=543:545
106	de	de	ADP	ADP	_	108	case	_	_
107	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	108	det	_	_
108	forca	forca	NOUN	NOUN	_	105	nmod	_	TokenRange=546:551
109	nacional	nacional	ADJ	ADJ	_	108	amod	_	TokenRange=552:560
110	de	de	ADP	ADP	_	111	case	_	TokenRange=561:563
111	seguranca	_	NOUN	NOUN	_	108	nmod	_	TokenRange=564:573
112	publica	publico	ADJ	ADJ	_	111	amod	_	TokenRange=574:581
113	para	para	ADP	ADP	_	115	case	_	TokenRange=582:586
114	os	o	DET	DET	_	115	det	_	TokenRange=587:589
115	estados	estado	NOUN	NOUN	_	105	nmod	_	TokenRange=590:597
116-117	do	_	_	_	_	_	_	_	TokenRange=598:600
116	de	de	ADP	ADP	_	118	case	_	_
117	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	118	det	_	_
118	rio	rio	NOUN	NOUN	_	115	nmod	_	TokenRange=601:604
119	grande	grande	ADJ	ADJ	_	118	amod	_	TokenRange=605:611
120-121	do	_	_	_	_	_	_	_	TokenRange=612:614
120	de	de	ADP	ADP	_	122	case	_	_
121	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	122	det	_	_
122	sul	sul	NOUN	NOUN	_	118	nmod	_	TokenRange=615:618
123	rio	rio	NOUN	NOUN	_	118	appos	_	TokenRange=619:622
124	grande	grande	ADJ	ADJ	_	123	amod	_	TokenRange=623:629
125-126	do	_	_	_	_	_	_	_	TokenRange=630:632
125	de	de	ADP	ADP	_	127	case	_	_
126	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	127	det	_	_
127	norte	norte	NOUN	NOUN	_	123	nmod	_	TokenRange=633:638
128	e	e	CCONJ	CONJ	_	129	cc	_	TokenRange=639:640
129	sergipe	sergipe	NOUN	NOUN	_	127	conj	_	TokenRange=641:648
130	a	o	DET	DET	_	131	det	_	TokenRange=649:650
131	deliberacao	deliberacao	NOUN	NOUN	_	199	nsubj	_	TokenRange=651:662
132	esta	_	PRON	PRON	_	199	parataxis	_	TokenRange=663:667
133	publicada	publicado	ADJ	ADJ	_	199	xcomp	_	TokenRange=668:677
134-135	no	_	_	_	_	_	_	_	TokenRange=678:680
134	em	em	ADP	ADP	_	136	case	_	_
135	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	136	det	_	_
136	diario	diario	NOUN	NOUN	_	133	nmod	_	TokenRange=681:687
137	oficial	oficial	ADJ	ADJ	_	136	amod	_	TokenRange=688:695
138-139	da	_	_	_	_	_	_	_	TokenRange=696:698
138	de	de	ADP	ADP	_	140	case	_	_
139	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	140	det	_	_
140	uniao	uniao	NOUN	NOUN	_	136	nmod	_	TokenRange=699:704
141	dou	dar	X	ADPPRON	_	136	nmod	_	TokenRange=705:708
142	desta	_	ADP	ADP	_	143	case	_	TokenRange=709:714
143	segundafeira	_	NOUN	NOUN	_	141	nmod	_	TokenRange=715:727
144	o	o	DET	DET	_	145	det	_	TokenRange=728:729
145	reforco	reforco	NOUN	NOUN	_	146	nsubj	_	TokenRange=730:737
146	tera	terar	VERB	VERB	_	10	parataxis	_	TokenRange=738:742
147	como	como	ADP	ADP	_	148	case	_	TokenRange=743:747
148	objetivo	objetivo	NOUN	NOUN	_	146	nmod	_	TokenRange=748:756
149	a	o	DET	DET	_	150	det	_	TokenRange=757:758
150	reducao	reducao	NOUN	NOUN	_	146	obj	_	TokenRange=759:766
151	de	de	ADP	ADP	_	152	case	_	TokenRange=767:769
152	homicidios	homicidio	NOUN	NOUN	_	150	nmod	_	TokenRange=770:780
153	violencia	violencia	NOUN	NOUN	_	152	appos	_	TokenRange=781:790
154	contra	_	ADP	ADP	_	156	case	_	TokenRange=791:797
155	a	o	DET	DET	_	156	det	_	TokenRange=798:799
156	mulher	mulher	NOUN	NOUN	_	153	nmod	_	TokenRange=800:806
157	e	e	CCONJ	CONJ	_	159	cc	_	TokenRange=807:808
158	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	159	det	_	TokenRange=809:810
159	crime	crime	NOUN	NOUN	_	53	conj	_	TokenRange=811:816
160	organizado	organizar	VERB	VERB	_	159	acl	_	TokenRange=817:827
161	em	_	ADP	ADP	_	162	mark	_	TokenRange=828:830
162	geral	geral	ADJ	ADJ	_	159	nmod	_	TokenRange=831:836
163	resumindo	resumir	VERB	VERB	_	59	acl	_	TokenRange=837:846
164	o	o	DET	DET	_	165	det	_	TokenRange=847:848
165	brasil	brasil	NOUN	NOUN	_	166	nsubj	_	TokenRange=849:855
166	tem	ter	VERB	VERB	_	59	ccomp	_	TokenRange=856:859
167	hoje	hoje	ADV	ADV	_	166	advmod	_	TokenRange=860:864
168	27	_	NUM	NUM	NumType=Card	169	nummod	_	TokenRange=865:867
169	estados	estado	NOUN	NOUN	_	69	obj	_	TokenRange=868:875
170	incluindo	incluir	VERB	VERB	_	65	acl	_	TokenRange=876:885
171	o	o	DET	DET	_	172	det	_	TokenRange=886:887
172	df	df	NOUN	NOUN	_	170	obj	_	TokenRange=888:890
173	mais	mais	ADV	ADV	_	176	advmod	_	TokenRange=891:895
174	de	de	ADP	ADP	_	173	case	_	TokenRange=896:898
175	20	_	NUM	NUM	NumType=Card	177	nummod	_	TokenRange=899:901
176	6	_	NUM	NUM	NumType=Card	177	nummod	_	TokenRange=902:903
177	estados	estado	NOUN	NOUN	_	69	nsubj	_	TokenRange=904:911
178-179	do	_	_	_	_	_	_	_	TokenRange=912:914
178	de	de	ADP	ADP	_	180	case	_	_
179	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	180	det	_	_
180	pais	_	NOUN	NOUN	_	177	nmod	_	TokenRange=915:919
181	ja	ja	ADV	ADV	_	182	advmod	_	TokenRange=920:922
182	esta	_	VERB	VERB	_	69	parataxis	_	TokenRange=923:927
183	tomado	tomar	VERB	VERB	_	182	xcomp	_	TokenRange=928:934
184	por	por	ADP	ADP	_	185	case	_	TokenRange=935:938
185	tropas	tropa	NOUN	NOUN	_	183	nmod	_	TokenRange=939:945
186	nao	nao	ADV	ADV	Polarity=Neg	187	advmod	_	TokenRange=946:949
187	convencionais	convencional	ADJ	ADJ	_	185	amod	_	TokenRange=950:963
188-189	no	_	_	_	_	_	_	_	TokenRange=964:966
188	em	em	ADP	ADP	_	190	case	_	_
189	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	190	det	_	_
190	ritmo	ritmo	NOUN	NOUN	_	183	nmod	_	TokenRange=967:972
191	que	_	PRON	PRON	_	193	obj	_	TokenRange=973:976
192	estamos	estar	AUX	AUX	_	193	aux	_	TokenRange=977:984
193	evoluindo	evoluir	VERB	VERB	_	190	acl:relcl	_	TokenRange=985:994
194	ate	_	ADP	ADP	_	196	case	_	TokenRange=995:998
195	o	o	DET	DET	_	196	det	_	TokenRange=999:1000
196	inicio	_	NOUN	NOUN	_	193	nmod	_	TokenRange=1001:1007
197	de	de	ADP	ADP	_	198	case	_	TokenRange=1008:1010
198	2018	_	NUM	NUM	NumType=Card	196	nmod	_	TokenRange=1011:1015
199	teremos	ter	VERB	VERB	_	101	advcl	_	TokenRange=1016:1023
200	todo	_	DET	DET	_	202	det	_	TokenRange=1024:1028
201	o	o	DET	DET	_	202	det	_	TokenRange=1029:1030
202	territorio	territorio	NOUN	NOUN	_	199	obj	_	TokenRange=1031:1041
203	tomado	tomar	VERB	VERB	_	202	acl	_	TokenRange=1042:1048
204-205	pelos	_	_	_	_	_	_	_	TokenRange=1049:1054
204	por	por	ADP	ADP	_	206	case	_	_
205	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	206	det	_	_
206	militares	militar	NOUN	NOUN	_	203	nmod	_	TokenRange=1055:1064
207	sera	_	VERB	VERB	_	199	parataxis	_	TokenRange=1065:1069
208	que	que	CCONJ	CONJ	_	211	mark	_	TokenRange=1070:1073
209	isso	_	PRON	PRON	_	207	nsubj	_	TokenRange=1074:1078
210	e	e	CCONJ	CONJ	_	211	cc	_	TokenRange=1079:1080
211	bom	bom	ADJ	ADJ	_	209	amod	_	TokenRange=1081:1084

