# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acredite se quiser deputado cria projeto para cobrar imposto sobre o vento parece piada de mau gosto mas nao e quando se trata de criar taxas o brasil e profissional nesse quesito o deputado heraclito fortes o famoso boca mole que aparece nas planilhas de propina da odebrecht quer cobrar impostos sobre o vento e isso mesmo que voce leu imposto sobre o vento a pec 97/2015 propoe que o vento seja estatizado passe para o dominio do governo e haja pagamento de impostos sobre o seu uso segundo a proposta os ventos sao um recurso que pertence a todo o povo brasileiro e portanto os parques eolicos que produzem energia eletrica a partir dos ventos devem gerar compensacao financeira a uniao o projeto insano do deputado transforma o potencial energetico dos ventos em patrimonio da uniao ensejando o pagamento de royalties pela sua exploracao realmente o brasil e a terra oficial dos politicos malandros e sem visao de futuro
1	acredite	acreditar	VERB	VERB	_	13	parataxis	_	TokenRange=0:8
30	profissional	profissional	ADJ	ADJ	_	28	conj	_	TokenRange=153:165
31	nesse	_	ADP	ADP	_	32	case	_	TokenRange=166:171
32	quesito	quesito	NOUN	NOUN	_	30	nmod	_	TokenRange=172:179
33	o	o	DET	DET	_	34	det	_	TokenRange=180:181
34	deputado	deputado	NOUN	NOUN	_	51	nsubj	_	TokenRange=182:190
35	heraclito	heraclito	ADJ	ADJ	_	34	appos	_	TokenRange=191:200
36	fortes	forte	ADJ	ADJ	_	34	amod	_	TokenRange=201:207
37	o	o	DET	DET	_	39	det	_	TokenRange=208:209
38	famoso	famoso	ADJ	ADJ	_	39	amod	_	TokenRange=210:216
39	boca	boca	NOUN	NOUN	_	51	nsubj	_	TokenRange=217:221
40	mole	mole	ADJ	ADJ	_	39	amod	_	TokenRange=222:226
41	que	_	PRON	PRON	_	42	nsubj	_	TokenRange=227:230
42	aparece	aparecer	VERB	VERB	_	39	acl:relcl	_	TokenRange=231:238
43-44	nas	_	_	_	_	_	_	_	TokenRange=239:242
43	em	em	ADP	ADP	_	45	case	_	_
44	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	45	det	_	_
45	planilhas	planilha	NOUN	NOUN	_	42	nmod	_	TokenRange=243:252
46	de	de	ADP	ADP	_	47	case	_	TokenRange=253:255
47	propina	propina	NOUN	NOUN	_	45	nmod	_	TokenRange=256:263
48-49	da	_	_	_	_	_	_	_	TokenRange=264:266
48	de	de	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	odebrecht	_	PROPN	PNOUN	_	45	nmod	_	TokenRange=267:276
51	quer	querer	VERB	VERB	_	1	ccomp	_	TokenRange=277:281
52	cobrar	cobrar	VERB	VERB	_	51	xcomp	_	TokenRange=282:288
53	impostos	imposto	NOUN	NOUN	_	52	obj	_	TokenRange=289:297
54	sobre	_	ADP	ADP	_	56	case	_	TokenRange=298:303
55	o	o	DET	DET	_	56	det	_	TokenRange=304:305
56	vento	vento	NOUN	NOUN	_	53	nmod	_	TokenRange=306:311
57	e	e	CCONJ	CONJ	_	159	cc	_	TokenRange=312:313
58	isso	_	PRON	PRON	_	52	conj	_	TokenRange=314:318
59	mesmo	mesmo	ADV	ADV	_	58	advmod	_	TokenRange=319:324
60	que	_	CCONJ	CONJ	_	62	mark	_	TokenRange=325:328
61	voce	_	PRON	PRON	_	62	nsubj	_	TokenRange=329:333
62	leu	ler	VERB	VERB	_	51	conj	_	TokenRange=334:337
63	imposto	imposto	NOUN	NOUN	_	62	obj	_	TokenRange=338:345
64	sobre	_	ADP	ADP	_	66	case	_	TokenRange=346:351
65	o	o	DET	DET	_	66	det	_	TokenRange=352:353
66	vento	vento	NOUN	NOUN	_	63	nmod	_	TokenRange=354:359
67	a	o	DET	DET	_	68	det	_	TokenRange=360:361
68	pec	pec	NOUN	NOUN	_	62	nsubj	_	TokenRange=362:365
69	97/2015	_	NUM	NUM	NumType=Card	68	appos	_	TokenRange=366:373
70	propoe	propoer	VERB	VERB	_	1	conj	_	TokenRange=374:380
71	que	que	CCONJ	CONJ	_	76	mark	_	TokenRange=381:384
72	o	o	DET	DET	_	73	det	_	TokenRange=385:386
73	vento	vento	NOUN	NOUN	_	75	nsubj:pass	_	TokenRange=387:392
74	seja	ser	AUX	AUX	_	75	aux:pass	_	TokenRange=393:397
75	estatizado	estatizar	VERB	VERB	_	70	ccomp	_	TokenRange=398:408
76	passe	passar	VERB	VERB	_	70	ccomp	_	TokenRange=409:414
77	para	para	ADP	ADP	_	79	case	_	TokenRange=415:419
78	o	o	DET	DET	_	79	det	_	TokenRange=420:421
79	dominio	dominio	NOUN	NOUN	_	76	nmod	_	TokenRange=422:429
80-81	do	_	_	_	_	_	_	_	TokenRange=430:432
80	de	de	ADP	ADP	_	82	case	_	_
81	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	82	det	_	_
82	governo	governo	NOUN	NOUN	_	79	nmod	_	TokenRange=433:440
83	e	e	CCONJ	CONJ	_	84	cc	_	TokenRange=441:442
84	haja	haver	VERB	VERB	_	76	conj	_	TokenRange=443:447
85	pagamento	pagamento	NOUN	NOUN	_	84	obj	_	TokenRange=448:457
86	de	de	ADP	ADP	_	87	case	_	TokenRange=458:460
87	impostos	imposto	NOUN	NOUN	_	85	nmod	_	TokenRange=461:469
88	sobre	_	ADP	ADP	_	91	case	_	TokenRange=470:475
89	o	o	DET	DET	_	91	det	_	TokenRange=476:477
90	seu	_	DET	DET	_	91	det:poss	_	TokenRange=478:481
91	uso	uso	NOUN	NOUN	_	87	nmod	_	TokenRange=482:485
92	segundo	_	ADP	ADP	_	94	case	_	TokenRange=486:493
93	a	o	DET	DET	_	94	det	_	TokenRange=494:495
94	proposta	_	NOUN	NOUN	_	84	nmod	_	TokenRange=496:504
95	os	o	DET	DET	_	96	det	_	TokenRange=505:507
96	ventos	vento	NOUN	NOUN	_	122	nsubj	_	TokenRange=508:514
97	sao	ser	AUX	AUX	_	99	cop	_	TokenRange=515:518
98	um	um	DET	DET	_	99	det	_	TokenRange=519:521
99	recurso	recurso	NOUN	NOUN	_	70	ccomp	_	TokenRange=522:529
100	que	_	PRON	PRON	_	101	nsubj	_	TokenRange=530:533
101	pertence	pertencer	VERB	VERB	_	99	acl:relcl	_	TokenRange=534:542
102	a	_	ADP	ADP	_	105	case	_	TokenRange=543:544
103	todo	_	DET	DET	_	105	det	_	TokenRange=545:549
104	o	o	DET	DET	_	105	det	_	TokenRange=550:551
105	povo	povo	NOUN	NOUN	_	101	nmod	_	TokenRange=552:556
106	brasileiro	brasileiro	ADJ	ADJ	_	105	amod	_	TokenRange=557:567
107	e	e	CCONJ	CONJ	_	133	cc	_	TokenRange=568:569
108	portanto	_	ADV	ADV	_	133	advmod	_	TokenRange=570:578
109	os	o	DET	DET	_	110	det	_	TokenRange=579:581
110	parques	parque	NOUN	NOUN	_	133	nsubj	_	TokenRange=582:589
111	eolicos	eolico	ADJ	ADJ	_	110	amod	_	TokenRange=590:597
112	que	_	PRON	PRON	_	113	nsubj	_	TokenRange=598:601
113	produzem	produzir	VERB	VERB	_	110	acl:relcl	_	TokenRange=602:610
114	energia	energia	NOUN	NOUN	_	113	obj	_	TokenRange=611:618
115	eletrica	eletrico	ADJ	ADJ	_	114	amod	_	TokenRange=619:627
116	a	_	ADP	ADP	_	117	mark	_	TokenRange=628:629
117	partir	partir	VERB	VERB	_	113	nmod	_	TokenRange=630:636
118-119	dos	_	_	_	_	_	_	_	TokenRange=637:640
118	de	de	ADP	ADP	_	120	case	_	_
119	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	120	det	_	_
120	ventos	vento	NOUN	NOUN	_	117	nmod	_	TokenRange=641:647
121	devem	_	AUX	AUX	_	122	aux	_	TokenRange=648:653
122	gerar	gerar	VERB	VERB	_	133	conj	_	TokenRange=654:659
123	compensacao	compensacao	NOUN	NOUN	_	122	obj	_	TokenRange=660:671
124	financeira	financeiro	ADJ	ADJ	_	123	amod	_	TokenRange=672:682
125	a	o	DET	DET	_	126	det	_	TokenRange=683:684
126	uniao	uniao	NOUN	NOUN	_	122	iobj	_	TokenRange=685:690
127	o	o	DET	DET	_	128	det	_	TokenRange=691:692
128	projeto	projeto	NOUN	NOUN	_	133	nsubj	_	TokenRange=693:700
129	insano	insano	ADJ	ADJ	_	128	amod	_	TokenRange=701:707
130-131	do	_	_	_	_	_	_	_	TokenRange=708:710
130	de	de	ADP	ADP	_	132	case	_	_
131	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	132	det	_	_
132	deputado	deputado	NOUN	NOUN	_	128	nmod	_	TokenRange=711:719
133	transforma	transformar	VERB	VERB	_	99	acl:relcl	_	TokenRange=720:730
134	o	o	DET	DET	_	135	det	_	TokenRange=731:732
135	potencial	potencial	NOUN	NOUN	_	133	obj	_	TokenRange=733:742
136	energetico	energetico	ADJ	ADJ	_	135	amod	_	TokenRange=743:753
137-138	dos	_	_	_	_	_	_	_	TokenRange=754:757
137	de	de	ADP	ADP	_	139	case	_	_
138	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	139	det	_	_
139	ventos	vento	NOUN	NOUN	_	135	nmod	_	TokenRange=758:764
140	em	em	ADP	ADP	_	141	case	_	TokenRange=765:767
141	patrimonio	patrimonio	NOUN	NOUN	_	133	nmod	_	TokenRange=768:778
142-143	da	_	_	_	_	_	_	_	TokenRange=779:781
142	de	de	ADP	ADP	_	144	case	_	_
143	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	144	det	_	_
144	uniao	uniao	NOUN	NOUN	_	141	nmod	_	TokenRange=782:787
145	ensejando	ensejar	VERB	VERB	_	133	acl	_	TokenRange=788:797
146	o	o	DET	DET	_	147	det	_	TokenRange=798:799
147	pagamento	pagamento	NOUN	NOUN	_	145	obj	_	TokenRange=800:809
148	de	de	ADP	ADP	_	149	case	_	TokenRange=810:812
149	royalties	_	NOUN	NOUN	_	147	nmod	_	TokenRange=813:822
150-151	pela	_	_	_	_	_	_	_	TokenRange=823:827
150	por	por	ADP	ADP	_	153	case	_	_
151	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	153	det	_	_
152	sua	_	DET	DET	_	153	det:poss	_	TokenRange=828:831
153	exploracao	exploracao	NOUN	NOUN	_	147	nmod	_	TokenRange=832:842
154	realmente	realmente	ADV	ADV	_	145	advmod	_	TokenRange=843:852
155	o	o	DET	DET	_	156	det	_	TokenRange=853:854
156	brasil	brasil	NOUN	NOUN	_	145	nsubj	_	TokenRange=855:861
157	e	e	CCONJ	CONJ	_	159	cc	_	TokenRange=862:863
158	a	o	DET	DET	_	159	det	_	TokenRange=864:865
159	terra	terra	NOUN	NOUN	_	156	conj	_	TokenRange=866:871
160	oficial	oficial	ADJ	ADJ	_	159	amod	_	TokenRange=872:879
161-162	dos	_	_	_	_	_	_	_	TokenRange=880:883
161	de	de	ADP	ADP	_	163	case	_	_
162	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	163	det	_	_
163	politicos	politico	NOUN	NOUN	_	159	nmod	_	TokenRange=884:893
164	malandros	malandro	ADJ	ADJ	_	159	amod	_	TokenRange=894:903
165	e	e	CCONJ	CONJ	_	167	cc	_	TokenRange=904:905
166	sem	_	ADP	ADP	_	167	case	_	TokenRange=906:909
167	visao	visao	NOUN	NOUN	_	164	conj	_	TokenRange=910:915
168	de	de	ADP	ADP	_	169	case	_	TokenRange=916:918
169	futuro	futuro	NOUN	NOUN	_	167	nmod	_	TokenRange=919:925

