# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = marque bem o nome desses 8 senadores sao eles que estao lutando pelo fim do foro alvaro dias deveriamos estar votando o fim do foro privilegiado em regime de urgencia o site antagonista divulgou uma lista dos poucos senadores que assinaram o requerimento que pede urgencia na votacao da pec do fim do foro privilegiado de autoria de alvaro dias abaixo os nomes dos 8 bravos politicos 1 randolfe rodrigues rede/ap autor do pedido 2 alvaro dias pv/pr autor da pec 3 otto alencar psd/ba 4 jose reguffe sem partido df 5 ronaldo caiado dem/go 6 ricardo ferraco psdb/es 7 paulo paim pt/rs 8 ana amelia pp/rs e necessaria a adesao de pelo menos 41 senadores para que a proposta seja votada leia tambem
1	marque	marcar	VERB	VERB	_	0	root	_	TokenRange=0:6
71	nomes	nome	NOUN	NOUN	_	37	nsubj	_	TokenRange=355:360
72-73	dos	_	_	_	_	_	_	_	TokenRange=361:364
72	de	de	ADP	ADP	_	75	case	_	_
73	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	75	det	_	_
74	8	_	NUM	NUM	NumType=Card	75	nummod	_	TokenRange=365:366
75	bravos	bravo	NOUN	NOUN	_	71	nmod	_	TokenRange=367:373
76	politicos	politico	ADJ	ADJ	_	75	amod	_	TokenRange=374:383
77	1	_	NUM	NUM	NumType=Card	75	nummod	_	TokenRange=384:385
78	randolfe	randolfe	NOUN	NOUN	_	75	appos	_	TokenRange=386:394
79	rodrigues	_	NOUN	NOUN	_	78	flat	_	TokenRange=395:404
80	rede/ap	_	ADJ	ADJ	_	78	flat	_	TokenRange=405:412
81	autor	autor	NOUN	NOUN	_	78	appos	_	TokenRange=413:418
82-83	do	_	_	_	_	_	_	_	TokenRange=419:421
82	de	de	ADP	ADP	_	84	case	_	_
83	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	84	det	_	_
84	pedido	pedido	NOUN	NOUN	_	81	nmod	_	TokenRange=422:428
85	2	_	NUM	NUM	NumType=Card	84	appos	_	TokenRange=429:430
86	alvaro	alvaro	ADJ	ADJ	_	78	appos	_	TokenRange=431:437
87	dias	dia	NOUN	NOUN	_	86	flat	_	TokenRange=438:442
88	pv/pr	pv/pr	ADJ	ADJ	_	89	amod	_	TokenRange=443:448
89	autor	autor	NOUN	NOUN	_	78	appos	_	TokenRange=449:454
90-91	da	_	_	_	_	_	_	_	TokenRange=455:457
90	de	de	ADP	ADP	_	92	case	_	_
91	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	92	det	_	_
92	pec	pec	NOUN	NOUN	_	89	nmod	_	TokenRange=458:461
93	3	_	NUM	NUM	NumType=Card	94	nummod	_	TokenRange=462:463
94	otto	_	NOUN	NOUN	_	78	appos	_	TokenRange=464:468
95	alencar	alencar	NOUN	NOUN	_	94	flat	_	TokenRange=469:476
96	psd/ba	_	NOUN	NOUN	_	94	flat	_	TokenRange=477:483
97	4	_	NUM	NUM	NumType=Card	98	nummod	_	TokenRange=484:485
98	jose	jose	NOUN	NOUN	_	78	conj	_	TokenRange=486:490
99	reguffe	reguffe	NOUN	NOUN	_	98	flat	_	TokenRange=491:498
100	sem	_	ADP	ADP	_	101	case	_	TokenRange=499:502
101	partido	partido	NOUN	NOUN	_	98	nmod	_	TokenRange=503:510
102	df	_	NOUN	NOUN	_	101	appos	_	TokenRange=511:513
103	5	_	NUM	NUM	NumType=Card	104	nummod	_	TokenRange=514:515
104	ronaldo	ronaldo	NOUN	NOUN	_	78	conj	_	TokenRange=516:523
105	caiado	caiado	ADJ	ADJ	_	104	amod	_	TokenRange=524:530
106	dem/go	_	X	ADP	_	108	case	_	TokenRange=531:537
107	6	_	NUM	NUM	NumType=Card	108	nummod	_	TokenRange=538:539
108	ricardo	ricardo	NOUN	NOUN	_	104	appos	_	TokenRange=540:547
109	ferraco	ferraco	ADJ	ADJ	_	108	amod	_	TokenRange=548:555
110	psdb/es	_	NOUN	NOUN	_	108	appos	_	TokenRange=556:563
111	7	_	NUM	NUM	NumType=Card	112	appos	_	TokenRange=564:565
112	paulo	paulo	NOUN	NOUN	_	108	appos	_	TokenRange=566:571
113	paim	_	NOUN	NOUN	_	112	flat	_	TokenRange=572:576
114	pt/rs	_	NOUN	NOUN	_	112	flat	_	TokenRange=577:582
115	8	_	NUM	NUM	NumType=Card	116	nummod	_	TokenRange=583:584
116	ana	_	NOUN	NOUN	_	108	appos	_	TokenRange=585:588
117	amelia	amelia	NOUN	NOUN	_	116	flat	_	TokenRange=589:595
118	pp/rs	_	X	X	_	116	flat	_	TokenRange=596:601
119	e	e	CCONJ	CONJ	_	120	cc	_	TokenRange=602:603
120	necessaria	necessar	ADJ	ADJ	_	1	conj	_	TokenRange=604:614
121	a	o	DET	DET	_	122	det	_	TokenRange=615:616
122	adesao	adesao	NOUN	NOUN	_	120	nsubj	_	TokenRange=617:623
123	de	de	ADP	ADP	_	128	case	_	TokenRange=624:626
124-125	pelo	_	_	_	_	_	_	_	TokenRange=627:631
124	por	por	ADP	ADP	_	126	case	_	_
125	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	126	det	_	_
126	menos	menos	ADV	ADV	_	127	advmod	_	TokenRange=632:637
127	41	_	NUM	NUM	NumType=Card	128	nummod	_	TokenRange=638:640
128	senadores	senador	NOUN	NOUN	_	122	nmod	_	TokenRange=641:650
129	para	_	ADP	ADP	_	134	mark	_	TokenRange=651:655
130	que	que	CCONJ	CONJ	_	129	fixed	_	TokenRange=656:659
131	a	o	DET	DET	_	132	det	_	TokenRange=660:661
132	proposta	_	NOUN	NOUN	_	134	nsubj:pass	_	TokenRange=662:670
133	seja	ser	AUX	AUX	_	134	aux:pass	_	TokenRange=671:675
134	votada	votar	VERB	VERB	_	122	nmod	_	TokenRange=676:682
135	leia	ler	VERB	VERB	_	120	advcl	_	TokenRange=683:687
136	tambem	tambem	ADV	ADV	_	135	advmod	_	TokenRange=688:694

