# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = cidadao que chamou petistas de meliantes e condenado a pagar indenizacao de r 100 um real um corretor de imoveis de piracicaba interior de sp foi condenado a indenizar o pt em r 1 hum real bruno prata fez uma publicacao em um jornal da cidade e usou a expressao meliantes para se referir aos petistas o diretorio do pt local abriu um processo contra o corretor que acabou condenado pelo juiz na sentenca o juiz eduardo velho neto da 1 vara civel local estabeleceu r 100 a indenizacao a ser paga por bruno o juiz ainda destacou na sentenca ouso dizer que o pt e o unico partido quer em ambito nacional ou internacional que tem dentre seus filiados a unica alma pura existente na face da terra abaixo um print da sentenca
1	cidadao	cidadao	NOUN	NOUN	_	27	nsubj:pass	_	TokenRange=0:7
37	bruno	bruno	NOUN	NOUN	_	39	nsubj	_	TokenRange=189:194
38	prata	prata	NOUN	NOUN	_	37	flat	_	TokenRange=195:200
39	fez	fazer	VERB	VERB	_	27	parataxis	_	TokenRange=201:204
40	uma	um	DET	DET	_	41	det	_	TokenRange=205:208
41	publicacao	publicacao	NOUN	NOUN	_	39	obj	_	TokenRange=209:219
42	em	em	ADP	ADP	_	44	case	_	TokenRange=220:222
43	um	um	DET	DET	_	44	det	_	TokenRange=223:225
44	jornal	jornal	NOUN	NOUN	_	39	nmod	_	TokenRange=226:232
45-46	da	_	_	_	_	_	_	_	TokenRange=233:235
45	de	de	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	cidade	cidade	NOUN	NOUN	_	44	nmod	_	TokenRange=236:242
48	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=243:244
49	usou	usar	VERB	VERB	_	39	conj	_	TokenRange=245:249
50	a	o	DET	DET	_	51	det	_	TokenRange=250:251
51	expressao	expressao	NOUN	NOUN	_	49	obj	_	TokenRange=252:261
52	meliantes	meliante	NOUN	NOUN	_	51	amod	_	TokenRange=262:271
53	para	_	ADP	ADP	_	55	mark	_	TokenRange=272:276
54	se	_	PART	PRT	_	55	expl:pv	_	TokenRange=277:279
55	referir	referir	VERB	VERB	_	49	advcl	_	TokenRange=280:287
56-57	aos	_	_	_	_	_	_	_	TokenRange=288:291
56	a	a	ADP	ADP	_	58	case	_	_
57	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	58	det	_	_
58	petistas	petista	NOUN	NOUN	_	55	nmod	_	TokenRange=292:300
59	o	o	DET	DET	_	60	det	_	TokenRange=301:302
60	diretorio	diretorio	NOUN	NOUN	_	65	nsubj	_	TokenRange=303:312
61-62	do	_	_	_	_	_	_	_	TokenRange=313:315
61	de	de	ADP	ADP	_	63	case	_	_
62	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	63	det	_	_
63	pt	_	NOUN	NOUN	_	60	nmod	_	TokenRange=316:318
64	local	local	ADJ	ADJ	_	63	amod	_	TokenRange=319:324
65	abriu	abrir	VERB	VERB	_	27	conj	_	TokenRange=325:330
66	um	um	DET	DET	_	67	det	_	TokenRange=331:333
67	processo	processo	NOUN	NOUN	_	65	obj	_	TokenRange=334:342
68	contra	_	ADP	ADP	_	70	case	_	TokenRange=343:349
69	o	o	DET	DET	_	70	det	_	TokenRange=350:351
70	corretor	corretor	NOUN	NOUN	_	67	nmod	_	TokenRange=352:360
71	que	_	PRON	PRON	_	72	nsubj	_	TokenRange=361:364
72	acabou	acabar	VERB	VERB	_	70	acl:relcl	_	TokenRange=365:371
73	condenado	condenar	VERB	VERB	_	72	xcomp	_	TokenRange=372:381
74-75	pelo	_	_	_	_	_	_	_	TokenRange=382:386
74	por	por	ADP	ADP	_	76	case	_	_
75	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	76	det	_	_
76	juiz	juiz	NOUN	NOUN	_	73	nmod	_	TokenRange=387:391
77-78	na	_	_	_	_	_	_	_	TokenRange=392:394
77	em	em	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	sentenca	sentenca	NOUN	NOUN	_	73	nmod	_	TokenRange=395:403
80	o	o	DET	DET	_	81	det	_	TokenRange=404:405
81	juiz	juiz	NOUN	NOUN	_	91	nsubj	_	TokenRange=406:410
82	eduardo	eduardo	NOUN	NOUN	_	81	appos	_	TokenRange=411:418
83	velho	velho	ADJ	ADJ	_	82	amod	_	TokenRange=419:424
84	neto	neto	ADJ	ADJ	_	82	flat	_	TokenRange=425:429
85-86	da	_	_	_	_	_	_	_	TokenRange=430:432
85	de	de	ADP	ADP	_	88	case	_	_
86	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
87	1	_	NUM	NUM	NumType=Card	88	nummod	_	TokenRange=433:434
88	vara	vara	NOUN	NOUN	_	81	nmod	_	TokenRange=435:439
89	civel	civel	ADJ	ADJ	_	88	amod	_	TokenRange=440:445
90	local	local	ADJ	ADJ	_	88	amod	_	TokenRange=446:451
91	estabeleceu	estabelecer	VERB	VERB	_	27	parataxis	_	TokenRange=452:463
92	r	r	NOUN	NOUN	_	91	obj	_	TokenRange=464:465
93	100	_	NUM	NUM	NumType=Card	92	appos	_	TokenRange=466:469
94	a	o	DET	DET	_	95	det	_	TokenRange=470:471
95	indenizacao	_	NOUN	NOUN	_	91	obj	_	TokenRange=472:483
96	a	_	ADP	ADP	_	98	mark	_	TokenRange=484:485
97	ser	ser	AUX	AUX	_	98	aux:pass	_	TokenRange=486:489
98	paga	pagar	VERB	VERB	_	95	nmod	_	TokenRange=490:494
99	por	por	ADP	ADP	_	100	case	_	TokenRange=495:498
100	bruno	bruno	NOUN	NOUN	_	98	nmod	_	TokenRange=499:504
101	o	o	DET	DET	_	102	det	_	TokenRange=505:506
102	juiz	juiz	NOUN	NOUN	_	104	nsubj	_	TokenRange=507:511
103	ainda	ainda	ADV	ADV	_	104	advmod	_	TokenRange=512:517
104	destacou	destacar	VERB	VERB	_	27	parataxis	_	TokenRange=518:526
105-106	na	_	_	_	_	_	_	_	TokenRange=527:529
105	em	em	ADP	ADP	_	107	case	_	_
106	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	107	det	_	_
107	sentenca	_	NOUN	NOUN	_	104	nmod	_	TokenRange=530:538
108	ouso	ouso	VERB	VERB	_	104	ccomp	_	TokenRange=539:543
109	dizer	dizer	VERB	VERB	_	104	xcomp	_	TokenRange=544:549
110	que	que	CCONJ	CONJ	_	116	mark	_	TokenRange=550:553
111	o	o	DET	DET	_	112	det	_	TokenRange=554:555
112	pt	_	PROPN	PNOUN	_	116	nsubj	_	TokenRange=556:558
113	e	e	CCONJ	CONJ	_	116	cc	_	TokenRange=559:560
114	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	116	det	_	TokenRange=561:562
115	unico	unico	ADJ	ADJ	_	116	amod	_	TokenRange=563:568
116	partido	partido	NOUN	NOUN	_	109	ccomp	_	TokenRange=569:576
117	quer	_	CCONJ	VERB	_	116	cc	_	TokenRange=577:581
118	em	em	ADP	ADP	_	119	case	_	TokenRange=582:584
119	ambito	ambito	NOUN	NOUN	_	116	nmod	_	TokenRange=585:591
120	nacional	nacional	ADJ	ADJ	_	119	amod	_	TokenRange=592:600
121	ou	ou	CCONJ	CONJ	_	122	cc	_	TokenRange=601:603
122	internacional	internacional	ADJ	ADJ	_	120	conj	_	TokenRange=604:617
123	que	_	PRON	PRON	_	124	nsubj	_	TokenRange=618:621
124	tem	ter	VERB	VERB	_	116	acl:relcl	_	TokenRange=622:625
125	dentre	_	ADP	ADP	_	127	case	_	TokenRange=626:632
126	seus	_	DET	DET	_	127	det:poss	_	TokenRange=633:637
127	filiados	filiado	NOUN	NOUN	_	124	nmod	_	TokenRange=638:646
128	a	o	DET	DET	_	130	det	_	TokenRange=647:648
129	unica	unico	ADJ	ADJ	_	130	amod	_	TokenRange=649:654
130	alma	alma	NOUN	NOUN	_	124	obj	_	TokenRange=655:659
131	pura	puro	ADJ	ADJ	_	130	amod	_	TokenRange=660:664
132	existente	existente	ADJ	ADJ	_	130	amod	_	TokenRange=665:674
133-134	na	_	_	_	_	_	_	_	TokenRange=675:677
133	em	em	ADP	ADP	_	135	case	_	_
134	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	135	det	_	_
135	face	face	NOUN	NOUN	_	132	nmod	_	TokenRange=678:682
136-137	da	_	_	_	_	_	_	_	TokenRange=683:685
136	de	de	ADP	ADP	_	138	case	_	_
137	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	138	det	_	_
138	terra	terra	NOUN	NOUN	_	135	nmod	_	TokenRange=686:691
139	abaixo	abaixo	ADV	ADV	_	124	advmod	_	TokenRange=692:698
140	um	um	DET	DET	_	141	det	_	TokenRange=699:701
141	print	_	NOUN	NOUN	_	116	nsubj	_	TokenRange=702:707
142-143	da	_	_	_	_	_	_	_	TokenRange=708:710
142	de	de	ADP	ADP	_	144	case	_	_
143	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	144	det	_	_
144	sentenca	sentenca	NOUN	NOUN	_	141	nmod	_	TokenRange=711:719

