# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = imagina esse cara no debate em 2018 cadeia e lugar para tirar o canalha da sociedade e nao para recuperalo cadeia e igual coracao de mae sempre cabe mais bolsonaro a violencia esta ai o povo fica com pena de marginais esse pessoal nao tem recuperacao tem gente que fica com pena de presidiario la na cadeia e o lugar deles pagarem seus pecados o objetivo da cadeia e tirar o canalha da sociedade e nao recuperalo e quem acha que tem recuperacao que de exemplo leve o cara pra trabalhar na sua casa e deixa ele dirigir o carro da tua esposa ou da tua filha
1	imagina	imaginar	VERB	VERB	_	0	root	_	TokenRange=0:7
42	de	de	ADP	ADP	_	43	case	_	TokenRange=205:207
43	marginais	marginal	NOUN	NOUN	_	41	nmod	_	TokenRange=208:217
44	esse	_	DET	DET	_	45	det	_	TokenRange=218:222
45	pessoal	pessoal	NOUN	NOUN	_	39	nsubj	_	TokenRange=223:230
46	nao	nao	ADV	ADV	Polarity=Neg	47	advmod	_	TokenRange=231:234
47	tem	ter	VERB	VERB	_	39	parataxis	_	TokenRange=235:238
48	recuperacao	recuperacao	NOUN	NOUN	_	47	obj	_	TokenRange=239:250
49	tem	ter	VERB	VERB	_	39	conj	_	TokenRange=251:254
50	gente	gente	NOUN	NOUN	_	49	obj	_	TokenRange=255:260
51	que	_	PRON	PRON	_	52	nsubj	_	TokenRange=261:264
52	fica	ficar	VERB	VERB	_	50	acl:relcl	_	TokenRange=265:269
53	com	com	ADP	ADP	_	54	case	_	TokenRange=270:273
54	pena	_	NOUN	NOUN	_	52	nmod	_	TokenRange=274:278
55	de	de	ADP	ADP	_	56	case	_	TokenRange=279:281
56	presidiario	presidiario	NOUN	NOUN	_	54	nmod	_	TokenRange=282:293
57	la	_	PRON	PRON	_	52	obj	_	TokenRange=294:296
58-59	na	_	_	_	_	_	_	_	TokenRange=297:299
58	em	em	ADP	ADP	_	60	case	_	_
59	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	60	det	_	_
60	cadeia	cadeia	NOUN	NOUN	_	52	nmod	_	TokenRange=300:306
61	e	e	CCONJ	CONJ	_	65	cc	_	TokenRange=307:308
62	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	65	det	_	TokenRange=309:310
63	lugar	lugar	NOUN	NOUN	_	69	conj	_	TokenRange=311:316
64	deles	_	X	ADPPRON	_	63	det:poss	_	TokenRange=317:322
65	pagarem	pagar	VERB	VERB	_	52	conj	_	TokenRange=323:330
66	seus	_	DET	DET	_	67	det:poss	_	TokenRange=331:335
67	pecados	pecado	NOUN	NOUN	_	65	obj	_	TokenRange=336:343
68	o	o	DET	DET	_	69	det	_	TokenRange=344:345
69	objetivo	objetivo	NOUN	NOUN	_	49	obj	_	TokenRange=346:354
70-71	da	_	_	_	_	_	_	_	TokenRange=355:357
70	de	de	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	cadeia	cadeia	NOUN	NOUN	_	69	nmod	_	TokenRange=358:364
73	e	e	CCONJ	CONJ	_	74	cc	_	TokenRange=365:366
74	tirar	tirar	VERB	VERB	_	69	conj	_	TokenRange=367:372
75	o	o	DET	DET	_	76	det	_	TokenRange=373:374
76	canalha	canalha	NOUN	NOUN	_	74	obj	_	TokenRange=375:382
77-78	da	_	_	_	_	_	_	_	TokenRange=383:385
77	de	de	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	sociedade	sociedade	NOUN	NOUN	_	76	nmod	_	TokenRange=386:395
80	e	e	CCONJ	CONJ	_	82	cc	_	TokenRange=396:397
81	nao	nao	ADV	ADV	Polarity=Neg	82	advmod	_	TokenRange=398:401
82	recuperalo	recuperalar	VERB	VERB	_	69	conj	_	TokenRange=402:412
83	e	e	CCONJ	CONJ	_	85	cc	_	TokenRange=413:414
84	quem	_	PRON	PRON	_	85	nsubj	_	TokenRange=415:419
85	acha	achar	VERB	VERB	_	69	conj	_	TokenRange=420:424
86	que	que	CCONJ	CONJ	_	87	mark	_	TokenRange=425:428
87	tem	ter	VERB	VERB	_	85	ccomp	_	TokenRange=429:432
88	recuperacao	recuperacao	NOUN	NOUN	_	87	obj	_	TokenRange=433:444
89	que	_	PRON	PRON	_	92	nsubj	_	TokenRange=445:448
90	de	de	ADP	ADP	_	91	case	_	TokenRange=449:451
91	exemplo	exemplo	NOUN	NOUN	_	92	nmod	_	TokenRange=452:459
92	leve	levar	VERB	VERB	_	85	ccomp	_	TokenRange=460:464
93	o	o	DET	DET	_	94	det	_	TokenRange=465:466
94	cara	cara	NOUN	NOUN	_	92	obj	_	TokenRange=467:471
95	pra	_	ADP	ADP	_	96	mark	_	TokenRange=472:475
96	trabalhar	trabalhar	VERB	VERB	_	92	nmod	_	TokenRange=476:485
97-98	na	_	_	_	_	_	_	_	TokenRange=486:488
97	em	em	ADP	ADP	_	100	case	_	_
98	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	100	det	_	_
99	sua	_	DET	DET	_	100	det:poss	_	TokenRange=489:492
100	casa	casa	NOUN	NOUN	_	96	nmod	_	TokenRange=493:497
101	e	e	CCONJ	CONJ	_	102	cc	_	TokenRange=498:499
102	deixa	deixar	VERB	VERB	_	92	conj	_	TokenRange=500:505
103	ele	_	PRON	PRON	_	104	nsubj	_	TokenRange=506:509
104	dirigir	dirigir	VERB	VERB	_	102	ccomp	_	TokenRange=510:517
105	o	o	DET	DET	_	106	det	_	TokenRange=518:519
106	carro	carro	NOUN	NOUN	_	104	obj	_	TokenRange=520:525
107-108	da	_	_	_	_	_	_	_	TokenRange=526:528
107	de	de	ADP	ADP	_	110	case	_	_
108	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	110	det	_	_
109	tua	_	DET	DET	_	110	det:poss	_	TokenRange=529:532
110	esposa	esposo	NOUN	NOUN	_	106	nmod	_	TokenRange=533:539
111	ou	ou	CCONJ	CONJ	_	115	cc	_	TokenRange=540:542
112-113	da	_	_	_	_	_	_	_	TokenRange=543:545
112	de	de	ADP	ADP	_	115	case	_	_
113	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	115	det	_	_
114	tua	_	DET	DET	_	115	det:poss	_	TokenRange=546:549
115	filha	filho	NOUN	NOUN	_	110	conj	_	TokenRange=550:555

