# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = ta explicado deputado que tentou anular impeachment esta atolado em dividas o politico que protagonizou um espetaculo circense a mando de dilma e lula esta atolado em dividas de campanha o deputado waldir maranhao pp esta prestes a perder sua propria casa num bairro nobre de sao luis ma materia do estado diz que o presidente em exercicio da camara deu um calote na grafica quality de r 1 3 milhao durante sua campanha para deputado federal em 2010 o tribunal da justica do maranhao ja penhorou 4 imoveis do parlamentar que provavelmente irao a leilao seria por esse motivo que maranhao se vendeu para o pt para quitar dividas
1	ta	_	AUX	AUX	_	2	aux	_	TokenRange=0:2
62	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	63	det	_	_
63	camara	camara	NOUN	NOUN	_	60	nmod	_	TokenRange=343:349
64	deu	dar	VERB	VERB	_	55	ccomp	_	TokenRange=350:353
65	um	um	DET	DET	_	66	det	_	TokenRange=354:356
66	calote	calote	NOUN	NOUN	_	64	obj	_	TokenRange=357:363
67-68	na	_	_	_	_	_	_	_	TokenRange=364:366
67	em	em	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	grafica	_	NOUN	NOUN	_	64	nmod	_	TokenRange=367:374
70	quality	_	NOUN	NOUN	_	69	flat	_	TokenRange=375:382
71	de	de	ADP	ADP	_	72	case	_	TokenRange=383:385
72	r	r	NOUN	NOUN	_	69	nmod	_	TokenRange=386:387
73	1	_	NUM	NUM	NumType=Card	75	nummod	_	TokenRange=388:389
74	3	_	NUM	NUM	NumType=Card	75	nummod	_	TokenRange=390:391
75	milhao	_	NUM	NUM	NumType=Card	72	nummod	_	TokenRange=392:398
76	durante	_	ADP	ADP	_	78	case	_	TokenRange=399:406
77	sua	_	DET	DET	_	78	det:poss	_	TokenRange=407:410
78	campanha	campanha	NOUN	NOUN	_	64	nmod	_	TokenRange=411:419
79	para	para	ADP	ADP	_	80	case	_	TokenRange=420:424
80	deputado	deputado	NOUN	NOUN	_	78	nmod	_	TokenRange=425:433
81	federal	federal	ADJ	ADJ	_	80	amod	_	TokenRange=434:441
82	em	em	ADP	ADP	_	83	case	_	TokenRange=442:444
83	2010	_	NUM	NUM	NumType=Card	64	nmod	_	TokenRange=445:449
84	o	o	DET	DET	_	85	det	_	TokenRange=450:451
85	tribunal	tribunal	NOUN	NOUN	_	93	nsubj	_	TokenRange=452:460
86-87	da	_	_	_	_	_	_	_	TokenRange=461:463
86	de	de	ADP	ADP	_	88	case	_	_
87	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	88	det	_	_
88	justica	_	NOUN	NOUN	_	85	nmod	_	TokenRange=464:471
89-90	do	_	_	_	_	_	_	_	TokenRange=472:474
89	de	de	ADP	ADP	_	91	case	_	_
90	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	91	det	_	_
91	maranhao	maranhao	NOUN	NOUN	_	85	nmod	_	TokenRange=475:483
92	ja	ja	ADV	ADV	_	93	advmod	_	TokenRange=484:486
93	penhorou	penhorar	VERB	VERB	_	55	ccomp	_	TokenRange=487:495
94	4	_	NUM	NUM	NumType=Card	95	nummod	_	TokenRange=496:497
95	imoveis	imovel	NOUN	NOUN	_	93	obj	_	TokenRange=498:505
96-97	do	_	_	_	_	_	_	_	TokenRange=506:508
96	de	de	ADP	ADP	_	98	case	_	_
97	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	98	det	_	_
98	parlamentar	parlamentar	NOUN	NOUN	_	95	nmod	_	TokenRange=509:520
99	que	_	PRON	PRON	_	101	nsubj	_	TokenRange=521:524
100	provavelmente	provavelmente	ADV	ADV	_	101	advmod	_	TokenRange=525:538
101	irao	_	VERB	VERB	_	95	acl:relcl	_	TokenRange=539:543
102	a	_	ADP	ADP	_	103	case	_	TokenRange=544:545
103	leilao	leilao	NOUN	NOUN	_	101	nmod	_	TokenRange=546:552
104	seria	_	VERB	VERB	_	93	ccomp	_	TokenRange=553:558
105	por	por	ADP	ADP	_	107	case	_	TokenRange=559:562
106	esse	_	DET	DET	_	107	det	_	TokenRange=563:567
107	motivo	motivo	NOUN	NOUN	_	104	nmod	_	TokenRange=568:574
108	que	que	CCONJ	CONJ	_	111	mark	_	TokenRange=575:578
109	maranhao	maranhao	NOUN	NOUN	_	111	nsubj	_	TokenRange=579:587
110	se	_	PRON	PRON	_	111	obj	_	TokenRange=588:590
111	vendeu	vender	VERB	VERB	_	104	csubj	_	TokenRange=591:597
112	para	para	ADP	ADP	_	114	case	_	TokenRange=598:602
113	o	o	DET	DET	_	114	det	_	TokenRange=603:604
114	pt	_	NOUN	NOUN	_	111	nmod	_	TokenRange=605:607
115	para	_	ADP	ADP	_	116	mark	_	TokenRange=608:612
116	quitar	quitar	VERB	VERB	_	111	advcl	_	TokenRange=613:619
117	dividas	divida	NOUN	NOUN	_	116	obj	_	TokenRange=620:627

