# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = morre marisa leticia familia de lula autoriza doacao de orgaos da exprimeira dama a exprimeiradama 66 anos teve morte cerebral confirmada 2 devido a complicacoes causadas poe um avc a pagina do expresidente lula no facebook postou um texto em que autoriza a doacao de orgaos de dona marisa a familia lula da silva agradece todas as manifestacoes de carinho e solidariedade recebidas nesses ultimos 10 dias pela recuperacao da exprimeiradama dona marisa leticia lula da silva a familia autorizou os procedimentos preparativos para a doacao dos orgaos nascida em uma familia de imigrantes italianos marisa viveu com outros 10 irmaos em um sitio ate completar 5 anos de idade a familia se mudou para sao bernardo do campo em 1955 quando completou 13 anos marisa precisou da autorizacao de seu pai para trabalhar em uma fabrica de chocolates como embaladora aos 19 anos se casou com o taxista marcos claudio com quem teve um filho com apenas 3 meses de matrimonio em 1970 ela perdeu o marido que foi assassinado a tiros em um campo de futebol em 1974 a viuva conheceu lula no sindicato dos metalurgicos de sao bernardo meses depois no mesmo ano eles se casaram e o relacionamento gerou tres filhos fabio sandro e luis claudio em 1980 quando lula estava preso marisa liderou a passeata das mulheres a favor da liberdade dos sindicalistas no ultimo dia 24 a exprimeira dama foi internada na uti do hospital siriolibanes apos sofrer um avc
1	morre	morrer	VERB	VERB	_	0	root	_	TokenRange=0:5
112	sitio	sitio	NOUN	NOUN	_	105	nmod	_	TokenRange=637:642
113	ate	_	ADP	ADP	_	114	mark	_	TokenRange=643:646
114	completar	completar	VERB	VERB	_	105	advcl	_	TokenRange=647:656
115	5	_	NUM	NUM	NumType=Card	116	nummod	_	TokenRange=657:658
116	anos	ano	NOUN	NOUN	_	114	obj	_	TokenRange=659:663
117	de	de	ADP	ADP	_	118	case	_	TokenRange=664:666
118	idade	idade	NOUN	NOUN	_	116	nmod	_	TokenRange=667:672
119	a	o	DET	DET	_	120	det	_	TokenRange=673:674
120	familia	familia	NOUN	NOUN	_	122	nsubj	_	TokenRange=675:682
121	se	_	PRON	PRT	_	122	expl:pv	_	TokenRange=683:685
122	mudou	mudar	VERB	VERB	_	1	parataxis	_	TokenRange=686:691
123	para	para	ADP	ADP	_	125	case	_	TokenRange=692:696
124	sao	sao	NOUN	NOUN	_	125	nmod	_	TokenRange=697:700
125	bernardo	bernardo	NOUN	NOUN	_	122	nmod	_	TokenRange=701:709
126-127	do	_	_	_	_	_	_	_	TokenRange=710:712
126	de	de	ADP	ADP	_	128	case	_	_
127	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	128	det	_	_
128	campo	campo	NOUN	NOUN	_	125	nmod	_	TokenRange=713:718
129	em	em	ADP	ADP	_	130	case	_	TokenRange=719:721
130	1955	_	NUM	NUM	NumType=Card	122	nmod	_	TokenRange=722:726
131	quando	_	CCONJ	CONJ	_	132	mark	_	TokenRange=727:733
132	completou	completar	VERB	VERB	_	136	advcl	_	TokenRange=734:743
133	13	_	NUM	NUM	NumType=Card	134	nummod	_	TokenRange=744:746
134	anos	ano	NOUN	NOUN	_	132	obj	_	TokenRange=747:751
135	marisa	_	NOUN	NOUN	_	229	nsubj	_	TokenRange=752:758
136	precisou	precisar	VERB	VERB	_	1	advcl	_	TokenRange=759:767
137-138	da	_	_	_	_	_	_	_	TokenRange=768:770
137	de	de	ADP	ADP	_	139	case	_	_
138	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	139	det	_	_
139	autorizacao	autorizacao	NOUN	NOUN	_	136	nmod	_	TokenRange=771:782
140	de	de	ADP	ADP	_	142	case	_	TokenRange=783:785
141	seu	_	DET	DET	_	142	det:poss	_	TokenRange=786:789
142	pai	pai	NOUN	NOUN	_	139	nmod	_	TokenRange=790:793
143	para	_	ADP	ADP	_	144	mark	_	TokenRange=794:798
144	trabalhar	trabalhar	VERB	VERB	_	232	advcl	_	TokenRange=799:808
145	em	em	ADP	ADP	_	147	case	_	TokenRange=809:811
146	uma	um	DET	DET	_	147	det	_	TokenRange=812:815
147	fabrica	fabrica	NOUN	NOUN	_	144	nmod	_	TokenRange=816:823
148	de	de	ADP	ADP	_	149	case	_	TokenRange=824:826
149	chocolates	chocolate	NOUN	NOUN	_	147	nmod	_	TokenRange=827:837
150	como	como	ADP	ADP	_	151	case	_	TokenRange=838:842
151	embaladora	embalador	NOUN	NOUN	_	242	nmod	_	TokenRange=843:853
152-153	aos	_	_	_	_	_	_	_	TokenRange=854:857
152	a	a	ADP	ADP	_	155	case	_	_
153	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	155	det	_	_
154	19	_	NUM	NUM	NumType=Card	155	nummod	_	TokenRange=858:860
155	anos	ano	NOUN	NOUN	_	132	nmod	_	TokenRange=861:865
156	se	_	PRON	PRON	_	157	expl:pv	_	TokenRange=866:868
157	casou	casar	VERB	VERB	_	40	advcl	_	TokenRange=869:874
158	com	com	ADP	ADP	_	160	case	_	TokenRange=875:878
159	o	o	DET	DET	_	160	det	_	TokenRange=879:880
160	taxista	taxista	NOUN	NOUN	_	157	nmod	_	TokenRange=881:888
161	marcos	marco	NOUN	NOUN	_	160	appos	_	TokenRange=889:895
162	claudio	claudio	NOUN	NOUN	_	160	flat	_	TokenRange=896:903
163	com	com	ADP	ADP	_	164	case	_	TokenRange=904:907
164	quem	_	PRON	PRON	_	165	nmod	_	TokenRange=908:912
165	teve	ter	VERB	VERB	_	160	acl:relcl	_	TokenRange=913:917
166	um	um	DET	DET	_	167	det	_	TokenRange=918:920
167	filho	filho	NOUN	NOUN	_	165	obj	_	TokenRange=921:926
168	com	com	ADP	ADP	_	171	case	_	TokenRange=927:930
169	apenas	apenas	ADV	ADV	_	170	advmod	_	TokenRange=931:937
170	3	_	NUM	NUM	NumType=Card	171	nummod	_	TokenRange=938:939
171	meses	mês	NOUN	NOUN	_	182	nmod	_	TokenRange=940:945
172	de	de	ADP	ADP	_	173	case	_	TokenRange=946:948
173	matrimonio	matrimonio	NOUN	NOUN	_	171	nmod	_	TokenRange=949:959
174	em	em	ADP	ADP	_	175	case	_	TokenRange=960:962
175	1970	_	NUM	NUM	NumType=Card	177	nmod	_	TokenRange=963:967
176	ela	_	PRON	PRON	_	177	nsubj	_	TokenRange=968:971
177	perdeu	perder	VERB	VERB	_	19	conj	_	TokenRange=972:978
178	o	o	DET	DET	_	179	det	_	TokenRange=979:980
179	marido	marido	NOUN	NOUN	_	177	obj	_	TokenRange=981:987
180	que	_	PRON	PRON	_	182	nsubj:pass	_	TokenRange=988:991
181	foi	_	AUX	AUX	_	182	aux:pass	_	TokenRange=992:995
182	assassinado	assassinar	VERB	VERB	_	179	acl:relcl	_	TokenRange=996:1007
183	a	_	ADP	ADP	_	184	case	_	TokenRange=1008:1009
184	tiros	tiro	NOUN	NOUN	_	182	nmod	_	TokenRange=1010:1015
185	em	em	ADP	ADP	_	187	case	_	TokenRange=1016:1018
186	um	um	DET	DET	_	187	det	_	TokenRange=1019:1021
187	campo	campo	NOUN	NOUN	_	182	nmod	_	TokenRange=1022:1027
188	de	de	ADP	ADP	_	173	case	_	TokenRange=1028:1030
189	futebol	futebol	NOUN	NOUN	_	187	nmod	_	TokenRange=1031:1038
190	em	em	ADP	ADP	_	191	case	_	TokenRange=1039:1041
191	1974	_	NUM	NUM	NumType=Card	182	nmod	_	TokenRange=1042:1046
192	a	o	DET	DET	_	193	det	_	TokenRange=1047:1048
193	viuva	viuvo	NOUN	NOUN	_	194	nsubj	_	TokenRange=1049:1054
194	conheceu	conhecer	VERB	VERB	_	40	conj	_	TokenRange=1055:1063
195	lula	_	NOUN	NOUN	_	194	obj	_	TokenRange=1064:1068
196-197	no	_	_	_	_	_	_	_	TokenRange=1069:1071
196	em	em	ADP	ADP	_	198	case	_	_
197	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	198	det	_	_
198	sindicato	sindicato	NOUN	NOUN	_	194	nmod	_	TokenRange=1072:1081
199-200	dos	_	_	_	_	_	_	_	TokenRange=1082:1085
199	de	de	ADP	ADP	_	201	case	_	_
200	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	201	det	_	_
201	metalurgicos	_	NOUN	NOUN	_	198	nmod	_	TokenRange=1086:1098
202	de	de	ADP	ADP	_	203	case	_	TokenRange=1099:1101
203	sao	sao	NOUN	NOUN	_	198	nmod	_	TokenRange=1102:1105
204	bernardo	bernardo	NOUN	NOUN	_	203	flat	_	TokenRange=1106:1114
205	meses	mês	NOUN	NOUN	_	206	nmod	_	TokenRange=1115:1120
206	depois	depois	ADV	ADV	_	213	advmod	_	TokenRange=1121:1127
207-208	no	_	_	_	_	_	_	_	TokenRange=1128:1130
207	em	em	ADP	ADP	_	210	case	_	_
208	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	210	det	_	_
209	mesmo	mesmo	ADJ	ADJ	_	210	amod	_	TokenRange=1131:1136
210	ano	ano	NOUN	NOUN	_	213	nmod	_	TokenRange=1137:1140
211	eles	_	PRON	PRON	_	213	nsubj	_	TokenRange=1141:1145
212	se	_	PRON	PRON	_	213	obj	_	TokenRange=1146:1148
213	casaram	casar	VERB	VERB	_	40	parataxis	_	TokenRange=1149:1156
214	e	e	CCONJ	CONJ	_	217	cc	_	TokenRange=1157:1158
215	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	217	det	_	TokenRange=1159:1160
216	relacionamento	relacionamento	NOUN	NOUN	_	217	nsubj	_	TokenRange=1161:1175
217	gerou	gerar	VERB	VERB	_	213	conj	_	TokenRange=1176:1181
218	tres	_	NUM	NUM	NumType=Card	219	nummod	_	TokenRange=1182:1186
219	filhos	filho	NOUN	NOUN	_	217	obj	_	TokenRange=1187:1193
220	fabio	fabio	NOUN	NOUN	_	219	appos	_	TokenRange=1194:1199
221	sandro	sandro	NOUN	NOUN	_	220	flat	_	TokenRange=1200:1206
222	e	e	CCONJ	CONJ	_	223	cc	_	TokenRange=1207:1208
223	luis	_	NOUN	NOUN	_	220	conj	_	TokenRange=1209:1213
224	claudio	claudio	ADJ	ADJ	_	223	flat	_	TokenRange=1214:1221
225	em	em	ADP	ADP	_	226	case	_	TokenRange=1222:1224
226	1980	_	NUM	NUM	NumType=Card	217	nmod	_	TokenRange=1225:1229
227	quando	_	CCONJ	CONJ	_	229	mark	_	TokenRange=1230:1236
228	lula	_	NOUN	NOUN	_	229	nsubj	_	TokenRange=1237:1241
229	estava	estar	VERB	VERB	_	255	advcl	_	TokenRange=1242:1248
230	preso	preso	ADJ	ADJ	_	229	xcomp	_	TokenRange=1249:1254
231	marisa	_	NOUN	NOUN	_	229	nsubj	_	TokenRange=1255:1261
232	liderou	liderar	VERB	VERB	_	229	conj	_	TokenRange=1262:1269
233	a	o	DET	DET	_	234	det	_	TokenRange=1270:1271
234	passeata	passeata	NOUN	NOUN	_	232	obj	_	TokenRange=1272:1280
235-236	das	_	_	_	_	_	_	_	TokenRange=1281:1284
235	de	de	ADP	ADP	_	237	case	_	_
236	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	237	det	_	_
237	mulheres	mulher	NOUN	NOUN	_	234	nmod	_	TokenRange=1285:1293
238	a	_	ADP	ADP	_	239	case	_	TokenRange=1294:1295
239	favor	favor	NOUN	NOUN	_	232	nmod	_	TokenRange=1296:1301
240-241	da	_	_	_	_	_	_	_	TokenRange=1302:1304
240	de	de	ADP	ADP	_	242	case	_	_
241	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	242	det	_	_
242	liberdade	liberdade	NOUN	NOUN	_	239	nmod	_	TokenRange=1305:1314
243-244	dos	_	_	_	_	_	_	_	TokenRange=1315:1318
243	de	de	ADP	ADP	_	245	case	_	_
244	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	245	det	_	_
245	sindicalistas	sindicalista	NOUN	NOUN	_	242	nmod	_	TokenRange=1319:1332
246-247	no	_	_	_	_	_	_	_	TokenRange=1333:1335
246	em	em	ADP	ADP	_	249	case	_	_
247	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	249	det	_	_
248	ultimo	_	ADJ	ADJ	_	249	amod	_	TokenRange=1336:1342
249	dia	dia	NOUN	NOUN	_	255	nmod	_	TokenRange=1343:1346
250	24	_	NUM	NUM	NumType=Card	249	nmod	_	TokenRange=1347:1349
251	a	o	DET	DET	_	253	det	_	TokenRange=1350:1351
252	exprimeira	exprimeiro	ADJ	ADJ	_	253	amod	_	TokenRange=1352:1362
253	dama	dama	NOUN	NOUN	_	255	nsubj:pass	_	TokenRange=1363:1367
254	foi	_	AUX	AUX	_	255	aux:pass	_	TokenRange=1368:1371
255	internada	internar	VERB	VERB	_	122	parataxis	_	TokenRange=1372:1381
256-257	na	_	_	_	_	_	_	_	TokenRange=1382:1384
256	em	em	ADP	ADP	_	258	case	_	_
257	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	258	det	_	_
258	uti	uti	NOUN	NOUN	_	255	nmod	_	TokenRange=1385:1388
259-260	do	_	_	_	_	_	_	_	TokenRange=1389:1391
259	de	de	ADP	ADP	_	261	case	_	_
260	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	261	det	_	_
261	hospital	hospital	NOUN	NOUN	_	258	nmod	_	TokenRange=1392:1400
262	siriolibanes	siriolibane	NOUN	NOUN	_	261	flat	_	TokenRange=1401:1413
263	apos	_	ADP	ADP	_	264	mark	_	TokenRange=1414:1418
264	sofrer	sofrer	VERB	VERB	_	255	advcl	_	TokenRange=1419:1425
265	um	um	DET	DET	_	266	det	_	TokenRange=1426:1428
266	avc	avc	NOUN	NOUN	_	264	obj	_	TokenRange=1429:1432

