# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = urgente policia se prepara para invadir penitenciaria de alcacuz no rio grande do norte o batalhao de choque da policia militar do rio grande do norte esta se preparando para invadir o presidio de alcacuz em natal o objetivo da invasao e entrar no presidio e dominar toda a area que foi literalmente destruida pelos presos homens da forca nacional de seguranca estao posicionados ao redor da penitenciaria e tambem nos quarteiroes proximos ao complexo atiradores de elite estao posicionados nas guaritas com o objetivo de evitar uma possivel fuga em massa a informacao e da globo news
1	urgente	urgente	ADJ	ADJ	_	2	amod	_	TokenRange=0:7
21	de	de	ADP	ADP	_	23	case	_	_
22	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	23	det	_	_
23	policia	policia	NOUN	NOUN	_	18	nmod	_	TokenRange=112:119
24	militar	militar	ADJ	ADJ	_	23	amod	_	TokenRange=120:127
25-26	do	_	_	_	_	_	_	_	TokenRange=128:130
25	de	de	ADP	ADP	_	27	case	_	_
26	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	27	det	_	_
27	rio	rio	NOUN	NOUN	_	23	nmod	_	TokenRange=131:134
28	grande	grande	ADJ	ADJ	_	27	amod	_	TokenRange=135:141
29-30	do	_	_	_	_	_	_	_	TokenRange=142:144
29	de	de	ADP	ADP	_	31	case	_	_
30	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	31	det	_	_
31	norte	norte	NOUN	NOUN	_	27	nmod	_	TokenRange=145:150
32	esta	_	AUX	AUX	_	34	aux	_	TokenRange=151:155
33	se	_	PRON	PRON	_	34	obj	_	TokenRange=156:158
34	preparando	preparar	VERB	VERB	_	4	parataxis	_	TokenRange=159:169
35	para	_	ADP	ADP	_	36	mark	_	TokenRange=170:174
36	invadir	invadir	VERB	VERB	_	34	nmod	_	TokenRange=175:182
37	o	o	DET	DET	_	38	det	_	TokenRange=183:184
38	presidio	presidio	NOUN	NOUN	_	36	obj	_	TokenRange=185:193
39	de	de	ADP	ADP	_	40	case	_	TokenRange=194:196
40	alcacuz	alcacuz	NOUN	NOUN	_	38	nmod	_	TokenRange=197:204
41	em	em	ADP	ADP	_	42	case	_	TokenRange=205:207
42	natal	_	PROPN	PNOUN	_	36	nmod	_	TokenRange=208:213
43	o	o	DET	DET	_	44	det	_	TokenRange=214:215
44	objetivo	objetivo	NOUN	NOUN	_	34	nsubj	_	TokenRange=216:224
45-46	da	_	_	_	_	_	_	_	TokenRange=225:227
45	de	de	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	invasao	invasao	NOUN	NOUN	_	44	nmod	_	TokenRange=228:235
48	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=236:237
49	entrar	entrar	VERB	VERB	_	44	conj	_	TokenRange=238:244
50-51	no	_	_	_	_	_	_	_	TokenRange=245:247
50	em	em	ADP	ADP	_	52	case	_	_
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	presidio	presidio	NOUN	NOUN	_	49	nmod	_	TokenRange=248:256
53	e	e	CCONJ	CONJ	_	54	cc	_	TokenRange=257:258
54	dominar	dominar	VERB	VERB	_	44	conj	_	TokenRange=259:266
55	toda	_	DET	DET	_	57	det	_	TokenRange=267:271
56	a	o	DET	DET	_	57	det	_	TokenRange=272:273
57	area	area	NOUN	NOUN	_	54	obj	_	TokenRange=274:278
58	que	_	PRON	PRON	_	61	nsubj:pass	_	TokenRange=279:282
59	foi	_	AUX	AUX	_	61	aux:pass	_	TokenRange=283:286
60	literalmente	literalmente	ADV	ADV	_	61	advmod	_	TokenRange=287:299
61	destruida	destruir	VERB	VERB	_	57	acl:relcl	_	TokenRange=300:309
62-63	pelos	_	_	_	_	_	_	_	TokenRange=310:315
62	por	por	ADP	ADP	_	64	case	_	_
63	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	64	det	_	_
64	presos	preso	NOUN	NOUN	_	61	nmod	_	TokenRange=316:322
65	homens	homem	NOUN	NOUN	_	72	nsubj	_	TokenRange=323:329
66-67	da	_	_	_	_	_	_	_	TokenRange=330:332
66	de	de	ADP	ADP	_	68	case	_	_
67	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	68	det	_	_
68	forca	forca	NOUN	NOUN	_	65	nmod	_	TokenRange=333:338
69	nacional	nacional	ADJ	ADJ	_	68	amod	_	TokenRange=339:347
70	de	de	ADP	ADP	_	71	case	_	TokenRange=348:350
71	seguranca	_	NOUN	NOUN	_	68	nmod	_	TokenRange=351:360
72	estao	_	VERB	VERB	_	44	acl:relcl	_	TokenRange=361:366
73	posicionados	posicionado	ADJ	ADJ	_	72	xcomp	_	TokenRange=367:379
74-75	ao	_	_	_	_	_	_	_	TokenRange=380:382
74	a	a	ADP	ADP	_	76	case	_	_
75	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	76	det	_	_
76	redor	redor	NOUN	NOUN	_	73	nmod	_	TokenRange=383:388
77-78	da	_	_	_	_	_	_	_	TokenRange=389:391
77	de	de	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	penitenciaria	penitenciaria	NOUN	NOUN	_	76	nmod	_	TokenRange=392:405
80	e	e	CCONJ	CONJ	_	92	cc	_	TokenRange=406:407
81	tambem	tambem	ADV	ADV	_	84	advmod	_	TokenRange=408:414
82-83	nos	_	_	_	_	_	_	_	TokenRange=415:418
82	em	em	ADP	ADP	_	84	case	_	_
83	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	84	det	_	_
84	quarteiroes	quarteiroe	NOUN	NOUN	_	92	nmod	_	TokenRange=419:430
85	proximos	proximo	ADJ	ADJ	_	84	amod	_	TokenRange=431:439
86-87	ao	_	_	_	_	_	_	_	TokenRange=440:442
86	a	a	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	complexo	complexo	NOUN	NOUN	_	85	nmod	_	TokenRange=443:451
89	atiradores	atirador	NOUN	NOUN	_	88	flat	_	TokenRange=452:462
90	de	de	ADP	ADP	_	91	case	_	TokenRange=463:465
91	elite	elite	NOUN	NOUN	_	89	nmod	_	TokenRange=466:471
92	estao	_	VERB	VERB	_	72	conj	_	TokenRange=472:477
93	posicionados	posicionado	ADJ	ADJ	_	92	xcomp	_	TokenRange=478:490
94-95	nas	_	_	_	_	_	_	_	TokenRange=491:494
94	em	em	ADP	ADP	_	96	case	_	_
95	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	96	det	_	_
96	guaritas	guarita	NOUN	NOUN	_	93	nmod	_	TokenRange=495:503
97	com	_	ADP	ADP	_	101	mark	_	TokenRange=504:507
98	o	_	DET	DET	_	97	fixed	_	TokenRange=508:509
99	objetivo	objetivo	NOUN	NOUN	_	97	fixed	_	TokenRange=510:518
100	de	_	ADP	ADP	_	97	fixed	_	TokenRange=519:521
101	evitar	evitar	VERB	VERB	_	92	advcl	_	TokenRange=522:528
102	uma	um	DET	DET	_	104	det	_	TokenRange=529:532
103	possivel	possivel	ADJ	ADJ	_	104	amod	_	TokenRange=533:541
104	fuga	fuga	NOUN	NOUN	_	101	obj	_	TokenRange=542:546
105	em	em	ADP	ADP	_	106	case	_	TokenRange=547:549
106	massa	massa	NOUN	NOUN	_	104	nmod	_	TokenRange=550:555
107	a	_	ADP	ADP	_	108	case	_	TokenRange=556:557
108	informacao	informacao	NOUN	NOUN	_	104	nmod	_	TokenRange=558:568
109	e	e	CCONJ	CONJ	_	112	cc	_	TokenRange=569:570
110-111	da	_	_	_	_	_	_	_	TokenRange=571:573
110	de	de	ADP	ADP	_	112	case	_	_
111	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	112	det	_	_
112	globo	globo	NOUN	NOUN	_	108	conj	_	TokenRange=574:579
113	news	_	X	NOUN	_	112	appos	_	TokenRange=580:584

