# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = na colombia epidemia de zika se alastra e numero de infectados passa dos 30 mil reportagem publicada em um dos jornais mais conceituados do mundo bbc alerta para o risco de uma epidemia desenfreada do virus zika zika virus vira uma pesta na colombia e numero de infectados chaga a 30 mil a sindrome de guillainbarre transmitida pelo mosquito aedes aegypti pode causar paralisia grave na colombia o panico e real e esta aumentando o jovem fabian medina de 22 anos e uma das vitimas da doenca os sintomas o deixam como um homem de 90 anos de idade se ele nao estivesse respirando com a ajuda de aparelhos provavelmente estaria morto a esposa de medina karen esta gravida de tres meses e teve zika os sintomas foram leves mas as consequencias ainda sao desconhecidas ela se preocupa com a possibilidade de microcefalia os casos no brasil se multiplicaram desde o inicio do surto ate o dia 30 de janeiro foram notificados de acordo com o ministerio da saude 4783 casos suspeitos de microcefalia medicos colombianos acreditam que o virus zika esteja ligado a sindrome de guillainbarre o portavoz da organizacao mundial da saude disse que devemos ser muito cautelosos e nao misturar muito as duas coisas disse christian lindmeier alegando que a associacao ainda nao foi comprovada o surto da paralisia na colombia comecou em outubro do ano passado ainda nao ha tratamento nem vacina a melhor prevencao e evitar contato com mosquito aedes aegypti eliminando os criadouros usando roupas com mangas longas calcas e repelentes de mosquitos
1-2	na	_	_	_	_	_	_	_	TokenRange=0:2
24	jornais	jornal	NOUN	NOUN	_	21	nmod	_	TokenRange=111:118
25	mais	mais	ADV	ADV	_	26	advmod	_	TokenRange=119:123
26	conceituados	conceituado	ADJ	ADJ	_	24	amod	_	TokenRange=124:136
27-28	do	_	_	_	_	_	_	_	TokenRange=137:139
27	de	de	ADP	ADP	_	29	case	_	_
28	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	29	det	_	_
29	mundo	mundo	NOUN	NOUN	_	24	nmod	_	TokenRange=140:145
30	bbc	bbc	NOUN	NOUN	_	31	nsubj	_	TokenRange=146:149
31	alerta	alertar	VERB	VERB	_	8	parataxis	_	TokenRange=150:156
32	para	para	ADP	ADP	_	34	case	_	TokenRange=157:161
33	o	o	DET	DET	_	34	det	_	TokenRange=162:163
34	risco	risco	NOUN	NOUN	_	31	nmod	_	TokenRange=164:169
35	de	de	ADP	ADP	_	37	case	_	TokenRange=170:172
36	uma	um	DET	DET	_	37	det	_	TokenRange=173:176
37	epidemia	epidemia	NOUN	NOUN	_	34	nmod	_	TokenRange=177:185
38	desenfreada	desenfreado	ADJ	ADJ	_	37	amod	_	TokenRange=186:197
39-40	do	_	_	_	_	_	_	_	TokenRange=198:200
39	de	de	ADP	ADP	_	41	case	_	_
40	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	41	det	_	_
41	virus	virus	NOUN	NOUN	_	37	nmod	_	TokenRange=201:206
42	zika	zika	NOUN	NOUN	_	41	flat	_	TokenRange=207:211
43	zika	_	NOUN	NOUN	_	41	appos	_	TokenRange=212:216
44	virus	_	NOUN	NOUN	_	43	flat	_	TokenRange=217:222
45	vira	_	VERB	VERB	_	8	conj	_	TokenRange=223:227
46	uma	um	DET	DET	_	47	det	_	TokenRange=228:231
47	pesta	pesta	NOUN	NOUN	_	45	obj	_	TokenRange=232:237
48-49	na	_	_	_	_	_	_	_	TokenRange=238:240
48	em	em	ADP	ADP	_	50	case	_	_
49	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	50	det	_	_
50	colombia	colombia	NOUN	NOUN	_	45	nmod	_	TokenRange=241:249
51	e	e	CCONJ	CONJ	_	55	cc	_	TokenRange=250:251
52	numero	numero	NOUN	NOUN	_	55	nsubj	_	TokenRange=252:258
53	de	de	ADP	ADP	_	54	case	_	TokenRange=259:261
54	infectados	infectado	NOUN	NOUN	_	52	nmod	_	TokenRange=262:272
55	chaga	chagar	VERB	VERB	_	210	conj	_	TokenRange=273:278
56	a	_	ADP	ADP	_	58	case	_	TokenRange=279:280
57	30	_	NUM	NUM	NumType=Card	58	nummod	_	TokenRange=281:283
58	mil	_	NUM	NUM	NumType=Card	55	nmod	_	TokenRange=284:287
59	a	o	DET	DET	_	60	det	_	TokenRange=288:289
60	sindrome	sindrome	NOUN	NOUN	_	55	nsubj	_	TokenRange=290:298
61	de	de	ADP	ADP	_	62	case	_	TokenRange=299:301
62	guillainbarre	guillainbarre	NOUN	NOUN	_	60	nmod	_	TokenRange=302:315
63	transmitida	transmitir	VERB	VERB	_	60	acl	_	TokenRange=316:327
64-65	pelo	_	_	_	_	_	_	_	TokenRange=328:332
64	por	por	ADP	ADP	_	66	case	_	_
65	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	66	det	_	_
66	mosquito	mosquito	NOUN	NOUN	_	63	nmod	_	TokenRange=333:341
67	aedes	_	NOUN	NOUN	_	66	appos	_	TokenRange=342:347
68	aegypti	_	NOUN	NOUN	_	67	flat	_	TokenRange=348:355
69	pode	_	AUX	AUX	_	70	aux	_	TokenRange=356:360
70	causar	causar	VERB	VERB	_	8	conj	_	TokenRange=361:367
71	paralisia	paralisia	NOUN	NOUN	_	70	obj	_	TokenRange=368:377
72	grave	grave	ADJ	ADJ	_	71	amod	_	TokenRange=378:383
73-74	na	_	_	_	_	_	_	_	TokenRange=384:386
73	em	em	ADP	ADP	_	75	case	_	_
74	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	75	det	_	_
75	colombia	colombia	NOUN	NOUN	_	70	nmod	_	TokenRange=387:395
76	o	o	DET	DET	_	77	det	_	TokenRange=396:397
77	panico	panico	NOUN	NOUN	_	251	nsubj	_	TokenRange=398:404
78	e	e	CCONJ	CONJ	_	79	cc	_	TokenRange=405:406
79	real	real	ADJ	ADJ	_	252	conj	_	TokenRange=407:411
80	e	e	CCONJ	CONJ	_	82	cc	_	TokenRange=412:413
81	esta	_	AUX	AUX	_	82	aux	_	TokenRange=414:418
82	aumentando	aumentar	VERB	VERB	_	213	conj	_	TokenRange=419:429
83	o	o	DET	DET	_	84	det	_	TokenRange=430:431
84	jovem	jovem	NOUN	NOUN	_	160	nsubj	_	TokenRange=432:437
85	fabian	_	NOUN	NOUN	_	84	appos	_	TokenRange=438:444
86	medina	medina	NOUN	NOUN	_	85	flat	_	TokenRange=445:451
87	de	de	ADP	ADP	_	89	case	_	TokenRange=452:454
88	22	_	NUM	NUM	NumType=Card	89	nummod	_	TokenRange=455:457
89	anos	ano	NOUN	NOUN	_	84	nmod	_	TokenRange=458:462
90	e	e	CCONJ	CONJ	_	174	cc	_	TokenRange=463:464
91	uma	_	PRON	PRON	_	174	nsubj:pass	_	TokenRange=465:468
92-93	das	_	_	_	_	_	_	_	TokenRange=469:472
92	de	de	ADP	ADP	_	94	case	_	_
93	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	94	det	_	_
94	vitimas	vitima	NOUN	NOUN	_	91	nmod	_	TokenRange=473:480
95-96	da	_	_	_	_	_	_	_	TokenRange=481:483
95	de	de	ADP	ADP	_	97	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	97	det	_	_
97	doenca	doenca	NOUN	NOUN	_	94	nmod	_	TokenRange=484:490
98	os	o	DET	DET	_	99	det	_	TokenRange=491:493
99	sintomas	sintoma	NOUN	NOUN	_	160	nsubj	_	TokenRange=494:502
100	o	_	PRON	PRON	_	160	obj	_	TokenRange=503:504
101	deixam	deixar	VERB	VERB	_	190	ccomp	_	TokenRange=505:511
102	como	como	ADP	ADP	_	104	case	_	TokenRange=512:516
103	um	um	DET	DET	_	104	det	_	TokenRange=517:519
104	homem	homem	NOUN	NOUN	_	101	nmod	_	TokenRange=520:525
105	de	de	ADP	ADP	_	107	case	_	TokenRange=526:528
106	90	_	NUM	NUM	NumType=Card	107	nummod	_	TokenRange=529:531
107	anos	ano	NOUN	NOUN	_	104	nmod	_	TokenRange=532:536
108	de	de	ADP	ADP	_	109	case	_	TokenRange=537:539
109	idade	idade	NOUN	NOUN	_	107	nmod	_	TokenRange=540:545
110	se	_	CCONJ	CONJ	_	114	mark	_	TokenRange=546:548
111	ele	_	PRON	PRON	_	114	nsubj	_	TokenRange=549:552
112	nao	nao	ADV	ADV	Polarity=Neg	114	advmod	_	TokenRange=553:556
113	estivesse	estar	AUX	AUX	_	114	aux	_	TokenRange=557:566
114	respirando	respirar	VERB	VERB	_	195	advcl	_	TokenRange=567:577
115	com	com	ADP	ADP	_	117	case	_	TokenRange=578:581
116	a	o	DET	DET	_	117	det	_	TokenRange=582:583
117	ajuda	ajuda	NOUN	NOUN	_	114	nmod	_	TokenRange=584:589
118	de	de	ADP	ADP	_	119	case	_	TokenRange=590:592
119	aparelhos	aparelho	NOUN	NOUN	_	117	nmod	_	TokenRange=593:602
120	provavelmente	provavelmente	ADV	ADV	_	121	advmod	_	TokenRange=603:616
121	estaria	estar	VERB	VERB	_	45	conj	_	TokenRange=617:624
122	morto	morto	ADJ	ADJ	_	121	xcomp	_	TokenRange=625:630
123	a	o	DET	DET	_	124	det	_	TokenRange=631:632
124	esposa	esposo	NOUN	NOUN	_	121	nsubj	_	TokenRange=633:639
125	de	de	ADP	ADP	_	126	case	_	TokenRange=640:642
126	medina	medina	NOUN	NOUN	_	124	nmod	_	TokenRange=643:649
127	karen	_	NOUN	NOUN	_	235	appos	_	TokenRange=650:655
128	esta	_	VERB	VERB	_	210	ccomp	_	TokenRange=656:660
129	gravida	_	ADJ	ADJ	_	128	xcomp	_	TokenRange=661:668
130	de	de	ADP	ADP	_	132	case	_	TokenRange=669:671
131	tres	_	NUM	NUM	NumType=Card	132	nummod	_	TokenRange=672:676
132	meses	mês	NOUN	NOUN	_	129	nmod	_	TokenRange=677:682
133	e	e	CCONJ	CONJ	_	134	cc	_	TokenRange=683:684
134	teve	ter	VERB	VERB	_	242	conj	_	TokenRange=685:689
135	zika	zika	NOUN	NOUN	_	134	obj	_	TokenRange=690:694
136	os	o	DET	DET	_	137	det	_	TokenRange=695:697
137	sintomas	sintoma	NOUN	NOUN	_	55	nsubj	_	TokenRange=698:706
138	foram	_	VERB	VERB	_	210	ccomp	_	TokenRange=707:712
139	leves	leve	ADJ	ADJ	_	138	xcomp	_	TokenRange=713:718
140	mas	mas	CCONJ	CONJ	_	259	cc	_	TokenRange=719:722
141	as	o	DET	DET	_	142	det	_	TokenRange=723:725
142	consequencias	_	NOUN	NOUN	_	148	nsubj	_	TokenRange=726:739
143	ainda	ainda	ADV	ADV	_	145	advmod	_	TokenRange=740:745
144	sao	_	AUX	AUX	_	145	aux:pass	_	TokenRange=746:749
145	desconhecidas	desconhecer	VERB	VERB	_	251	conj	_	TokenRange=750:763
146	ela	_	PRON	PRON	_	148	nsubj	_	TokenRange=764:767
147	se	_	PRON	PRON	_	148	expl:pv	_	TokenRange=768:770
148	preocupa	preocupar	VERB	VERB	_	70	conj	_	TokenRange=771:779
149	com	com	ADP	ADP	_	151	case	_	TokenRange=780:783
150	a	o	DET	DET	_	151	det	_	TokenRange=784:785
151	possibilidade	possibilidade	NOUN	NOUN	_	148	nmod	_	TokenRange=786:799
152	de	de	ADP	ADP	_	153	case	_	TokenRange=800:802
153	microcefalia	microcefalia	NOUN	NOUN	_	151	nmod	_	TokenRange=803:815
154	os	o	DET	DET	_	155	det	_	TokenRange=816:818
155	casos	caso	NOUN	NOUN	_	160	nsubj	_	TokenRange=819:824
156-157	no	_	_	_	_	_	_	_	TokenRange=825:827
156	em	em	ADP	ADP	_	158	case	_	_
157	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	158	det	_	_
158	brasil	brasil	NOUN	NOUN	_	155	nmod	_	TokenRange=828:834
159	se	_	PRON	PRON	_	160	expl:pv	_	TokenRange=835:837
160	multiplicaram	multiplicar	VERB	VERB	_	151	acl:relcl	_	TokenRange=838:851
161	desde	_	ADP	ADP	_	163	case	_	TokenRange=852:857
162	o	o	DET	DET	_	163	det	_	TokenRange=858:859
163	inicio	_	NOUN	NOUN	_	160	nmod	_	TokenRange=860:866
164-165	do	_	_	_	_	_	_	_	TokenRange=867:869
164	de	de	ADP	ADP	_	166	case	_	_
165	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	166	det	_	_
166	surto	surto	NOUN	NOUN	_	163	nmod	_	TokenRange=870:875
167	ate	_	ADP	ADP	_	169	case	_	TokenRange=876:879
168	o	o	DET	DET	_	169	det	_	TokenRange=880:881
169	dia	dia	NOUN	NOUN	_	160	nmod	_	TokenRange=882:885
170	30	_	NUM	NUM	NumType=Card	169	nmod	_	TokenRange=886:888
171	de	de	ADP	ADP	_	172	case	_	TokenRange=889:891
172	janeiro	_	PROPN	PNOUN	_	170	nmod	_	TokenRange=892:899
173	foram	_	AUX	AUX	_	174	aux:pass	_	TokenRange=900:905
174	notificados	notificar	VERB	VERB	_	8	parataxis	_	TokenRange=906:917
175	de	de	ADP	ADP	_	176	case	_	TokenRange=918:920
176	acordo	acordo	NOUN	NOUN	_	174	nmod	_	TokenRange=921:927
177	com	com	ADP	ADP	_	179	case	_	TokenRange=928:931
178	o	o	DET	DET	_	179	det	_	TokenRange=932:933
179	ministerio	ministerio	NOUN	NOUN	_	176	nmod	_	TokenRange=934:944
180-181	da	_	_	_	_	_	_	_	TokenRange=945:947
180	de	de	ADP	ADP	_	182	case	_	_
181	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	182	det	_	_
182	saude	saude	NOUN	NOUN	_	179	nmod	_	TokenRange=948:953
183	4783	_	NUM	NUM	NumType=Card	184	nummod	_	TokenRange=954:958
184	casos	caso	NOUN	NOUN	_	174	nsubj:pass	_	TokenRange=959:964
185	suspeitos	suspeito	ADJ	ADJ	_	184	amod	_	TokenRange=965:974
186	de	de	ADP	ADP	_	187	case	_	TokenRange=975:977
187	microcefalia	microcefalia	NOUN	NOUN	_	185	nmod	_	TokenRange=978:990
188	medicos	medico	NOUN	NOUN	_	45	nsubj	_	TokenRange=991:998
189	colombianos	colombiano	ADJ	ADJ	_	188	amod	_	TokenRange=999:1010
190	acreditam	acreditar	VERB	VERB	_	210	parataxis	_	TokenRange=1011:1020
191	que	que	CCONJ	CONJ	_	195	mark	_	TokenRange=1021:1024
192	o	o	DET	DET	_	193	det	_	TokenRange=1025:1026
193	virus	virus	NOUN	NOUN	_	195	nsubj	_	TokenRange=1027:1032
194	zika	zika	NOUN	NOUN	_	193	appos	_	TokenRange=1033:1037
195	esteja	estar	VERB	VERB	_	190	ccomp	_	TokenRange=1038:1044
196	ligado	ligado	ADJ	ADJ	_	195	xcomp	_	TokenRange=1045:1051
197	a	_	ADP	ADP	_	198	case	_	TokenRange=1052:1053
198	sindrome	sindrome	NOUN	NOUN	_	196	nmod	_	TokenRange=1054:1062
199	de	de	ADP	ADP	_	200	case	_	TokenRange=1063:1065
200	guillainbarre	guillainbarre	NOUN	NOUN	_	198	nmod	_	TokenRange=1066:1079
201	o	o	DET	DET	_	202	det	_	TokenRange=1080:1081
202	portavoz	portavoz	NOUN	NOUN	_	45	nsubj	_	TokenRange=1082:1090
203-204	da	_	_	_	_	_	_	_	TokenRange=1091:1093
203	de	de	ADP	ADP	_	205	case	_	_
204	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	205	det	_	_
205	organizacao	organizacao	NOUN	NOUN	_	202	nmod	_	TokenRange=1094:1105
206	mundial	mundial	ADJ	ADJ	_	205	amod	_	TokenRange=1106:1113
207-208	da	_	_	_	_	_	_	_	TokenRange=1114:1116
207	de	de	ADP	ADP	_	209	case	_	_
208	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	209	det	_	_
209	saude	saude	NOUN	NOUN	_	205	nmod	_	TokenRange=1117:1122
210	disse	dizer	VERB	VERB	_	8	parataxis	_	TokenRange=1123:1128
211	que	que	CCONJ	CONJ	_	213	mark	_	TokenRange=1129:1132
212	devemos	dever	AUX	AUX	_	213	aux	_	TokenRange=1133:1140
213	ser	ser	VERB	VERB	_	210	ccomp	_	TokenRange=1141:1144
214	muito	muito	ADV	ADV	_	215	advmod	_	TokenRange=1145:1150
215	cautelosos	cauteloso	ADJ	ADJ	_	213	xcomp	_	TokenRange=1151:1161
216	e	e	CCONJ	CONJ	_	218	cc	_	TokenRange=1162:1163
217	nao	nao	ADV	ADV	Polarity=Neg	218	advmod	_	TokenRange=1164:1167
218	misturar	misturar	VERB	VERB	_	213	conj	_	TokenRange=1168:1176
219	muito	muito	ADV	ADV	_	218	advmod	_	TokenRange=1177:1182
220	as	o	DET	DET	_	222	det	_	TokenRange=1183:1185
221	duas	_	NUM	NUM	NumType=Card	222	nummod	_	TokenRange=1186:1190
222	coisas	coisa	NOUN	NOUN	_	218	obj	_	TokenRange=1191:1197
223	disse	dizer	VERB	VERB	_	210	conj	_	TokenRange=1198:1203
224	christian	_	NOUN	NOUN	_	223	nsubj	_	TokenRange=1204:1213
225	lindmeier	lindmeier	NOUN	NOUN	_	224	flat	_	TokenRange=1214:1223
226	alegando	alegar	VERB	VERB	_	224	acl	_	TokenRange=1224:1232
227	que	que	CCONJ	CONJ	_	233	mark	_	TokenRange=1233:1236
228	a	o	DET	DET	_	229	det	_	TokenRange=1237:1238
229	associacao	associacao	NOUN	NOUN	_	233	nsubj:pass	_	TokenRange=1239:1249
230	ainda	ainda	ADV	ADV	_	233	advmod	_	TokenRange=1250:1255
231	nao	nao	ADV	ADV	Polarity=Neg	233	advmod	_	TokenRange=1256:1259
232	foi	_	AUX	AUX	_	233	aux:pass	_	TokenRange=1260:1263
233	comprovada	comprovar	VERB	VERB	_	226	ccomp	_	TokenRange=1264:1274
234	o	o	DET	DET	_	235	det	_	TokenRange=1275:1276
235	surto	surto	NOUN	NOUN	_	233	nsubj:pass	_	TokenRange=1277:1282
236-237	da	_	_	_	_	_	_	_	TokenRange=1283:1285
236	de	de	ADP	ADP	_	238	case	_	_
237	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	238	det	_	_
238	paralisia	paralisia	NOUN	NOUN	_	235	nmod	_	TokenRange=1286:1295
239-240	na	_	_	_	_	_	_	_	TokenRange=1296:1298
239	em	em	ADP	ADP	_	241	case	_	_
240	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	241	det	_	_
241	colombia	_	NOUN	NOUN	_	235	nmod	_	TokenRange=1299:1307
242	comecou	comecar	VERB	VERB	_	226	ccomp	_	TokenRange=1308:1315
243	em	em	ADP	ADP	_	244	case	_	TokenRange=1316:1318
244	outubro	_	PROPN	PNOUN	_	242	nmod	_	TokenRange=1319:1326
245-246	do	_	_	_	_	_	_	_	TokenRange=1327:1329
245	de	de	ADP	ADP	_	247	case	_	_
246	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	247	det	_	_
247	ano	ano	NOUN	NOUN	_	244	nmod	_	TokenRange=1330:1333
248	passado	passado	ADJ	ADJ	_	247	amod	_	TokenRange=1334:1341
249	ainda	ainda	ADV	ADV	_	251	advmod	_	TokenRange=1342:1347
250	nao	nao	ADV	ADV	Polarity=Neg	251	advmod	_	TokenRange=1348:1351
251	ha	har	VERB	VERB	_	223	ccomp	_	TokenRange=1352:1354
252	tratamento	tratamento	NOUN	NOUN	_	251	obj	_	TokenRange=1355:1365
253	nem	_	CCONJ	CONJ	_	254	cc	_	TokenRange=1366:1369
254	vacina	vacina	NOUN	NOUN	_	252	conj	_	TokenRange=1370:1376
255	a	_	ADP	ADP	_	257	case	_	TokenRange=1377:1378
256	melhor	melhor	ADJ	ADJ	_	257	amod	_	TokenRange=1379:1385
257	prevencao	prevencao	NOUN	NOUN	_	252	nmod	_	TokenRange=1386:1395
258	e	e	CCONJ	CONJ	_	259	cc	_	TokenRange=1396:1397
259	evitar	evitar	VERB	VERB	_	251	conj	_	TokenRange=1398:1404
260	contato	contato	NOUN	NOUN	_	259	obj	_	TokenRange=1405:1412
261	com	com	ADP	ADP	_	262	case	_	TokenRange=1413:1416
262	mosquito	mosquito	NOUN	NOUN	_	260	nmod	_	TokenRange=1417:1425
263	aedes	_	NOUN	NOUN	_	262	appos	_	TokenRange=1426:1431
264	aegypti	_	NOUN	NOUN	_	263	flat	_	TokenRange=1432:1439
265	eliminando	eliminar	VERB	VERB	_	262	acl	_	TokenRange=1440:1450
266	os	o	DET	DET	_	267	det	_	TokenRange=1451:1453
267	criadouros	_	NOUN	NOUN	_	265	obj	_	TokenRange=1454:1464
268	usando	usar	VERB	VERB	_	259	acl	_	TokenRange=1465:1471
269	roupas	roupa	NOUN	NOUN	_	268	obj	_	TokenRange=1472:1478
270	com	com	ADP	ADP	_	271	case	_	TokenRange=1479:1482
271	mangas	manga	NOUN	NOUN	_	269	nmod	_	TokenRange=1483:1489
272	longas	longo	ADJ	ADJ	_	271	amod	_	TokenRange=1490:1496
273	calcas	calco	ADJ	ADJ	_	271	amod	_	TokenRange=1497:1503
274	e	e	CCONJ	CONJ	_	275	cc	_	TokenRange=1504:1505
275	repelentes	repelente	NOUN	NOUN	_	271	conj	_	TokenRange=1506:1516
276	de	de	ADP	ADP	_	277	case	_	TokenRange=1517:1519
277	mosquitos	mosquito	NOUN	NOUN	_	275	nmod	_	TokenRange=1520:1529

