# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = dezenas de tanques nortecoreanos disparam misseis em direcao a frota naval dos eua o reino eremita disparou misseis em resposta a frota de guerra comandada pelo navio americano carl vinson que chegou a peninsula demonstrando que o poder de fogo dos tanques podem atingir tranquilamente os navios estrangeiros o portaavioes carl vinson aguarda a chegada das frotas do japao e da coreia do sul para se juntarem aos exercicios militares leiase prontidao para a guerra um submarino nuclear dos eua armado com misseis de cruzeiro tomahawk tambem desembarcou no porto da marinha de busan coreia do sul kim jongun reagiu furiosamente e ameacou explodir a frota da agua com um unico missil especialistas militares acreditam que o tirano esta se preparando para seu proximo lancamento de missil nuclear de longo alcance o que pode acontecer nesta semana estamos observando de perto os movimentos dos militares nortecoreanos em torno de wonsan mantendo uma firme disposicao disseram os militares sulcoreanos em comunicado
1	dezenas	_	NUM	NUM	NumType=Card	3	nummod	_	TokenRange=0:7
29	navio	navio	NOUN	NOUN	_	26	nmod	_	TokenRange=161:166
30	americano	americano	ADJ	ADJ	_	29	amod	_	TokenRange=167:176
31	carl	carl	NOUN	NOUN	_	29	appos	_	TokenRange=177:181
32	vinson	_	NOUN	NOUN	_	31	flat	_	TokenRange=182:188
33	que	_	PRON	PRON	_	34	nsubj	_	TokenRange=189:192
34	chegou	chegar	VERB	VERB	_	23	acl:relcl	_	TokenRange=193:199
35	a	_	ADP	ADP	_	36	case	_	TokenRange=200:201
36	peninsula	peninsula	NOUN	NOUN	_	34	nmod	_	TokenRange=202:211
37	demonstrando	demonstrar	VERB	VERB	_	34	acl	_	TokenRange=212:224
38	que	que	CCONJ	CONJ	_	47	mark	_	TokenRange=225:228
39	o	o	DET	DET	_	40	det	_	TokenRange=229:230
40	poder	poder	NOUN	NOUN	_	47	nsubj	_	TokenRange=231:236
41	de	de	ADP	ADP	_	42	case	_	TokenRange=237:239
42	fogo	fogo	NOUN	NOUN	_	40	nmod	_	TokenRange=240:244
43-44	dos	_	_	_	_	_	_	_	TokenRange=245:248
43	de	de	ADP	ADP	_	45	case	_	_
44	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	45	det	_	_
45	tanques	tanque	NOUN	NOUN	_	40	nmod	_	TokenRange=249:256
46	podem	_	AUX	AUX	_	47	aux	_	TokenRange=257:262
47	atingir	atingir	VERB	VERB	_	37	ccomp	_	TokenRange=263:270
48	tranquilamente	tranquilamente	ADV	ADV	_	47	advmod	_	TokenRange=271:285
49	os	o	DET	DET	_	50	det	_	TokenRange=286:288
50	navios	navio	NOUN	NOUN	_	47	obj	_	TokenRange=289:295
51	estrangeiros	estrangeiro	ADJ	ADJ	_	50	amod	_	TokenRange=296:308
52	o	o	DET	DET	_	53	det	_	TokenRange=309:310
53	portaavioes	_	NOUN	NOUN	_	56	nsubj	_	TokenRange=311:322
54	carl	carl	NOUN	NOUN	_	53	appos	_	TokenRange=323:327
55	vinson	_	NOUN	NOUN	_	54	flat	_	TokenRange=328:334
56	aguarda	aguardar	VERB	VERB	_	128	ccomp	_	TokenRange=335:342
57	a	o	DET	DET	_	58	det	_	TokenRange=343:344
58	chegada	chegada	NOUN	NOUN	_	56	obj	_	TokenRange=345:352
59-60	das	_	_	_	_	_	_	_	TokenRange=353:356
59	de	de	ADP	ADP	_	61	case	_	_
60	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	61	det	_	_
61	frotas	frota	NOUN	NOUN	_	58	nmod	_	TokenRange=357:363
62-63	do	_	_	_	_	_	_	_	TokenRange=364:366
62	de	de	ADP	ADP	_	64	case	_	_
63	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	64	det	_	_
64	japao	japao	NOUN	NOUN	_	61	nmod	_	TokenRange=367:372
65	e	e	CCONJ	CONJ	_	68	cc	_	TokenRange=373:374
66-67	da	_	_	_	_	_	_	_	TokenRange=375:377
66	de	de	ADP	ADP	_	68	case	_	_
67	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	68	det	_	_
68	coreia	coreia	NOUN	NOUN	_	64	conj	_	TokenRange=378:384
69-70	do	_	_	_	_	_	_	_	TokenRange=385:387
69	de	de	ADP	ADP	_	71	case	_	_
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	_
71	sul	sul	NOUN	NOUN	_	68	nmod	_	TokenRange=388:391
72	para	_	ADP	ADP	_	74	mark	_	TokenRange=392:396
73	se	_	PRON	PRON	_	74	obj	_	TokenRange=397:399
74	juntarem	juntar	VERB	VERB	_	152	advcl	_	TokenRange=400:408
75-76	aos	_	_	_	_	_	_	_	TokenRange=409:412
75	a	a	ADP	ADP	_	77	case	_	_
76	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	77	det	_	_
77	exercicios	exercicio	NOUN	NOUN	_	74	nmod	_	TokenRange=413:423
78	militares	militar	ADJ	ADJ	_	77	amod	_	TokenRange=424:433
79	leiase	_	VERB	VERB	_	56	parataxis	_	TokenRange=434:440
80	prontidao	prontidao	NOUN	NOUN	_	152	obj	_	TokenRange=441:450
81	para	para	ADP	ADP	_	83	case	_	TokenRange=451:455
82	a	o	DET	DET	_	83	det	_	TokenRange=456:457
83	guerra	guerra	NOUN	NOUN	_	80	nmod	_	TokenRange=458:464
84	um	um	DET	DET	_	85	det	_	TokenRange=465:467
85	submarino	submarino	NOUN	NOUN	_	97	nsubj	_	TokenRange=468:477
86	nuclear	nuclear	ADJ	ADJ	_	85	amod	_	TokenRange=478:485
87-88	dos	_	_	_	_	_	_	_	TokenRange=486:489
87	de	de	ADP	ADP	_	89	case	_	_
88	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	89	det	_	_
89	eua	_	NOUN	NOUN	_	85	nmod	_	TokenRange=490:493
90	armado	armado	ADJ	ADJ	_	85	amod	_	TokenRange=494:500
91	com	com	ADP	ADP	_	92	case	_	TokenRange=501:504
92	misseis	missil	NOUN	NOUN	_	90	nmod	_	TokenRange=505:512
93	de	de	ADP	ADP	_	94	case	_	TokenRange=513:515
94	cruzeiro	cruzeiro	NOUN	NOUN	_	92	nmod	_	TokenRange=516:524
95	tomahawk	_	NOUN	NOUN	_	92	appos	_	TokenRange=525:533
96	tambem	tambem	ADV	ADV	_	97	advmod	_	TokenRange=534:540
97	desembarcou	desembarcar	VERB	VERB	_	23	acl:relcl	_	TokenRange=541:552
98-99	no	_	_	_	_	_	_	_	TokenRange=553:555
98	em	em	ADP	ADP	_	100	case	_	_
99	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	100	det	_	_
100	porto	porto	NOUN	NOUN	_	97	nmod	_	TokenRange=556:561
101-102	da	_	_	_	_	_	_	_	TokenRange=562:564
101	de	de	ADP	ADP	_	103	case	_	_
102	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	103	det	_	_
103	marinha	_	NOUN	NOUN	_	100	nmod	_	TokenRange=565:572
104	de	de	ADP	ADP	_	105	case	_	TokenRange=573:575
105	busan	busan	NOUN	NOUN	_	103	nmod	_	TokenRange=576:581
106	coreia	coreia	NOUN	NOUN	_	47	nsubj	_	TokenRange=582:588
107-108	do	_	_	_	_	_	_	_	TokenRange=589:591
107	de	de	ADP	ADP	_	109	case	_	_
108	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	109	det	_	_
109	sul	sul	NOUN	NOUN	_	106	nmod	_	TokenRange=592:595
110	kim	_	PROPN	PNOUN	_	97	nsubj	_	TokenRange=596:599
111	jongun	_	PROPN	NOUN	_	110	flat	_	TokenRange=600:606
112	reagiu	reagir	VERB	VERB	_	37	ccomp	_	TokenRange=607:613
113	furiosamente	furiosamente	ADV	ADV	_	112	advmod	_	TokenRange=614:626
114	e	e	CCONJ	CONJ	_	115	cc	_	TokenRange=627:628
115	ameacou	ameacar	VERB	VERB	_	112	conj	_	TokenRange=629:636
116	explodir	explodir	VERB	VERB	_	115	xcomp	_	TokenRange=637:645
117	a	o	DET	DET	_	118	det	_	TokenRange=646:647
118	frota	frota	NOUN	NOUN	_	116	obj	_	TokenRange=648:653
119-120	da	_	_	_	_	_	_	_	TokenRange=654:656
119	de	de	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	agua	agua	NOUN	NOUN	_	118	nmod	_	TokenRange=657:661
122	com	com	ADP	ADP	_	125	case	_	TokenRange=662:665
123	um	um	DET	DET	_	125	det	_	TokenRange=666:668
124	unico	unico	ADJ	ADJ	_	125	amod	_	TokenRange=669:674
125	missil	missil	NOUN	NOUN	_	47	nmod	_	TokenRange=675:681
126	especialistas	especialista	NOUN	NOUN	_	47	nsubj	_	TokenRange=682:695
127	militares	militar	ADJ	ADJ	_	126	amod	_	TokenRange=696:705
128	acreditam	acreditar	VERB	VERB	_	37	ccomp	_	TokenRange=706:715
129	que	que	CCONJ	CONJ	_	134	mark	_	TokenRange=716:719
130	o	o	DET	DET	_	131	det	_	TokenRange=720:721
131	tirano	tirano	NOUN	NOUN	_	134	nsubj	_	TokenRange=722:728
132	esta	_	AUX	AUX	_	134	aux	_	TokenRange=729:733
133	se	_	PRON	PRON	_	134	obj	_	TokenRange=734:736
134	preparando	preparar	VERB	VERB	_	128	ccomp	_	TokenRange=737:747
135	para	para	ADP	ADP	_	138	case	_	TokenRange=748:752
136	seu	_	DET	DET	_	138	det:poss	_	TokenRange=753:756
137	proximo	proximo	ADJ	ADJ	_	138	amod	_	TokenRange=757:764
138	lancamento	lancamento	NOUN	NOUN	_	134	nmod	_	TokenRange=765:775
139	de	de	ADP	ADP	_	140	case	_	TokenRange=776:778
140	missil	missil	NOUN	NOUN	_	138	nmod	_	TokenRange=779:785
141	nuclear	nuclear	ADJ	ADJ	_	140	amod	_	TokenRange=786:793
142	de	de	ADP	ADP	_	144	case	_	TokenRange=794:796
143	longo	longo	ADJ	ADJ	_	144	amod	_	TokenRange=797:802
144	alcance	alcance	NOUN	NOUN	_	138	nmod	_	TokenRange=803:810
145	o	_	PRON	PRON	_	56	nsubj	_	TokenRange=811:812
146	que	_	PRON	PRON	_	148	nsubj	_	TokenRange=813:816
147	pode	_	AUX	AUX	_	148	aux	_	TokenRange=817:821
148	acontecer	acontecer	VERB	VERB	_	145	acl:relcl	_	TokenRange=822:831
149	nesta	_	ADP	ADP	_	150	case	_	TokenRange=832:837
150	semana	semana	NOUN	NOUN	_	148	nmod	_	TokenRange=838:844
151	estamos	estar	AUX	AUX	_	152	aux	_	TokenRange=845:852
152	observando	observar	VERB	VERB	_	128	ccomp	_	TokenRange=853:863
153	de	_	ADP	ADP	_	154	mark	_	TokenRange=864:866
154	perto	perto	ADV	ADV	_	152	nmod	_	TokenRange=867:872
155	os	o	DET	DET	_	156	det	_	TokenRange=873:875
156	movimentos	movimento	NOUN	NOUN	_	152	obj	_	TokenRange=876:886
157-158	dos	_	_	_	_	_	_	_	TokenRange=887:890
157	de	de	ADP	ADP	_	159	case	_	_
158	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	159	det	_	_
159	militares	militar	NOUN	NOUN	_	156	nmod	_	TokenRange=891:900
160	nortecoreanos	nortecoreano	ADJ	ADJ	_	159	amod	_	TokenRange=901:914
161	em	em	ADP	ADP	_	162	case	_	TokenRange=915:917
162	torno	torno	NOUN	NOUN	_	156	nmod	_	TokenRange=918:923
163	de	de	ADP	ADP	_	164	case	_	TokenRange=924:926
164	wonsan	_	NOUN	NOUN	_	162	nmod	_	TokenRange=927:933
165	mantendo	manter	VERB	VERB	_	156	acl	_	TokenRange=934:942
166	uma	um	DET	DET	_	168	det	_	TokenRange=943:946
167	firme	firme	ADJ	ADJ	_	168	amod	_	TokenRange=947:952
168	disposicao	disposicao	NOUN	NOUN	_	165	obj	_	TokenRange=953:963
169	disseram	dizer	VERB	VERB	_	152	parataxis	_	TokenRange=964:972
170	os	o	DET	DET	_	171	det	_	TokenRange=973:975
171	militares	militar	NOUN	NOUN	_	169	nsubj	_	TokenRange=976:985
172	sulcoreanos	sulcoreano	ADJ	ADJ	_	171	amod	_	TokenRange=986:997
173	em	em	ADP	ADP	_	174	case	_	TokenRange=998:1000
174	comunicado	comunicado	NOUN	NOUN	_	169	nmod	_	TokenRange=1001:1011

