# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = tirando onda mesmo que eu perca na camara nao serei condenado pelo stf nao e novidade para ninguem que apenas 1 dos reus que possuem foro privilegiado sao condenados pelo stf vamos descrever de maneira diferente de cada 100 processos de reus com foro que chegam ao stf apenas 1 e condenado e essa condenacao nao significa necessariamente prisao nao bastasse essa estatistica absurda eis que aparece nosso dignissimo vicepresidente opspresidente michel temer e escancara tudo de vez as vesperas de viajar para a alemanha onde teoricamente fara parte do g20 o presidente da republica se reuniu com 22 ministros do governo e declarou que mesmo que sofra uma derrota na camara ela tem absoluta certeza de que o supremo nao o condenara as informacoes foram divulgadas na folha de s paulo um desses ministros que estava na reuniao disse a folha que temer esta confiante de que nao sera condenado pelo stf o presidente da republica insinuou ainda que podera punir aqueles que nao trabalharem a seu favor dilma era incompetente temer e um monstro
1	tirando	tirar	VERB	VERB	_	18	acl	_	TokenRange=0:7
43	100	_	NUM	NUM	NumType=Card	44	nummod	_	TokenRange=220:223
44	processos	processo	NOUN	NOUN	_	37	nmod	_	TokenRange=224:233
45	de	de	ADP	ADP	_	46	case	_	TokenRange=234:236
46	reus	reu	NOUN	NOUN	_	44	nmod	_	TokenRange=237:241
47	com	com	ADP	ADP	_	48	case	_	TokenRange=242:245
48	foro	foro	NOUN	NOUN	_	44	nmod	_	TokenRange=246:250
49	que	_	PRON	PRON	_	50	nsubj	_	TokenRange=251:254
50	chegam	chegar	VERB	VERB	_	48	acl:relcl	_	TokenRange=255:261
51-52	ao	_	_	_	_	_	_	_	TokenRange=262:264
51	a	a	ADP	ADP	_	53	case	_	_
52	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	53	det	_	_
53	stf	stf	NOUN	NOUN	_	50	nmod	_	TokenRange=265:268
54	apenas	apenas	ADV	ADV	_	55	advmod	_	TokenRange=269:275
55	1	_	NUM	NUM	NumType=Card	136	nsubj:pass	_	TokenRange=276:277
56	e	e	CCONJ	CONJ	_	57	cc	_	TokenRange=278:279
57	condenado	condenar	VERB	VERB	_	37	conj	_	TokenRange=280:289
58	e	e	CCONJ	CONJ	_	62	cc	_	TokenRange=290:291
59	essa	_	DET	DET	_	60	det	_	TokenRange=292:296
60	condenacao	_	NOUN	NOUN	_	62	nsubj	_	TokenRange=297:307
61	nao	nao	ADV	ADV	Polarity=Neg	62	advmod	_	TokenRange=308:311
62	significa	significar	VERB	VERB	_	136	conj	_	TokenRange=312:321
63	necessariamente	necessariamente	ADV	ADV	_	62	advmod	_	TokenRange=322:337
64	prisao	prisao	NOUN	NOUN	_	62	obj	_	TokenRange=338:344
65	nao	nao	ADV	ADV	_	66	advmod	_	TokenRange=345:348
66	bastasse	bastar	VERB	VERB	_	151	ccomp	_	TokenRange=349:357
67	essa	_	DET	DET	_	68	det	_	TokenRange=358:362
68	estatistica	_	NOUN	NOUN	_	66	nsubj	_	TokenRange=363:374
69	absurda	absurdo	ADJ	ADJ	_	68	amod	_	TokenRange=375:382
70	eis	_	ADP	ADP	_	72	mark	_	TokenRange=383:386
71	que	que	CCONJ	CONJ	_	70	fixed	_	TokenRange=387:390
72	aparece	aparecer	VERB	VERB	_	171	advcl	_	TokenRange=391:398
73	nosso	_	DET	DET	_	75	det:poss	_	TokenRange=399:404
74	dignissimo	dignissimo	ADJ	ADJ	_	75	amod	_	TokenRange=405:415
75	vicepresidente	vicepresidente	NOUN	NOUN	_	72	nsubj	_	TokenRange=416:430
76	opspresidente	opspresidente	ADJ	ADJ	_	75	amod	_	TokenRange=431:444
77	michel	michel	ADJ	ADJ	_	75	amod	_	TokenRange=445:451
78	temer	temer	NOUN	NOUN	_	75	appos	_	TokenRange=452:457
79	e	e	CCONJ	CONJ	_	80	cc	_	TokenRange=458:459
80	escancara	escancarar	VERB	VERB	_	72	conj	_	TokenRange=460:469
81	tudo	_	PRON	PRON	_	80	obj	_	TokenRange=470:474
82	de	de	ADP	ADP	_	83	case	_	TokenRange=475:477
83	vez	vez	NOUN	NOUN	_	80	nmod	_	TokenRange=478:481
84	as	o	DET	DET	_	85	det	_	TokenRange=482:484
85	vesperas	vespera	NOUN	NOUN	_	80	nmod	_	TokenRange=485:493
86	de	_	ADP	ADP	_	87	mark	_	TokenRange=494:496
87	viajar	viajar	VERB	VERB	_	85	nmod	_	TokenRange=497:503
88	para	para	ADP	ADP	_	90	case	_	TokenRange=504:508
89	a	o	DET	DET	_	90	det	_	TokenRange=509:510
90	alemanha	alemanha	NOUN	NOUN	_	87	nmod	_	TokenRange=511:519
91	onde	onde	ADV	ADV	_	93	advmod	_	TokenRange=520:524
92	teoricamente	teoricamente	ADV	ADV	_	94	advmod	_	TokenRange=525:537
93	fara	_	VERB	VERB	_	90	acl:relcl	_	TokenRange=538:542
94	parte	parte	NOUN	NOUN	_	93	obj	_	TokenRange=543:548
95-96	do	_	_	_	_	_	_	_	TokenRange=549:551
95	de	de	ADP	ADP	_	97	case	_	_
96	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	97	det	_	_
97	g20	_	NOUN	NOUN	_	94	nmod	_	TokenRange=552:555
98	o	o	DET	DET	_	99	det	_	TokenRange=556:557
99	presidente	presidente	NOUN	NOUN	_	184	nsubj	_	TokenRange=558:568
100-101	da	_	_	_	_	_	_	_	TokenRange=569:571
100	de	de	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	republica	_	NOUN	NOUN	_	99	nmod	_	TokenRange=572:581
103	se	_	PRON	PRON	_	104	obj	_	TokenRange=582:584
104	reuniu	reunir	VERB	VERB	_	112	ccomp	_	TokenRange=585:591
105	com	com	ADP	ADP	_	107	case	_	TokenRange=592:595
106	22	_	NUM	NUM	NumType=Card	107	nummod	_	TokenRange=596:598
107	ministros	ministro	NOUN	NOUN	_	104	nmod	_	TokenRange=599:608
108-109	do	_	_	_	_	_	_	_	TokenRange=609:611
108	de	de	ADP	ADP	_	110	case	_	_
109	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	110	det	_	_
110	governo	governo	NOUN	NOUN	_	107	nmod	_	TokenRange=612:619
111	e	e	CCONJ	CONJ	_	112	cc	_	TokenRange=620:621
112	declarou	declarar	VERB	VERB	_	37	conj	_	TokenRange=622:630
113	que	que	CCONJ	CONJ	_	184	mark	_	TokenRange=631:634
114	mesmo	mesmo	ADV	ADV	_	116	mark	_	TokenRange=635:640
115	que	_	CCONJ	CONJ	_	114	fixed	_	TokenRange=641:644
116	sofra	sofrer	VERB	VERB	_	184	advcl	_	TokenRange=645:650
117	uma	um	DET	DET	_	118	det	_	TokenRange=651:654
118	derrota	derrota	NOUN	NOUN	_	116	obj	_	TokenRange=655:662
119-120	na	_	_	_	_	_	_	_	TokenRange=663:665
119	em	em	ADP	ADP	_	121	case	_	_
120	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	121	det	_	_
121	camara	camara	NOUN	NOUN	_	118	nmod	_	TokenRange=666:672
122	ela	_	PRON	PRON	_	123	nsubj	_	TokenRange=673:676
123	tem	ter	VERB	VERB	_	112	ccomp	_	TokenRange=677:680
124	absoluta	absoluto	ADJ	ADJ	_	125	amod	_	TokenRange=681:689
125	certeza	certeza	NOUN	NOUN	_	136	obj	_	TokenRange=690:697
126	de	_	ADP	ADP	_	132	mark	_	TokenRange=698:700
127	que	que	CCONJ	CONJ	_	132	mark	_	TokenRange=701:704
128	o	o	DET	DET	_	129	det	_	TokenRange=705:706
129	supremo	supremo	NOUN	NOUN	_	132	nsubj	_	TokenRange=707:714
130	nao	nao	ADV	ADV	Polarity=Neg	132	advmod	_	TokenRange=715:718
131	o	_	PRON	PRON	_	132	obj	_	TokenRange=719:720
132	condenara	condenar	VERB	VERB	_	125	nmod	_	TokenRange=721:730
133	as	o	DET	DET	_	134	det	_	TokenRange=731:733
134	informacoes	informacoe	NOUN	NOUN	_	132	obj	_	TokenRange=734:745
135	foram	_	AUX	AUX	_	136	aux:pass	_	TokenRange=746:751
136	divulgadas	divulgar	VERB	VERB	_	37	parataxis	_	TokenRange=752:762
137-138	na	_	_	_	_	_	_	_	TokenRange=763:765
137	em	em	ADP	ADP	_	139	case	_	_
138	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	139	det	_	_
139	folha	folha	NOUN	NOUN	_	136	nmod	_	TokenRange=766:771
140	de	de	ADP	ADP	_	141	case	_	TokenRange=772:774
141	s	s	DET	NOUN	_	139	nmod	_	TokenRange=775:776
142	paulo	paulo	NOUN	NOUN	_	139	nmod	_	TokenRange=777:782
143	um	_	PRON	PRON	_	136	nsubj:pass	_	TokenRange=783:785
144	desses	_	ADP	ADP	_	145	case	_	TokenRange=786:792
145	ministros	ministro	NOUN	NOUN	_	143	nmod	_	TokenRange=793:802
146	que	_	PRON	PRON	_	147	nsubj	_	TokenRange=803:806
147	estava	estar	VERB	VERB	_	145	acl:relcl	_	TokenRange=807:813
148-149	na	_	_	_	_	_	_	_	TokenRange=814:816
148	em	em	ADP	ADP	_	150	case	_	_
149	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	150	det	_	_
150	reuniao	reuniao	NOUN	NOUN	_	147	nmod	_	TokenRange=817:824
151	disse	dizer	VERB	VERB	_	37	parataxis	_	TokenRange=825:830
152	a	_	ADP	ADP	_	153	case	_	TokenRange=831:832
153	folha	folha	NOUN	NOUN	_	151	iobj	_	TokenRange=833:838
154	que	que	CCONJ	CONJ	_	156	mark	_	TokenRange=839:842
155	temer	temer	NOUN	NOUN	_	156	nsubj	_	TokenRange=843:848
156	esta	_	VERB	VERB	_	151	ccomp	_	TokenRange=849:853
157	confiante	confiante	ADJ	ADJ	_	156	xcomp	_	TokenRange=854:863
158	de	_	ADP	ADP	_	162	mark	_	TokenRange=864:866
159	que	que	CCONJ	CONJ	_	162	mark	_	TokenRange=867:870
160	nao	nao	ADV	ADV	Polarity=Neg	162	advmod	_	TokenRange=871:874
161	sera	_	AUX	AUX	_	162	aux:pass	_	TokenRange=875:879
162	condenado	condenar	VERB	VERB	_	157	nmod	_	TokenRange=880:889
163-164	pelo	_	_	_	_	_	_	_	TokenRange=890:894
163	por	por	ADP	ADP	_	165	case	_	_
164	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	165	det	_	_
165	stf	_	NOUN	NOUN	_	162	nmod	_	TokenRange=895:898
166	o	o	DET	DET	_	167	det	_	TokenRange=899:900
167	presidente	presidente	NOUN	NOUN	_	171	nsubj	_	TokenRange=901:911
168-169	da	_	_	_	_	_	_	_	TokenRange=912:914
168	de	de	ADP	ADP	_	170	case	_	_
169	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	170	det	_	_
170	republica	_	NOUN	NOUN	_	167	nmod	_	TokenRange=915:924
171	insinuou	insinuar	VERB	VERB	_	151	ccomp	_	TokenRange=925:933
172	ainda	ainda	ADV	ADV	_	171	advmod	_	TokenRange=934:939
173	que	que	CCONJ	CONJ	_	175	mark	_	TokenRange=940:943
174	podera	poder	AUX	AUX	_	175	aux	_	TokenRange=944:950
175	punir	punir	VERB	VERB	_	171	ccomp	_	TokenRange=951:956
176	aqueles	_	PRON	PRON	_	175	obj	_	TokenRange=957:964
177	que	_	PRON	PRON	_	179	nsubj	_	TokenRange=965:968
178	nao	nao	ADV	ADV	Polarity=Neg	179	advmod	_	TokenRange=969:972
179	trabalharem	trabalhar	VERB	VERB	_	176	acl:relcl	_	TokenRange=973:984
180	a	_	ADP	ADP	_	182	case	_	TokenRange=985:986
181	seu	_	DET	DET	_	182	det:poss	_	TokenRange=987:990
182	favor	favor	NOUN	NOUN	_	179	nmod	_	TokenRange=991:996
183	dilma	_	NOUN	NOUN	_	184	nsubj	_	TokenRange=997:1002
184	era	_	VERB	VERB	_	171	ccomp	_	TokenRange=1003:1006
185	incompetente	incompetente	ADJ	ADJ	_	184	xcomp	_	TokenRange=1007:1019
186	temer	temer	NOUN	NOUN	_	184	nsubj	_	TokenRange=1020:1025
187	e	e	CCONJ	CONJ	_	189	cc	_	TokenRange=1026:1027
188	um	um	DET	DET	_	189	det	_	TokenRange=1028:1030
189	monstro	monstro	NOUN	NOUN	_	186	conj	_	TokenRange=1031:1038

