# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = perguntaram para o silvio o que ele acha do impeachment tenho medo que paguemos caro o mega apresentador silvio santos nao da pitacos sobre politica e ainda proibe que seus colaboradores facam comentarios nos ambientes de trabalho do sbt durante esta semana silvio 86 anos abriu uma excecao quando foi abordado na rua por um reporter que o questionou sobre o impeachment da presidente afastada dilma rousseff em poucas palavras o apresentador disse por passarmos em cima da democracia tenho medo que paguemos caro na sequencia ele fechou a porta do carro e se foi
1	perguntaram	perguntar	VERB	VERB	_	0	root	_	TokenRange=0:11
64	questionou	questionar	VERB	VERB	_	61	acl:relcl	_	TokenRange=340:350
65	sobre	_	ADP	ADP	_	67	case	_	TokenRange=351:356
66	o	o	DET	DET	_	67	det	_	TokenRange=357:358
67	impeachment	impeachment	NOUN	NOUN	_	64	nmod	_	TokenRange=359:370
68-69	da	_	_	_	_	_	_	_	TokenRange=371:373
68	de	de	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	presidente	presidente	NOUN	NOUN	_	67	nmod	_	TokenRange=374:384
71	afastada	afastar	VERB	VERB	_	70	acl	_	TokenRange=385:393
72	dilma	dilma	NOUN	NOUN	_	70	appos	_	TokenRange=394:399
73	rousseff	rousseff	NOUN	NOUN	_	72	flat	_	TokenRange=400:408
74	em	em	ADP	ADP	_	76	case	_	TokenRange=409:411
75	poucas	_	DET	DET	_	76	det	_	TokenRange=412:418
76	palavras	palavra	NOUN	NOUN	_	79	nmod	_	TokenRange=419:427
77	o	o	DET	DET	_	78	det	_	TokenRange=428:429
78	apresentador	apresentador	NOUN	NOUN	_	79	nsubj	_	TokenRange=430:442
79	disse	dizer	VERB	VERB	_	50	parataxis	_	TokenRange=443:448
80	por	_	ADP	ADP	_	81	mark	_	TokenRange=449:452
81	passarmos	passar	VERB	VERB	_	79	nmod	_	TokenRange=453:462
82	em	em	ADP	ADP	_	83	case	_	TokenRange=463:465
83	cima	cima	NOUN	NOUN	_	81	nmod	_	TokenRange=466:470
84-85	da	_	_	_	_	_	_	_	TokenRange=471:473
84	de	de	ADP	ADP	_	86	case	_	_
85	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	86	det	_	_
86	democracia	democracia	NOUN	NOUN	_	83	nmod	_	TokenRange=474:484
87	tenho	ter	VERB	VERB	_	79	advcl	_	TokenRange=485:490
88	medo	medo	NOUN	NOUN	_	87	obj	_	TokenRange=491:495
89	que	que	CCONJ	CONJ	_	90	mark	_	TokenRange=496:499
90	paguemos	paguer	VERB	VERB	_	88	acl:relcl	_	TokenRange=500:508
91	caro	caro	ADJ	ADJ	_	90	xcomp	_	TokenRange=509:513
92-93	na	_	_	_	_	_	_	_	TokenRange=514:516
92	em	em	ADP	ADP	_	94	case	_	_
93	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
94	sequencia	_	NOUN	NOUN	_	87	nmod	_	TokenRange=517:526
95	ele	_	PRON	PRON	_	96	nsubj	_	TokenRange=527:530
96	fechou	fechar	VERB	VERB	_	79	conj	_	TokenRange=531:537
97	a	o	DET	DET	_	98	det	_	TokenRange=538:539
98	porta	porta	NOUN	NOUN	_	96	obj	_	TokenRange=540:545
99-100	do	_	_	_	_	_	_	_	TokenRange=546:548
99	de	de	ADP	ADP	_	101	case	_	_
100	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	101	det	_	_
101	carro	carro	NOUN	NOUN	_	98	nmod	_	TokenRange=549:554
102	e	e	CCONJ	CONJ	_	104	cc	_	TokenRange=555:556
103	se	_	PRON	PRON	_	104	expl:pv	_	TokenRange=557:559
104	foi	_	VERB	VERB	_	96	conj	_	TokenRange=560:563

