# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = quebra pau na camara durante a madrugada petista ameaca colega vou lhe dar uma surra os parlamentares vitor valim pmdbce e siba machado ptac protagonizaram um empurraempurra e troca de ofensas na madrugada de domingo o deputado gilberto nascimento pscsp que presidia a sessao no momento pediu para que todos mantivessem a calma porem ele nao foi ouvido e decidiu chamar a seguranca para intervir na rinha politica siba pegou o colega pelo braco e disse voce vai estar aqui embaixo quando eu falar vou lhe dar um pau o que e isso chamar de bandido e safado afirmou o petista confira via noticias politicas
1	quebra	quebrar	VERB	VERB	_	0	root	_	TokenRange=0:6
18	parlamentares	parlamentar	NOUN	NOUN	_	26	nsubj	_	TokenRange=88:101
19	vitor	vitor	NOUN	NOUN	_	18	appos	_	TokenRange=102:107
20	valim	_	NOUN	NOUN	_	19	flat	_	TokenRange=108:113
21	pmdbce	_	NOUN	NOUN	_	19	flat	_	TokenRange=114:120
22	e	e	CCONJ	CONJ	_	23	cc	_	TokenRange=121:122
23	siba	siba	NOUN	NOUN	_	19	conj	_	TokenRange=123:127
24	machado	machado	ADJ	ADJ	_	23	amod	_	TokenRange=128:135
25	ptac	_	NOUN	NOUN	_	23	appos	_	TokenRange=136:140
26	protagonizaram	protagonizar	VERB	VERB	_	1	conj	_	TokenRange=141:155
27	um	um	DET	DET	_	28	det	_	TokenRange=156:158
28	empurraempurra	_	NOUN	NOUN	_	26	obj	_	TokenRange=159:173
29	e	e	CCONJ	CONJ	_	30	cc	_	TokenRange=174:175
30	troca	_	NOUN	NOUN	_	28	conj	_	TokenRange=176:181
31	de	de	ADP	ADP	_	32	case	_	TokenRange=182:184
32	ofensas	ofensa	NOUN	NOUN	_	30	nmod	_	TokenRange=185:192
33-34	na	_	_	_	_	_	_	_	TokenRange=193:195
33	em	em	ADP	ADP	_	35	case	_	_
34	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	35	det	_	_
35	madrugada	madrugada	NOUN	NOUN	_	26	nmod	_	TokenRange=196:205
36	de	de	ADP	ADP	_	37	case	_	TokenRange=206:208
37	domingo	_	PROPN	PNOUN	_	35	nmod	_	TokenRange=209:216
38	o	o	DET	DET	_	39	det	_	TokenRange=217:218
39	deputado	deputado	NOUN	NOUN	_	26	nsubj	_	TokenRange=219:227
40	gilberto	gilberto	ADJ	ADJ	_	39	amod	_	TokenRange=228:236
41	nascimento	nascimento	NOUN	NOUN	_	39	appos	_	TokenRange=237:247
42	pscsp	_	PROPN	PNOUN	_	39	appos	_	TokenRange=248:253
43	que	_	PRON	PRON	_	44	nsubj	_	TokenRange=254:257
44	presidia	presidir	VERB	VERB	_	39	acl:relcl	_	TokenRange=258:266
45	a	o	DET	DET	_	46	det	_	TokenRange=267:268
46	sessao	sessao	NOUN	NOUN	_	44	obj	_	TokenRange=269:275
47-48	no	_	_	_	_	_	_	_	TokenRange=276:278
47	em	em	ADP	ADP	_	49	case	_	_
48	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
49	momento	momento	NOUN	NOUN	_	44	nmod	_	TokenRange=279:286
50	pediu	pedir	VERB	VERB	_	26	conj	_	TokenRange=287:292
51	para	_	ADP	ADP	_	54	mark	_	TokenRange=293:297
52	que	que	CCONJ	CONJ	_	54	mark	_	TokenRange=298:301
53	todos	_	PRON	PRON	_	54	nsubj	_	TokenRange=302:307
54	mantivessem	manter	VERB	VERB	_	50	nmod	_	TokenRange=308:319
55	a	o	DET	DET	_	56	det	_	TokenRange=320:321
56	calma	_	NOUN	NOUN	_	54	obj	_	TokenRange=322:327
57	porem	_	ADV	ADV	_	61	advmod	_	TokenRange=328:333
58	ele	_	PRON	PRON	_	61	nsubj:pass	_	TokenRange=334:337
59	nao	nao	ADV	ADV	Polarity=Neg	61	advmod	_	TokenRange=338:341
60	foi	_	AUX	AUX	_	61	aux:pass	_	TokenRange=342:345
61	ouvido	ouvir	VERB	VERB	_	54	conj	_	TokenRange=346:352
62	e	e	CCONJ	CONJ	_	63	cc	_	TokenRange=353:354
63	decidiu	decidir	VERB	VERB	_	61	conj	_	TokenRange=355:362
64	chamar	chamar	VERB	VERB	_	63	xcomp	_	TokenRange=363:369
65	a	o	DET	DET	_	66	det	_	TokenRange=370:371
66	seguranca	_	NOUN	NOUN	_	64	obj	_	TokenRange=372:381
67	para	_	ADP	ADP	_	68	mark	_	TokenRange=382:386
68	intervir	intervir	VERB	VERB	_	64	advcl	_	TokenRange=387:395
69-70	na	_	_	_	_	_	_	_	TokenRange=396:398
69	em	em	ADP	ADP	_	71	case	_	_
70	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	71	det	_	_
71	rinha	rinha	NOUN	NOUN	_	68	nmod	_	TokenRange=399:404
72	politica	politico	ADJ	ADJ	_	71	amod	_	TokenRange=405:413
73	siba	_	PROPN	PNOUN	_	74	nsubj	_	TokenRange=414:418
74	pegou	pegar	VERB	VERB	_	54	conj	_	TokenRange=419:424
75	o	o	DET	DET	_	76	det	_	TokenRange=425:426
76	colega	colega	NOUN	NOUN	_	74	obj	_	TokenRange=427:433
77-78	pelo	_	_	_	_	_	_	_	TokenRange=434:438
77	por	por	ADP	ADP	_	79	case	_	_
78	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	79	det	_	_
79	braco	braco	NOUN	NOUN	_	74	nmod	_	TokenRange=439:444
80	e	e	CCONJ	CONJ	_	81	cc	_	TokenRange=445:446
81	disse	dizer	VERB	VERB	_	74	conj	_	TokenRange=447:452
82	voce	_	PRON	PRON	_	84	nsubj	_	TokenRange=453:457
83	vai	ir	AUX	AUX	_	84	aux	_	TokenRange=458:461
84	estar	estar	VERB	VERB	_	81	ccomp	_	TokenRange=462:467
85	aqui	aqui	ADV	ADV	_	84	advmod	_	TokenRange=468:472
86	embaixo	embaixo	ADV	ADV	_	84	advmod	_	TokenRange=473:480
87	quando	_	CCONJ	CONJ	_	89	mark	_	TokenRange=481:487
88	eu	_	PRON	PRON	_	89	nsubj	_	TokenRange=488:490
89	falar	falar	VERB	VERB	_	84	advcl	_	TokenRange=491:496
90	vou	ir	AUX	AUX	_	92	aux	_	TokenRange=497:500
91	lhe	_	PRON	PRON	_	92	iobj	_	TokenRange=501:504
92	dar	dar	VERB	VERB	_	74	advcl	_	TokenRange=505:508
93	um	um	DET	DET	_	94	det	_	TokenRange=509:511
94	pau	pau	NOUN	NOUN	_	92	obj	_	TokenRange=512:515
95	o	_	PRON	PRON	_	92	obj	_	TokenRange=516:517
96	que	_	PRON	PRON	_	107	obj	_	TokenRange=518:521
97	e	e	CCONJ	CONJ	_	99	cc	_	TokenRange=522:523
98	isso	_	PRON	PRON	_	99	nsubj	_	TokenRange=524:528
99	chamar	chamar	VERB	VERB	_	95	acl:relcl	_	TokenRange=529:535
100	de	de	ADP	ADP	_	101	case	_	TokenRange=536:538
101	bandido	bandido	NOUN	NOUN	_	99	nmod	_	TokenRange=539:546
102	e	e	CCONJ	CONJ	_	103	cc	_	TokenRange=547:548
103	safado	safado	NOUN	NOUN	_	101	conj	_	TokenRange=549:555
104	afirmou	afirmar	VERB	VERB	_	92	conj	_	TokenRange=556:563
105	o	o	DET	DET	_	106	det	_	TokenRange=564:565
106	petista	petista	NOUN	NOUN	_	107	nsubj	_	TokenRange=566:573
107	confira	conferir	VERB	VERB	_	104	ccomp	_	TokenRange=574:581
108	via	_	ADP	ADP	_	109	case	_	TokenRange=582:585
109	noticias	noticia	NOUN	NOUN	_	107	nmod	_	TokenRange=586:594
110	politicas	politico	ADJ	ADJ	_	109	amod	_	TokenRange=595:604

