# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mexeu com gente errada magistrados mandam recado para renano povo nao acredita nas suas intencoes o recado para renan o presidente do senado renan calheiros investigado pela lava jato e alvo de mais de doze inqueritos no stf desengavetou uma proposta perniciosa que preve a punicao de agentes publicos que trabalham em prol de investigar e punir parlamentares o senador quer acelerar a tramitacao de um projeto de 2009 feito sob medida para proteger parlamentares incluindo o proprio renan que sao alvos de investigacoes na justica o projeto peconhento preve punicoes a crimes de abuso de autoridades de agentes da administracao publica e membros de judiciario ministerio publico e legislativo no exercicio de suas atribuicoes legais a intencao clara da proposta e blindar parlamentares de eventuais acoes da policia federal mpf e da lava jato joao ricardo costa presidente da amb associacao dos magistrados brasileiros emitiu uma nota criticando a postura de renan calheiros que ultimamente vem tentando causar constrangimentos ao trabalho da justica
1	mexeu	mexer	VERB	VERB	_	0	root	_	TokenRange=0:5
20	renan	_	NOUN	NOUN	_	18	nmod	_	TokenRange=112:117
21	o	o	DET	DET	_	22	det	_	TokenRange=118:119
22	presidente	presidente	NOUN	NOUN	_	43	nsubj	_	TokenRange=120:130
23-24	do	_	_	_	_	_	_	_	TokenRange=131:133
23	de	de	ADP	ADP	_	25	case	_	_
24	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	25	det	_	_
25	senado	senado	NOUN	NOUN	_	22	nmod	_	TokenRange=134:140
26	renan	renan	NOUN	NOUN	_	22	appos	_	TokenRange=141:146
27	calheiros	calheiro	NOUN	NOUN	_	26	flat	_	TokenRange=147:156
28	investigado	investigar	VERB	VERB	_	22	acl	_	TokenRange=157:168
29-30	pela	_	_	_	_	_	_	_	TokenRange=169:173
29	por	por	ADP	ADP	_	31	case	_	_
30	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	31	det	_	_
31	lava	lava	NOUN	NOUN	_	28	nmod	_	TokenRange=174:178
32	jato	jato	NOUN	NOUN	_	31	flat	_	TokenRange=179:183
33	e	e	CCONJ	CONJ	_	34	cc	_	TokenRange=184:185
34	alvo	alvo	NOUN	NOUN	_	28	conj	_	TokenRange=186:190
35	de	de	ADP	ADP	_	39	case	_	TokenRange=191:193
36	mais	mais	ADV	ADV	_	38	advmod	_	TokenRange=194:198
37	de	de	ADP	ADP	_	36	case	_	TokenRange=199:201
38	doze	_	NUM	NUM	NumType=Card	39	nummod	_	TokenRange=202:206
39	inqueritos	inquerito	NOUN	NOUN	_	34	nmod	_	TokenRange=207:217
40-41	no	_	_	_	_	_	_	_	TokenRange=218:220
40	em	em	ADP	ADP	_	42	case	_	_
41	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	42	det	_	_
42	stf	_	NOUN	NOUN	_	39	nmod	_	TokenRange=221:224
43	desengavetou	desengavetar	VERB	VERB	_	1	conj	_	TokenRange=225:237
44	uma	um	DET	DET	_	45	det	_	TokenRange=238:241
45	proposta	_	NOUN	NOUN	_	43	obj	_	TokenRange=242:250
46	perniciosa	pernicioso	ADJ	ADJ	_	45	amod	_	TokenRange=251:261
47	que	_	PRON	PRON	_	48	nsubj	_	TokenRange=262:265
48	preve	prever	VERB	VERB	_	45	acl:relcl	_	TokenRange=266:271
49	a	o	DET	DET	_	50	det	_	TokenRange=272:273
50	punicao	punicao	NOUN	NOUN	_	48	obj	_	TokenRange=274:281
51	de	de	ADP	ADP	_	52	case	_	TokenRange=282:284
52	agentes	agente	NOUN	NOUN	_	50	nmod	_	TokenRange=285:292
53	publicos	publico	ADJ	ADJ	_	52	amod	_	TokenRange=293:301
54	que	_	PRON	PRON	_	55	nsubj	_	TokenRange=302:305
55	trabalham	trabalhar	VERB	VERB	_	52	acl:relcl	_	TokenRange=306:315
56	em	em	ADP	ADP	_	57	case	_	TokenRange=316:318
57	prol	prol	NOUN	NOUN	_	55	nmod	_	TokenRange=319:323
58	de	_	ADP	ADP	_	59	mark	_	TokenRange=324:326
59	investigar	investigar	VERB	VERB	_	57	nmod	_	TokenRange=327:337
60	e	e	CCONJ	CONJ	_	61	cc	_	TokenRange=338:339
61	punir	punir	VERB	VERB	_	59	conj	_	TokenRange=340:345
62	parlamentares	parlamentar	NOUN	NOUN	_	61	obj	_	TokenRange=346:359
63	o	o	DET	DET	_	64	det	_	TokenRange=360:361
64	senador	senador	NOUN	NOUN	_	65	nsubj	_	TokenRange=362:369
65	quer	querer	VERB	VERB	_	43	ccomp	_	TokenRange=370:374
66	acelerar	acelerar	VERB	VERB	_	65	xcomp	_	TokenRange=375:383
67	a	o	DET	DET	_	68	det	_	TokenRange=384:385
68	tramitacao	tramitacao	NOUN	NOUN	_	66	obj	_	TokenRange=386:396
69	de	de	ADP	ADP	_	71	case	_	TokenRange=397:399
70	um	um	DET	DET	_	71	det	_	TokenRange=400:402
71	projeto	projeto	NOUN	NOUN	_	68	nmod	_	TokenRange=403:410
72	de	de	ADP	ADP	_	73	case	_	TokenRange=411:413
73	2009	_	NUM	NUM	NumType=Card	71	nmod	_	TokenRange=414:418
74	feito	_	VERB	VERB	_	71	acl	_	TokenRange=419:424
75	sob	_	ADP	ADP	_	76	case	_	TokenRange=425:428
76	medida	medida	NOUN	NOUN	_	74	nmod	_	TokenRange=429:435
77	para	_	ADP	ADP	_	78	mark	_	TokenRange=436:440
78	proteger	proteger	VERB	VERB	_	74	advcl	_	TokenRange=441:449
79	parlamentares	parlamentar	NOUN	NOUN	_	78	obj	_	TokenRange=450:463
80	incluindo	incluir	VERB	VERB	_	79	acl	_	TokenRange=464:473
81	o	o	DET	DET	_	83	det	_	TokenRange=474:475
82	proprio	proprio	ADJ	ADJ	_	83	amod	_	TokenRange=476:483
83	renan	_	NOUN	NOUN	_	80	obj	_	TokenRange=484:489
84	que	_	PRON	PRON	_	86	nsubj	_	TokenRange=490:493
85	sao	_	AUX	AUX	_	86	cop	_	TokenRange=494:497
86	alvos	alvo	NOUN	NOUN	_	83	acl:relcl	_	TokenRange=498:503
87	de	de	ADP	ADP	_	88	case	_	TokenRange=504:506
88	investigacoes	investigacoe	NOUN	NOUN	_	86	nmod	_	TokenRange=507:520
89-90	na	_	_	_	_	_	_	_	TokenRange=521:523
89	em	em	ADP	ADP	_	91	case	_	_
90	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	91	det	_	_
91	justica	_	NOUN	NOUN	_	88	nmod	_	TokenRange=524:531
92	o	o	DET	DET	_	93	det	_	TokenRange=532:533
93	projeto	projeto	NOUN	NOUN	_	95	nsubj	_	TokenRange=534:541
94	peconhento	peconhento	ADJ	ADJ	_	93	amod	_	TokenRange=542:552
95	preve	prever	VERB	VERB	_	45	acl:relcl	_	TokenRange=553:558
96	punicoes	_	NOUN	NOUN	_	95	obj	_	TokenRange=559:567
97	a	_	ADP	ADP	_	98	case	_	TokenRange=568:569
98	crimes	crime	NOUN	NOUN	_	96	nmod	_	TokenRange=570:576
99	de	de	ADP	ADP	_	100	case	_	TokenRange=577:579
100	abuso	abuso	NOUN	NOUN	_	98	nmod	_	TokenRange=580:585
101	de	de	ADP	ADP	_	102	case	_	TokenRange=586:588
102	autoridades	autoridade	NOUN	NOUN	_	100	nmod	_	TokenRange=589:600
103	de	de	ADP	ADP	_	104	case	_	TokenRange=601:603
104	agentes	agente	NOUN	NOUN	_	102	nmod	_	TokenRange=604:611
105-106	da	_	_	_	_	_	_	_	TokenRange=612:614
105	de	de	ADP	ADP	_	107	case	_	_
106	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	107	det	_	_
107	administracao	administracao	NOUN	NOUN	_	104	nmod	_	TokenRange=615:628
108	publica	publico	ADJ	ADJ	_	107	amod	_	TokenRange=629:636
109	e	e	CCONJ	CONJ	_	110	cc	_	TokenRange=637:638
110	membros	membro	NOUN	NOUN	_	107	conj	_	TokenRange=639:646
111	de	de	ADP	ADP	_	112	case	_	TokenRange=647:649
112	judiciario	judiciario	NOUN	NOUN	_	110	nmod	_	TokenRange=650:660
113	ministerio	ministerio	NOUN	NOUN	_	34	appos	_	TokenRange=661:671
114	publico	publico	ADJ	ADJ	_	113	amod	_	TokenRange=672:679
115	e	e	CCONJ	CONJ	_	116	cc	_	TokenRange=680:681
116	legislativo	legislativo	ADJ	ADJ	_	114	conj	_	TokenRange=682:693
117-118	no	_	_	_	_	_	_	_	TokenRange=694:696
117	em	em	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	exercicio	exercicio	NOUN	NOUN	_	28	nmod	_	TokenRange=697:706
120	de	de	ADP	ADP	_	122	case	_	TokenRange=707:709
121	suas	_	DET	DET	_	122	det:poss	_	TokenRange=710:714
122	atribuicoes	atribuicoe	NOUN	NOUN	_	119	nmod	_	TokenRange=715:726
123	legais	legal	ADJ	ADJ	_	122	amod	_	TokenRange=727:733
124	a	o	DET	DET	_	125	det	_	TokenRange=734:735
125	intencao	intencao	NOUN	NOUN	_	43	obj	_	TokenRange=736:744
126	clara	claro	ADJ	ADJ	_	125	amod	_	TokenRange=745:750
127-128	da	_	_	_	_	_	_	_	TokenRange=751:753
127	de	de	ADP	ADP	_	129	case	_	_
128	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	129	det	_	_
129	proposta	_	NOUN	NOUN	_	125	nmod	_	TokenRange=754:762
130	e	e	CCONJ	CONJ	_	131	cc	_	TokenRange=763:764
131	blindar	blindar	VERB	VERB	_	48	conj	_	TokenRange=765:772
132	parlamentares	parlamentar	NOUN	NOUN	_	131	obj	_	TokenRange=773:786
133	de	de	ADP	ADP	_	135	case	_	TokenRange=787:789
134	eventuais	eventual	ADJ	ADJ	_	135	amod	_	TokenRange=790:799
135	acoes	acoe	NOUN	NOUN	_	50	nmod	_	TokenRange=800:805
136-137	da	_	_	_	_	_	_	_	TokenRange=806:808
136	de	de	ADP	ADP	_	138	case	_	_
137	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	138	det	_	_
138	policia	policia	NOUN	NOUN	_	135	nmod	_	TokenRange=809:816
139	federal	federal	ADJ	ADJ	_	138	amod	_	TokenRange=817:824
140	mpf	_	NOUN	NOUN	_	138	appos	_	TokenRange=825:828
141	e	e	CCONJ	CONJ	_	144	cc	_	TokenRange=829:830
142-143	da	_	_	_	_	_	_	_	TokenRange=831:833
142	de	de	ADP	ADP	_	144	case	_	_
143	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	144	det	_	_
144	lava	lava	NOUN	NOUN	_	138	conj	_	TokenRange=834:838
145	jato	jato	NOUN	NOUN	_	144	flat	_	TokenRange=839:843
146	joao	joao	NOUN	NOUN	_	50	appos	_	TokenRange=844:848
147	ricardo	ricardo	NOUN	NOUN	_	146	flat	_	TokenRange=849:856
148	costa	costa	NOUN	NOUN	_	146	flat	_	TokenRange=857:862
149	presidente	presidente	NOUN	NOUN	_	146	flat	_	TokenRange=863:873
150-151	da	_	_	_	_	_	_	_	TokenRange=874:876
150	de	de	ADP	ADP	_	152	case	_	_
151	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	152	det	_	_
152	amb	_	PROPN	PNOUN	_	149	nmod	_	TokenRange=877:880
153	associacao	associacao	NOUN	NOUN	_	152	appos	_	TokenRange=881:891
154-155	dos	_	_	_	_	_	_	_	TokenRange=892:895
154	de	de	ADP	ADP	_	156	case	_	_
155	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	156	det	_	_
156	magistrados	magistrado	NOUN	NOUN	_	153	nmod	_	TokenRange=896:907
157	brasileiros	brasileiro	ADJ	ADJ	_	156	amod	_	TokenRange=908:919
158	emitiu	emitir	VERB	VERB	_	43	parataxis	_	TokenRange=920:926
159	uma	um	DET	DET	_	160	det	_	TokenRange=927:930
160	nota	nota	NOUN	NOUN	_	158	obj	_	TokenRange=931:935
161	criticando	criticar	VERB	VERB	_	160	acl	_	TokenRange=936:946
162	a	o	DET	DET	_	163	det	_	TokenRange=947:948
163	postura	postura	NOUN	NOUN	_	161	obj	_	TokenRange=949:956
164	de	de	ADP	ADP	_	165	case	_	TokenRange=957:959
165	renan	_	NOUN	NOUN	_	163	nmod	_	TokenRange=960:965
166	calheiros	calheiro	NOUN	NOUN	_	165	flat	_	TokenRange=966:975
167	que	_	PRON	PRON	_	170	nsubj	_	TokenRange=976:979
168	ultimamente	ultimamente	ADV	ADV	_	170	advmod	_	TokenRange=980:991
169	vem	vir	AUX	AUX	_	170	aux	_	TokenRange=992:995
170	tentando	tentar	VERB	VERB	_	71	acl:relcl	_	TokenRange=996:1004
171	causar	causar	VERB	VERB	_	170	xcomp	_	TokenRange=1005:1011
172	constrangimentos	constrangimento	NOUN	NOUN	_	171	obj	_	TokenRange=1012:1028
173-174	ao	_	_	_	_	_	_	_	TokenRange=1029:1031
173	a	a	ADP	ADP	_	175	case	_	_
174	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	175	det	_	_
175	trabalho	trabalho	NOUN	NOUN	_	171	iobj	_	TokenRange=1032:1040
176-177	da	_	_	_	_	_	_	_	TokenRange=1041:1043
176	de	de	ADP	ADP	_	178	case	_	_
177	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	178	det	_	_
178	justica	_	NOUN	NOUN	_	175	nmod	_	TokenRange=1044:1051

