# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = faca sua parte senado disponibiliza link para brasileiros votarem pelo fim do foro privilegiado o site do senado federal abriu uma consulta publica sobre a pec 10/2013 que visa alterar os artigos 102 105 108 e 125 da constituicao federal no espaco ecidadania o portal permite que qualquer cidadao com acesso a internet possa participar e dar seu voto o objetivo da emenda e acabar com a prerrogativa de foro privilegiado para politicos em exercicio nos casos de crimes comuns a consulta publica quer verificar o apoio popular para um projeto de lei ou de emenda o autor da pec e o senador alvaro dias do partido verde para votar a favor ou contra a pec voce devera clicar aqui
1	faca	facar	VERB	VERB	_	0	root	_	TokenRange=0:4
112	alvaro	alvaro	NOUN	NOUN	_	111	appos	_	TokenRange=589:595
113	dias	dia	NOUN	NOUN	_	112	flat	_	TokenRange=596:600
114-115	do	_	_	_	_	_	_	_	TokenRange=601:603
114	de	de	ADP	ADP	_	116	case	_	_
115	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	116	det	_	_
116	partido	partido	NOUN	NOUN	_	111	nmod	_	TokenRange=604:611
117	verde	verde	ADJ	ADJ	_	116	amod	_	TokenRange=612:617
118	para	_	ADP	ADP	_	119	mark	_	TokenRange=618:622
119	votar	votar	VERB	VERB	_	128	advcl	_	TokenRange=623:628
120	a	_	ADP	ADP	_	121	case	_	TokenRange=629:630
121	favor	favor	NOUN	NOUN	_	119	nmod	_	TokenRange=631:636
122	ou	ou	CCONJ	CONJ	_	125	cc	_	TokenRange=637:639
123	contra	_	ADP	ADP	_	125	case	_	TokenRange=640:646
124	a	o	DET	DET	_	125	det	_	TokenRange=647:648
125	pec	pec	NOUN	NOUN	_	121	conj	_	TokenRange=649:652
126	voce	_	PRON	PRON	_	128	nsubj	_	TokenRange=653:657
127	devera	dever	AUX	AUX	_	128	aux	_	TokenRange=658:664
128	clicar	clicar	VERB	VERB	_	91	conj	_	TokenRange=665:671
129	aqui	aqui	ADV	ADV	_	128	advmod	_	SpacesAfter=\s\s|TokenRange=672:676

