# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = lembra do junior o marido que deu uns sopapos no pastor safado apareceu mais um video do pastor xavequeiro um segundo video caiu na internet nesta semana o diario do brasil mostrou na ultima semana imagens de um suposto pastor de uma igreja evangelica que teria marcado um encontro com uma fiel em um lugar reservado o resultado voce ja sabe a moca marcou o tal encontro em um shopping de belo horizonte e mandou o marido em seu lugar o marido que e um negao 2x2 apareceu e encheu o homem de deus de sopapos na verdade tratase da primeira parte da historia contada acima o marido e um amigo filmaram de longe toda a acao do pastorzinho xavequeiro repare na cara de pau do pastor ao abracar a fiel casada leia tambem
1	lembra	lembrar	VERB	VERB	_	0	root	_	TokenRange=0:6
19	de	de	ADP	ADP	_	21	case	_	_
20	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	21	det	_	_
21	pastor	pastor	NOUN	NOUN	_	18	nmod	_	TokenRange=89:95
22	xavequeiro	xavequeiro	ADJ	ADJ	_	21	flat	_	TokenRange=96:106
23	um	um	DET	DET	_	25	det	_	TokenRange=107:109
24	segundo	segundo	ADJ	ADJ	_	25	amod	_	TokenRange=110:117
25	video	video	NOUN	NOUN	_	26	nsubj	_	TokenRange=118:123
26	caiu	cair	VERB	VERB	_	1	parataxis	_	TokenRange=124:128
27-28	na	_	_	_	_	_	_	_	TokenRange=129:131
27	em	em	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	internet	_	PROPN	PNOUN	_	26	nmod	_	TokenRange=132:140
30	nesta	_	ADP	ADP	_	31	case	_	TokenRange=141:146
31	semana	semana	NOUN	NOUN	_	26	nmod	_	TokenRange=147:153
32	o	o	DET	DET	_	33	det	_	TokenRange=154:155
33	diario	diario	NOUN	NOUN	_	37	nsubj	_	TokenRange=156:162
34-35	do	_	_	_	_	_	_	_	TokenRange=163:165
34	de	de	ADP	ADP	_	36	case	_	_
35	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	36	det	_	_
36	brasil	brasil	NOUN	NOUN	_	33	nmod	_	TokenRange=166:172
37	mostrou	mostrar	VERB	VERB	_	1	conj	_	TokenRange=173:180
38-39	na	_	_	_	_	_	_	_	TokenRange=181:183
38	em	em	ADP	ADP	_	41	case	_	_
39	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	41	det	_	_
40	ultima	ultimo	ADJ	ADJ	_	41	amod	_	TokenRange=184:190
41	semana	semana	NOUN	NOUN	_	37	nmod	_	TokenRange=191:197
42	imagens	imagem	NOUN	NOUN	_	37	obj	_	TokenRange=198:205
43	de	de	ADP	ADP	_	46	case	_	TokenRange=206:208
44	um	um	DET	DET	_	46	det	_	TokenRange=209:211
45	suposto	suposto	ADJ	ADJ	_	46	amod	_	TokenRange=212:219
46	pastor	pastor	NOUN	NOUN	_	42	nmod	_	TokenRange=220:226
47	de	de	ADP	ADP	_	49	case	_	TokenRange=227:229
48	uma	um	DET	DET	_	49	det	_	TokenRange=230:233
49	igreja	igreja	NOUN	NOUN	_	46	nmod	_	TokenRange=234:240
50	evangelica	evangelico	ADJ	ADJ	_	49	amod	_	TokenRange=241:251
51	que	_	PRON	PRON	_	53	nsubj	_	TokenRange=252:255
52	teria	ter	AUX	AUX	_	53	aux	_	TokenRange=256:261
53	marcado	marcar	VERB	VERB	_	46	acl:relcl	_	TokenRange=262:269
54	um	um	DET	DET	_	55	det	_	TokenRange=270:272
55	encontro	encontro	NOUN	NOUN	_	53	obj	_	TokenRange=273:281
56	com	com	ADP	ADP	_	58	case	_	TokenRange=282:285
57	uma	um	DET	DET	_	58	det	_	TokenRange=286:289
58	fiel	fiel	NOUN	NOUN	_	55	nmod	_	TokenRange=290:294
59	em	em	ADP	ADP	_	61	case	_	TokenRange=295:297
60	um	um	DET	DET	_	61	det	_	TokenRange=298:300
61	lugar	lugar	NOUN	NOUN	_	55	nmod	_	TokenRange=301:306
62	reservado	reservado	ADJ	ADJ	_	61	amod	_	TokenRange=307:316
63	o	o	DET	DET	_	64	det	_	TokenRange=317:318
64	resultado	resultado	NOUN	NOUN	_	70	nsubj	_	TokenRange=319:328
65	voce	_	PRON	PRON	_	67	nsubj	_	TokenRange=329:333
66	ja	ja	ADV	ADV	_	67	advmod	_	TokenRange=334:336
67	sabe	saber	VERB	VERB	_	64	acl:relcl	_	TokenRange=337:341
68	a	o	DET	DET	_	69	det	_	TokenRange=342:343
69	moca	moco	NOUN	NOUN	_	67	obj	_	TokenRange=344:348
70	marcou	marcar	VERB	VERB	_	53	parataxis	_	TokenRange=349:355
71	o	o	DET	DET	_	73	det	_	TokenRange=356:357
72	tal	_	DET	DET	_	73	det	_	TokenRange=358:361
73	encontro	encontro	NOUN	NOUN	_	70	obj	_	TokenRange=362:370
74	em	em	ADP	ADP	_	76	case	_	TokenRange=371:373
75	um	um	DET	DET	_	76	det	_	TokenRange=374:376
76	shopping	shopping	NOUN	NOUN	_	70	nmod	_	TokenRange=377:385
77	de	de	ADP	ADP	_	79	case	_	TokenRange=386:388
78	belo	belo	ADJ	ADJ	_	79	amod	_	TokenRange=389:393
79	horizonte	horizonte	NOUN	NOUN	_	76	nmod	_	TokenRange=394:403
80	e	e	CCONJ	CONJ	_	81	cc	_	TokenRange=404:405
81	mandou	mandar	VERB	VERB	_	70	conj	_	TokenRange=406:412
82	o	o	DET	DET	_	83	det	_	TokenRange=413:414
83	marido	marido	NOUN	NOUN	_	81	obj	_	TokenRange=415:421
84	em	em	ADP	ADP	_	86	case	_	TokenRange=422:424
85	seu	_	DET	DET	_	86	det:poss	_	TokenRange=425:428
86	lugar	lugar	NOUN	NOUN	_	81	nmod	_	TokenRange=429:434
87	o	o	DET	DET	_	88	det	_	TokenRange=435:436
88	marido	marido	NOUN	NOUN	_	81	nsubj	_	TokenRange=437:443
89	que	_	PRON	PRON	_	92	nsubj	_	TokenRange=444:447
90	e	e	CCONJ	CONJ	_	92	cc	_	TokenRange=448:449
91	um	um	DET	DET	_	92	det	_	TokenRange=450:452
92	negao	_	NOUN	NOUN	_	88	conj	_	TokenRange=453:458
93	2x2	_	NUM	NUM	NumType=Card	92	appos	_	TokenRange=459:462
94	apareceu	aparecer	VERB	VERB	_	88	acl:relcl	_	TokenRange=463:471
95	e	e	CCONJ	CONJ	_	96	cc	_	TokenRange=472:473
96	encheu	encher	VERB	VERB	_	94	conj	_	TokenRange=474:480
97	o	o	DET	DET	_	98	det	_	TokenRange=481:482
98	homem	homem	NOUN	NOUN	_	96	obj	_	TokenRange=483:488
99	de	de	ADP	ADP	_	100	case	_	TokenRange=489:491
100	deus	deus	NOUN	NOUN	_	98	nmod	_	TokenRange=492:496
101	de	de	ADP	ADP	_	102	case	_	TokenRange=497:499
102	sopapos	sopapo	NOUN	NOUN	_	98	nmod	_	TokenRange=500:507
103-104	na	_	_	_	_	_	_	_	TokenRange=508:510
103	em	em	ADP	ADP	_	105	case	_	_
104	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_
105	verdade	verdade	NOUN	NOUN	_	106	nmod	_	TokenRange=511:518
106	tratase	_	VERB	VERB	_	94	conj	_	TokenRange=519:526
107-108	da	_	_	_	_	_	_	_	TokenRange=527:529
107	de	de	ADP	ADP	_	110	case	_	_
108	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	110	det	_	_
109	primeira	primeiro	ADJ	ADJ	_	110	amod	_	TokenRange=530:538
110	parte	parte	NOUN	NOUN	_	106	nmod	_	TokenRange=539:544
111-112	da	_	_	_	_	_	_	_	TokenRange=545:547
111	de	de	ADP	ADP	_	113	case	_	_
112	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	113	det	_	_
113	historia	historia	NOUN	NOUN	_	110	nmod	_	TokenRange=548:556
114	contada	contar	VERB	VERB	_	113	acl	_	TokenRange=557:564
115	acima	acima	ADV	ADV	_	114	advmod	_	TokenRange=565:570
116	o	o	DET	DET	_	117	det	_	TokenRange=571:572
117	marido	marido	NOUN	NOUN	_	121	nsubj	_	TokenRange=573:579
118	e	e	CCONJ	CONJ	_	120	cc	_	TokenRange=580:581
119	um	um	DET	DET	_	120	det	_	TokenRange=582:584
120	amigo	amigo	NOUN	NOUN	_	117	conj	_	TokenRange=585:590
121	filmaram	filmar	VERB	VERB	_	96	conj	_	TokenRange=591:599
122	de	_	ADP	ADP	_	123	mark	_	TokenRange=600:602
123	longe	longe	ADV	ADV	_	121	nmod	_	TokenRange=603:608
124	toda	_	DET	DET	_	126	det	_	TokenRange=609:613
125	a	o	DET	DET	_	126	det	_	TokenRange=614:615
126	acao	acao	NOUN	NOUN	_	121	obj	_	TokenRange=616:620
127-128	do	_	_	_	_	_	_	_	TokenRange=621:623
127	de	de	ADP	ADP	_	129	case	_	_
128	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	129	det	_	_
129	pastorzinho	_	NOUN	NOUN	_	126	nmod	_	TokenRange=624:635
130	xavequeiro	xavequeiro	NOUN	NOUN	_	129	appos	_	TokenRange=636:646
131	repare	reparar	VERB	VERB	_	129	acl:relcl	_	TokenRange=647:653
132-133	na	_	_	_	_	_	_	_	TokenRange=654:656
132	em	em	ADP	ADP	_	134	case	_	_
133	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	134	det	_	_
134	cara	cara	NOUN	NOUN	_	131	nmod	_	TokenRange=657:661
135	de	de	ADP	ADP	_	136	case	_	TokenRange=662:664
136	pau	pau	NOUN	NOUN	_	134	nmod	_	TokenRange=665:668
137-138	do	_	_	_	_	_	_	_	TokenRange=669:671
137	de	de	ADP	ADP	_	139	case	_	_
138	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	139	det	_	_
139	pastor	pastor	NOUN	NOUN	_	134	nmod	_	TokenRange=672:678
140-141	ao	_	_	_	_	_	_	_	TokenRange=679:681
140	a	a	ADP	ADP	_	142	case	_	_
141	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	142	det	_	_
142	abracar	abracar	VERB	VERB	_	131	advcl	_	TokenRange=682:689
143	a	o	DET	DET	_	145	det	_	TokenRange=690:691
144	fiel	fiel	ADJ	ADJ	_	145	amod	_	TokenRange=692:696
145	casada	casado	NOUN	NOUN	_	142	obj	_	TokenRange=697:703
146	leia	ler	VERB	VERB	_	94	conj	_	TokenRange=704:708
147	tambem	tambem	ADV	ADV	_	146	advmod	_	TokenRange=709:715

