# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = urgente mtst invade predio oficial da presidencia da republica em sp manifestantes se e que podemos assim chamalos invadiram um predio da presidencia da republica em sao paulo agora pouco integrantes do mtst fazem neste exato momento um ato na av paulista contra o presidente michel temer o lider do grupo guilherme boulos disse que nao tem arrego e publicou a mensagem abaixo nas redes sociais mtst varias ocupacoes trabalhadores semteto da periferia de sao paulo acabaram de ocupar o escritorio da presidencia da republica e vao montar acampamento aqui na avenida paulista por conta dos cortes na moradia feitos pelo governo ilegitimo do seu michel temer que suspendeu o programa minha casa minha vida cancelou contratacoes que ja estavam feitas e tambem como resposta a repressao que foi feita em frente a casa do temer no acampamento montado pelo mtst e pela povo sem medo este e o objetivo do ato de hoje e deixa claro que nos nao vamos recuar nao e com porrada e com policia que vai fazer o povo recuar da luta publicou boulos
1	urgente	urgente	ADJ	ADJ	_	2	amod	_	TokenRange=0:7
24-25	da	_	_	_	_	_	_	_	TokenRange=135:137
24	de	de	ADP	ADP	_	26	case	_	_
25	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	26	det	_	_
26	presidencia	presidencia	NOUN	NOUN	_	23	nmod	_	TokenRange=138:149
27-28	da	_	_	_	_	_	_	_	TokenRange=150:152
27	de	de	ADP	ADP	_	29	case	_	_
28	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	29	det	_	_
29	republica	_	NOUN	NOUN	_	26	nmod	_	TokenRange=153:162
30	em	em	ADP	ADP	_	31	case	_	TokenRange=163:165
31	sao	sao	NOUN	NOUN	_	21	nmod	_	TokenRange=166:169
32	paulo	paulo	NOUN	NOUN	_	31	flat	_	TokenRange=170:175
33	agora	agora	ADV	ADV	_	39	advmod	_	TokenRange=176:181
34	pouco	_	DET	DET	_	35	det	_	TokenRange=182:187
35	integrantes	_	NOUN	NOUN	_	39	nsubj	_	TokenRange=188:199
36-37	do	_	_	_	_	_	_	_	TokenRange=200:202
36	de	de	ADP	ADP	_	38	case	_	_
37	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	38	det	_	_
38	mtst	_	NOUN	NOUN	_	35	nmod	_	TokenRange=203:207
39	fazem	fazer	VERB	VERB	_	3	parataxis	_	TokenRange=208:213
40	neste	_	ADP	ADP	_	42	case	_	TokenRange=214:219
41	exato	exato	ADJ	ADJ	_	42	amod	_	TokenRange=220:225
42	momento	momento	NOUN	NOUN	_	39	nmod	_	TokenRange=226:233
43	um	um	DET	DET	_	44	det	_	TokenRange=234:236
44	ato	ato	NOUN	NOUN	_	39	obj	_	TokenRange=237:240
45-46	na	_	_	_	_	_	_	_	TokenRange=241:243
45	em	em	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	av	_	NOUN	NOUN	_	44	nmod	_	TokenRange=244:246
48	paulista	paulista	ADJ	ADJ	_	47	amod	_	TokenRange=247:255
49	contra	_	ADP	ADP	_	51	case	_	TokenRange=256:262
50	o	o	DET	DET	_	51	det	_	TokenRange=263:264
51	presidente	presidente	NOUN	NOUN	_	44	nmod	_	TokenRange=265:275
52	michel	michel	ADJ	ADJ	_	51	appos	_	TokenRange=276:282
53	temer	temer	NOUN	NOUN	_	51	flat	_	TokenRange=283:288
54	o	o	DET	DET	_	55	det	_	TokenRange=289:290
55	lider	lider	NOUN	NOUN	_	39	nsubj	_	TokenRange=291:296
56-57	do	_	_	_	_	_	_	_	TokenRange=297:299
56	de	de	ADP	ADP	_	58	case	_	_
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	_
58	grupo	grupo	NOUN	NOUN	_	55	nmod	_	TokenRange=300:305
59	guilherme	guilherme	NOUN	NOUN	_	58	appos	_	TokenRange=306:315
60	boulos	_	NOUN	NOUN	_	59	flat	_	TokenRange=316:322
61	disse	dizer	VERB	VERB	_	3	parataxis	_	TokenRange=323:328
62	que	que	CCONJ	CONJ	_	64	mark	_	TokenRange=329:332
63	nao	nao	ADV	ADV	Polarity=Neg	64	advmod	_	TokenRange=333:336
64	tem	ter	VERB	VERB	_	61	ccomp	_	TokenRange=337:340
65	arrego	arrego	NOUN	NOUN	_	64	obj	_	TokenRange=341:347
66	e	e	CCONJ	CONJ	_	67	cc	_	TokenRange=348:349
67	publicou	publicar	VERB	VERB	_	64	conj	_	TokenRange=350:358
68	a	o	DET	DET	_	69	det	_	TokenRange=359:360
69	mensagem	mensagem	NOUN	NOUN	_	67	obj	_	TokenRange=361:369
70	abaixo	abaixo	ADV	ADV	_	67	advmod	_	TokenRange=370:376
71-72	nas	_	_	_	_	_	_	_	TokenRange=377:380
71	em	em	ADP	ADP	_	73	case	_	_
72	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	73	det	_	_
73	redes	rede	NOUN	NOUN	_	67	nmod	_	TokenRange=381:386
74	sociais	social	ADJ	ADJ	_	73	amod	_	TokenRange=387:394
75	mtst	_	NOUN	NOUN	_	73	appos	_	TokenRange=395:399
76	varias	_	DET	DET	_	77	det	_	TokenRange=400:406
77	ocupacoes	ocupacoe	NOUN	NOUN	_	88	nsubj	_	TokenRange=407:416
78	trabalhadores	trabalhador	NOUN	NOUN	_	77	appos	_	TokenRange=417:430
79	semteto	semteto	NOUN	NOUN	_	78	flat	_	TokenRange=431:438
80-81	da	_	_	_	_	_	_	_	TokenRange=439:441
80	de	de	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	periferia	periferia	NOUN	NOUN	_	77	nmod	_	TokenRange=442:451
83	de	de	ADP	ADP	_	84	case	_	TokenRange=452:454
84	sao	sao	NOUN	NOUN	_	82	nmod	_	TokenRange=455:458
85	paulo	paulo	ADJ	ADJ	_	84	amod	_	TokenRange=459:464
86	acabaram	acabar	AUX	AUX	_	88	aux	_	TokenRange=465:473
87	de	_	ADP	ADP	_	88	mark	_	TokenRange=474:476
88	ocupar	ocupar	VERB	VERB	_	3	parataxis	_	TokenRange=477:483
89	o	o	DET	DET	_	90	det	_	TokenRange=484:485
90	escritorio	escritorio	NOUN	NOUN	_	88	obj	_	TokenRange=486:496
91-92	da	_	_	_	_	_	_	_	TokenRange=497:499
91	de	de	ADP	ADP	_	93	case	_	_
92	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	93	det	_	_
93	presidencia	presidencia	NOUN	NOUN	_	90	nmod	_	TokenRange=500:511
94-95	da	_	_	_	_	_	_	_	TokenRange=512:514
94	de	de	ADP	ADP	_	96	case	_	_
95	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	96	det	_	_
96	republica	_	NOUN	NOUN	_	93	nmod	_	TokenRange=515:524
97	e	e	CCONJ	CONJ	_	99	cc	_	TokenRange=525:526
98	vao	ir	AUX	AUX	_	99	aux	_	TokenRange=527:530
99	montar	montar	VERB	VERB	_	88	conj	_	TokenRange=531:537
100	acampamento	acampamento	NOUN	NOUN	_	99	obj	_	TokenRange=538:549
101	aqui	aqui	ADV	ADV	_	99	advmod	_	TokenRange=550:554
102-103	na	_	_	_	_	_	_	_	TokenRange=555:557
102	em	em	ADP	ADP	_	104	case	_	_
103	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	104	det	_	_
104	avenida	avenida	NOUN	NOUN	_	99	nmod	_	TokenRange=558:565
105	paulista	paulista	ADJ	ADJ	_	104	amod	_	TokenRange=566:574
106	por	por	ADP	ADP	_	110	case	_	TokenRange=575:578
107	conta	conta	NOUN	NOUN	_	106	fixed	_	TokenRange=579:584
108-109	dos	_	_	_	_	_	_	_	TokenRange=585:588
108	de	de	ADP	ADP	_	106	case	_	_
109	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	106	det	_	_
110	cortes	corte	NOUN	NOUN	_	99	nmod	_	TokenRange=589:595
111-112	na	_	_	_	_	_	_	_	TokenRange=596:598
111	em	em	ADP	ADP	_	113	case	_	_
112	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	113	det	_	_
113	moradia	moradia	NOUN	NOUN	_	110	nmod	_	TokenRange=599:606
114	feitos	fazer	VERB	VERB	_	110	acl	_	TokenRange=607:613
115-116	pelo	_	_	_	_	_	_	_	TokenRange=614:618
115	por	por	ADP	ADP	_	117	case	_	_
116	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	117	det	_	_
117	governo	governo	NOUN	NOUN	_	114	nmod	_	TokenRange=619:626
118	ilegitimo	ilegitimo	ADJ	ADJ	_	117	amod	_	TokenRange=627:636
119-120	do	_	_	_	_	_	_	_	TokenRange=637:639
119	de	de	ADP	ADP	_	123	case	_	_
120	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	123	det	_	_
121	seu	_	DET	DET	_	123	det:poss	_	TokenRange=640:643
122	michel	michel	ADJ	NOUN	_	123	amod	_	TokenRange=644:650
123	temer	temer	NOUN	NOUN	_	117	nmod	_	TokenRange=651:656
124	que	_	PRON	PRON	_	125	nsubj	_	TokenRange=657:660
125	suspendeu	suspender	VERB	VERB	_	117	acl:relcl	_	TokenRange=661:670
126	o	o	DET	DET	_	127	det	_	TokenRange=671:672
127	programa	programa	NOUN	NOUN	_	125	obj	_	TokenRange=673:681
128	minha	_	DET	DET	_	129	det:poss	_	TokenRange=682:687
129	casa	casa	NOUN	NOUN	_	197	obj	_	TokenRange=688:692
130	minha	_	DET	DET	_	131	det:poss	_	TokenRange=693:698
131	vida	vida	NOUN	NOUN	_	125	nsubj	_	TokenRange=699:703
132	cancelou	cancelar	VERB	VERB	_	61	ccomp	_	TokenRange=704:712
133	contratacoes	_	NOUN	NOUN	_	132	obj	_	TokenRange=713:725
134	que	_	PRON	PRON	_	136	nsubj	_	TokenRange=726:729
135	ja	ja	ADV	ADV	_	136	advmod	_	TokenRange=730:732
136	estavam	estar	VERB	VERB	_	133	acl:relcl	_	TokenRange=733:740
137	feitas	_	ADJ	ADJ	_	136	xcomp	_	TokenRange=741:747
138	e	e	CCONJ	CONJ	_	61	cc	_	TokenRange=748:749
139	tambem	tambem	ADV	ADV	_	141	advmod	_	TokenRange=750:756
140	como	como	ADP	ADP	_	141	case	_	TokenRange=757:761
141	resposta	resposta	NOUN	NOUN	_	61	nmod	_	TokenRange=762:770
142	a	_	ADP	ADP	_	143	case	_	TokenRange=771:772
143	repressao	repressao	NOUN	NOUN	_	141	nmod	_	TokenRange=773:782
144	que	_	PRON	PRON	_	146	nsubj:pass	_	TokenRange=783:786
145	foi	_	AUX	AUX	_	146	aux:pass	_	TokenRange=787:790
146	feita	_	VERB	VERB	_	143	acl:relcl	_	TokenRange=791:796
147	em	em	ADP	ADP	_	148	case	_	TokenRange=797:799
148	frente	frente	NOUN	NOUN	_	146	nmod	_	TokenRange=800:806
149	a	_	ADP	ADP	_	150	case	_	TokenRange=807:808
150	casa	casa	NOUN	NOUN	_	148	nmod	_	TokenRange=809:813
151-152	do	_	_	_	_	_	_	_	TokenRange=814:816
151	de	de	ADP	ADP	_	153	case	_	_
152	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	153	det	_	_
153	temer	temer	NOUN	NOUN	_	150	nmod	_	TokenRange=817:822
154-155	no	_	_	_	_	_	_	_	TokenRange=823:825
154	em	em	ADP	ADP	_	156	case	_	_
155	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	156	det	_	_
156	acampamento	acampamento	NOUN	NOUN	_	146	nmod	_	TokenRange=826:837
157	montado	montar	VERB	VERB	_	156	acl	_	TokenRange=838:845
158-159	pelo	_	_	_	_	_	_	_	TokenRange=846:850
158	por	por	ADP	ADP	_	160	case	_	_
159	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	160	det	_	_
160	mtst	_	NOUN	NOUN	_	157	nmod	_	TokenRange=851:855
161	e	e	CCONJ	CONJ	_	164	cc	_	TokenRange=856:857
162-163	pela	_	_	_	_	_	_	_	TokenRange=858:862
162	por	por	ADP	ADP	_	164	case	_	_
163	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	164	det	_	_
164	povo	povo	NOUN	NOUN	_	160	conj	_	TokenRange=863:867
165	sem	_	ADP	ADP	_	166	case	_	TokenRange=868:871
166	medo	medo	NOUN	NOUN	_	164	nmod	_	TokenRange=872:876
167	este	_	PRON	PRON	_	61	nsubj	_	TokenRange=877:881
168	e	e	CCONJ	CONJ	_	170	cc	_	TokenRange=882:883
169	o	o	DET	DET	_	170	det	_	TokenRange=884:885
170	objetivo	objetivo	NOUN	NOUN	_	61	conj	_	TokenRange=886:894
171-172	do	_	_	_	_	_	_	_	TokenRange=895:897
171	de	de	ADP	ADP	_	173	case	_	_
172	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	173	det	_	_
173	ato	ato	NOUN	NOUN	_	170	nmod	_	TokenRange=898:901
174	de	_	ADP	ADP	_	175	mark	_	TokenRange=902:904
175	hoje	hoje	ADV	ADV	_	173	nmod	_	TokenRange=905:909
176	e	e	CCONJ	CONJ	_	177	cc	_	TokenRange=910:911
177	deixa	deixar	VERB	VERB	_	88	conj	_	TokenRange=912:917
178	claro	claro	ADJ	ADJ	_	177	xcomp	_	TokenRange=918:923
179	que	que	CCONJ	CONJ	_	184	mark	_	TokenRange=924:927
180-181	nos	_	_	_	_	_	_	_	TokenRange=928:931
180	em	em	ADP	ADP	_	184	case	_	_
181	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	184	det	_	_
182	nao	nao	ADV	ADV	Polarity=Neg	184	advmod	_	TokenRange=932:935
183	vamos	ir	AUX	AUX	_	184	aux	_	TokenRange=936:941
184	recuar	recuar	VERB	VERB	_	177	advcl	_	TokenRange=942:948
185	nao	nao	ADV	ADV	Polarity=Neg	184	advmod	_	TokenRange=949:952
186	e	e	CCONJ	CONJ	_	188	cc	_	TokenRange=953:954
187	com	com	ADP	ADP	_	188	case	_	TokenRange=955:958
188	porrada	porrada	NOUN	NOUN	_	184	conj	_	TokenRange=959:966
189	e	e	CCONJ	CONJ	_	191	cc	_	TokenRange=967:968
190	com	com	ADP	ADP	_	191	case	_	TokenRange=969:972
191	policia	policia	NOUN	NOUN	_	188	conj	_	TokenRange=973:980
192	que	que	CCONJ	CONJ	_	194	mark	_	TokenRange=981:984
193	vai	ir	AUX	AUX	_	194	aux	_	TokenRange=985:988
194	fazer	fazer	VERB	VERB	_	114	ccomp	_	TokenRange=989:994
195	o	o	DET	DET	_	196	det	_	TokenRange=995:996
196	povo	povo	NOUN	NOUN	_	197	nsubj	_	TokenRange=997:1001
197	recuar	recuar	VERB	VERB	_	194	ccomp	_	TokenRange=1002:1008
198-199	da	_	_	_	_	_	_	_	TokenRange=1009:1011
198	de	de	ADP	ADP	_	200	case	_	_
199	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	200	det	_	_
200	luta	luta	NOUN	NOUN	_	197	nmod	_	TokenRange=1012:1016
201	publicou	publicar	VERB	VERB	_	88	parataxis	_	TokenRange=1017:1025
202	boulos	_	NOUN	NOUN	_	201	nsubj	_	TokenRange=1026:1032

