# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acorda brasil o texto que pode anistiar os crimes de caixa 2 o jornalista fernando rodrigues do uol divulgou o texto do golpe durante a ultima madrugada lideres partidarios e rodrigo maia presidente da camara articularam um jeitinho de anistiar os crimes de caixa 2 uma emenda sera apresentada em plenario para obter o perdao dos crimes de caixa 2 cometidos antes da publicacao da lei o texto diz claramente que nao sera punivel nas esferas penal civil e eleitoral atos criminosos como o caixa 2 art x nao sera punivel nas esferas penal civil e eleitoral doacao contabilizada nao contabilizada ou nao declarada omitida ou ocultada de bens valores ou servicos para financiamento de atividade politicopartidaria ou eleitoral realizada ate a data da publicacao desta lei
1	acorda	acordar	VERB	VERB	_	0	root	_	TokenRange=0:6
40	um	um	DET	DET	_	41	det	_	TokenRange=221:223
41	jeitinho	jeitinho	NOUN	NOUN	_	39	obj	_	TokenRange=224:232
42	de	_	ADP	ADP	_	43	mark	_	TokenRange=233:235
43	anistiar	anistiar	VERB	VERB	_	41	nmod	_	TokenRange=236:244
44	os	o	DET	DET	_	45	det	_	TokenRange=245:247
45	crimes	crime	NOUN	NOUN	_	43	obj	_	TokenRange=248:254
46	de	de	ADP	ADP	_	47	case	_	TokenRange=255:257
47	caixa	caixa	NOUN	NOUN	_	45	nmod	_	TokenRange=258:263
48	2	_	NUM	NUM	NumType=Card	47	appos	_	TokenRange=264:265
49	uma	um	DET	DET	_	50	det	_	TokenRange=266:269
50	emenda	emenda	NOUN	NOUN	_	39	nsubj	_	TokenRange=270:276
51	sera	_	AUX	AUX	_	52	aux:pass	_	TokenRange=277:281
52	apresentada	apresentar	VERB	VERB	_	39	parataxis	_	TokenRange=282:293
53	em	em	ADP	ADP	_	54	case	_	TokenRange=294:296
54	plenario	plenario	NOUN	NOUN	_	52	nmod	_	TokenRange=297:305
55	para	_	ADP	ADP	_	56	mark	_	TokenRange=306:310
56	obter	obter	VERB	VERB	_	52	advcl	_	TokenRange=311:316
57	o	o	DET	DET	_	58	det	_	TokenRange=317:318
58	perdao	perdao	NOUN	NOUN	_	56	obj	_	TokenRange=319:325
59-60	dos	_	_	_	_	_	_	_	TokenRange=326:329
59	de	de	ADP	ADP	_	61	case	_	_
60	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	61	det	_	_
61	crimes	crime	NOUN	NOUN	_	58	nmod	_	TokenRange=330:336
62	de	de	ADP	ADP	_	63	case	_	TokenRange=337:339
63	caixa	caixa	NOUN	NOUN	_	61	nmod	_	TokenRange=340:345
64	2	_	NUM	NUM	NumType=Card	63	appos	_	TokenRange=346:347
65	cometidos	cometer	VERB	VERB	_	61	acl	_	TokenRange=348:357
66	antes	antes	ADV	ADV	_	69	case	_	TokenRange=358:363
67-68	da	_	_	_	_	_	_	_	TokenRange=364:366
67	de	de	ADP	ADP	_	66	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	66	det	_	_
69	publicacao	publicacao	NOUN	NOUN	_	65	nmod	_	TokenRange=367:377
70-71	da	_	_	_	_	_	_	_	TokenRange=378:380
70	de	de	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	lei	lei	NOUN	NOUN	_	69	nmod	_	TokenRange=381:384
73	o	o	DET	DET	_	74	det	_	TokenRange=385:386
74	texto	texto	NOUN	NOUN	_	75	nsubj	_	TokenRange=387:392
75	diz	dizer	VERB	VERB	_	52	parataxis	_	TokenRange=393:396
76	claramente	claramente	ADV	ADV	_	75	advmod	_	TokenRange=397:407
77	que	que	CCONJ	CONJ	_	79	mark	_	TokenRange=408:411
78	nao	nao	ADV	ADV	Polarity=Neg	79	advmod	_	TokenRange=412:415
79	sera	_	VERB	VERB	_	75	ccomp	_	TokenRange=416:420
80	punivel	punivel	ADJ	ADJ	_	79	xcomp	_	TokenRange=421:428
81-82	nas	_	_	_	_	_	_	_	TokenRange=429:432
81	em	em	ADP	ADP	_	83	case	_	_
82	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	83	det	_	_
83	esferas	esfera	NOUN	NOUN	_	80	nmod	_	TokenRange=433:440
84	penal	penal	ADJ	ADJ	_	83	amod	_	TokenRange=441:446
85	civil	civil	ADJ	ADJ	_	83	amod	_	TokenRange=447:452
86	e	e	CCONJ	CONJ	_	87	cc	_	TokenRange=453:454
87	eleitoral	eleitoral	ADJ	ADJ	_	85	conj	_	TokenRange=455:464
88	atos	ato	NOUN	NOUN	_	79	nsubj	_	TokenRange=465:469
89	criminosos	criminoso	ADJ	ADJ	_	88	amod	_	TokenRange=470:480
90	como	como	ADP	ADP	_	92	case	_	TokenRange=481:485
91	o	o	DET	DET	_	92	det	_	TokenRange=486:487
92	caixa	caixa	NOUN	NOUN	_	88	nmod	_	TokenRange=488:493
93	2	_	NUM	NUM	NumType=Card	92	appos	_	TokenRange=494:495
94	art	_	NOUN	NOUN	_	92	appos	_	TokenRange=496:499
95	x	_	PUNCT	.	_	94	punct	_	TokenRange=500:501
96	nao	nao	ADV	ADV	Polarity=Neg	97	advmod	_	TokenRange=502:505
97	sera	_	VERB	VERB	_	75	ccomp	_	TokenRange=506:510
98	punivel	punivel	ADJ	ADJ	_	97	xcomp	_	TokenRange=511:518
99-100	nas	_	_	_	_	_	_	_	TokenRange=519:522
99	em	em	ADP	ADP	_	101	case	_	_
100	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	101	det	_	_
101	esferas	esfera	NOUN	NOUN	_	98	nmod	_	TokenRange=523:530
102	penal	penal	ADJ	ADJ	_	101	amod	_	TokenRange=531:536
103	civil	civil	ADJ	ADJ	_	101	amod	_	TokenRange=537:542
104	e	e	CCONJ	CONJ	_	105	cc	_	TokenRange=543:544
105	eleitoral	eleitoral	ADJ	ADJ	_	103	conj	_	TokenRange=545:554
106	doacao	doacao	NOUN	NOUN	_	97	nsubj	_	TokenRange=555:561
107	contabilizada	contabilizado	ADJ	ADJ	_	106	amod	_	TokenRange=562:575
108	nao	nao	ADV	ADV	Polarity=Neg	109	advmod	_	TokenRange=576:579
109	contabilizada	contabilizar	VERB	ADJ	_	106	acl	_	TokenRange=580:593
110	ou	ou	CCONJ	CONJ	_	105	cc	_	TokenRange=594:596
111	nao	nao	ADV	ADV	Polarity=Neg	109	advmod	_	TokenRange=597:600
112	declarada	declarar	VERB	VERB	_	106	acl	_	TokenRange=601:610
113	omitida	omitir	VERB	VERB	_	106	acl	_	TokenRange=611:618
114	ou	ou	CCONJ	CONJ	_	115	cc	_	TokenRange=619:621
115	ocultada	ocultar	VERB	VERB	_	113	conj	_	TokenRange=622:630
116	de	de	ADP	ADP	_	117	case	_	TokenRange=631:633
117	bens	bem	NOUN	NOUN	_	118	nmod	_	TokenRange=634:638
118	valores	_	NOUN	NOUN	_	106	appos	_	TokenRange=639:646
119	ou	ou	CCONJ	CONJ	_	120	cc	_	TokenRange=647:649
120	servicos	servico	NOUN	NOUN	_	118	conj	_	TokenRange=650:658
121	para	para	ADP	ADP	_	122	case	_	TokenRange=659:663
122	financiamento	financiamento	NOUN	NOUN	_	118	nmod	_	TokenRange=664:677
123	de	de	ADP	ADP	_	124	case	_	TokenRange=678:680
124	atividade	atividade	NOUN	NOUN	_	122	nmod	_	TokenRange=681:690
125	politicopartidaria	politicopartidario	ADJ	ADJ	_	124	amod	_	TokenRange=691:709
126	ou	ou	CCONJ	CONJ	_	127	cc	_	TokenRange=710:712
127	eleitoral	eleitoral	ADJ	ADJ	_	125	conj	_	TokenRange=713:722
128	realizada	realizar	VERB	VERB	_	106	acl	_	TokenRange=723:732
129	ate	_	ADP	ADP	_	131	case	_	TokenRange=733:736
130	a	o	DET	DET	_	131	det	_	TokenRange=737:738
131	data	data	NOUN	NOUN	_	128	nmod	_	TokenRange=739:743
132-133	da	_	_	_	_	_	_	_	TokenRange=744:746
132	de	de	ADP	ADP	_	134	case	_	_
133	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	134	det	_	_
134	publicacao	publicacao	NOUN	NOUN	_	131	nmod	_	TokenRange=747:757
135	desta	_	ADP	ADP	_	136	case	_	TokenRange=758:763
136	lei	lei	NOUN	NOUN	_	134	nmod	_	TokenRange=764:767

