# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = vermelhou janot manda destruir provas que poderiam colocar lula na cadeia o procurador geral da republica rodrigo janot vai destruir provas que colocariam lula na cadeia ontem 24 o pgr anunciou que ira devolver aos advogados de leo pinheiro expresidente da oas os anexos originais entregues aos procuradores e mandara dar fim aos papeis usados nos acordos de delacao do empreiteiro informou a coluna radar a decisao foi tomada apos um suposto vazamento da delacao de pinheiro que envolveu o nome de um ministro da alta corte janot nega que houve vazamento ja a revista veja confirma que o nome de dias toffoli foi citado nas delacoes a veja disse a veja mantem tudo o que foi publicado na edicao que esta nas bancas a reportagem teve acesso ao anexo da delacao em que leo pinheiro mencionou o nome de dias toffoli a expressao ter acesso significa que os reporteres de veja viram e leram o anexo e apuraram que os termos do anexo estavam em discussao na proposta de delacao de leo pinheiro o pgr vai destruir provas que colocariam lula na cadeia supostas provas contra o ministro supremo tambem serao destruidas
1	vermelhou	vermelhar	VERB	VERB	_	3	csubj	_	TokenRange=0:9
74	radar	radar	NOUN	NOUN	_	73	flat	_	TokenRange=400:405
75	a	o	DET	DET	_	76	det	_	TokenRange=406:407
76	decisao	decisao	NOUN	NOUN	_	78	nsubj:pass	_	TokenRange=408:415
77	foi	_	AUX	AUX	_	78	aux:pass	_	TokenRange=416:419
78	tomada	tomar	VERB	VERB	_	163	ccomp	_	TokenRange=420:426
79	apos	_	ADP	ADP	_	82	case	_	TokenRange=427:431
80	um	um	DET	DET	_	82	det	_	TokenRange=432:434
81	suposto	suposto	ADJ	ADJ	_	82	amod	_	TokenRange=435:442
82	vazamento	vazamento	NOUN	NOUN	_	78	nmod	_	TokenRange=443:452
83-84	da	_	_	_	_	_	_	_	TokenRange=453:455
83	de	de	ADP	ADP	_	85	case	_	_
84	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	85	det	_	_
85	delacao	delacao	NOUN	NOUN	_	82	nmod	_	TokenRange=456:463
86	de	de	ADP	ADP	_	87	case	_	TokenRange=464:466
87	pinheiro	pinheiro	NOUN	NOUN	_	85	nmod	_	TokenRange=467:475
88	que	_	PRON	PRON	_	89	nsubj	_	TokenRange=476:479
89	envolveu	envolver	VERB	VERB	_	85	acl:relcl	_	TokenRange=480:488
90	o	o	DET	DET	_	91	det	_	TokenRange=489:490
91	nome	nome	NOUN	NOUN	_	89	obj	_	TokenRange=491:495
92	de	de	ADP	ADP	_	94	case	_	TokenRange=496:498
93	um	um	DET	DET	_	94	det	_	TokenRange=499:501
94	ministro	ministro	NOUN	NOUN	_	91	nmod	_	TokenRange=502:510
95-96	da	_	_	_	_	_	_	_	TokenRange=511:513
95	de	de	ADP	ADP	_	98	case	_	_
96	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	98	det	_	_
97	alta	alto	ADJ	ADJ	_	98	amod	_	TokenRange=514:518
98	corte	corte	NOUN	NOUN	_	94	nmod	_	TokenRange=519:524
99	janot	_	PROPN	PNOUN	_	98	appos	_	TokenRange=525:530
100	nega	negar	VERB	VERB	_	82	acl:relcl	_	TokenRange=531:535
101	que	que	CCONJ	CONJ	_	102	mark	_	TokenRange=536:539
102	houve	haver	VERB	VERB	_	100	ccomp	_	TokenRange=540:545
103	vazamento	vazamento	NOUN	NOUN	_	102	obj	_	TokenRange=546:555
104	ja	ja	ADV	ADV	_	108	advmod	_	TokenRange=556:558
105	a	o	DET	DET	_	106	det	_	TokenRange=559:560
106	revista	revista	NOUN	NOUN	_	108	nsubj	_	TokenRange=561:568
107	veja	veja	ADJ	ADJ	_	106	appos	_	TokenRange=569:573
108	confirma	confirmar	VERB	VERB	_	100	conj	_	TokenRange=574:582
109	que	que	CCONJ	CONJ	_	212	mark	_	TokenRange=583:586
110	o	o	DET	DET	_	111	det	_	TokenRange=587:588
111	nome	nome	NOUN	NOUN	_	212	nsubj:pass	_	TokenRange=589:593
112	de	de	ADP	ADP	_	113	case	_	TokenRange=594:596
113	dias	dia	NOUN	NOUN	_	111	nmod	_	TokenRange=597:601
114	toffoli	_	NOUN	NOUN	_	113	flat	_	TokenRange=602:609
115	foi	_	AUX	AUX	_	116	aux:pass	_	TokenRange=610:613
116	citado	citar	VERB	VERB	_	127	acl:relcl	_	TokenRange=614:620
117-118	nas	_	_	_	_	_	_	_	TokenRange=621:624
117	em	em	ADP	ADP	_	119	case	_	_
118	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	119	det	_	_
119	delacoes	delacoe	NOUN	NOUN	_	116	nmod	_	TokenRange=625:633
120	a	o	DET	DET	_	194	det	_	TokenRange=634:635
121	veja	veja	NOUN	NOUN	_	212	nsubj:pass	_	TokenRange=636:640
122	disse	dizer	VERB	VERB	_	22	parataxis	_	TokenRange=641:646
123	a	o	DET	DET	_	124	det	_	TokenRange=647:648
124	veja	veja	NOUN	NOUN	_	212	nsubj:pass	_	TokenRange=649:653
125	mantem	mantar	VERB	VERB	_	122	ccomp	_	TokenRange=654:660
126	tudo	_	PRON	PRON	_	127	det	_	TokenRange=661:665
127	o	_	PRON	PRON	_	37	obj	_	TokenRange=666:667
128	que	_	PRON	PRON	_	130	nsubj:pass	_	TokenRange=668:671
129	foi	_	AUX	AUX	_	130	aux:pass	_	TokenRange=672:675
130	publicado	publicar	VERB	VERB	_	127	acl:relcl	_	TokenRange=676:685
131-132	na	_	_	_	_	_	_	_	TokenRange=686:688
131	em	em	ADP	ADP	_	133	case	_	_
132	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	133	det	_	_
133	edicao	edicao	NOUN	NOUN	_	130	nmod	_	TokenRange=689:695
134	que	_	PRON	PRON	_	135	nsubj	_	TokenRange=696:699
135	esta	_	VERB	VERB	_	133	acl:relcl	_	TokenRange=700:704
136-137	nas	_	_	_	_	_	_	_	TokenRange=705:708
136	em	em	ADP	ADP	_	138	case	_	_
137	as	o	DET	DET	Definite=Def|Gender=Fem|Number=Plur|PronType=Art	138	det	_	_
138	bancas	banca	NOUN	NOUN	_	135	nmod	_	TokenRange=709:715
139	a	o	DET	DET	_	140	det	_	TokenRange=716:717
140	reportagem	reportagem	NOUN	NOUN	_	141	nsubj	_	TokenRange=718:728
141	teve	ter	VERB	VERB	_	34	ccomp	_	TokenRange=729:733
142	acesso	acesso	NOUN	NOUN	_	141	obj	_	TokenRange=734:740
143-144	ao	_	_	_	_	_	_	_	TokenRange=741:743
143	a	a	ADP	ADP	_	145	case	_	_
144	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	145	det	_	_
145	anexo	anexo	NOUN	NOUN	_	142	nmod	_	TokenRange=744:749
146-147	da	_	_	_	_	_	_	_	TokenRange=750:752
146	de	de	ADP	ADP	_	148	case	_	_
147	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	148	det	_	_
148	delacao	delacao	NOUN	NOUN	_	145	nmod	_	TokenRange=753:760
149	em	em	ADP	ADP	_	150	case	_	TokenRange=761:763
150	que	_	PRON	PRON	_	153	nmod	_	TokenRange=764:767
151	leo	_	NOUN	NOUN	_	153	nsubj	_	TokenRange=768:771
152	pinheiro	pinheiro	NOUN	NOUN	_	151	flat	_	TokenRange=772:780
153	mencionou	mencionar	VERB	VERB	_	145	acl:relcl	_	TokenRange=781:790
154	o	o	DET	DET	_	155	det	_	TokenRange=791:792
155	nome	nome	NOUN	NOUN	_	153	obj	_	TokenRange=793:797
156	de	de	ADP	ADP	_	157	case	_	TokenRange=798:800
157	dias	dia	NOUN	NOUN	_	155	nmod	_	TokenRange=801:805
158	toffoli	_	NOUN	NOUN	_	157	flat	_	TokenRange=806:813
159	a	o	DET	DET	_	160	det	_	TokenRange=814:815
160	expressao	expressao	NOUN	NOUN	_	141	nsubj	_	TokenRange=816:825
161	ter	ter	VERB	VERB	_	160	acl:inf	_	TokenRange=826:829
162	acesso	acesso	NOUN	NOUN	_	161	obj	_	TokenRange=830:836
163	significa	significar	VERB	VERB	_	34	ccomp	_	TokenRange=837:846
164	que	que	CCONJ	CONJ	_	169	mark	_	TokenRange=847:850
165	os	o	DET	DET	_	166	det	_	TokenRange=851:853
166	reporteres	reporter	NOUN	NOUN	_	169	nsubj	_	TokenRange=854:864
167	de	de	ADP	ADP	_	168	case	_	TokenRange=865:867
168	veja	veja	NOUN	NOUN	_	166	nmod	_	TokenRange=868:872
169	viram	_	VERB	VERB	_	163	ccomp	_	TokenRange=873:878
170	e	e	CCONJ	CONJ	_	171	cc	_	TokenRange=879:880
171	leram	ler	VERB	VERB	_	169	conj	_	TokenRange=881:886
172	o	o	DET	DET	_	173	det	_	TokenRange=887:888
173	anexo	anexo	NOUN	NOUN	_	171	obj	_	TokenRange=889:894
174	e	e	CCONJ	CONJ	_	175	cc	_	TokenRange=895:896
175	apuraram	apurar	VERB	VERB	_	169	conj	_	TokenRange=897:905
176	que	que	CCONJ	CONJ	_	182	mark	_	TokenRange=906:909
177	os	o	DET	DET	_	178	det	_	TokenRange=910:912
178	termos	termo	NOUN	NOUN	_	182	nsubj	_	TokenRange=913:919
179-180	do	_	_	_	_	_	_	_	TokenRange=920:922
179	de	de	ADP	ADP	_	181	case	_	_
180	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	181	det	_	_
181	anexo	anexo	NOUN	NOUN	_	178	nmod	_	TokenRange=923:928
182	estavam	estar	VERB	VERB	_	175	ccomp	_	TokenRange=929:936
183	em	em	ADP	ADP	_	184	case	_	TokenRange=937:939
184	discussao	discussao	NOUN	NOUN	_	182	nmod	_	TokenRange=940:949
185-186	na	_	_	_	_	_	_	_	TokenRange=950:952
185	em	em	ADP	ADP	_	187	case	_	_
186	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	187	det	_	_
187	proposta	_	NOUN	NOUN	_	184	nmod	_	TokenRange=953:961
188	de	de	ADP	ADP	_	189	case	_	TokenRange=962:964
189	delacao	delacao	NOUN	NOUN	_	187	nmod	_	TokenRange=965:972
190	de	de	ADP	ADP	_	191	case	_	TokenRange=973:975
191	leo	leo	NOUN	NOUN	_	187	nmod	_	TokenRange=976:979
192	pinheiro	pinheiro	NOUN	NOUN	_	191	flat	_	TokenRange=980:988
193	o	o	DET	DET	_	194	det	_	TokenRange=989:990
194	pgr	_	NOUN	NOUN	_	212	nsubj:pass	_	TokenRange=991:994
195	vai	ir	AUX	AUX	_	212	aux	_	TokenRange=995:998
196	destruir	destruir	VERB	VERB	_	175	ccomp	_	TokenRange=999:1007
197	provas	prova	NOUN	NOUN	_	212	nsubj:pass	_	TokenRange=1008:1014
198	que	_	PRON	PRON	_	199	nsubj	_	TokenRange=1015:1018
199	colocariam	colocar	VERB	VERB	_	197	acl:relcl	_	TokenRange=1019:1029
200	lula	lula	NOUN	NOUN	_	199	obj	_	TokenRange=1030:1034
201-202	na	_	_	_	_	_	_	_	TokenRange=1035:1037
201	em	em	ADP	ADP	_	203	case	_	_
202	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	203	det	_	_
203	cadeia	cadeia	NOUN	NOUN	_	212	nmod	_	TokenRange=1038:1044
204	supostas	suposto	ADJ	ADJ	_	205	amod	_	TokenRange=1045:1053
205	provas	prova	NOUN	NOUN	_	212	nsubj:pass	_	TokenRange=1054:1060
206	contra	_	ADP	ADP	_	208	case	_	TokenRange=1061:1067
207	o	o	DET	DET	_	208	det	_	TokenRange=1068:1069
208	ministro	ministro	NOUN	NOUN	_	205	nmod	_	TokenRange=1070:1078
209	supremo	supremo	ADJ	ADJ	_	208	amod	_	TokenRange=1079:1086
210	tambem	tambem	ADV	ADV	_	212	advmod	_	TokenRange=1087:1093
211	serao	ser	AUX	AUX	_	212	aux:pass	_	TokenRange=1094:1099
212	destruidas	destruir	VERB	VERB	_	196	conj	_	TokenRange=1100:1110

