# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos 43 anos exestagiaria da casa branca diz que se arrepende da relacao com bill clinton monica lewinsky exestagiaria da casa branca disse se arrepende de ter se envolvido com o expresidente bill clinton declaracao da moca apaixonei pelo meu chefe e descobri que as consequencias foram devastadoras me arrependo profundamente eu tinha apenas 22 anos disse monica em uma palestra na australia atualmente ela reside em londres onde fez mestrado em psicologia social no principio ambos negaram qualquer relacao o caso ficou conhecido na epoca como o escandalo lewinsky a secretaria da casa branca linda tripp comecou a gravar secretamente as conversas da estagiaria com o presidente clinton e soltou a bomba na imprensa tempos depois ela admitiu que seu affair com clinton incluiu relacoes orais no salao oval da casa branca clinton negou sob juramento que tinha mantido um caso com monica em cadeia nacional ele declarou eu nao tive relacoes com esta mulher a senhorita lewinsky
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
15	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	16	det	_	_
16	relacao	relacao	NOUN	NOUN	_	13	nmod	_	TokenRange=64:71
17	com	com	ADP	ADP	_	18	case	_	TokenRange=72:75
18	bill	bill	NOUN	NOUN	_	16	nmod	_	TokenRange=76:80
19	clinton	_	NOUN	NOUN	_	18	flat	_	TokenRange=81:88
20	monica	_	NOUN	NOUN	_	27	nsubj	_	TokenRange=89:95
21	lewinsky	_	NOUN	NOUN	_	20	flat	_	TokenRange=96:104
22	exestagiaria	exestagiaria	NOUN	NOUN	_	20	appos	_	TokenRange=105:117
23-24	da	_	_	_	_	_	_	_	TokenRange=118:120
23	de	de	ADP	ADP	_	25	case	_	_
24	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	25	det	_	_
25	casa	casa	NOUN	NOUN	_	22	nmod	_	TokenRange=121:125
26	branca	branco	ADJ	ADJ	_	25	amod	_	TokenRange=126:132
27	disse	dizer	VERB	VERB	_	10	ccomp	_	TokenRange=133:138
28	se	_	PRON	PRON	_	29	expl:pv	_	TokenRange=139:141
29	arrepende	arrepender	VERB	VERB	_	27	ccomp	_	TokenRange=142:151
30	de	_	ADP	ADP	_	33	mark	_	TokenRange=152:154
31	ter	ter	AUX	AUX	_	33	aux	_	TokenRange=155:158
32	se	_	PRON	PRON	_	33	obj	_	TokenRange=159:161
33	envolvido	envolver	VERB	VERB	_	29	nmod	_	TokenRange=162:171
34	com	com	ADP	ADP	_	36	case	_	TokenRange=172:175
35	o	o	DET	DET	_	36	det	_	TokenRange=176:177
36	expresidente	expresidente	NOUN	NOUN	_	33	nmod	_	TokenRange=178:190
37	bill	bill	NOUN	NOUN	_	36	appos	_	TokenRange=191:195
38	clinton	_	NOUN	NOUN	_	37	flat	_	TokenRange=196:203
39	declaracao	declaracao	NOUN	NOUN	_	27	obj	_	TokenRange=204:214
40-41	da	_	_	_	_	_	_	_	TokenRange=215:217
40	de	de	ADP	ADP	_	42	case	_	_
41	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	42	det	_	_
42	moca	moco	NOUN	NOUN	_	43	nmod	_	TokenRange=218:222
43	apaixonei	apaixonar	VERB	VERB	_	27	ccomp	_	TokenRange=223:232
44-45	pelo	_	_	_	_	_	_	_	TokenRange=233:237
44	por	por	ADP	ADP	_	47	case	_	_
45	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	47	det	_	_
46	meu	_	DET	DET	_	47	det:poss	_	TokenRange=238:241
47	chefe	chefe	NOUN	NOUN	_	43	nmod	_	TokenRange=242:247
48	e	e	CCONJ	CONJ	_	49	cc	_	TokenRange=248:249
49	descobri	descobrir	VERB	VERB	_	43	conj	_	TokenRange=250:258
50	que	que	CCONJ	CONJ	_	53	mark	_	TokenRange=259:262
51	as	o	DET	DET	_	52	det	_	TokenRange=263:265
52	consequencias	_	NOUN	NOUN	_	53	nsubj	_	TokenRange=266:279
53	foram	_	VERB	VERB	_	49	ccomp	_	TokenRange=280:285
54	devastadoras	devastador	ADJ	ADJ	_	53	xcomp	_	TokenRange=286:298
55	me	_	PRON	PRON	_	56	iobj	_	TokenRange=299:301
56	arrependo	arreper	VERB	VERB	_	53	csubj	_	TokenRange=302:311
57	profundamente	profundamente	ADV	ADV	_	56	advmod	_	TokenRange=312:325
58	eu	_	PRON	PRON	_	59	nsubj	_	TokenRange=326:328
59	tinha	ter	VERB	VERB	_	49	ccomp	_	TokenRange=329:334
60	apenas	apenas	ADV	ADV	_	61	advmod	_	TokenRange=335:341
61	22	_	NUM	NUM	NumType=Card	62	nummod	_	TokenRange=342:344
62	anos	ano	NOUN	NOUN	_	59	obj	_	TokenRange=345:349
63	disse	dizer	VERB	VERB	_	131	ccomp	_	TokenRange=350:355
64	monica	_	NOUN	NOUN	_	149	nsubj	_	TokenRange=356:362
65	em	em	ADP	ADP	_	67	case	_	TokenRange=363:365
66	uma	um	DET	DET	_	67	det	_	TokenRange=366:369
67	palestra	palestra	NOUN	NOUN	_	149	nmod	_	TokenRange=370:378
68-69	na	_	_	_	_	_	_	_	TokenRange=379:381
68	em	em	ADP	ADP	_	70	case	_	_
69	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	70	det	_	_
70	australia	australia	NOUN	NOUN	_	67	nmod	_	TokenRange=382:391
71	atualmente	atualmente	ADV	ADV	_	73	advmod	_	TokenRange=392:402
72	ela	_	PRON	PRON	_	73	nsubj	_	TokenRange=403:406
73	reside	residir	VERB	VERB	_	149	parataxis	_	TokenRange=407:413
74	em	em	ADP	ADP	_	75	case	_	TokenRange=414:416
75	londres	londr	NOUN	NOUN	_	73	nmod	_	TokenRange=417:424
76	onde	onde	ADV	ADV	_	77	advmod	_	TokenRange=425:429
77	fez	fazer	VERB	VERB	_	75	acl:relcl	_	TokenRange=430:433
78	mestrado	mestrado	NOUN	NOUN	_	77	obj	_	TokenRange=434:442
79	em	em	ADP	ADP	_	80	case	_	TokenRange=443:445
80	psicologia	psicologia	NOUN	NOUN	_	78	nmod	_	TokenRange=446:456
81	social	social	ADJ	ADJ	_	80	amod	_	TokenRange=457:463
82-83	no	_	_	_	_	_	_	_	TokenRange=464:466
82	em	em	ADP	ADP	_	84	case	_	_
83	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	84	det	_	_
84	principio	principio	NOUN	NOUN	_	86	nmod	_	TokenRange=467:476
85	ambos	_	PRON	PRON	_	86	nsubj	_	TokenRange=477:482
86	negaram	negar	VERB	VERB	_	77	advcl	_	TokenRange=483:490
87	qualquer	_	DET	DET	_	88	det	_	TokenRange=491:499
88	relacao	relacao	NOUN	NOUN	_	86	obj	_	TokenRange=500:507
89	o	o	DET	DET	_	90	det	_	TokenRange=508:509
90	caso	caso	NOUN	NOUN	_	91	nsubj	_	TokenRange=510:514
91	ficou	ficar	VERB	VERB	_	163	ccomp	_	TokenRange=515:520
92	conhecido	conhecido	ADJ	ADJ	_	91	xcomp	_	TokenRange=521:530
93-94	na	_	_	_	_	_	_	_	TokenRange=531:533
93	em	em	ADP	ADP	_	95	case	_	_
94	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	95	det	_	_
95	epoca	epoca	NOUN	NOUN	_	92	nmod	_	TokenRange=534:539
96	como	como	ADP	ADP	_	98	case	_	TokenRange=540:544
97	o	o	DET	DET	_	98	det	_	TokenRange=545:546
98	escandalo	escandalo	NOUN	NOUN	_	92	nmod	_	TokenRange=547:556
99	lewinsky	_	ADJ	ADJ	_	98	appos	_	TokenRange=557:565
100	a	o	DET	DET	_	101	det	_	TokenRange=566:567
101	secretaria	secretaria	NOUN	NOUN	_	91	nsubj	_	TokenRange=568:578
102-103	da	_	_	_	_	_	_	_	TokenRange=579:581
102	de	de	ADP	ADP	_	104	case	_	_
103	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	104	det	_	_
104	casa	casa	NOUN	NOUN	_	101	nmod	_	TokenRange=582:586
105	branca	branco	ADJ	ADJ	_	104	amod	_	TokenRange=587:593
106	linda	lindo	NOUN	NOUN	_	172	appos	_	TokenRange=594:599
107	tripp	_	NOUN	NOUN	_	106	flat	_	TokenRange=600:605
108	comecou	comecar	AUX	AUX	_	110	aux	_	TokenRange=606:613
109	a	_	ADP	ADP	_	110	mark	_	TokenRange=614:615
110	gravar	gravar	VERB	VERB	_	10	parataxis	_	TokenRange=616:622
111	secretamente	secretamente	ADV	ADV	_	110	advmod	_	TokenRange=623:635
112	as	o	DET	DET	_	113	det	_	TokenRange=636:638
113	conversas	_	NOUN	NOUN	_	110	obj	_	TokenRange=639:648
114-115	da	_	_	_	_	_	_	_	TokenRange=649:651
114	de	de	ADP	ADP	_	116	case	_	_
115	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	116	det	_	_
116	estagiaria	estagiaria	NOUN	NOUN	_	113	nmod	_	TokenRange=652:662
117	com	com	ADP	ADP	_	119	case	_	TokenRange=663:666
118	o	o	DET	DET	_	119	det	_	TokenRange=667:668
119	presidente	presidente	NOUN	NOUN	_	113	nmod	_	TokenRange=669:679
120	clinton	_	ADJ	ADJ	_	119	flat	_	TokenRange=680:687
121	e	e	CCONJ	CONJ	_	122	cc	_	TokenRange=688:689
122	soltou	soltar	VERB	VERB	_	110	conj	_	TokenRange=690:696
123	a	o	DET	DET	_	124	det	_	TokenRange=697:698
124	bomba	bomba	NOUN	NOUN	_	122	obj	_	TokenRange=699:704
125-126	na	_	_	_	_	_	_	_	TokenRange=705:707
125	em	em	ADP	ADP	_	127	case	_	_
126	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	127	det	_	_
127	imprensa	imprensa	NOUN	NOUN	_	122	nmod	_	TokenRange=708:716
128	tempos	tempo	NOUN	NOUN	_	127	nmod	_	TokenRange=717:723
129	depois	depois	ADV	ADV	_	131	advmod	_	TokenRange=724:730
130	ela	_	PRON	PRON	_	131	nsubj	_	TokenRange=731:734
131	admitiu	admitir	VERB	VERB	_	10	conj	_	TokenRange=735:742
132	que	que	CCONJ	CONJ	_	137	mark	_	TokenRange=743:746
133	seu	_	DET	DET	_	134	det:poss	_	TokenRange=747:750
134	affair	affair	NOUN	NOUN	_	137	nsubj	_	TokenRange=751:757
135	com	com	ADP	ADP	_	136	case	_	TokenRange=758:761
136	clinton	_	NOUN	NOUN	_	134	nmod	_	TokenRange=762:769
137	incluiu	incluir	VERB	VERB	_	49	ccomp	_	TokenRange=770:777
138	relacoes	relacoe	NOUN	NOUN	_	137	obj	_	TokenRange=778:786
139	orais	oral	ADJ	ADJ	_	138	amod	_	TokenRange=787:792
140-141	no	_	_	_	_	_	_	_	TokenRange=793:795
140	em	em	ADP	ADP	_	142	case	_	_
141	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	142	det	_	_
142	salao	salao	NOUN	NOUN	_	137	nmod	_	TokenRange=796:801
143	oval	oval	ADJ	ADJ	_	142	amod	_	TokenRange=802:806
144-145	da	_	_	_	_	_	_	_	TokenRange=807:809
144	de	de	ADP	ADP	_	146	case	_	_
145	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	146	det	_	_
146	casa	casa	NOUN	NOUN	_	142	nmod	_	TokenRange=810:814
147	branca	branco	ADJ	ADJ	_	146	amod	_	TokenRange=815:821
148	clinton	_	PROPN	PNOUN	_	149	nsubj	_	TokenRange=822:829
149	negou	negar	VERB	VERB	_	131	ccomp	_	TokenRange=830:835
150	sob	_	ADP	ADP	_	151	case	_	TokenRange=836:839
151	juramento	juramento	NOUN	NOUN	_	149	nmod	_	TokenRange=840:849
152	que	que	CCONJ	CONJ	_	154	mark	_	TokenRange=850:853
153	tinha	ter	AUX	AUX	_	154	aux	_	TokenRange=854:859
154	mantido	manter	VERB	VERB	_	149	ccomp	_	TokenRange=860:867
155	um	um	DET	DET	_	156	det	_	TokenRange=868:870
156	caso	caso	NOUN	NOUN	_	154	obj	_	TokenRange=871:875
157	com	com	ADP	ADP	_	158	case	_	TokenRange=876:879
158	monica	_	NOUN	NOUN	_	156	nmod	_	TokenRange=880:886
159	em	em	ADP	ADP	_	160	case	_	TokenRange=887:889
160	cadeia	cadeia	NOUN	NOUN	_	154	nmod	_	TokenRange=890:896
161	nacional	nacional	ADJ	ADJ	_	160	amod	_	TokenRange=897:905
162	ele	_	PRON	PRON	_	163	nsubj	_	TokenRange=906:909
163	declarou	declarar	VERB	VERB	_	149	parataxis	_	TokenRange=910:918
164	eu	_	PRON	PRON	_	166	nsubj	_	TokenRange=919:921
165	nao	nao	ADV	ADV	Polarity=Neg	166	advmod	_	TokenRange=922:925
166	tive	ter	VERB	VERB	_	163	ccomp	_	TokenRange=926:930
167	relacoes	relacoe	NOUN	NOUN	_	166	obj	_	TokenRange=931:939
168	com	com	ADP	ADP	_	170	case	_	TokenRange=940:943
169	esta	_	DET	DET	_	170	det	_	TokenRange=944:948
170	mulher	mulher	NOUN	NOUN	_	167	nmod	_	TokenRange=949:955
171	a	o	DET	DET	_	172	det	_	TokenRange=956:957
172	senhorita	senhorita	NOUN	NOUN	_	166	obj	_	TokenRange=958:967
173	lewinsky	_	PROPN	PNOUN	_	172	appos	_	TokenRange=968:976

