# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = encontraram uma planilha da odebrecht com pagamentos diretos para lula o mentiroso vai ser preso o antagonista informou que lula tinha uma conta corrente no setor de operacoes estruturadas de propinas da odebrecht vamos repetir com letras maiusculas e em negrito lula a alma mais honesta deste pais tinha uma conta corrente no setor de operacoes estruturadas da odebrecht de acordo com informacoes ha uma planilha com todos os pagamentos feitos pela empreiteira a lula a tal planilha segundo o antagonista se chama amigo lula vai ser preso e vai ser ainda essa semana
1	encontraram	encontrar	VERB	VERB	_	0	root	_	TokenRange=0:11
26	em	em	ADP	ADP	_	28	case	_	_
27	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	28	det	_	_
28	setor	setor	NOUN	NOUN	_	24	nmod	_	TokenRange=157:162
29	de	de	ADP	ADP	_	30	case	_	TokenRange=163:165
30	operacoes	operacoe	NOUN	NOUN	_	28	nmod	_	TokenRange=166:175
31	estruturadas	estruturado	ADJ	ADJ	_	30	amod	_	TokenRange=176:188
32	de	de	ADP	ADP	_	33	case	_	TokenRange=189:191
33	propinas	propina	NOUN	NOUN	_	30	nmod	_	TokenRange=192:200
34-35	da	_	_	_	_	_	_	_	TokenRange=201:203
34	de	de	ADP	ADP	_	36	case	_	_
35	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	36	det	_	_
36	odebrecht	_	NOUN	NOUN	_	33	nmod	_	TokenRange=204:213
37	vamos	ir	AUX	AUX	_	38	aux	_	TokenRange=214:219
38	repetir	repetir	VERB	VERB	_	19	ccomp	_	TokenRange=220:227
39	com	com	ADP	ADP	_	40	case	_	TokenRange=228:231
40	letras	_	NOUN	NOUN	_	38	nmod	_	TokenRange=232:238
41	maiusculas	maiusculo	ADJ	ADJ	_	40	amod	_	TokenRange=239:249
42	e	e	CCONJ	CONJ	_	52	cc	_	TokenRange=250:251
43	em	em	ADP	ADP	_	44	case	_	TokenRange=252:254
44	negrito	negrito	NOUN	NOUN	_	52	nmod	_	TokenRange=255:262
45	lula	_	NOUN	NOUN	_	52	nsubj	_	TokenRange=263:267
46	a	o	DET	DET	_	47	det	_	TokenRange=268:269
47	alma	alma	NOUN	NOUN	_	52	nsubj	_	TokenRange=270:274
48	mais	mais	ADV	ADV	_	49	advmod	_	TokenRange=275:279
49	honesta	honesto	ADJ	ADJ	_	47	amod	_	TokenRange=280:287
50	deste	_	ADP	ADP	_	51	case	_	TokenRange=288:293
51	pais	_	NOUN	NOUN	_	47	nmod	_	TokenRange=294:298
52	tinha	ter	VERB	VERB	_	38	conj	_	TokenRange=299:304
53	uma	um	DET	DET	_	54	det	_	TokenRange=305:308
54	conta	conta	NOUN	NOUN	_	52	obj	_	TokenRange=309:314
55	corrente	corrente	ADJ	ADJ	_	54	amod	_	TokenRange=315:323
56-57	no	_	_	_	_	_	_	_	TokenRange=324:326
56	em	em	ADP	ADP	_	58	case	_	_
57	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	58	det	_	_
58	setor	setor	NOUN	NOUN	_	52	nmod	_	TokenRange=327:332
59	de	de	ADP	ADP	_	60	case	_	TokenRange=333:335
60	operacoes	operacoe	NOUN	NOUN	_	58	nmod	_	TokenRange=336:345
61	estruturadas	estruturado	ADJ	ADJ	_	60	amod	_	TokenRange=346:358
62-63	da	_	_	_	_	_	_	_	TokenRange=359:361
62	de	de	ADP	ADP	_	64	case	_	_
63	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	64	det	_	_
64	odebrecht	odebrecht	NOUN	NOUN	_	60	nmod	_	TokenRange=362:371
65	de	de	ADP	ADP	_	66	case	_	TokenRange=372:374
66	acordo	acordo	NOUN	NOUN	_	52	nmod	_	TokenRange=375:381
67	com	com	ADP	ADP	_	68	case	_	TokenRange=382:385
68	informacoes	informacoe	NOUN	NOUN	_	66	nmod	_	TokenRange=386:397
69	ha	_	VERB	VERB	_	19	ccomp	_	TokenRange=398:400
70	uma	um	DET	DET	_	71	det	_	TokenRange=401:404
71	planilha	planilha	NOUN	NOUN	_	69	obj	_	TokenRange=405:413
72	com	com	ADP	ADP	_	75	case	_	TokenRange=414:417
73	todos	_	DET	DET	_	75	det	_	TokenRange=418:423
74	os	o	DET	DET	_	75	det	_	TokenRange=424:426
75	pagamentos	pagamento	NOUN	NOUN	_	71	nmod	_	TokenRange=427:437
76	feitos	fazer	VERB	VERB	_	75	acl	_	TokenRange=438:444
77-78	pela	_	_	_	_	_	_	_	TokenRange=445:449
77	por	por	ADP	ADP	_	79	case	_	_
78	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	79	det	_	_
79	empreiteira	empreiteiro	NOUN	NOUN	_	76	nmod	_	TokenRange=450:461
80	a	_	ADP	ADP	_	81	case	_	TokenRange=462:463
81	lula	lula	NOUN	NOUN	_	76	nmod	_	TokenRange=464:468
82	a	_	ADP	ADP	_	84	case	_	TokenRange=469:470
83	tal	_	DET	DET	_	84	det	_	TokenRange=471:474
84	planilha	planilha	NOUN	NOUN	_	76	nsubj:pass	_	TokenRange=475:483
85	segundo	_	ADP	ADP	_	87	case	_	TokenRange=484:491
86	o	o	DET	DET	_	87	det	_	TokenRange=492:493
87	antagonista	antagonista	NOUN	NOUN	_	76	nmod	_	TokenRange=494:505
88	se	_	PRON	PRON	_	89	expl:pv	_	TokenRange=506:508
89	chama	chamar	VERB	AUX	_	94	aux:pass	_	TokenRange=509:514
90	amigo	amigo	NOUN	NOUN	_	89	xcomp	_	TokenRange=515:520
91	lula	lula	NOUN	NOUN	_	94	nsubj:pass	_	TokenRange=521:525
92	vai	ir	AUX	AUX	_	94	aux	_	TokenRange=526:529
93	ser	ser	AUX	AUX	_	94	aux:pass	_	TokenRange=530:533
94	preso	_	VERB	VERB	_	69	parataxis	_	TokenRange=534:539
95	e	e	CCONJ	CONJ	_	97	cc	_	TokenRange=540:541
96	vai	ir	AUX	AUX	_	97	aux	_	TokenRange=542:545
97	ser	ser	VERB	VERB	_	94	conj	_	TokenRange=546:549
98	ainda	ainda	ADV	ADV	_	100	advmod	_	TokenRange=550:555
99	essa	_	DET	DET	_	100	det	_	TokenRange=556:560
100	semana	semana	NOUN	NOUN	_	97	nmod	_	TokenRange=561:567

