# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = caiu a mascara numero de desempregados no pais e recorde e atinge 23 milhoes de pessoas com o pt chutado para fora da presidencia o ibge esta repensando a logica do levantamento do desemprego no pais durante os ultimos anos os numeros foram mascarados e o governo dilma usou a maquina de marketing governamental para esconder os dados reais da crise no pais os numeros divulgados ontem pelo ibge assustam sao 22 7 milhoes de pessoas em idade produtiva que estao sem trabalho ou trabalham menos do que poderiam confira na materia da record
1	caiu	cair	VERB	VERB	_	0	root	_	TokenRange=0:4
84	pessoas	pessoa	NOUN	NOUN	_	79	nsubj	_	TokenRange=425:432
85	em	em	ADP	ADP	_	86	case	_	TokenRange=433:435
86	idade	idade	NOUN	NOUN	_	84	nmod	_	TokenRange=436:441
87	produtiva	produtivo	ADJ	ADJ	_	86	amod	_	TokenRange=442:451
88	que	_	PRON	PRON	_	89	nsubj	_	TokenRange=452:455
89	estao	_	VERB	VERB	_	84	acl:relcl	_	TokenRange=456:461
90	sem	_	ADP	ADP	_	91	case	_	TokenRange=462:465
91	trabalho	trabalho	NOUN	NOUN	_	89	nmod	_	TokenRange=466:474
92	ou	ou	CCONJ	CONJ	_	93	cc	_	TokenRange=475:477
93	trabalham	trabalhar	VERB	VERB	_	89	conj	_	TokenRange=478:487
94	menos	menos	ADV	ADV	_	93	advmod	_	TokenRange=488:493
95-96	do	_	_	_	_	_	_	_	TokenRange=494:496
95	de	de	ADP	ADP	_	99	case	_	_
96	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	99	det	_	_
97	que	_	CCONJ	CONJ	_	95	fixed	_	TokenRange=497:500
98	poderiam	poder	AUX	AUX	_	99	aux	_	TokenRange=501:509
99	confira	conferir	VERB	VERB	_	89	advcl	_	TokenRange=510:517
100-101	na	_	_	_	_	_	_	_	TokenRange=518:520
100	em	em	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	materia	materia	NOUN	NOUN	_	99	nmod	_	TokenRange=521:528
103-104	da	_	_	_	_	_	_	_	TokenRange=529:531
103	de	de	ADP	ADP	_	105	case	_	_
104	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	105	det	_	_
105	record	record	NOUN	NOUN	_	102	nmod	_	TokenRange=532:538

