# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = faltou so a pf cerimonia de posse da nova presidente do stf vira reuniao de corruptos caetano veloso cantou o hino nacional na posse da nova presidente do supremo a ministra carmen lucia enquanto o musico cantava lula fernando pimentel governador de mg e jose sarney se deleitavam na melodia e uma afronta ao brasileiros tem mais gente envolvida em corrupcao do que convidados alem de lula outros 18 politicos citados na lavajato participam neste exato momento da cerimonia ahhh michel temer renan calheiros e o presidente da camara tambem estao presentes leia tambem
1	faltou	faltar	VERB	VERB	_	0	root	_	TokenRange=0:6
28-29	da	_	_	_	_	_	_	_	TokenRange=133:135
28	de	de	ADP	ADP	_	31	case	_	_
29	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	31	det	_	_
30	nova	novo	ADJ	ADJ	_	31	amod	_	TokenRange=136:140
31	presidente	presidente	NOUN	NOUN	_	27	nmod	_	TokenRange=141:151
32-33	do	_	_	_	_	_	_	_	TokenRange=152:154
32	de	de	ADP	ADP	_	34	case	_	_
33	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	34	det	_	_
34	supremo	supremo	NOUN	NOUN	_	31	nmod	_	TokenRange=155:162
35	a	o	DET	DET	_	36	det	_	TokenRange=163:164
36	ministra	_	NOUN	NOUN	_	21	obj	_	TokenRange=165:173
37	carmen	carmen	NOUN	NOUN	_	36	appos	_	TokenRange=174:180
38	lucia	lucia	ADJ	ADJ	_	37	flat	_	TokenRange=181:186
39	enquanto	_	CCONJ	CONJ	_	42	mark	_	TokenRange=187:195
40	o	o	DET	DET	_	41	det	_	TokenRange=196:197
41	musico	musico	NOUN	NOUN	_	42	nsubj	_	TokenRange=198:204
42	cantava	cantar	VERB	VERB	_	21	advcl	_	TokenRange=205:212
43	lula	_	NOUN	NOUN	_	42	obj	_	TokenRange=213:217
44	fernando	fernando	NOUN	NOUN	_	42	nsubj	_	TokenRange=218:226
45	pimentel	pimentel	ADJ	ADJ	_	44	amod	_	TokenRange=227:235
46	governador	governador	NOUN	NOUN	_	44	appos	_	TokenRange=236:246
47	de	de	ADP	ADP	_	48	case	_	TokenRange=247:249
48	mg	mg	NOUN	NOUN	_	46	nmod	_	TokenRange=250:252
49	e	e	CCONJ	CONJ	_	50	cc	_	TokenRange=253:254
50	jose	jose	NOUN	NOUN	_	46	conj	_	TokenRange=255:259
51	sarney	sarney	NOUN	NOUN	_	50	flat	_	TokenRange=260:266
52	se	_	PRON	PRON	_	53	obj	_	TokenRange=267:269
53	deleitavam	deleitar	VERB	VERB	_	42	conj	_	TokenRange=270:280
54-55	na	_	_	_	_	_	_	_	TokenRange=281:283
54	em	em	ADP	ADP	_	56	case	_	_
55	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	56	det	_	_
56	melodia	melodia	NOUN	NOUN	_	53	nmod	_	TokenRange=284:291
57	e	e	CCONJ	CONJ	_	63	cc	_	TokenRange=292:293
58	uma	um	DET	DET	_	59	det	_	TokenRange=294:297
59	afronta	afronta	NOUN	NOUN	_	63	nsubj	_	TokenRange=298:305
60-61	ao	_	_	_	_	_	_	_	TokenRange=306:308
60	a	a	ADP	ADP	_	62	case	_	_
61	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	62	det	_	_
62	brasileiros	brasileiro	NOUN	NOUN	_	59	nmod	_	TokenRange=309:320
63	tem	ter	VERB	VERB	_	53	conj	_	TokenRange=321:324
64	mais	_	DET	DET	_	65	det	_	TokenRange=325:329
65	gente	gente	NOUN	NOUN	_	63	obj	_	TokenRange=330:335
66	envolvida	envolvido	ADJ	ADJ	_	65	amod	_	TokenRange=336:345
67	em	em	ADP	ADP	_	68	case	_	TokenRange=346:348
68	corrupcao	corrupcao	NOUN	NOUN	_	66	nmod	_	TokenRange=349:358
69-70	do	_	_	_	_	_	_	_	TokenRange=359:361
69	de	de	ADP	ADP	_	72	case	_	_
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	72	det	_	_
71	que	_	ADP	ADP	_	69	fixed	_	TokenRange=362:365
72	convidados	convidado	NOUN	NOUN	_	63	nmod	_	TokenRange=366:376
73	alem	alem	ADV	ADV	_	72	advmod	_	TokenRange=377:381
74	de	de	ADP	ADP	_	75	case	_	TokenRange=382:384
75	lula	lula	NOUN	NOUN	_	73	nmod	_	TokenRange=385:389
76	outros	_	DET	DET	_	78	det	_	TokenRange=390:396
77	18	_	NUM	NUM	NumType=Card	78	nummod	_	TokenRange=397:399
78	politicos	politico	NOUN	NOUN	_	83	nsubj	_	TokenRange=400:409
79	citados	citar	VERB	VERB	_	78	acl	_	TokenRange=410:417
80-81	na	_	_	_	_	_	_	_	TokenRange=418:420
80	em	em	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	lavajato	lavajato	NOUN	NOUN	_	79	nmod	_	TokenRange=421:429
83	participam	participar	VERB	VERB	_	63	conj	_	TokenRange=430:440
84	neste	_	ADP	ADP	_	86	case	_	TokenRange=441:446
85	exato	exato	ADJ	ADJ	_	86	amod	_	TokenRange=447:452
86	momento	momento	NOUN	NOUN	_	83	nmod	_	TokenRange=453:460
87-88	da	_	_	_	_	_	_	_	TokenRange=461:463
87	de	de	ADP	ADP	_	89	case	_	_
88	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	89	det	_	_
89	cerimonia	cerimonia	NOUN	NOUN	_	86	nmod	_	TokenRange=464:473
90	ahhh	_	NOUN	NOUN	_	83	nsubj	_	TokenRange=474:478
91	michel	_	ADJ	ADJ	_	92	amod	_	TokenRange=479:485
92	temer	temer	NOUN	NOUN	_	90	flat	_	TokenRange=486:491
93	renan	_	NOUN	NOUN	_	90	appos	_	TokenRange=492:497
94	calheiros	calheiro	NOUN	NOUN	_	93	flat	_	TokenRange=498:507
95	e	e	CCONJ	CONJ	_	97	cc	_	TokenRange=508:509
96	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	97	det	_	TokenRange=510:511
97	presidente	presidente	NOUN	NOUN	_	93	conj	_	TokenRange=512:522
98-99	da	_	_	_	_	_	_	_	TokenRange=523:525
98	de	de	ADP	ADP	_	100	case	_	_
99	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	100	det	_	_
100	camara	camara	NOUN	NOUN	_	97	nmod	_	TokenRange=526:532
101	tambem	tambem	ADV	ADV	_	102	advmod	_	TokenRange=533:539
102	estao	_	VERB	VERB	_	63	conj	_	TokenRange=540:545
103	presentes	presente	ADJ	ADJ	_	102	xcomp	_	TokenRange=546:555
104	leia	ler	VERB	VERB	_	102	parataxis	_	TokenRange=556:560
105	tambem	tambem	ADV	ADV	_	104	advmod	_	TokenRange=561:567

