# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = assista o video do exato momento da invasao na camara a tv camara cortou a transmissao a camara realizava sessao nao deliberativa na tarde desta quartafeira quando manifestantes e segurancas entraram em confronto a porta principal de acesso ao plenario foi quebrada a tv camara suspendeu imediatamente a transmissao ao vivo do plenario da camara jornalistas foram retirados do local por questoes de seguranca o portal antagonista disse que conversou com o presidente rodrigo maia que confirmou o seguinte quem participou da baderna sera preso isso nao pode voltar a ocorrer serao fichados e responderao a processo video 2
1	assista	assistir	VERB	VERB	_	0	root	_	TokenRange=0:7
89	quem	_	PRON	PRON	_	90	nsubj	_	TokenRange=505:509
90	participou	participar	VERB	VERB	_	88	acl:relcl	_	TokenRange=510:520
91-92	da	_	_	_	_	_	_	_	TokenRange=521:523
91	de	de	ADP	ADP	_	93	case	_	_
92	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	93	det	_	_
93	baderna	baderna	NOUN	NOUN	_	90	nmod	_	TokenRange=524:531
94	sera	_	AUX	AUX	_	95	aux:pass	_	TokenRange=532:536
95	preso	_	VERB	VERB	_	88	acl:relcl	_	TokenRange=537:542
96	isso	_	PRON	PRON	_	101	nsubj	_	TokenRange=543:547
97	nao	nao	ADV	ADV	Polarity=Neg	101	advmod	_	TokenRange=548:551
98	pode	_	AUX	AUX	_	101	aux	_	TokenRange=552:556
99	voltar	voltar	AUX	AUX	_	101	aux	_	TokenRange=557:563
100	a	_	ADP	ADP	_	101	mark	_	TokenRange=564:565
101	ocorrer	ocorrer	VERB	VERB	_	95	conj	_	TokenRange=566:573
102	serao	_	AUX	AUX	_	103	aux:pass	_	TokenRange=574:579
103	fichados	fichar	VERB	VERB	_	77	ccomp	_	TokenRange=580:588
104	e	e	CCONJ	CONJ	_	105	cc	_	TokenRange=589:590
105	responderao	responder	VERB	VERB	_	103	conj	_	TokenRange=591:602
106	a	_	ADP	ADP	_	107	case	_	TokenRange=603:604
107	processo	processo	NOUN	NOUN	_	105	nmod	_	TokenRange=605:613
108	video	video	NOUN	NOUN	_	107	appos	_	TokenRange=614:619
109	2	_	NUM	NUM	NumType=Card	108	appos	_	TokenRange=620:621

