# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = estou convencido de que ele me gravou disse gilmar mendes sobre joesley batista o ministro do stf disse a revista veja que esta quase certo de que joesley batista o gravou durante um encontro ocorrido em abril deste ano mendes recebeu o empresario na sede de seu instituto o idp na capital federal segundo ele desconfia a gravacao pode ter ocorrido porque joesley insistiu muito para ter uma conversa privada com o magistrado o encontro ocorreu 3 semanas depois que o sr friboi gravou a conversa com michel temer acho que ele gravou a conversa sim ele insistiu muito para marcar o encontro eles joesley batista e ricardo saud disseram que queriam destruir o supremo ne disse o ministro a revista mendes ainda destacou que a pauta do encontro foi um processo do agronegocio que seria julgado pelo stf ele confirmou que votou contra os interesses da jbs no tal processo foi um dialogo absolutamente normal nao me preocupo com isso encerrou gilmar o sr friboi disse hoje 11 a pf que possui diversos audios comprometedores que estao guardados nos eua e certo que ele ira usar essas armas para negociar seu bilhete de saida da prisao
1	estou	estar	VERB	VERB	_	0	root	_	TokenRange=0:5
44	empresario	empresario	NOUN	NOUN	_	42	obj	_	TokenRange=237:247
45-46	na	_	_	_	_	_	_	_	TokenRange=248:250
45	em	em	ADP	ADP	_	47	case	_	_
46	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	47	det	_	_
47	sede	sede	NOUN	NOUN	_	42	nmod	_	TokenRange=251:255
48	de	de	ADP	ADP	_	50	case	_	TokenRange=256:258
49	seu	_	DET	DET	_	50	det:poss	_	TokenRange=259:262
50	instituto	instituto	NOUN	NOUN	_	47	nmod	_	TokenRange=263:272
51	o	o	DET	DET	_	52	det	_	TokenRange=273:274
52	idp	_	NOUN	NOUN	_	50	appos	_	TokenRange=275:278
53-54	na	_	_	_	_	_	_	_	TokenRange=279:281
53	em	em	ADP	ADP	_	55	case	_	_
54	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	55	det	_	_
55	capital	capital	NOUN	NOUN	_	47	nmod	_	TokenRange=282:289
56	federal	federal	ADJ	ADJ	_	55	amod	_	TokenRange=290:297
57	segundo	_	CCONJ	CONJ	_	59	mark	_	TokenRange=298:305
58	ele	_	PRON	PRON	_	59	nsubj	_	TokenRange=306:309
59	desconfia	desconfiar	VERB	VERB	_	42	advcl	_	TokenRange=310:319
60	a	o	DET	DET	_	61	det	_	TokenRange=320:321
61	gravacao	gravacao	NOUN	NOUN	_	59	nsubj	_	TokenRange=322:330
62	pode	_	AUX	AUX	_	64	aux	_	TokenRange=331:335
63	ter	ter	AUX	AUX	_	64	aux	_	TokenRange=336:339
64	ocorrido	ocorrer	VERB	VERB	_	59	ccomp	_	TokenRange=340:348
65	porque	_	CCONJ	CONJ	_	67	mark	_	TokenRange=349:355
66	joesley	_	PROPN	NOUN	_	67	nsubj	_	TokenRange=356:363
67	insistiu	insistir	VERB	VERB	_	64	advcl	_	TokenRange=364:372
68	muito	muito	ADV	ADV	_	67	advmod	_	TokenRange=373:378
69	para	_	ADP	ADP	_	70	mark	_	TokenRange=379:383
70	ter	ter	VERB	VERB	_	67	advcl	_	TokenRange=384:387
71	uma	um	DET	DET	_	72	det	_	TokenRange=388:391
72	conversa	_	NOUN	NOUN	_	70	obj	_	TokenRange=392:400
73	privada	privado	ADJ	ADJ	_	72	amod	_	TokenRange=401:408
74	com	com	ADP	ADP	_	76	case	_	TokenRange=409:412
75	o	o	DET	DET	_	76	det	_	TokenRange=413:414
76	magistrado	magistrado	NOUN	NOUN	_	72	nmod	_	TokenRange=415:425
77	o	o	DET	DET	_	78	det	_	TokenRange=426:427
78	encontro	encontro	NOUN	NOUN	_	79	nsubj	_	TokenRange=428:436
79	ocorreu	ocorrer	VERB	VERB	_	175	ccomp	_	TokenRange=437:444
80	3	_	NUM	NUM	NumType=Card	81	nummod	_	TokenRange=445:446
81	semanas	semana	NOUN	NOUN	_	79	nmod	_	TokenRange=447:454
82	depois	depois	ADV	ADV	_	87	mark	_	TokenRange=455:461
83	que	_	CCONJ	CONJ	_	82	fixed	_	TokenRange=462:465
84	o	o	DET	DET	_	85	det	_	TokenRange=466:467
85	sr	sr	NOUN	NOUN	_	87	nsubj	_	TokenRange=468:470
86	friboi	friboi	NOUN	NOUN	_	85	flat	_	TokenRange=471:477
87	gravou	gravar	VERB	VERB	_	79	advcl	_	TokenRange=478:484
88	a	o	DET	DET	_	89	det	_	TokenRange=485:486
89	conversa	_	NOUN	NOUN	_	87	obj	_	TokenRange=487:495
90	com	com	ADP	ADP	_	92	case	_	TokenRange=496:499
91	michel	_	DET	DET	_	92	det	_	TokenRange=500:506
92	temer	temer	NOUN	NOUN	_	87	nmod	_	TokenRange=507:512
93	acho	achar	VERB	VERB	_	79	advcl	_	TokenRange=513:517
94	que	que	CCONJ	CONJ	_	96	mark	_	TokenRange=518:521
95	ele	_	PRON	PRON	_	96	nsubj	_	TokenRange=522:525
96	gravou	gravar	VERB	VERB	_	93	ccomp	_	TokenRange=526:532
97	a	o	DET	DET	_	98	det	_	TokenRange=533:534
98	conversa	_	NOUN	NOUN	_	96	obj	_	TokenRange=535:543
99	sim	sim	ADV	ADV	_	101	advmod	_	TokenRange=544:547
100	ele	_	PRON	PRON	_	101	nsubj	_	TokenRange=548:551
101	insistiu	insistir	VERB	VERB	_	93	ccomp	_	TokenRange=552:560
102	muito	muito	ADV	ADV	_	101	advmod	_	TokenRange=561:566
103	para	_	ADP	ADP	_	104	mark	_	TokenRange=567:571
104	marcar	marcar	VERB	VERB	_	101	advcl	_	TokenRange=572:578
105	o	o	DET	DET	_	106	det	_	TokenRange=579:580
106	encontro	encontro	NOUN	NOUN	_	104	obj	_	TokenRange=581:589
107	eles	_	PRON	PRON	_	113	nsubj	_	TokenRange=590:594
108	joesley	_	NOUN	NOUN	_	196	nsubj	_	TokenRange=595:602
109	batista	batista	ADJ	ADJ	_	108	flat	_	TokenRange=603:610
110	e	e	CCONJ	CONJ	_	111	cc	_	TokenRange=611:612
111	ricardo	ricardo	NOUN	NOUN	_	108	conj	_	TokenRange=613:620
112	saud	_	NOUN	NOUN	_	111	flat	_	TokenRange=621:625
113	disseram	dizer	VERB	VERB	_	93	ccomp	_	TokenRange=626:634
114	que	que	CCONJ	CONJ	_	115	mark	_	TokenRange=635:638
115	queriam	querer	VERB	VERB	_	113	ccomp	_	TokenRange=639:646
116	destruir	destruir	VERB	VERB	_	115	xcomp	_	TokenRange=647:655
117	o	o	DET	DET	_	118	det	_	TokenRange=656:657
118	supremo	supremo	NOUN	NOUN	_	116	obj	_	TokenRange=658:665
119	ne	_	CCONJ	CONJ	_	120	mark	_	TokenRange=666:668
120	disse	dizer	VERB	VERB	_	196	advcl	_	TokenRange=669:674
121	o	o	DET	DET	_	122	det	_	TokenRange=675:676
122	ministro	ministro	NOUN	NOUN	_	120	nsubj	_	TokenRange=677:685
123	a	o	DET	DET	_	124	det	_	TokenRange=686:687
124	revista	revista	NOUN	NOUN	_	120	nsubj	_	TokenRange=688:695
125	mendes	_	ADJ	ADJ	_	124	appos	_	TokenRange=696:702
126	ainda	ainda	ADV	ADV	_	127	advmod	_	TokenRange=703:708
127	destacou	destacar	VERB	VERB	_	19	parataxis	_	TokenRange=709:717
128	que	que	CCONJ	CONJ	_	115	mark	_	TokenRange=718:721
129	a	o	DET	DET	_	130	det	_	TokenRange=722:723
130	pauta	pauta	NOUN	NOUN	_	42	nsubj	_	TokenRange=724:729
131-132	do	_	_	_	_	_	_	_	TokenRange=730:732
131	de	de	ADP	ADP	_	133	case	_	_
132	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	133	det	_	_
133	encontro	encontro	NOUN	NOUN	_	130	nmod	_	TokenRange=733:741
134	foi	_	AUX	AUX	_	136	cop	_	TokenRange=742:745
135	um	um	DET	DET	_	136	det	_	TokenRange=746:748
136	processo	processo	NOUN	NOUN	_	127	ccomp	_	TokenRange=749:757
137-138	do	_	_	_	_	_	_	_	TokenRange=758:760
137	de	de	ADP	ADP	_	139	case	_	_
138	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	139	det	_	_
139	agronegocio	agronegocio	NOUN	NOUN	_	136	nmod	_	TokenRange=761:772
140	que	_	PRON	PRON	_	142	nsubj:pass	_	TokenRange=773:776
141	seria	_	AUX	AUX	_	142	aux:pass	_	TokenRange=777:782
142	julgado	julgar	VERB	VERB	_	136	acl:relcl	_	TokenRange=783:790
143-144	pelo	_	_	_	_	_	_	_	TokenRange=791:795
143	por	por	ADP	ADP	_	145	case	_	_
144	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	145	det	_	_
145	stf	_	NOUN	NOUN	_	142	nmod	_	TokenRange=796:799
146	ele	_	PRON	PRON	_	147	nsubj	_	TokenRange=800:803
147	confirmou	confirmar	VERB	VERB	_	42	conj	_	TokenRange=804:813
148	que	que	CCONJ	CONJ	_	149	mark	_	TokenRange=814:817
149	votou	votar	VERB	VERB	_	147	ccomp	_	TokenRange=818:823
150	contra	_	ADP	ADP	_	152	case	_	TokenRange=824:830
151	os	o	DET	DET	_	152	det	_	TokenRange=831:833
152	interesses	interesse	NOUN	NOUN	_	149	nmod	_	TokenRange=834:844
153-154	da	_	_	_	_	_	_	_	TokenRange=845:847
153	de	de	ADP	ADP	_	155	case	_	_
154	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	155	det	_	_
155	jbs	_	NOUN	NOUN	_	152	nmod	_	TokenRange=848:851
156-157	no	_	_	_	_	_	_	_	TokenRange=852:854
156	em	em	ADP	ADP	_	159	case	_	_
157	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	159	det	_	_
158	tal	_	DET	DET	_	159	det	_	TokenRange=855:858
159	processo	processo	NOUN	NOUN	_	59	nmod	_	TokenRange=859:867
160	foi	_	AUX	AUX	_	162	cop	_	TokenRange=868:871
161	um	um	DET	DET	_	162	det	_	TokenRange=872:874
162	dialogo	dialogo	NOUN	NOUN	_	64	ccomp	_	TokenRange=875:882
163	absolutamente	absolutamente	ADV	ADV	_	164	advmod	_	TokenRange=883:896
164	normal	normal	ADJ	ADJ	_	162	amod	_	TokenRange=897:903
165	nao	nao	ADV	ADV	_	167	advmod	_	TokenRange=904:907
166	me	_	PRON	PRON	_	167	obj	_	TokenRange=908:910
167	preocupo	preocupar	VERB	VERB	_	162	acl:relcl	_	TokenRange=911:919
168	com	com	ADP	ADP	_	169	case	_	TokenRange=920:923
169	isso	_	PRON	PRON	_	167	nmod	_	TokenRange=924:928
170	encerrou	encerrar	VERB	VERB	_	162	conj	_	TokenRange=929:937
171	gilmar	gilmar	NOUN	NOUN	_	170	nsubj	_	TokenRange=938:944
172	o	o	DET	DET	_	173	det	_	TokenRange=945:946
173	sr	sr	NOUN	NOUN	_	175	nsubj	_	TokenRange=947:949
174	friboi	_	NOUN	NOUN	_	173	flat	_	TokenRange=950:956
175	disse	dizer	VERB	VERB	_	170	parataxis	_	TokenRange=957:962
176	hoje	hoje	ADV	ADV	_	175	advmod	_	TokenRange=963:967
177	11	_	NUM	NUM	NumType=Card	175	nmod	_	TokenRange=968:970
178	a	o	DET	DET	_	179	det	_	TokenRange=971:972
179	pf	_	NOUN	NOUN	_	177	nmod	_	TokenRange=973:975
180	que	que	CCONJ	CONJ	_	181	mark	_	TokenRange=976:979
181	possui	possuir	VERB	VERB	_	175	ccomp	_	TokenRange=980:986
182	diversos	_	DET	DET	_	183	det	_	TokenRange=987:995
183	audios	audio	NOUN	NOUN	_	181	obj	_	TokenRange=996:1002
184	comprometedores	comprometedor	ADJ	ADJ	_	183	amod	_	TokenRange=1003:1018
185	que	_	PRON	PRON	_	186	nsubj	_	TokenRange=1019:1022
186	estao	_	VERB	VERB	_	183	acl:relcl	_	TokenRange=1023:1028
187	guardados	guardado	ADJ	ADJ	_	186	xcomp	_	TokenRange=1029:1038
188-189	nos	_	_	_	_	_	_	_	TokenRange=1039:1042
188	em	em	ADP	ADP	_	190	case	_	_
189	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	190	det	_	_
190	eua	_	NOUN	NOUN	_	187	nmod	_	TokenRange=1043:1046
191	e	e	CCONJ	CONJ	_	192	cc	_	TokenRange=1047:1048
192	certo	certo	ADJ	ADJ	_	93	conj	_	TokenRange=1049:1054
193	que	que	CCONJ	CONJ	_	196	mark	_	TokenRange=1055:1058
194	ele	_	PRON	PRON	_	196	nsubj	_	TokenRange=1059:1062
195	ira	_	AUX	AUX	_	196	aux	_	TokenRange=1063:1066
196	usar	usar	VERB	VERB	_	93	ccomp	_	TokenRange=1067:1071
197	essas	_	DET	DET	_	198	det	_	TokenRange=1072:1077
198	armas	arma	NOUN	NOUN	_	196	obj	_	TokenRange=1078:1083
199	para	_	ADP	ADP	_	200	mark	_	TokenRange=1084:1088
200	negociar	negociar	VERB	VERB	_	196	advcl	_	TokenRange=1089:1097
201	seu	_	DET	DET	_	202	det:poss	_	TokenRange=1098:1101
202	bilhete	bilhete	NOUN	NOUN	_	200	obj	_	TokenRange=1102:1109
203	de	de	ADP	ADP	_	204	case	_	TokenRange=1110:1112
204	saida	saida	NOUN	NOUN	_	202	nmod	_	TokenRange=1113:1118
205-206	da	_	_	_	_	_	_	_	TokenRange=1119:1121
205	de	de	ADP	ADP	_	207	case	_	_
206	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	207	det	_	_
207	prisao	prisao	NOUN	NOUN	_	200	nmod	_	TokenRange=1122:1128

