# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = aos gritos de oh gloria e aleluia pastora evangelica quebra imagem de nossa senhora e divulga video intolerancia religiosa em um video filmado pelos proprios irmaos uma pastora evangelica aparece quebrando duas imagens de nossa senhora aparecida com uma marreta obreiros da igreja que estavam filmando a cena foram ao delirio com gritos de oh gloria nao aceito outro deus aleluia jesus abencoa senhor no final do video um homem diz esta quebrada em nome de jesus
1-2	aos	_	_	_	_	_	_	_	TokenRange=0:3
44-45	da	_	_	_	_	_	_	_	TokenRange=271:273
44	de	de	ADP	ADP	_	46	case	_	_
45	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	46	det	_	_
46	igreja	igreja	NOUN	NOUN	_	42	nmod	_	TokenRange=274:280
47	que	_	PRON	PRON	_	49	nsubj	_	TokenRange=281:284
48	estavam	estar	AUX	AUX	_	49	aux	_	TokenRange=285:292
49	filmando	filmar	VERB	VERB	_	42	acl:relcl	_	TokenRange=293:301
50	a	o	DET	DET	_	51	det	_	TokenRange=302:303
51	cena	cena	NOUN	NOUN	_	49	obj	_	TokenRange=304:308
52	foram	_	VERB	VERB	_	35	acl:relcl	_	TokenRange=309:314
53-54	ao	_	_	_	_	_	_	_	TokenRange=315:317
53	a	a	ADP	ADP	_	55	case	_	_
54	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	55	det	_	_
55	delirio	delirio	NOUN	NOUN	_	52	nmod	_	TokenRange=318:325
56	com	com	ADP	ADP	_	57	case	_	TokenRange=326:329
57	gritos	grito	NOUN	NOUN	_	55	nmod	_	TokenRange=330:336
58	de	de	ADP	ADP	_	60	case	_	TokenRange=337:339
59	oh	_	DET	DET	_	60	det	_	TokenRange=340:342
60	gloria	gloria	NOUN	NOUN	_	57	nmod	_	TokenRange=343:349
61	nao	nao	ADV	ADV	Polarity=Neg	62	advmod	_	TokenRange=350:353
62	aceito	aceitar	VERB	VERB	_	57	acl:relcl	_	TokenRange=354:360
63	outro	_	DET	DET	_	64	det	_	TokenRange=361:366
64	deus	deus	NOUN	NOUN	_	62	obj	_	TokenRange=367:371
65	aleluia	aleluia	NOUN	NOUN	_	62	obj	_	TokenRange=372:379
66	jesus	jesus	NOUN	NOUN	_	65	flat	_	TokenRange=380:385
67	abencoa	abencoar	VERB	VERB	_	52	parataxis	_	TokenRange=386:393
68	senhor	senhor	NOUN	NOUN	_	67	obj	_	TokenRange=394:400
69-70	no	_	_	_	_	_	_	_	TokenRange=401:403
69	em	em	ADP	ADP	_	71	case	_	_
70	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	71	det	_	_
71	final	final	NOUN	NOUN	_	77	nmod	_	TokenRange=404:409
72-73	do	_	_	_	_	_	_	_	TokenRange=410:412
72	de	de	ADP	ADP	_	74	case	_	_
73	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	74	det	_	_
74	video	video	NOUN	NOUN	_	71	nmod	_	TokenRange=413:418
75	um	um	DET	DET	_	76	det	_	TokenRange=419:421
76	homem	homem	NOUN	NOUN	_	77	nsubj	_	TokenRange=422:427
77	diz	dizer	VERB	VERB	_	52	parataxis	_	TokenRange=428:431
78	esta	_	PRON	PRON	_	77	obj	_	TokenRange=432:436
79	quebrada	quebrado	ADJ	ADJ	_	77	xcomp	_	TokenRange=437:445
80	em	em	ADP	ADP	_	81	case	_	TokenRange=446:448
81	nome	nome	NOUN	NOUN	_	77	nmod	_	TokenRange=449:453
82	de	de	ADP	ADP	_	83	case	_	TokenRange=454:456
83	jesus	jesus	NOUN	NOUN	_	81	nmod	_	TokenRange=457:462

