# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = mitou suzana vieira da lacrada em deputado lider que queria tirar selfie lider que lider traduzindo a frase acima artistas foram protestar contra a venda da amazonia suzana vieira alessandra negrini cristiane torloni paula lavigne luiz fernando guimaraes maria gadu e arlete sales estavam acompanhados de ativistas de organizacoes de defesa ambiental e lideres indigenas deputado quis tirar selfie o deputado baiano jose rocha lider do pr tentou tentou tentou tirar uma foto ao lado da atriz susana vieira e nao conseguiu um assessor do politico disse para a atriz assessor dona suzana poderia tirar uma foto aqui com o nosso lider suzana lider que lider lider de que e do psol da rede assessor nao e um lider do pr nosso partido e tranquilo suzana querido ninguem aqui e tranquilo so o presidente temer que deve tomar um frontal calmante maravilhoso suzana vieira lacrou
1	mitou	mitar	VERB	VERB	_	0	root	_	TokenRange=0:5
37	lavigne	_	NOUN	NOUN	_	36	flat	_	TokenRange=223:230
38	luiz	luiz	NOUN	NOUN	_	36	appos	_	TokenRange=231:235
39	fernando	fernando	NOUN	NOUN	_	36	flat	_	TokenRange=236:244
40	guimaraes	guimarae	NOUN	NOUN	_	41	flat	_	TokenRange=245:254
41	maria	maria	NOUN	NOUN	_	38	appos	_	TokenRange=255:260
42	gadu	_	NOUN	NOUN	_	41	flat	_	TokenRange=261:265
43	e	e	CCONJ	CONJ	_	44	cc	_	TokenRange=266:267
44	arlete	arlete	NOUN	NOUN	_	41	conj	_	TokenRange=268:274
45	sales	_	NOUN	NOUN	_	44	flat	_	TokenRange=275:280
46	estavam	estar	VERB	VERB	_	1	conj	_	TokenRange=281:288
47	acompanhados	acompanhado	ADJ	ADJ	_	46	xcomp	_	TokenRange=289:301
48	de	de	ADP	ADP	_	49	case	_	TokenRange=302:304
49	ativistas	ativista	NOUN	NOUN	_	47	nmod	_	TokenRange=305:314
50	de	de	ADP	ADP	_	51	case	_	TokenRange=315:317
51	organizacoes	organizacoe	NOUN	NOUN	_	49	nmod	_	TokenRange=318:330
52	de	de	ADP	ADP	_	53	case	_	TokenRange=331:333
53	defesa	_	NOUN	NOUN	_	51	nmod	_	TokenRange=334:340
54	ambiental	ambiental	ADJ	ADJ	_	53	amod	_	TokenRange=341:350
55	e	e	CCONJ	CONJ	_	56	cc	_	TokenRange=351:352
56	lideres	lider	NOUN	NOUN	_	51	conj	_	TokenRange=353:360
57	indigenas	indigena	ADJ	ADJ	_	56	amod	_	TokenRange=361:370
58	deputado	deputado	NOUN	NOUN	_	46	nsubj	_	TokenRange=371:379
59	quis	querer	VERB	VERB	_	137	acl:relcl	_	TokenRange=380:384
60	tirar	tirar	VERB	VERB	_	59	xcomp	_	TokenRange=385:390
61	selfie	selfie	NOUN	NOUN	_	60	obj	_	TokenRange=391:397
62	o	o	DET	DET	_	63	det	_	TokenRange=398:399
63	deputado	deputado	NOUN	NOUN	_	144	nsubj	_	TokenRange=400:408
64	baiano	baiano	ADJ	ADJ	_	63	amod	_	TokenRange=409:415
65	jose	jose	ADJ	ADJ	_	63	appos	_	TokenRange=416:420
66	rocha	rocha	NOUN	NOUN	_	65	flat	_	TokenRange=421:426
67	lider	lider	NOUN	NOUN	_	154	nsubj	_	TokenRange=427:432
68-69	do	_	_	_	_	_	_	_	TokenRange=433:435
68	de	de	ADP	ADP	_	70	case	_	_
69	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	70	det	_	_
70	pr	_	NOUN	NOUN	_	67	nmod	_	TokenRange=436:438
71	tentou	tentar	VERB	VERB	_	144	ccomp	_	TokenRange=439:445
72	tentou	tentar	VERB	VERB	_	154	xcomp	_	TokenRange=446:452
73	tentou	tentar	VERB	VERB	_	72	xcomp	_	TokenRange=453:459
74	tirar	tirar	VERB	VERB	_	73	xcomp	_	TokenRange=460:465
75	uma	um	DET	DET	_	76	det	_	TokenRange=466:469
76	foto	foto	NOUN	NOUN	_	74	obj	_	TokenRange=470:474
77-78	ao	_	_	_	_	_	_	_	TokenRange=475:477
77	a	a	ADP	ADP	_	79	case	_	_
78	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	79	det	_	_
79	lado	lado	NOUN	NOUN	_	76	nmod	_	TokenRange=478:482
80-81	da	_	_	_	_	_	_	_	TokenRange=483:485
80	de	de	ADP	ADP	_	82	case	_	_
81	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	82	det	_	_
82	atriz	_	NOUN	NOUN	_	79	nmod	_	TokenRange=486:491
83	susana	susano	ADJ	ADJ	_	82	amod	_	TokenRange=492:498
84	vieira	vieiro	ADJ	ADJ	_	82	amod	_	TokenRange=499:505
85	e	e	CCONJ	CONJ	_	87	cc	_	TokenRange=506:507
86	nao	nao	ADV	ADV	Polarity=Neg	87	advmod	_	TokenRange=508:511
87	conseguiu	conseguir	VERB	VERB	_	23	conj	_	TokenRange=512:521
88	um	um	DET	DET	_	89	det	_	TokenRange=522:524
89	assessor	assessor	NOUN	NOUN	_	87	obj	_	TokenRange=525:533
90-91	do	_	_	_	_	_	_	_	TokenRange=534:536
90	de	de	ADP	ADP	_	92	case	_	_
91	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	92	det	_	_
92	politico	politico	NOUN	NOUN	_	89	nmod	_	TokenRange=537:545
93	disse	dizer	VERB	VERB	_	87	parataxis	_	TokenRange=546:551
94	para	para	ADP	ADP	_	96	case	_	TokenRange=552:556
95	a	o	DET	DET	_	96	det	_	TokenRange=557:558
96	atriz	_	NOUN	NOUN	_	93	nmod	_	TokenRange=559:564
97	assessor	assessor	NOUN	NOUN	_	96	appos	_	TokenRange=565:573
98	dona	_	NOUN	NOUN	_	97	appos	_	TokenRange=574:578
99	suzana	suzano	NOUN	NOUN	_	98	flat	_	TokenRange=579:585
100	poderia	poder	AUX	AUX	_	101	aux	_	TokenRange=586:593
101	tirar	tirar	VERB	VERB	_	96	acl:relcl	_	TokenRange=594:599
102	uma	um	DET	DET	_	103	det	_	TokenRange=600:603
103	foto	foto	NOUN	NOUN	_	101	obj	_	TokenRange=604:608
104	aqui	aqui	ADV	ADV	_	103	advmod	_	TokenRange=609:613
105	com	com	ADP	ADP	_	108	case	_	TokenRange=614:617
106	o	o	DET	DET	_	108	det	_	TokenRange=618:619
107	nosso	_	DET	DET	_	108	det:poss	_	TokenRange=620:625
108	lider	lider	NOUN	NOUN	_	104	nmod	_	TokenRange=626:631
109	suzana	suzano	ADJ	ADJ	_	108	amod	_	TokenRange=632:638
110	lider	lider	NOUN	NOUN	_	108	appos	_	TokenRange=639:644
111	que	_	PRON	PRON	_	112	nsubj	_	TokenRange=645:648
112	lider	lider	NOUN	NOUN	_	32	appos	_	TokenRange=649:654
113	lider	lider	NOUN	NOUN	_	112	appos	_	TokenRange=655:660
114	de	_	ADP	ADP	_	115	case	_	TokenRange=661:663
115	que	_	CCONJ	CONJ	_	113	nmod	_	TokenRange=664:667
116	e	e	CCONJ	CONJ	_	119	cc	_	TokenRange=668:669
117-118	do	_	_	_	_	_	_	_	TokenRange=670:672
117	de	de	ADP	ADP	_	119	case	_	_
118	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	119	det	_	_
119	psol	_	NOUN	NOUN	_	115	conj	_	TokenRange=673:677
120-121	da	_	_	_	_	_	_	_	TokenRange=678:680
120	de	de	ADP	ADP	_	122	case	_	_
121	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	122	det	_	_
122	rede	rede	NOUN	NOUN	_	119	nmod	_	TokenRange=681:685
123	assessor	assessor	NOUN	NOUN	_	122	appos	_	TokenRange=686:694
124	nao	nao	ADV	ADV	Polarity=Neg	127	advmod	_	TokenRange=695:698
125	e	e	CCONJ	CONJ	_	127	cc	_	TokenRange=699:700
126	um	um	DET	DET	_	127	det	_	TokenRange=701:703
127	lider	lider	NOUN	NOUN	_	101	conj	_	TokenRange=704:709
128-129	do	_	_	_	_	_	_	_	TokenRange=710:712
128	de	de	ADP	ADP	_	130	case	_	_
129	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	130	det	_	_
130	pr	_	NOUN	NOUN	_	127	nmod	_	TokenRange=713:715
131	nosso	_	DET	DET	_	132	det:poss	_	TokenRange=716:721
132	partido	partido	NOUN	NOUN	_	127	nsubj	_	TokenRange=722:729
133	e	e	CCONJ	CONJ	_	134	cc	_	TokenRange=730:731
134	tranquilo	tranquilo	ADJ	ADJ	_	132	conj	_	TokenRange=732:741
135	suzana	suzana	ADJ	ADJ	_	127	amod	_	TokenRange=742:748
136	querido	querido	ADJ	ADJ	_	135	amod	_	TokenRange=749:756
137	ninguem	_	PRON	PRON	_	135	appos	_	TokenRange=757:764
138	aqui	aqui	ADV	ADV	_	137	advmod	_	TokenRange=765:769
139	e	e	CCONJ	CONJ	_	140	cc	_	TokenRange=770:771
140	tranquilo	tranquilo	ADJ	ADJ	_	138	conj	_	TokenRange=772:781
141	so	_	CCONJ	CONJ	_	144	mark	_	TokenRange=782:784
142	o	o	DET	DET	_	143	det	_	TokenRange=785:786
143	presidente	presidente	NOUN	NOUN	_	144	nsubj	_	TokenRange=787:797
144	temer	temer	VERB	VERB	_	137	acl:relcl	_	TokenRange=798:803
145	que	que	CCONJ	CONJ	_	147	mark	_	TokenRange=804:807
146	deve	dever	AUX	AUX	_	147	aux	_	TokenRange=808:812
147	tomar	tomar	VERB	VERB	_	144	ccomp	_	TokenRange=813:818
148	um	um	DET	DET	_	152	det	_	TokenRange=819:821
149	frontal	frontal	ADJ	ADJ	_	147	obj	_	TokenRange=822:829
150	calmante	calmante	ADJ	ADJ	_	147	obj	_	TokenRange=830:838
151	maravilhoso	maravilhoso	ADJ	ADJ	_	152	amod	_	TokenRange=839:850
152	suzana	suzana	NOUN	NOUN	_	154	nsubj	_	TokenRange=851:857
153	vieira	vieira	NOUN	NOUN	_	152	flat	_	TokenRange=858:864
154	lacrou	lacrar	VERB	VERB	_	144	ccomp	_	TokenRange=865:871

