# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = temer sem creme de avela planalto decide cancelar lanchinhos de luxo no aviao presidencial o governo federal decidiu na tarde de hoje 27 cancelar a licitacao para a compra de alimentos que abasteceriam os avioes da presidencia da republica entre os produtos que iriam lambuzar a nata da politica brasileira havia 500 potes de sorvete tipo premium e cremes de avela todos importados a informacao foi confirmada pelo reporter da globo news gerson camarotti que conversou diretamente com eliseu padilha ministrochefe da casa civil padilha argumentou que desde 2009 nao havia licitacao para esse tipo de gasto a maioria dos produtos que estava na lista continha precos bem acima dos praticados no varejo alem de serem totalmente superfluos falando em superfluo o aviao presidencial tambem e algo dispensavel em tempos de crise porque nao
1	temer	temer	VERB	VERB	_	7	csubj	_	TokenRange=0:5
113-114	na	_	_	_	_	_	_	_	TokenRange=640:642
113	em	em	ADP	ADP	_	115	case	_	_
114	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	115	det	_	_
115	lista	lista	NOUN	NOUN	_	112	nmod	_	TokenRange=643:648
116	continha	conter	VERB	VERB	_	94	ccomp	_	TokenRange=649:657
117	precos	preco	NOUN	NOUN	_	116	obj	_	TokenRange=658:664
118	bem	bem	ADV	ADV	_	119	advmod	_	TokenRange=665:668
119	acima	acima	ADV	ADV	_	117	advmod	_	TokenRange=669:674
120-121	dos	_	_	_	_	_	_	_	TokenRange=675:678
120	de	de	ADP	ADP	_	122	case	_	_
121	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	122	det	_	_
122	praticados	praticar	NOUN	NOUN	_	119	nmod	_	TokenRange=679:689
123-124	no	_	_	_	_	_	_	_	TokenRange=690:692
123	em	em	ADP	ADP	_	125	case	_	_
124	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	125	det	_	_
125	varejo	varejo	NOUN	NOUN	_	122	nmod	_	TokenRange=693:699
126	alem	alem	ADV	ADV	_	116	advmod	_	TokenRange=700:704
127	de	_	ADP	ADP	_	128	mark	_	TokenRange=705:707
128	serem	ser	VERB	VERB	_	126	nmod	_	TokenRange=708:713
129	totalmente	totalmente	ADV	ADV	_	130	advmod	_	TokenRange=714:724
130	superfluos	superfluo	ADJ	ADJ	_	128	xcomp	_	TokenRange=725:735
131	falando	falar	VERB	VERB	_	128	acl	_	TokenRange=736:743
132	em	em	ADP	ADP	_	133	case	_	TokenRange=744:746
133	superfluo	superfluo	NOUN	NOUN	_	131	nmod	_	TokenRange=747:756
134	o	o	DET	DET	_	135	det	_	TokenRange=757:758
135	aviao	aviao	NOUN	NOUN	_	131	nsubj	_	TokenRange=759:764
136	presidencial	presidencial	ADJ	ADJ	_	135	amod	_	TokenRange=765:777
137	tambem	tambem	ADV	ADV	_	139	advmod	_	TokenRange=778:784
138	e	e	CCONJ	CONJ	_	139	cc	_	TokenRange=785:786
139	algo	_	PRON	PRON	_	58	conj	_	TokenRange=787:791
140	dispensavel	dispensavel	ADJ	ADJ	_	139	amod	_	TokenRange=792:803
141	em	em	ADP	ADP	_	142	case	_	TokenRange=804:806
142	tempos	tempo	NOUN	NOUN	_	140	nmod	_	TokenRange=807:813
143	de	de	ADP	ADP	_	144	case	_	TokenRange=814:816
144	crise	crise	NOUN	NOUN	_	142	nmod	_	TokenRange=817:822
145	porque	_	CCONJ	CONJ	_	146	mark	_	TokenRange=823:829
146	nao	nao	ADV	ADV	Polarity=Neg	139	advmod	_	TokenRange=830:833

