# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = baixaria senadores do pt tumultuam sessao e agem como criancas no jardim de infancia esta dando nojo de acompanhar a comissao do impeachment que ocorre agora no senado os senadores petistas lindberg farias vanessa graziotin e gleisi hoffmann nao deixam ninguem falar sao mal educados despreparados e so estao ali para tumultuar o andamento do processo durante varios momentos podemos ver o sorriso sarcastico da senadora gleisi ela se diverte com a confusao esta se lixando para o futuro do pais parecem criancas do maternal descontroladas as criancas que me desculpem pela comparacao a sorte e que a professora ana amelia que esta comandando a sessao neste momento sabe muito bem como lidar com as criancinhas rebeldes assista ao vivo leia tambem
1	baixaria	baixar	VERB	VERB	_	0	root	_	TokenRange=0:8
45	ninguem	_	PRON	PRON	_	46	obj	_	TokenRange=253:260
46	falar	falar	VERB	VERB	_	44	ccomp	_	TokenRange=261:266
47	sao	_	VERB	VERB	_	6	conj	_	TokenRange=267:270
48	mal	mal	ADV	ADV	_	49	advmod	_	TokenRange=271:274
49	educados	educado	ADJ	ADJ	_	47	xcomp	_	TokenRange=275:283
50	despreparados	despreparado	ADJ	ADJ	_	47	xcomp	_	TokenRange=284:297
51	e	e	CCONJ	CONJ	_	53	cc	_	TokenRange=298:299
52	so	so	ADV	ADV	_	53	advmod	_	TokenRange=300:302
53	estao	_	VERB	VERB	_	47	conj	_	TokenRange=303:308
54	ali	ali	ADV	ADV	_	53	advmod	_	TokenRange=309:312
55	para	_	ADP	ADP	_	56	mark	_	TokenRange=313:317
56	tumultuar	tumultuar	VERB	VERB	_	53	advcl	_	TokenRange=318:327
57	o	o	DET	DET	_	58	det	_	TokenRange=328:329
58	andamento	andamento	NOUN	NOUN	_	56	obj	_	TokenRange=330:339
59-60	do	_	_	_	_	_	_	_	TokenRange=340:342
59	de	de	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	processo	processo	NOUN	NOUN	_	58	nmod	_	TokenRange=343:351
62	durante	_	ADP	ADP	_	64	case	_	TokenRange=352:359
63	varios	_	DET	DET	_	64	det	_	TokenRange=360:366
64	momentos	momento	NOUN	NOUN	_	56	nmod	_	TokenRange=367:375
65	podemos	_	AUX	AUX	_	66	aux	_	TokenRange=376:383
66	ver	ver	VERB	VERB	_	47	conj	_	TokenRange=384:387
67	o	o	DET	DET	_	68	det	_	TokenRange=388:389
68	sorriso	sorriso	NOUN	NOUN	_	66	obj	_	TokenRange=390:397
69	sarcastico	sarcastico	ADJ	ADJ	_	68	amod	_	TokenRange=398:408
70-71	da	_	_	_	_	_	_	_	TokenRange=409:411
70	de	de	ADP	ADP	_	72	case	_	_
71	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	72	det	_	_
72	senadora	senador	NOUN	NOUN	_	68	nmod	_	TokenRange=412:420
73	gleisi	gleisi	ADJ	ADJ	_	72	amod	_	TokenRange=421:427
74	ela	_	PRON	PRON	_	76	nsubj	_	TokenRange=428:431
75	se	_	PRON	PRON	_	76	obj	_	TokenRange=432:434
76	diverte	divertir	VERB	VERB	_	68	acl:relcl	_	TokenRange=435:442
77	com	com	ADP	ADP	_	79	case	_	TokenRange=443:446
78	a	o	DET	DET	_	79	det	_	TokenRange=447:448
79	confusao	confusao	NOUN	NOUN	_	76	nmod	_	TokenRange=449:457
80	esta	_	PRON	PRON	_	82	nsubj	_	TokenRange=458:462
81	se	_	PRON	PRON	_	82	obj	_	TokenRange=463:465
82	lixando	lixar	VERB	VERB	_	76	acl	_	TokenRange=466:473
83	para	para	ADP	ADP	_	85	case	_	TokenRange=474:478
84	o	o	DET	DET	_	85	det	_	TokenRange=479:480
85	futuro	futuro	NOUN	NOUN	_	82	nmod	_	TokenRange=481:487
86-87	do	_	_	_	_	_	_	_	TokenRange=488:490
86	de	de	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	pais	_	NOUN	NOUN	_	85	nmod	_	TokenRange=491:495
89	parecem	parecer	VERB	VERB	_	66	parataxis	_	TokenRange=496:503
90	criancas	crianca	NOUN	NOUN	_	89	nsubj	_	TokenRange=504:512
91-92	do	_	_	_	_	_	_	_	TokenRange=513:515
91	de	de	ADP	ADP	_	93	case	_	_
92	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	93	det	_	_
93	maternal	maternal	NOUN	NOUN	_	90	nmod	_	TokenRange=516:524
94	descontroladas	descontrolado	ADJ	ADJ	_	90	amod	_	TokenRange=525:539
95	as	o	DET	DET	_	96	det	_	TokenRange=540:542
96	criancas	crianca	NOUN	NOUN	_	89	nsubj	_	TokenRange=543:551
97	que	_	PRON	PRON	_	99	nsubj	_	TokenRange=552:555
98	me	_	PRON	PRON	_	99	obj	_	TokenRange=556:558
99	desculpem	desculpar	VERB	VERB	_	96	acl:relcl	_	TokenRange=559:568
100-101	pela	_	_	_	_	_	_	_	TokenRange=569:573
100	por	por	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	comparacao	comparacao	NOUN	NOUN	_	99	nmod	_	TokenRange=574:584
103	a	_	ADP	ADP	_	104	case	_	TokenRange=585:586
104	sorte	sorte	NOUN	NOUN	_	102	nmod	_	TokenRange=587:592
105	e	e	CCONJ	CONJ	_	118	cc	_	TokenRange=593:594
106	que	que	CCONJ	CONJ	_	118	mark	_	TokenRange=595:598
107	a	o	DET	DET	_	108	det	_	TokenRange=599:600
108	professora	professor	NOUN	NOUN	_	118	nsubj	_	TokenRange=601:611
109	ana	_	NOUN	NOUN	_	108	appos	_	TokenRange=612:615
110	amelia	amelia	NOUN	NOUN	_	109	flat	_	TokenRange=616:622
111	que	_	PRON	PRON	_	113	nsubj	_	TokenRange=623:626
112	esta	_	AUX	AUX	_	113	aux	_	TokenRange=627:631
113	comandando	comandar	VERB	VERB	_	108	acl:relcl	_	TokenRange=632:642
114	a	o	DET	DET	_	115	det	_	TokenRange=643:644
115	sessao	sessao	NOUN	NOUN	_	113	obj	_	TokenRange=645:651
116	neste	_	ADP	ADP	_	117	case	_	TokenRange=652:657
117	momento	momento	NOUN	NOUN	_	113	nmod	_	TokenRange=658:665
118	sabe	saber	VERB	VERB	_	89	conj	_	TokenRange=666:670
119	muito	muito	ADV	ADV	_	120	advmod	_	TokenRange=671:676
120	bem	bem	ADV	ADV	_	118	advmod	_	TokenRange=677:680
121	como	como	ADV	ADV	_	122	advmod	_	TokenRange=681:685
122	lidar	lidar	VERB	VERB	_	118	csubj	_	TokenRange=686:691
123	com	com	ADP	ADP	_	125	case	_	TokenRange=692:695
124	as	o	DET	DET	_	125	det	_	TokenRange=696:698
125	criancinhas	_	NOUN	NOUN	_	122	nmod	_	TokenRange=699:710
126	rebeldes	rebelde	ADJ	ADJ	_	125	amod	_	TokenRange=711:719
127	assista	assistir	VERB	VERB	_	118	ccomp	_	TokenRange=720:727
128-129	ao	_	_	_	_	_	_	_	TokenRange=728:730
128	a	a	ADP	ADP	_	130	case	_	_
129	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	130	det	_	_
130	vivo	vivo	NOUN	ADJ	_	127	nmod	_	TokenRange=731:735
131	leia	_	VERB	VERB	_	127	obj	_	TokenRange=736:740
132	tambem	tambem	ADV	ADV	_	127	advmod	_	TokenRange=741:747

