# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = deu ruim pedro correa cita lula e seu advogado em audiencia com sergio moro pedro correa exdeputado pelo pp criou uma sinuca de bico para o advogado jose roberto batochio batochio alem de ser advogado de lula tambem e exdeputado em seu depoimento a sergio moro no caso do triplex de lula ele disse fomos ao presidente lula que era candidato a reeleicao quem faz politica o dr jose roberto batochio sabe o que e isso meu companheiro na camara dos deputados fomos membros da mesma comissao ele sabe que quando chega na eleicao voce procura o candidato majoritario para fazer a despesa do partido e como o candidato majoritario era o lula fomos la atras de dinheiro de acordo com correa lula teria dito voces nao podem reclamar porque o paulinho paulo roberto costa me disse que voces estao muito bem amparados financeiramente e vao fazer uma eleicao tranquila veja a partir do minuto 220 do video do antagonista claudio dantas
1	deu	dar	VERB	VERB	_	0	root	_	TokenRange=0:3
50	caso	caso	NOUN	NOUN	_	134	nmod	_	TokenRange=264:268
51-52	do	_	_	_	_	_	_	_	TokenRange=269:271
51	de	de	ADP	ADP	_	53	case	_	_
52	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	53	det	_	_
53	triplex	_	NOUN	NOUN	_	50	nmod	_	TokenRange=272:279
54	de	de	ADP	ADP	_	55	case	_	TokenRange=280:282
55	lula	lula	NOUN	NOUN	_	53	nmod	_	TokenRange=283:287
56	ele	_	PRON	PRON	_	57	nsubj	_	TokenRange=288:291
57	disse	dizer	VERB	VERB	_	21	parataxis	_	TokenRange=292:297
58	fomos	_	VERB	VERB	_	57	ccomp	_	TokenRange=298:303
59-60	ao	_	_	_	_	_	_	_	TokenRange=304:306
59	a	a	ADP	ADP	_	61	case	_	_
60	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	61	det	_	_
61	presidente	presidente	NOUN	NOUN	_	58	iobj	_	TokenRange=307:317
62	lula	lula	ADJ	ADJ	_	61	appos	_	TokenRange=318:322
63	que	que	CCONJ	CONJ	_	65	mark	_	TokenRange=323:326
64	era	_	AUX	AUX	_	65	cop	_	TokenRange=327:330
65	candidato	candidato	NOUN	NOUN	_	58	ccomp	_	TokenRange=331:340
66	a	_	ADP	ADP	_	67	case	_	TokenRange=341:342
67	reeleicao	reeleicao	NOUN	NOUN	_	65	nmod	_	TokenRange=343:352
68	quem	_	PRON	PRON	_	69	nsubj	_	TokenRange=353:357
69	faz	fazer	VERB	VERB	_	65	csubj	_	TokenRange=358:361
70	politica	_	NOUN	NOUN	_	69	obj	_	TokenRange=362:370
71	o	o	DET	DET	_	72	det	_	TokenRange=371:372
72	dr	dr	NOUN	NOUN	_	149	nsubj	_	TokenRange=373:375
73	jose	jose	NOUN	NOUN	_	72	appos	_	TokenRange=376:380
74	roberto	roberto	NOUN	NOUN	_	73	flat	_	TokenRange=381:388
75	batochio	_	NOUN	NOUN	_	73	flat	_	TokenRange=389:397
76	sabe	saber	VERB	VERB	_	58	ccomp	_	TokenRange=398:402
77	o	o	DET	DET	_	78	det	_	TokenRange=403:404
78	que	_	PRON	PRON	_	104	obj	_	TokenRange=405:408
79	e	e	CCONJ	CONJ	_	80	cc	_	TokenRange=409:410
80	isso	_	PRON	PRON	_	78	conj	_	TokenRange=411:415
81	meu	_	DET	DET	_	82	det:poss	_	TokenRange=416:419
82	companheiro	companheiro	NOUN	NOUN	_	78	conj	_	TokenRange=420:431
83-84	na	_	_	_	_	_	_	_	TokenRange=432:434
83	em	em	ADP	ADP	_	85	case	_	_
84	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	85	det	_	_
85	camara	camara	NOUN	NOUN	_	82	nmod	_	TokenRange=435:441
86-87	dos	_	_	_	_	_	_	_	TokenRange=442:445
86	de	de	ADP	ADP	_	88	case	_	_
87	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	88	det	_	_
88	deputados	deputado	NOUN	NOUN	_	85	nmod	_	TokenRange=446:455
89	fomos	_	AUX	AUX	_	90	cop	_	TokenRange=456:461
90	membros	membro	NOUN	NOUN	_	146	ccomp	_	TokenRange=462:469
91-92	da	_	_	_	_	_	_	_	TokenRange=470:472
91	de	de	ADP	ADP	_	94	case	_	_
92	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	94	det	_	_
93	mesma	mesmo	ADJ	ADJ	_	94	amod	_	TokenRange=473:478
94	comissao	comissao	NOUN	NOUN	_	90	nmod	_	TokenRange=479:487
95	ele	_	PRON	PRON	_	96	nsubj	_	TokenRange=488:491
96	sabe	saber	VERB	VERB	_	57	parataxis	_	TokenRange=492:496
97	que	que	CCONJ	CONJ	_	104	mark	_	TokenRange=497:500
98	quando	_	CCONJ	CONJ	_	99	mark	_	TokenRange=501:507
99	chega	chegar	VERB	VERB	_	160	advcl	_	TokenRange=508:513
100-101	na	_	_	_	_	_	_	_	TokenRange=514:516
100	em	em	ADP	ADP	_	102	case	_	_
101	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	102	det	_	_
102	eleicao	eleicao	NOUN	NOUN	_	99	nmod	_	TokenRange=517:524
103	voce	_	PRON	PRON	_	104	nsubj	_	TokenRange=525:529
104	procura	procurar	VERB	VERB	_	96	ccomp	_	TokenRange=530:537
105	o	o	DET	DET	_	106	det	_	TokenRange=538:539
106	candidato	candidato	NOUN	NOUN	_	104	obj	_	TokenRange=540:549
107	majoritario	majoritario	ADJ	ADJ	_	106	amod	_	TokenRange=550:561
108	para	_	ADP	ADP	_	109	mark	_	TokenRange=562:566
109	fazer	fazer	VERB	VERB	_	104	advcl	_	TokenRange=567:572
110	a	o	DET	DET	_	111	det	_	TokenRange=573:574
111	despesa	despesa	NOUN	NOUN	_	109	obj	_	TokenRange=575:582
112-113	do	_	_	_	_	_	_	_	TokenRange=583:585
112	de	de	ADP	ADP	_	114	case	_	_
113	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	114	det	_	_
114	partido	partido	NOUN	NOUN	_	111	nmod	_	TokenRange=586:593
115	e	e	CCONJ	CONJ	_	123	cc	_	TokenRange=594:595
116	como	_	CCONJ	CONJ	_	123	mark	_	TokenRange=596:600
117	o	o	DET	DET	_	118	det	_	TokenRange=601:602
118	candidato	candidato	NOUN	NOUN	_	123	nsubj	_	TokenRange=603:612
119	majoritario	majoritario	ADJ	ADJ	_	118	amod	_	TokenRange=613:624
120	era	_	AUX	AUX	_	122	cop	_	TokenRange=625:628
121	o	o	DET	DET	_	122	det	_	TokenRange=629:630
122	lula	lula	NOUN	NOUN	_	123	advcl	_	TokenRange=631:635
123	fomos	_	VERB	VERB	_	21	conj	_	TokenRange=636:641
124	la	_	PRON	PRON	_	123	obj	_	TokenRange=642:644
125	atras	atras	ADV	ADV	_	123	advmod	_	TokenRange=645:650
126	de	de	ADP	ADP	_	127	case	_	TokenRange=651:653
127	dinheiro	dinheiro	NOUN	NOUN	_	125	nmod	_	TokenRange=654:662
128	de	de	ADP	ADP	_	129	case	_	TokenRange=663:665
129	acordo	acordo	NOUN	NOUN	_	123	nmod	_	TokenRange=666:672
130	com	com	ADP	ADP	_	131	case	_	TokenRange=673:676
131	correa	correa	NOUN	NOUN	_	129	nmod	_	TokenRange=677:683
132	lula	_	NOUN	NOUN	_	134	nsubj	_	TokenRange=684:688
133	teria	ter	AUX	AUX	_	134	aux	_	TokenRange=689:694
134	dito	_	VERB	VERB	_	58	conj	_	TokenRange=695:699
135	voces	_	PRON	PRON	_	138	nsubj	_	TokenRange=700:705
136	nao	nao	ADV	ADV	Polarity=Neg	138	advmod	_	TokenRange=706:709
137	podem	_	AUX	AUX	_	138	aux	_	TokenRange=710:715
138	reclamar	reclamar	VERB	VERB	_	57	ccomp	_	TokenRange=716:724
139	porque	_	CCONJ	CONJ	_	146	mark	_	TokenRange=725:731
140	o	o	DET	DET	_	141	det	_	TokenRange=732:733
141	paulinho	_	NOUN	NOUN	_	146	nsubj	_	TokenRange=734:742
142	paulo	paulo	NOUN	NOUN	_	141	appos	_	TokenRange=743:748
143	roberto	roberto	ADJ	ADJ	_	142	flat	_	TokenRange=749:756
144	costa	_	NOUN	NOUN	_	142	flat	_	TokenRange=757:762
145	me	_	PRON	PRON	_	146	iobj	_	TokenRange=763:765
146	disse	dizer	VERB	VERB	_	57	advcl	_	TokenRange=766:771
147	que	que	CCONJ	CONJ	_	149	mark	_	TokenRange=772:775
148	voces	_	PRON	PRON	_	149	nsubj	_	TokenRange=776:781
149	estao	_	VERB	VERB	_	146	ccomp	_	TokenRange=782:787
150	muito	muito	ADV	ADV	_	151	advmod	_	TokenRange=788:793
151	bem	bem	ADV	ADV	_	152	advmod	_	TokenRange=794:797
152	amparados	amparado	ADJ	ADJ	_	149	xcomp	_	TokenRange=798:807
153	financeiramente	financeiramente	ADV	ADV	_	152	advmod	_	TokenRange=808:823
154	e	e	CCONJ	CONJ	_	156	cc	_	TokenRange=824:825
155	vao	ir	AUX	AUX	_	156	aux	_	TokenRange=826:829
156	fazer	fazer	VERB	VERB	_	149	conj	_	TokenRange=830:835
157	uma	um	DET	DET	_	158	det	_	TokenRange=836:839
158	eleicao	eleicao	NOUN	NOUN	_	156	obj	_	TokenRange=840:847
159	tranquila	tranquilo	ADJ	ADJ	_	158	amod	_	TokenRange=848:857
160	veja	ver	VERB	VERB	_	96	ccomp	_	TokenRange=858:862
161	a	_	ADP	ADP	_	162	mark	_	TokenRange=863:864
162	partir	partir	VERB	VERB	_	160	nmod	_	TokenRange=865:871
163-164	do	_	_	_	_	_	_	_	TokenRange=872:874
163	de	de	ADP	ADP	_	165	case	_	_
164	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	165	det	_	_
165	minuto	minuto	NOUN	NOUN	_	162	nmod	_	TokenRange=875:881
166	220	_	NUM	NUM	NumType=Card	165	appos	_	TokenRange=882:885
167-168	do	_	_	_	_	_	_	_	TokenRange=886:888
167	de	de	ADP	ADP	_	169	case	_	_
168	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	169	det	_	_
169	video	video	NOUN	NOUN	_	165	nmod	_	TokenRange=889:894
170-171	do	_	_	_	_	_	_	_	TokenRange=895:897
170	de	de	ADP	ADP	_	172	case	_	_
171	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	172	det	_	_
172	antagonista	antagonista	NOUN	NOUN	_	169	nmod	_	TokenRange=898:909
173	claudio	claudio	NOUN	NOUN	_	172	appos	_	TokenRange=910:917
174	dantas	_	NOUN	NOUN	_	173	flat	_	TokenRange=918:924

