# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = morofobia eis que aparece mais um petista pedindo para escapar de sergio moro o petista jaques wagner atraves de seus advogados pediu ao ministro do supremo tribunal federal edson fachin que as investigacoes contra ele detalhe crime de organizacao criminosa sejam arquivadas imediatamente a defesa alega que o exministro de lula e dilma e um dos cabecas do pt so foi citado em uma delacao premiada a do dono da utc ricardo pessoa quando a pgr enviou a denuncia ao supremo ainda sob o comando de janot foi pedido que as apuracoes sobre jaques wagner fossem enviadas ao juiz federal sergio moro da 13 vara em curitiba os advogados do petista tambem afirmam que o inquerito em relacao a seu cliente nao pode ser enviado a curitiba porque ele agora possui foro privilegiado wagner foi nomeado secretario de desenvolvimento economico da bahia no inicio deste ano e quer ser julgado pelo trf da 1 regiao com sede em brasilia e o maldito foro privilegiado dando aos politicos uma vida nababesca uma sugestao liberem ele do juiz sergio moro mandem o processo para o juiz marcelo bretas
1	morofobia	morofobia	NOUN	NOUN	_	0	root	_	TokenRange=0:9
74	dono	dono	NOUN	NOUN	_	71	nmod	_	TokenRange=403:407
75-76	da	_	_	_	_	_	_	_	TokenRange=408:410
75	de	de	ADP	ADP	_	77	case	_	_
76	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	77	det	_	_
77	utc	utc	NOUN	NOUN	_	74	nmod	_	TokenRange=411:414
78	ricardo	ricardo	NOUN	NOUN	_	74	appos	_	TokenRange=415:422
79	pessoa	pessoa	NOUN	NOUN	_	78	flat	_	TokenRange=423:429
80	quando	_	CCONJ	CONJ	_	83	mark	_	TokenRange=430:436
81	a	o	DET	DET	_	82	det	_	TokenRange=437:438
82	pgr	_	NOUN	NOUN	_	83	nsubj	_	TokenRange=439:442
83	enviou	enviar	VERB	VERB	_	96	advcl	_	TokenRange=443:449
84	a	o	DET	DET	_	85	det	_	TokenRange=450:451
85	denuncia	denuncia	NOUN	NOUN	_	83	obj	_	TokenRange=452:460
86-87	ao	_	_	_	_	_	_	_	TokenRange=461:463
86	a	a	ADP	ADP	_	88	case	_	_
87	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	88	det	_	_
88	supremo	supremo	NOUN	NOUN	_	83	iobj	_	TokenRange=464:471
89	ainda	ainda	ADV	ADV	_	92	advmod	_	TokenRange=472:477
90	sob	_	ADP	ADP	_	92	case	_	TokenRange=478:481
91	o	o	DET	DET	_	92	det	_	TokenRange=482:483
92	comando	comando	NOUN	NOUN	_	83	nmod	_	TokenRange=484:491
93	de	de	ADP	ADP	_	94	case	_	TokenRange=492:494
94	janot	_	NOUN	NOUN	_	92	nmod	_	TokenRange=495:500
95	foi	_	AUX	AUX	_	96	aux:pass	_	TokenRange=501:504
96	pedido	pedir	VERB	VERB	_	74	acl:relcl	_	TokenRange=505:511
97	que	que	CCONJ	CONJ	_	104	mark	_	TokenRange=512:515
98	as	o	DET	DET	_	99	det	_	TokenRange=516:518
99	apuracoes	apuracoe	NOUN	NOUN	_	104	nsubj:pass	_	TokenRange=519:528
100	sobre	_	ADP	ADP	_	101	case	_	TokenRange=529:534
101	jaques	jaque	NOUN	NOUN	_	99	nmod	_	TokenRange=535:541
102	wagner	wagner	ADJ	ADJ	_	101	flat	_	TokenRange=542:548
103	fossem	_	AUX	AUX	_	104	aux:pass	_	TokenRange=549:555
104	enviadas	enviar	VERB	VERB	_	96	ccomp	_	TokenRange=556:564
105-106	ao	_	_	_	_	_	_	_	TokenRange=565:567
105	a	a	ADP	ADP	_	107	case	_	_
106	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	107	det	_	_
107	juiz	juiz	NOUN	NOUN	_	104	iobj	_	TokenRange=568:572
108	federal	federal	ADJ	ADJ	_	107	amod	_	TokenRange=573:580
109	sergio	sergio	NOUN	NOUN	_	107	appos	_	TokenRange=581:587
110	moro	moro	NOUN	NOUN	_	109	flat	_	TokenRange=588:592
111-112	da	_	_	_	_	_	_	_	TokenRange=593:595
111	de	de	ADP	ADP	_	114	case	_	_
112	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	114	det	_	_
113	13	_	NUM	NUM	NumType=Card	114	nummod	_	TokenRange=596:598
114	vara	vara	NOUN	NOUN	_	107	nmod	_	TokenRange=599:603
115	em	em	ADP	ADP	_	116	case	_	TokenRange=604:606
116	curitiba	curitiba	NOUN	NOUN	_	104	nmod	_	TokenRange=607:615
117	os	o	DET	DET	_	118	det	_	TokenRange=616:618
118	advogados	advogado	NOUN	NOUN	_	195	nsubj	_	TokenRange=619:628
119-120	do	_	_	_	_	_	_	_	TokenRange=629:631
119	de	de	ADP	ADP	_	121	case	_	_
120	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	121	det	_	_
121	petista	petista	NOUN	NOUN	_	118	nmod	_	TokenRange=632:639
122	tambem	tambem	ADV	ADV	_	123	advmod	_	TokenRange=640:646
123	afirmam	afirmar	VERB	VERB	_	48	ccomp	_	TokenRange=647:654
124	que	que	CCONJ	CONJ	_	104	mark	_	TokenRange=655:658
125	o	o	DET	DET	_	126	det	_	TokenRange=659:660
126	inquerito	inquerito	NOUN	NOUN	_	104	nsubj:pass	_	TokenRange=661:670
127	em	em	ADP	ADP	_	128	case	_	TokenRange=671:673
128	relacao	relacao	NOUN	NOUN	_	126	nmod	_	TokenRange=674:681
129	a	_	ADP	ADP	_	131	case	_	TokenRange=682:683
130	seu	_	DET	DET	_	131	det:poss	_	TokenRange=684:687
131	cliente	cliente	NOUN	NOUN	_	128	nmod	_	TokenRange=688:695
132	nao	nao	ADV	ADV	Polarity=Neg	135	advmod	_	TokenRange=696:699
133	pode	_	AUX	AUX	_	135	aux	_	TokenRange=700:704
134	ser	ser	AUX	AUX	_	135	aux:pass	_	TokenRange=705:708
135	enviado	enviar	VERB	VERB	_	123	ccomp	_	TokenRange=709:716
136	a	_	ADP	ADP	_	137	case	_	TokenRange=717:718
137	curitiba	curitiba	NOUN	NOUN	_	135	nmod	_	TokenRange=719:727
138	porque	_	CCONJ	CONJ	_	141	mark	_	TokenRange=728:734
139	ele	_	PRON	PRON	_	141	nsubj	_	TokenRange=735:738
140	agora	agora	ADV	ADV	_	141	advmod	_	TokenRange=739:744
141	possui	possuir	VERB	VERB	_	123	advcl	_	TokenRange=745:751
142	foro	foro	NOUN	NOUN	_	141	obj	_	TokenRange=752:756
143	privilegiado	privilegiado	ADJ	ADJ	_	142	amod	_	TokenRange=757:769
144	wagner	wagner	NOUN	NOUN	_	147	nsubj:pass	_	TokenRange=770:776
145	foi	_	AUX	AUX	_	147	aux:pass	_	TokenRange=777:780
146	nomeado	nomear	AUX	AUX	_	147	cop	_	TokenRange=781:788
147	secretario	_	NOUN	NOUN	_	48	ccomp	_	TokenRange=789:799
148	de	de	ADP	ADP	_	149	case	_	TokenRange=800:802
149	desenvolvimento	desenvolvimento	NOUN	NOUN	_	147	nmod	_	TokenRange=803:818
150	economico	economico	ADJ	ADJ	_	149	amod	_	TokenRange=819:828
151-152	da	_	_	_	_	_	_	_	TokenRange=829:831
151	de	de	ADP	ADP	_	153	case	_	_
152	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	153	det	_	_
153	bahia	bahia	NOUN	NOUN	_	149	nmod	_	TokenRange=832:837
154-155	no	_	_	_	_	_	_	_	TokenRange=838:840
154	em	em	ADP	ADP	_	156	case	_	_
155	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	156	det	_	_
156	inicio	_	NOUN	NOUN	_	147	nmod	_	TokenRange=841:847
157	deste	_	ADP	ADP	_	158	case	_	TokenRange=848:853
158	ano	ano	NOUN	NOUN	_	156	nmod	_	TokenRange=854:857
159	e	e	CCONJ	CONJ	_	160	cc	_	TokenRange=858:859
160	quer	querer	VERB	VERB	_	147	conj	_	TokenRange=860:864
161	ser	ser	AUX	AUX	_	162	aux:pass	_	TokenRange=865:868
162	julgado	julgar	VERB	VERB	_	160	xcomp	_	TokenRange=869:876
163-164	pelo	_	_	_	_	_	_	_	TokenRange=877:881
163	por	por	ADP	ADP	_	165	case	_	_
164	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	165	det	_	_
165	trf	_	NOUN	NOUN	_	162	nmod	_	TokenRange=882:885
166-167	da	_	_	_	_	_	_	_	TokenRange=886:888
166	de	de	ADP	ADP	_	169	case	_	_
167	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	169	det	_	_
168	1	_	NUM	NUM	NumType=Card	169	nummod	_	TokenRange=889:890
169	regiao	regiao	NOUN	NOUN	_	165	nmod	_	TokenRange=891:897
170	com	com	ADP	ADP	_	171	case	_	TokenRange=898:901
171	sede	sede	NOUN	NOUN	_	165	nmod	_	TokenRange=902:906
172	em	em	ADP	ADP	_	173	case	_	TokenRange=907:909
173	brasilia	brasilia	NOUN	NOUN	_	171	nmod	_	TokenRange=910:918
174	e	e	CCONJ	CONJ	_	177	cc	_	TokenRange=919:920
175	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	177	det	_	TokenRange=921:922
176	maldito	maldito	ADJ	ADJ	_	177	amod	_	TokenRange=923:930
177	foro	foro	NOUN	NOUN	_	51	conj	_	TokenRange=931:935
178	privilegiado	privilegiado	ADJ	ADJ	_	177	amod	_	TokenRange=936:948
179	dando	dar	VERB	VERB	_	177	acl	_	TokenRange=949:954
180-181	aos	_	_	_	_	_	_	_	TokenRange=955:958
180	a	a	ADP	ADP	_	182	case	_	_
181	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	182	det	_	_
182	politicos	politico	NOUN	NOUN	_	179	iobj	_	TokenRange=959:968
183	uma	um	DET	DET	_	184	det	_	TokenRange=969:972
184	vida	vida	NOUN	NOUN	_	179	obj	_	TokenRange=973:977
185	nababesca	nababesco	ADJ	ADJ	_	184	amod	_	TokenRange=978:987
186	uma	um	DET	DET	_	187	det	_	TokenRange=988:991
187	sugestao	sugestao	NOUN	NOUN	_	188	nsubj	_	TokenRange=992:1000
188	liberem	liberar	VERB	VERB	_	96	csubj	_	TokenRange=1001:1008
189	ele	_	PRON	PRON	_	104	nsubj:pass	_	TokenRange=1009:1012
190-191	do	_	_	_	_	_	_	_	TokenRange=1013:1015
190	de	de	ADP	ADP	_	192	case	_	_
191	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	192	det	_	_
192	juiz	juiz	NOUN	NOUN	_	104	nmod	_	TokenRange=1016:1020
193	sergio	sergio	NOUN	NOUN	_	192	appos	_	TokenRange=1021:1027
194	moro	moro	NOUN	NOUN	_	101	flat	_	TokenRange=1028:1032
195	mandem	mandar	VERB	VERB	_	96	conj	_	TokenRange=1033:1039
196	o	o	DET	DET	_	197	det	_	TokenRange=1040:1041
197	processo	processo	NOUN	NOUN	_	195	obj	_	TokenRange=1042:1050
198	para	para	ADP	ADP	_	200	case	_	TokenRange=1051:1055
199	o	o	DET	DET	_	200	det	_	TokenRange=1056:1057
200	juiz	juiz	NOUN	NOUN	_	195	nmod	_	TokenRange=1058:1062
201	marcelo	marcelo	NOUN	NOUN	_	200	appos	_	TokenRange=1063:1070
202	bretas	_	NOUN	NOUN	_	201	flat	_	TokenRange=1071:1077

