# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = moro o corrupto e pior que o ladrao e tao maligno quanto o assassino nao existe crime mais serio do que a corrupcao outras ofensas violam uma lei enquanto a corrupcao ataca as fundacoes de todas as leis nao existe ofensa mais grave do que a daquele no qual e depositada tao sagrada confianca quem a vende para seu proprio ganho e enriquecimento e nao menos grave e a ofensa do pagador de propinas ele e pior que o ladrao porque o ladrao rouba o individuo enquanto que o agente corrupto saqueia uma cidade inteira ou o estado ele e tao maligno como o assassino porque o assassino pode somente tomar uma vida contra a lei enquanto o agente corrupto e a pessoa que o corrompe miram de forma semelhante o assassinato da propria comunidade
1	moro	morar	VERB	VERB	_	0	root	_	TokenRange=0:4
34	as	o	DET	DET	_	35	det	_	TokenRange=173:175
35	fundacoes	fundacoe	NOUN	NOUN	_	33	obj	_	TokenRange=176:185
36	de	de	ADP	ADP	_	39	case	_	TokenRange=186:188
37	todas	_	DET	DET	_	39	det	_	TokenRange=189:194
38	as	o	DET	DET	_	39	det	_	TokenRange=195:197
39	leis	lei	NOUN	NOUN	_	35	nmod	_	TokenRange=198:202
40	nao	nao	ADV	ADV	_	41	advmod	_	TokenRange=203:206
41	existe	existir	VERB	VERB	_	1	parataxis	_	TokenRange=207:213
42	ofensa	ofensa	NOUN	NOUN	_	41	nsubj	_	TokenRange=214:220
43	mais	mais	ADV	ADV	_	44	advmod	_	TokenRange=221:225
44	grave	grave	ADJ	ADJ	_	42	amod	_	TokenRange=226:231
45-46	do	_	_	_	_	_	_	_	TokenRange=232:234
45	de	de	ADP	ADP	_	49	case	_	_
46	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	49	det	_	_
47	que	_	ADP	ADP	_	45	fixed	_	TokenRange=235:238
48	a	o	DET	DET	_	49	det	_	TokenRange=239:240
49	daquele	_	X	ADPPRON	_	42	nmod	_	TokenRange=241:248
50-51	no	_	_	_	_	_	_	_	TokenRange=249:251
50	em	em	ADP	ADP	_	52	case	_	_
51	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	52	det	_	_
52	qual	_	PRON	PRON	_	54	nmod	_	TokenRange=252:256
53	e	_	AUX	AUX	_	54	aux:pass	_	TokenRange=257:258
54	depositada	depositar	VERB	VERB	_	49	acl:relcl	_	TokenRange=259:269
55	tao	tao	ADV	ADV	_	56	advmod	_	TokenRange=270:273
56	sagrada	sagrado	ADJ	ADJ	_	57	amod	_	TokenRange=274:281
57	confianca	_	NOUN	NOUN	_	41	nsubj	_	TokenRange=282:291
58	quem	_	PRON	PRON	_	60	nsubj	_	TokenRange=292:296
59	a	_	PRON	PRON	_	60	obj	_	TokenRange=297:298
60	vende	_	VERB	VERB	_	57	acl:relcl	_	TokenRange=299:304
61	para	para	ADP	ADP	_	64	case	_	TokenRange=305:309
62	seu	_	DET	DET	_	64	det:poss	_	TokenRange=310:313
63	proprio	proprio	ADJ	ADJ	_	64	amod	_	TokenRange=314:321
64	ganho	ganho	NOUN	NOUN	_	60	nmod	_	TokenRange=322:327
65	e	e	CCONJ	CONJ	_	66	cc	_	TokenRange=328:329
66	enriquecimento	enriquecimento	NOUN	NOUN	_	64	conj	_	TokenRange=330:344
67	e	e	CCONJ	CONJ	_	70	cc	_	TokenRange=345:346
68	nao	nao	ADV	ADV	Polarity=Neg	69	advmod	_	TokenRange=347:350
69	menos	menos	ADV	ADV	_	70	advmod	_	TokenRange=351:356
70	grave	grave	ADJ	ADJ	_	60	conj	_	TokenRange=357:362
71	e	e	CCONJ	CONJ	_	73	cc	_	TokenRange=363:364
72	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	73	det	_	TokenRange=365:366
73	ofensa	ofensa	NOUN	NOUN	_	57	conj	_	TokenRange=367:373
74-75	do	_	_	_	_	_	_	_	TokenRange=374:376
74	de	de	ADP	ADP	_	76	case	_	_
75	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	76	det	_	_
76	pagador	pagador	NOUN	NOUN	_	73	nmod	_	TokenRange=377:384
77	de	de	ADP	ADP	_	78	case	_	TokenRange=385:387
78	propinas	propina	NOUN	NOUN	_	76	nmod	_	TokenRange=388:396
79	ele	_	PRON	PRON	_	73	nsubj	_	TokenRange=397:400
80	e	e	CCONJ	CONJ	_	81	cc	_	TokenRange=401:402
81	pior	pior	ADJ	ADJ	_	79	conj	_	TokenRange=403:407
82	que	_	ADP	ADP	_	84	case	_	TokenRange=408:411
83	o	o	DET	DET	_	84	det	_	TokenRange=412:413
84	ladrao	ladrao	NOUN	NOUN	_	81	nmod	_	TokenRange=414:420
85	porque	_	CCONJ	CONJ	_	88	mark	_	TokenRange=421:427
86	o	o	DET	DET	_	87	det	_	TokenRange=428:429
87	ladrao	ladrao	NOUN	NOUN	_	88	nsubj	_	TokenRange=430:436
88	rouba	roubar	VERB	VERB	_	60	advcl	_	TokenRange=437:442
89	o	o	DET	DET	_	90	det	_	TokenRange=443:444
90	individuo	individuo	NOUN	NOUN	_	88	obj	_	TokenRange=445:454
91	enquanto	_	CCONJ	CONJ	_	96	mark	_	TokenRange=455:463
92	que	_	CCONJ	CONJ	_	91	fixed	_	TokenRange=464:467
93	o	o	DET	DET	_	94	det	_	TokenRange=468:469
94	agente	agente	NOUN	NOUN	_	96	nsubj	_	TokenRange=470:476
95	corrupto	corrupto	ADJ	ADJ	_	94	amod	_	TokenRange=477:485
96	saqueia	saquer	VERB	VERB	_	88	advcl	_	TokenRange=486:493
97	uma	um	DET	DET	_	98	det	_	TokenRange=494:497
98	cidade	cidade	NOUN	NOUN	_	96	obj	_	TokenRange=498:504
99	inteira	inteiro	ADJ	ADJ	_	98	amod	_	TokenRange=505:512
100	ou	ou	CCONJ	CONJ	_	102	cc	_	TokenRange=513:515
101	o	o	DET	DET	_	102	det	_	TokenRange=516:517
102	estado	estado	NOUN	NOUN	_	98	conj	_	TokenRange=518:524
103	ele	_	PRON	PRON	_	88	nsubj	_	TokenRange=525:528
104	e	e	CCONJ	CONJ	_	106	cc	_	TokenRange=529:530
105	tao	tao	ADV	ADV	_	106	advmod	_	TokenRange=531:534
106	maligno	maligno	ADJ	ADJ	_	103	conj	_	TokenRange=535:542
107	como	como	ADP	ADP	_	109	case	_	TokenRange=543:547
108	o	o	DET	DET	_	109	det	_	TokenRange=548:549
109	assassino	assassino	NOUN	NOUN	_	106	nmod	_	TokenRange=550:559
110	porque	_	CCONJ	CONJ	_	115	mark	_	TokenRange=560:566
111	o	o	DET	DET	_	112	det	_	TokenRange=567:568
112	assassino	assassino	NOUN	NOUN	_	115	nsubj	_	TokenRange=569:578
113	pode	_	AUX	AUX	_	115	aux	_	TokenRange=579:583
114	somente	somente	ADV	ADV	_	115	advmod	_	TokenRange=584:591
115	tomar	tomar	VERB	VERB	_	27	advcl	_	TokenRange=592:597
116	uma	um	DET	DET	_	117	det	_	TokenRange=598:601
117	vida	vida	NOUN	NOUN	_	115	obj	_	TokenRange=602:606
118	contra	_	ADP	ADP	_	120	case	_	TokenRange=607:613
119	a	o	DET	DET	_	120	det	_	TokenRange=614:615
120	lei	lei	NOUN	NOUN	_	117	nmod	_	TokenRange=616:619
121	enquanto	_	CCONJ	CONJ	_	131	mark	_	TokenRange=620:628
122	o	o	DET	DET	_	123	det	_	TokenRange=629:630
123	agente	agente	NOUN	NOUN	_	131	nsubj	_	TokenRange=631:637
124	corrupto	corrupto	ADJ	ADJ	_	123	amod	_	TokenRange=638:646
125	e	e	CCONJ	CONJ	_	127	cc	_	TokenRange=647:648
126	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	127	det	_	TokenRange=649:650
127	pessoa	pessoa	NOUN	NOUN	_	123	conj	_	TokenRange=651:657
128	que	_	PRON	PRON	_	130	nsubj	_	TokenRange=658:661
129	o	_	PRON	PRON	_	130	obj	_	TokenRange=662:663
130	corrompe	corromper	VERB	VERB	_	127	acl:relcl	_	TokenRange=664:672
131	miram	_	VERB	VERB	_	57	acl:relcl	_	TokenRange=673:678
132	de	de	ADP	ADP	_	133	case	_	TokenRange=679:681
133	forma	forma	NOUN	NOUN	_	131	nmod	_	TokenRange=682:687
134	semelhante	semelhante	ADJ	ADJ	_	133	amod	_	TokenRange=688:698
135	o	o	DET	DET	_	136	det	_	TokenRange=699:700
136	assassinato	assassinato	NOUN	NOUN	_	131	obj	_	TokenRange=701:712
137-138	da	_	_	_	_	_	_	_	TokenRange=713:715
137	de	de	ADP	ADP	_	140	case	_	_
138	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	140	det	_	_
139	propria	proprio	ADJ	ADJ	_	140	amod	_	TokenRange=716:723
140	comunidade	comunidade	NOUN	NOUN	_	136	nmod	_	TokenRange=724:734

