# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = acabou por 6 votos a 3 stf decide que renan calheiros continua na presidencia do senado o stf decidiu por maioria manter renan calheiros pmdbal na presidencia do senado a ressalva e de que renan fique impedido de substituir temer na presidencia da republica todos os ministros que cotaram ate agora concordaram que renan fica proibido de substituir o presidente da republica votaram a favor de manter renan na presidencia celso de mello teori zavascki dias toffoli luiz fux e ricardo lewandowski e a presidente carmen lucia votaram a favor do afastamento marco aurelio mello relator edson fachin e rosa weber valeu stf de hoje em diante vamos todos fugir dos oficiais de justica respeitar liminar pra que
1	acabou	acabar	VERB	VERB	_	0	root	_	TokenRange=0:6
55	cotaram	cotar	VERB	VERB	_	53	acl:relcl	_	TokenRange=281:288
56	ate	_	ADP	ADP	_	57	mark	_	TokenRange=289:292
57	agora	agora	ADV	ADV	_	55	nmod	_	TokenRange=293:298
58	concordaram	concordar	VERB	VERB	_	8	ccomp	_	TokenRange=299:310
59	que	que	CCONJ	CONJ	_	61	mark	_	TokenRange=311:314
60	renan	_	NOUN	NOUN	_	61	nsubj	_	TokenRange=315:320
61	fica	ficar	VERB	VERB	_	58	ccomp	_	TokenRange=321:325
62	proibido	proibido	ADJ	ADJ	_	61	xcomp	_	TokenRange=326:334
63	de	_	ADP	ADP	_	64	mark	_	TokenRange=335:337
64	substituir	substituir	VERB	VERB	_	62	nmod	_	TokenRange=338:348
65	o	o	DET	DET	_	66	det	_	TokenRange=349:350
66	presidente	presidente	NOUN	NOUN	_	64	obj	_	TokenRange=351:361
67-68	da	_	_	_	_	_	_	_	TokenRange=362:364
67	de	de	ADP	ADP	_	69	case	_	_
68	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	69	det	_	_
69	republica	_	NOUN	NOUN	_	66	nmod	_	TokenRange=365:374
70	votaram	votar	VERB	VERB	_	58	ccomp	_	TokenRange=375:382
71	a	_	ADP	ADP	_	72	case	_	TokenRange=383:384
72	favor	favor	NOUN	NOUN	_	70	nmod	_	TokenRange=385:390
73	de	_	ADP	ADP	_	74	mark	_	TokenRange=391:393
74	manter	manter	VERB	VERB	_	72	nmod	_	TokenRange=394:400
75	renan	_	NOUN	NOUN	_	74	obj	_	TokenRange=401:406
76-77	na	_	_	_	_	_	_	_	TokenRange=407:409
76	em	em	ADP	ADP	_	78	case	_	_
77	a	o	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	78	det	_	_
78	presidencia	presidencia	NOUN	NOUN	_	74	nmod	_	TokenRange=410:421
79	celso	_	NOUN	NOUN	_	74	obj	_	TokenRange=422:427
80	de	de	ADP	ADP	_	81	case	_	TokenRange=428:430
81	mello	mello	NOUN	NOUN	_	79	nmod	_	TokenRange=431:436
82	teori	_	NOUN	NOUN	_	74	obj	_	TokenRange=437:442
83	zavascki	_	NOUN	NOUN	_	82	appos	_	TokenRange=443:451
84	dias	dia	NOUN	NOUN	_	82	flat	_	TokenRange=452:456
85	toffoli	_	NOUN	NOUN	_	82	flat	_	TokenRange=457:464
86	luiz	luiz	NOUN	NOUN	_	82	appos	_	TokenRange=465:469
87	fux	_	NOUN	NOUN	_	86	flat	_	TokenRange=470:473
88	e	e	CCONJ	CONJ	_	89	cc	_	TokenRange=474:475
89	ricardo	ricardo	NOUN	NOUN	_	86	conj	_	TokenRange=476:483
90	lewandowski	_	NOUN	NOUN	_	89	flat	_	TokenRange=484:495
91	e	e	CCONJ	CONJ	_	96	cc	_	TokenRange=496:497
92	a	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	96	det	_	TokenRange=498:499
93	presidente	presidente	NOUN	NOUN	_	96	nsubj	_	TokenRange=500:510
94	carmen	_	NOUN	NOUN	_	93	appos	_	TokenRange=511:517
95	lucia	_	NOUN	NOUN	_	94	flat	_	TokenRange=518:523
96	votaram	votar	VERB	VERB	_	70	conj	_	TokenRange=524:531
97	a	_	ADP	ADP	_	98	case	_	TokenRange=532:533
98	favor	favor	NOUN	NOUN	_	96	nmod	_	TokenRange=534:539
99-100	do	_	_	_	_	_	_	_	TokenRange=540:542
99	de	de	ADP	ADP	_	101	case	_	_
100	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	101	det	_	_
101	afastamento	afastamento	NOUN	NOUN	_	98	nmod	_	TokenRange=543:554
102	marco	marco	NOUN	NOUN	_	101	appos	_	TokenRange=555:560
103	aurelio	aurelio	NOUN	NOUN	_	102	flat	_	TokenRange=561:568
104	mello	mello	ADJ	ADJ	_	102	amod	_	TokenRange=569:574
105	relator	relator	NOUN	NOUN	_	96	nsubj	_	TokenRange=575:582
106	edson	_	NOUN	NOUN	_	105	appos	_	TokenRange=583:588
107	fachin	_	NOUN	NOUN	_	106	flat	_	TokenRange=589:595
108	e	e	CCONJ	CONJ	_	109	cc	_	TokenRange=596:597
109	rosa	_	NOUN	NOUN	_	106	conj	_	TokenRange=598:602
110	weber	_	PROPN	PNOUN	_	109	flat	_	TokenRange=603:608
111	valeu	valer	VERB	VERB	_	96	parataxis	_	TokenRange=609:614
112	stf	_	NOUN	NOUN	_	111	obj	_	TokenRange=615:618
113	de	_	ADP	ADP	_	114	mark	_	TokenRange=619:621
114	hoje	hoje	ADV	ADV	_	119	nmod	_	TokenRange=622:626
115	em	_	ADP	ADP	_	116	mark	_	TokenRange=627:629
116	diante	diante	ADV	ADV	_	114	nmod	_	TokenRange=630:636
117	vamos	ir	AUX	AUX	_	119	aux	_	TokenRange=637:642
118	todos	_	PRON	PRON	_	119	nsubj	_	TokenRange=643:648
119	fugir	fugir	VERB	VERB	_	112	acl:inf	_	TokenRange=649:654
120-121	dos	_	_	_	_	_	_	_	TokenRange=655:658
120	de	de	ADP	ADP	_	122	case	_	_
121	os	o	DET	DET	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	122	det	_	_
122	oficiais	oficial	NOUN	NOUN	_	119	nmod	_	TokenRange=659:667
123	de	de	ADP	ADP	_	124	case	_	TokenRange=668:670
124	justica	_	NOUN	NOUN	_	122	nmod	_	TokenRange=671:678
125	respeitar	respeitar	VERB	VERB	_	119	xcomp	_	TokenRange=679:688
126	liminar	liminar	NOUN	NOUN	_	125	obj	_	TokenRange=689:696
127	pra	_	ADP	ADP	_	125	mark	_	TokenRange=697:700
128	que	_	CCONJ	CONJ	_	127	fixed	_	TokenRange=701:704

